Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.428601,0.018433,0.208300,0.004992,0.046851,0.000544,0.013377,0.081381,0.065731,0.078468,0.228909,0.000608,0.955479
0.428313,0.017281,0.221549,0.005056,0.046787,0.000544,0.013345,0.107558,0.069444,0.077125,0.257231,0.000512,0.996154
0.428473,0.017313,0.208076,0.004928,0.049027,0.000608,0.013761,0.114727,0.070660,0.083909,0.272848,0.000608,1.004954
0.428121,0.018049,0.208268,0.004992,0.047107,0.000576,0.013377,0.113063,0.077924,0.071589,0.266224,0.000512,0.992954
0.428024,0.017633,0.209036,0.004896,0.047299,0.000544,0.013377,0.098598,0.074148,0.070148,0.245934,0.000608,0.972600
0.429145,0.017281,0.207916,0.004897,0.046818,0.000640,0.013441,0.109831,0.076772,0.086053,0.276112,0.000576,1.002266
0.428185,0.017473,0.208236,0.004864,0.046787,0.000544,0.013665,0.107686,0.070756,0.074181,0.255727,0.000576,0.981337
0.429049,0.017409,0.208780,0.004896,0.046851,0.000608,0.013441,0.099366,0.072708,0.068164,0.243726,0.000768,0.971928
0.441594,0.017505,0.208844,0.005153,0.047010,0.000608,0.013441,0.086053,0.063396,0.064804,0.217773,0.000576,0.957976
0.427641,0.017377,0.209260,0.005024,0.046883,0.000544,0.013889,0.095654,0.067556,0.074724,0.241422,0.000672,0.969304
0.428857,0.017185,0.208396,0.004832,0.046915,0.000544,0.013345,0.085157,0.066084,0.070500,0.224877,0.000608,0.950999
0.430809,0.017409,0.226989,0.005025,0.046978,0.000544,0.013473,0.106310,0.071941,0.070852,0.252591,0.000576,1.001722
0.428633,0.017345,0.208908,0.004960,0.046883,0.000576,0.013377,0.101222,0.072644,0.077061,0.254351,0.000576,0.981657
0.427609,0.017217,0.208269,0.004896,0.046787,0.000576,0.013376,0.093670,0.069540,0.067236,0.233998,0.000608,0.958776
0.427673,0.017185,0.208396,0.004992,0.046723,0.000576,0.013409,0.081093,0.065187,0.065956,0.215596,0.000576,0.940502
0.428857,0.017281,0.208300,0.004801,0.046754,0.000544,0.013377,0.083237,0.063300,0.069764,0.219629,0.000544,0.945367
0.428153,0.017345,0.208364,0.004897,0.046786,0.000544,0.013345,0.092134,0.073092,0.074116,0.242702,0.000576,0.968217
0.428825,0.017281,0.208684,0.004896,0.046659,0.000576,0.013377,0.106854,0.075588,0.066372,0.252046,0.000512,0.977945
0.437242,0.017473,0.208428,0.005120,0.046819,0.000480,0.013313,0.120391,0.078564,0.068132,0.270159,0.000545,1.004923
0.428377,0.017249,0.208332,0.004896,0.046755,0.000512,0.013377,0.079173,0.061091,0.065668,0.209196,0.000608,0.934230
0.428217,0.017441,0.208428,0.004800,0.046691,0.000512,0.013377,0.082661,0.063331,0.070820,0.219917,0.000544,0.945751
0.428249,0.017537,0.208044,0.004896,0.046691,0.000544,0.013345,0.104006,0.086117,0.069060,0.262831,0.000640,0.988506
0.427865,0.017345,0.208556,0.004928,0.046883,0.000544,0.013313,0.103334,0.072036,0.073189,0.252047,0.000576,0.978425
0.428153,0.017281,0.208364,0.004864,0.046818,0.000512,0.013345,0.088709,0.067844,0.068548,0.228621,0.000705,0.954296
0.428121,0.017409,0.207916,0.004896,0.047107,0.000608,0.013633,0.084421,0.062212,0.066372,0.216685,0.000608,0.942455
0.441338,0.017473,0.208140,0.005056,0.046851,0.000512,0.013825,0.122951,0.069796,0.066084,0.262223,0.000544,1.000986
0.428441,0.017537,0.208076,0.005056,0.046979,0.000544,0.013377,0.107750,0.070500,0.069029,0.250703,0.000704,0.976953
0.429081,0.017313,0.208268,0.004992,0.046915,0.000544,0.013377,0.080293,0.063620,0.067043,0.214701,0.000512,0.941015
0.430233,0.017377,0.222157,0.004992,0.046914,0.000544,0.013377,0.095302,0.065892,0.066308,0.230926,0.000608,0.972953
0.430777,0.017249,0.207948,0.004832,0.046819,0.000544,0.013313,0.080996,0.065604,0.066852,0.217100,0.000544,0.945047
0.428313,0.017313,0.208524,0.004864,0.046755,0.000512,0.013345,0.086789,0.061956,0.066148,0.218157,0.000544,0.943319
0.428089,0.017441,0.208140,0.004864,0.046787,0.000544,0.013377,0.096997,0.071589,0.069220,0.240942,0.000544,0.966040
0.431385,0.017601,0.208908,0.005025,0.046914,0.000512,0.013345,0.125800,0.071780,0.071684,0.272976,0.000576,1.003642
0.428409,0.018049,0.208108,0.004929,0.046850,0.000512,0.013409,0.086021,0.063876,0.065252,0.218573,0.000704,0.944631
0.427545,0.017473,0.208076,0.004896,0.046787,0.000576,0.013377,0.078980,0.067844,0.070501,0.220749,0.000544,0.945399
0.427385,0.017217,0.229677,0.005120,0.046883,0.000544,0.013376,0.107975,0.075300,0.065444,0.252047,0.000608,0.998522
0.429145,0.017409,0.208396,0.004832,0.046787,0.000544,0.013345,0.110086,0.075748,0.074468,0.263471,0.000608,0.989849
0.429145,0.017409,0.208012,0.004961,0.046786,0.000512,0.013377,0.098790,0.076388,0.066563,0.245070,0.000609,0.971545
0.428825,0.017377,0.208236,0.004864,0.047235,0.000608,0.013409,0.102374,0.068292,0.093958,0.268400,0.000608,0.996474
0.431225,0.017249,0.208588,0.004865,0.046850,0.000576,0.013633,0.090598,0.077476,0.070692,0.241966,0.000576,0.971192
0.427897,0.017345,0.208396,0.004864,0.046755,0.000608,0.013345,0.095237,0.071333,0.068100,0.238030,0.000608,0.963672
0.428825,0.017313,0.208492,0.004864,0.046755,0.000576,0.013409,0.095109,0.069796,0.069540,0.237486,0.000544,0.963640
0.446202,0.017409,0.208364,0.004800,0.046979,0.000576,0.013345,0.098886,0.064643,0.072133,0.238862,0.000576,0.983097
0.428889,0.017473,0.208044,0.004929,0.046978,0.000640,0.013376,0.116167,0.083365,0.075140,0.277904,0.000704,1.004251
0.428025,0.017249,0.208652,0.004928,0.048515,0.000544,0.013409,0.080517,0.064707,0.068612,0.217453,0.000608,0.944951
0.429049,0.017153,0.236270,0.005280,0.046819,0.000544,0.013665,0.104230,0.073892,0.069124,0.250767,0.000704,1.007515
0.428473,0.017473,0.208172,0.005056,0.046979,0.000576,0.013345,0.086597,0.062244,0.065700,0.218157,0.000672,0.944119
0.428281,0.017345,0.207884,0.004992,0.046755,0.000480,0.013313,0.090917,0.063524,0.066532,0.224973,0.000672,0.950263
0.428569,0.017409,0.207852,0.004928,0.046851,0.000544,0.013345,0.083941,0.062947,0.066500,0.216620,0.000576,0.942134
0.440570,0.017473,0.208364,0.005024,0.046851,0.000512,0.013345,0.104998,0.078405,0.070948,0.257743,0.000608,0.995994
0.427449,0.017121,0.208972,0.004896,0.046723,0.000512,0.013313,0.087461,0.077188,0.071108,0.239214,0.000640,0.964248
0.429113,0.017826,0.208492,0.004896,0.046755,0.000576,0.013377,0.092901,0.075364,0.069636,0.241198,0.000672,0.967993
