IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.104136,1.061417,0.085510,1.257783,0.017730,0.209998,0.005281,0.048579,0.001088,0.013601,0.000416,0.001440,0.001472,0.000576,1.563532
0.120840,1.033447,0.082821,1.242293,0.017634,0.209006,0.005344,0.048227,0.000960,0.013953,0.000416,0.001600,0.001152,0.000384,1.546123
0.104071,1.043528,0.142954,1.296761,0.017698,0.209486,0.005184,0.048580,0.000864,0.013857,0.000416,0.001408,0.001632,0.000576,1.602094
0.105287,1.043816,0.084774,1.241814,0.018017,0.209167,0.005312,0.048259,0.000864,0.013665,0.000608,0.001824,0.001216,0.000416,1.546283
0.136170,1.045960,0.096327,1.284953,0.017857,0.209871,0.005088,0.068741,0.000928,0.014273,0.000352,0.001600,0.001184,0.000384,1.611184
0.109928,1.045992,0.086854,1.248982,0.017825,0.209583,0.005216,0.048036,0.000864,0.013761,0.000416,0.001536,0.001344,0.000384,1.552779
0.109192,1.045672,0.099015,1.261751,0.019554,0.210254,0.005153,0.047939,0.001120,0.014049,0.000416,0.001504,0.001184,0.000512,1.569196
0.127945,1.041544,0.084550,1.260343,0.017793,0.209455,0.005248,0.048452,0.001088,0.013761,0.000384,0.001696,0.001216,0.000384,1.564908
0.142313,1.044616,0.097607,1.290746,0.017697,0.209998,0.005121,0.048675,0.000832,0.014113,0.000416,0.001408,0.001408,0.000640,1.596143
0.134249,1.065514,0.084774,1.291193,0.017729,0.209519,0.005312,0.047876,0.001056,0.013793,0.000384,0.001504,0.001376,0.000416,1.595342
0.121768,1.039336,0.084774,1.251862,0.017761,0.209166,0.005216,0.049028,0.000832,0.013665,0.000384,0.001536,0.001120,0.000384,1.556235
0.102567,1.064458,0.086534,1.260343,0.017825,0.210383,0.005280,0.048451,0.000865,0.014081,0.000384,0.001696,0.001504,0.000608,1.566412
0.139466,1.042760,0.105224,1.293306,0.021409,0.209871,0.005152,0.048547,0.000864,0.013505,0.000448,0.001504,0.001408,0.000352,1.601455
0.113224,1.065546,0.094855,1.281209,0.018017,0.209487,0.005056,0.048771,0.000832,0.014049,0.000416,0.001536,0.001376,0.000544,1.586478
0.109415,1.045576,0.090886,1.252150,0.017986,0.209326,0.005184,0.048836,0.001088,0.014561,0.000448,0.001568,0.001472,0.000352,1.558219
