Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.432700,0.144042,0.607368,0.113831,0.868825,0.048899,0.000609,0.013760,0.000417,0.001568,0.001408,0.000384,1.375642
0.429212,0.120648,0.593479,0.087590,0.805749,0.050499,0.000576,0.013632,0.000417,0.001568,0.000896,0.000416,1.309046
0.430749,0.172011,0.601288,0.111047,0.888314,0.051267,0.000576,0.013825,0.000384,0.001472,0.001024,0.000384,1.394588
0.429917,0.110727,0.582150,0.118760,0.815605,0.050243,0.000672,0.013568,0.000416,0.001473,0.001408,0.000416,1.320343
0.429661,0.112167,0.582534,0.085670,0.784115,0.048611,0.000576,0.014017,0.000384,0.001536,0.000960,0.000320,1.286229
0.434077,0.112615,0.591879,0.093446,0.801652,0.048931,0.000704,0.013601,0.000384,0.001504,0.001056,0.000384,1.309494
0.428444,0.101574,0.580742,0.122792,0.808789,0.049251,0.000736,0.013569,0.000480,0.001536,0.001056,0.000352,1.310966
0.434108,0.112487,0.603624,0.077509,0.797588,0.049923,0.000576,0.014017,0.000416,0.001472,0.001152,0.000256,1.305557
0.430652,0.104742,0.599688,0.083749,0.792051,0.051012,0.000576,0.013569,0.000448,0.001504,0.001088,0.000384,1.297685
0.429596,0.102215,0.604264,0.086373,0.796948,0.051492,0.000672,0.013537,0.000480,0.001440,0.001152,0.000384,1.302165
0.432445,0.143241,0.602984,0.092934,0.843415,0.049987,0.000608,0.014017,0.000384,0.001441,0.001024,0.000832,1.351417
0.430236,0.130888,0.586342,0.080933,0.802068,0.050404,0.000608,0.013985,0.000480,0.001504,0.000960,0.000384,1.306965
0.430204,0.141961,0.624840,0.080518,0.851544,0.050051,0.000608,0.014081,0.000608,0.001440,0.006465,0.000640,1.365977
0.431388,0.119656,0.584902,0.090886,0.799636,0.048996,0.000896,0.014849,0.000416,0.001664,0.001344,0.000384,1.306037
0.428892,0.114151,0.583558,0.093862,0.795957,0.049603,0.000640,0.014177,0.000416,0.001632,0.001152,0.000416,1.299893
0.431837,0.115783,0.582439,0.088261,0.790323,0.049028,0.000608,0.013921,0.000416,0.001536,0.001216,0.000384,1.295861
0.428764,0.115944,0.584646,0.120392,0.824950,0.049763,0.000640,0.014209,0.000480,0.001441,0.001120,0.000384,1.328407
0.430236,0.112007,0.602344,0.084453,0.802965,0.048931,0.000672,0.013633,0.000480,0.001504,0.001120,0.000416,1.307157
0.429500,0.114759,0.584487,0.124200,0.827638,0.049987,0.000672,0.014689,0.000416,0.001568,0.001184,0.000417,1.333176
0.428668,0.119303,0.583302,0.133449,0.840375,0.049539,0.000672,0.014273,0.000480,0.001600,0.001120,0.000416,1.344152
0.444989,0.116423,0.584103,0.085669,0.790163,0.049444,0.000576,0.013665,0.000384,0.001536,0.001632,0.000384,1.309174
0.429724,0.114279,0.586822,0.085478,0.790612,0.048771,0.000672,0.014049,0.000448,0.001536,0.001216,0.000416,1.294548
0.429853,0.117191,0.609959,0.094023,0.825238,0.050787,0.000640,0.014049,0.000448,0.001504,0.001152,0.000416,1.330647
