Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428894,0.017345,0.209167,0.005056,0.048484,0.000800,0.013793,0.000384,0.001568,0.001088,0.000640,0.734483
0.429694,0.017569,0.230800,0.005312,0.048131,0.000608,0.013857,0.000320,0.001600,0.001376,0.000672,0.757940
0.430398,0.017537,0.209295,0.005120,0.048004,0.000832,0.014113,0.000384,0.001632,0.001120,0.000608,0.736243
0.431198,0.017633,0.209358,0.005408,0.048803,0.000800,0.013825,0.000384,0.001793,0.001152,0.000640,0.737971
0.431934,0.017378,0.208814,0.005088,0.047875,0.000832,0.013857,0.000416,0.001568,0.001344,0.000608,0.736307
0.431646,0.018177,0.231536,0.005248,0.047939,0.000576,0.013665,0.000640,0.001601,0.001088,0.000608,0.761109
0.430622,0.017473,0.208751,0.005280,0.048707,0.000832,0.013889,0.000385,0.001600,0.001280,0.000416,0.736211
0.430269,0.017473,0.208974,0.005505,0.048515,0.000832,0.013793,0.000352,0.001440,0.001184,0.000384,0.735475
0.430174,0.017602,0.210030,0.005249,0.048227,0.000576,0.014593,0.000384,0.001600,0.001504,0.000608,0.738196
0.429566,0.017537,0.230608,0.005505,0.047971,0.000608,0.014049,0.000640,0.001536,0.001440,0.000416,0.757909
0.430782,0.017761,0.210478,0.005121,0.048323,0.001024,0.014369,0.000384,0.001536,0.002400,0.000576,0.742516
0.429822,0.017666,0.209550,0.005057,0.048515,0.000864,0.014561,0.000608,0.001600,0.002144,0.000609,0.738836
0.430558,0.017697,0.209935,0.005216,0.047619,0.000768,0.014081,0.000385,0.001536,0.001216,0.000384,0.736819
0.430110,0.017794,0.232048,0.005248,0.048388,0.000608,0.013921,0.000608,0.001536,0.001120,0.000352,0.759637
0.429725,0.017601,0.209198,0.005089,0.048323,0.000832,0.014401,0.000416,0.001504,0.001216,0.000416,0.736115
0.429214,0.017633,0.209647,0.005248,0.048132,0.000864,0.013921,0.000416,0.001472,0.001152,0.000384,0.735219
0.431102,0.017634,0.209262,0.005088,0.047811,0.000832,0.013729,0.000352,0.001504,0.001280,0.000352,0.736627
0.429310,0.017858,0.228624,0.005376,0.048483,0.000576,0.013536,0.000641,0.001440,0.001088,0.000576,0.755477
0.429149,0.017601,0.208430,0.005313,0.047907,0.001024,0.013537,0.000384,0.001504,0.001248,0.000384,0.735571
0.429278,0.017633,0.208911,0.005216,0.047876,0.000800,0.013505,0.000576,0.001600,0.001184,0.000576,0.734419
0.429342,0.017442,0.209326,0.005088,0.048676,0.000800,0.013921,0.000448,0.001504,0.001184,0.000416,0.735475
0.429726,0.017633,0.229968,0.005217,0.047555,0.000608,0.014081,0.000608,0.001440,0.001057,0.000384,0.756309
0.430142,0.017409,0.209007,0.005056,0.048228,0.000832,0.013921,0.000384,0.001408,0.001088,0.000640,0.735379
0.430045,0.017409,0.209102,0.005153,0.048163,0.000832,0.014113,0.000352,0.001536,0.001056,0.000353,0.735059
0.429662,0.017666,0.209550,0.005185,0.048387,0.000832,0.013825,0.000384,0.001664,0.001152,0.000416,0.736371
0.431038,0.017345,0.228880,0.005216,0.048580,0.000800,0.014401,0.000608,0.001536,0.001152,0.000608,0.758164
0.429310,0.017889,0.208558,0.005089,0.047683,0.000864,0.014337,0.000608,0.001600,0.001120,0.000608,0.735187
0.428766,0.017697,0.208911,0.005216,0.048452,0.000832,0.013857,0.000384,0.001536,0.001120,0.000384,0.734035
0.429629,0.017537,0.208526,0.005409,0.048771,0.000768,0.015105,0.000608,0.001569,0.001088,0.000608,0.738067
0.430622,0.017826,0.230608,0.005376,0.048356,0.000832,0.014177,0.000384,0.001600,0.001056,0.000640,0.759349
0.429854,0.017602,0.209134,0.005185,0.048387,0.000576,0.014049,0.000416,0.001472,0.001088,0.000384,0.735315
