Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.446395,0.017441,0.209613,0.105990,0.149162,0.092837,0.351861,0.001536,0.000416,1.033535
0.428538,0.017473,0.209741,0.106855,0.156969,0.091622,0.359862,0.001696,0.000448,1.023870
0.429051,0.018049,0.209677,0.104166,0.149897,0.083461,0.341268,0.001505,0.000416,1.005310
0.429402,0.017665,0.229838,0.112199,0.150025,0.073637,0.340213,0.001568,0.000480,1.025118
0.427866,0.017569,0.209517,0.103622,0.156521,0.094726,0.358390,0.001600,0.000448,1.020638
0.428858,0.017345,0.208973,0.104326,0.149610,0.090629,0.348725,0.001728,0.000544,1.012189
0.428666,0.017569,0.209133,0.127880,0.152425,0.077573,0.361910,0.001696,0.000480,1.024894
0.428538,0.017634,0.209452,0.109479,0.150697,0.135369,0.399705,0.001696,0.000480,1.064641
0.430618,0.017697,0.209901,0.106407,0.155177,0.086854,0.351958,0.001536,0.000448,1.017566
0.429210,0.017601,0.210092,0.105607,0.173675,0.106118,0.389496,0.001536,0.000416,1.053760
0.428698,0.017825,0.209165,0.106022,0.155177,0.087109,0.352245,0.001633,0.000416,1.015902
0.428506,0.017633,0.209485,0.114503,0.147881,0.094022,0.360854,0.001664,0.000480,1.024830
0.428027,0.017537,0.208909,0.100454,0.151913,0.080293,0.336820,0.001440,0.000448,0.998877
0.427898,0.017697,0.208973,0.104839,0.153449,0.088102,0.350390,0.001504,0.000512,1.012574
0.429146,0.017633,0.209037,0.103942,0.147945,0.076229,0.331988,0.001536,0.000448,0.995452
0.428186,0.017601,0.208749,0.107527,0.145961,0.089221,0.346549,0.001536,0.000544,1.009054
0.430714,0.017793,0.209357,0.105703,0.143656,0.103590,0.357078,0.001472,0.000416,1.023038
0.428602,0.017665,0.208557,0.108935,0.150569,0.082693,0.346389,0.001568,0.000416,1.009854
0.428122,0.017697,0.210061,0.105478,0.158570,0.080165,0.348341,0.001664,0.000448,1.011837
0.445627,0.017857,0.209165,0.104358,0.143209,0.088390,0.339733,0.001568,0.000448,1.020158
0.428698,0.017505,0.208685,0.111751,0.154665,0.086342,0.356854,0.001760,0.000448,1.019518
0.427739,0.017697,0.208461,0.111302,0.156234,0.081541,0.353557,0.001440,0.000384,1.016286
0.450460,0.017601,0.209005,0.106726,0.155818,0.075429,0.341685,0.001504,0.000448,1.026911
0.428122,0.017761,0.208556,0.105318,0.155626,0.097990,0.362807,0.001664,0.000416,1.025695
0.428090,0.017569,0.208685,0.106503,0.145929,0.081605,0.337877,0.001600,0.000416,1.000029
0.428378,0.017601,0.226030,0.109062,0.151658,0.075812,0.340725,0.001536,0.000416,1.020799
0.428155,0.017569,0.208973,0.104806,0.145801,0.080677,0.335028,0.001504,0.000448,0.997757
0.428762,0.018369,0.209068,0.109479,0.154378,0.082533,0.350678,0.001408,0.000416,1.015070
0.428059,0.017665,0.210061,0.121735,0.151529,0.078436,0.357045,0.001537,0.000576,1.020383
0.428346,0.017665,0.209325,0.104838,0.157930,0.097606,0.364662,0.001664,0.000448,1.027999
0.427994,0.017858,0.208972,0.104551,0.151081,0.079557,0.339765,0.001568,0.000512,1.003869
0.428058,0.017921,0.208973,0.104806,0.164842,0.083429,0.356886,0.001568,0.000448,1.019230
0.427834,0.017825,0.208812,0.107239,0.156170,0.081765,0.348982,0.001504,0.000448,1.011070
0.428666,0.017601,0.209069,0.105063,0.156681,0.084901,0.350262,0.001664,0.000544,1.013246
0.428186,0.017697,0.208589,0.101702,0.148265,0.087077,0.340916,0.001665,0.000416,1.003518
0.428730,0.018370,0.208748,0.101447,0.149641,0.081157,0.335829,0.001536,0.000480,0.998877
0.428154,0.017537,0.208749,0.104807,0.152233,0.077605,0.338901,0.001568,0.000416,1.001629
0.429114,0.017889,0.208749,0.109478,0.148329,0.094117,0.355926,0.001568,0.000416,1.019358
