Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.431513,0.017825,0.209164,0.005024,0.049027,0.107207,0.094981,0.094502,0.300754,0.000768,1.020860
0.429146,0.017729,0.208684,0.005089,0.048898,0.107303,0.088933,0.083237,0.283313,0.000800,1.000571
0.428697,0.017537,0.208685,0.004992,0.062628,0.106566,0.089541,0.084037,0.283697,0.000768,1.014588
0.428697,0.017825,0.208812,0.004960,0.048515,0.106951,0.083173,0.077668,0.271600,0.000832,0.987291
0.432217,0.017857,0.209420,0.004928,0.048835,0.101670,0.082917,0.078277,0.266960,0.000832,0.987962
0.428921,0.017825,0.209644,0.004864,0.049411,0.106247,0.088933,0.101222,0.300178,0.000640,1.018236
0.429850,0.017601,0.209036,0.004928,0.049123,0.104103,0.082533,0.114534,0.305074,0.000801,1.022749
0.429690,0.018049,0.209164,0.004960,0.049379,0.100422,0.088773,0.079685,0.272592,0.000928,0.990683
0.429818,0.017921,0.209037,0.004928,0.049091,0.103526,0.083493,0.088005,0.278896,0.000736,0.996827
0.428761,0.017825,0.208525,0.005120,0.049251,0.096326,0.083461,0.074532,0.257935,0.000800,0.973945
0.428698,0.017825,0.209164,0.005057,0.049539,0.098949,0.084101,0.104390,0.291121,0.000672,1.008252
0.429018,0.017697,0.209516,0.004865,0.048899,0.105830,0.082597,0.111238,0.303346,0.000768,1.020925
0.447290,0.018049,0.208429,0.004832,0.049379,0.109766,0.089349,0.085925,0.289201,0.000704,1.025116
0.430009,0.017697,0.209292,0.004960,0.049059,0.103239,0.085093,0.081541,0.273553,0.000704,0.991995
0.428762,0.017569,0.209868,0.005057,0.049507,0.113350,0.088389,0.089061,0.294801,0.000896,1.013660
0.443547,0.017537,0.209196,0.005057,0.049218,0.108294,0.097158,0.074916,0.284369,0.000736,1.017116
0.428665,0.017665,0.208620,0.004928,0.048195,0.113959,0.088133,0.084901,0.290833,0.000800,1.006524
0.428825,0.017921,0.209709,0.004960,0.049091,0.107911,0.086885,0.113639,0.311763,0.000768,1.029501
0.428697,0.017633,0.231854,0.005216,0.049539,0.103750,0.083205,0.112423,0.303058,0.000704,1.043229
0.428249,0.017921,0.208524,0.004864,0.049667,0.104614,0.081509,0.082309,0.272240,0.000768,0.988442
0.429433,0.017473,0.209101,0.004960,0.049411,0.102470,0.082565,0.086597,0.275824,0.000928,0.993946
0.429465,0.017761,0.208748,0.005056,0.049251,0.105254,0.112327,0.079589,0.301842,0.000768,1.019932
0.429529,0.017697,0.209068,0.005088,0.048547,0.107207,0.090437,0.075909,0.277489,0.000768,0.994939
0.429497,0.017729,0.208716,0.005120,0.049251,0.098598,0.087205,0.082853,0.271856,0.000864,0.988954
0.429146,0.017889,0.208780,0.004961,0.049251,0.107398,0.087109,0.119911,0.318386,0.000928,1.036350
0.430105,0.017665,0.208972,0.004928,0.048931,0.100166,0.088486,0.077028,0.269136,0.000768,0.986522
0.428921,0.017953,0.208556,0.005152,0.049123,0.102726,0.089445,0.115783,0.311347,0.000736,1.028221
0.430938,0.017633,0.208525,0.005056,0.050019,0.105734,0.090214,0.088165,0.287761,0.000864,1.007132
