Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.465820,0.017505,0.208652,0.004896,0.047267,0.000576,0.013473,0.125095,0.068964,0.067492,0.265007,0.002049,0.000928,0.000384,1.033181
0.429753,0.017569,0.208524,0.004864,0.047011,0.000576,0.013409,0.099462,0.065540,0.103878,0.272112,0.002112,0.000928,0.000384,1.003994
0.429593,0.017409,0.209260,0.005120,0.047043,0.000608,0.013473,0.099110,0.064995,0.071076,0.238638,0.001952,0.001120,0.000352,0.971385
0.431321,0.017537,0.230062,0.005344,0.047331,0.000576,0.013473,0.102342,0.066788,0.071332,0.243950,0.002048,0.001216,0.000417,1.001787
0.430585,0.017313,0.209484,0.004865,0.046978,0.000576,0.013473,0.098630,0.067236,0.072836,0.241806,0.002016,0.001025,0.000416,0.975609
0.428857,0.017345,0.208940,0.004897,0.047138,0.000640,0.013537,0.105318,0.066948,0.079365,0.254991,0.002208,0.001184,0.000480,0.987098
0.429689,0.017377,0.209004,0.004832,0.047331,0.000608,0.013441,0.098886,0.065252,0.072388,0.239726,0.002048,0.000960,0.000416,0.973048
0.429817,0.017473,0.208876,0.004865,0.047010,0.000608,0.013569,0.103718,0.065028,0.074053,0.246703,0.002048,0.001280,0.000416,0.980441
0.430073,0.017762,0.208812,0.004960,0.047939,0.000768,0.013761,0.109222,0.065636,0.076165,0.254639,0.002432,0.001152,0.000416,0.991002
0.428761,0.017665,0.208556,0.004832,0.048739,0.000608,0.013441,0.100550,0.065092,0.077637,0.246639,0.002656,0.001248,0.000480,0.981049
0.445530,0.017569,0.208589,0.004864,0.048995,0.000544,0.013473,0.106214,0.063012,0.073412,0.245870,0.002144,0.001088,0.000448,0.996378
0.428985,0.017409,0.208588,0.004992,0.047363,0.000544,0.013505,0.101670,0.066276,0.080229,0.251279,0.002016,0.001056,0.000416,0.983993
0.428569,0.017601,0.208844,0.004896,0.047138,0.000544,0.013473,0.099142,0.066564,0.072004,0.240846,0.001984,0.001120,0.000353,0.972153
0.428825,0.017473,0.226733,0.005024,0.047235,0.000544,0.013569,0.101254,0.065188,0.068132,0.238030,0.002016,0.001120,0.000448,0.988218
0.428441,0.017281,0.208589,0.005056,0.047107,0.000544,0.013569,0.108070,0.064740,0.070020,0.246222,0.002016,0.001056,0.000384,0.977337
0.429337,0.017313,0.208428,0.004865,0.047171,0.000512,0.013408,0.103046,0.066116,0.072613,0.244783,0.002112,0.001184,0.000480,0.976665
0.430201,0.017345,0.208621,0.005088,0.047011,0.000544,0.013441,0.109382,0.066148,0.070468,0.249070,0.002048,0.001024,0.000384,0.981657
0.428761,0.017473,0.208940,0.005088,0.047139,0.000576,0.013505,0.101990,0.065156,0.077348,0.247982,0.002209,0.001216,0.000352,0.981114
0.428729,0.017441,0.208620,0.005185,0.046978,0.000577,0.013472,0.098822,0.063940,0.069604,0.235694,0.002112,0.001184,0.000384,0.967576
0.428793,0.017313,0.208620,0.004864,0.047363,0.000576,0.013473,0.099590,0.065476,0.070500,0.238990,0.002272,0.001088,0.000448,0.970584
0.428633,0.018273,0.208684,0.005152,0.047139,0.000576,0.013537,0.106150,0.065764,0.072837,0.248303,0.002240,0.001056,0.000384,0.982297
0.428665,0.017377,0.208940,0.005089,0.047074,0.000576,0.013537,0.099846,0.065284,0.071556,0.240334,0.002240,0.001152,0.000416,0.972249
0.429625,0.017697,0.208844,0.004929,0.047074,0.000576,0.013568,0.100070,0.065348,0.075077,0.244655,0.002080,0.001088,0.000416,0.977625
0.448251,0.017633,0.209612,0.005408,0.046979,0.000544,0.013505,0.096966,0.058691,0.069508,0.228717,0.002017,0.001024,0.000512,0.982106
0.428985,0.017377,0.209261,0.004768,0.046979,0.000576,0.013537,0.100229,0.064899,0.078629,0.246990,0.002112,0.001024,0.000416,0.979577
0.431257,0.017601,0.208652,0.004865,0.046946,0.000640,0.013505,0.099718,0.065828,0.077477,0.246255,0.002304,0.001024,0.000416,0.979961
0.429017,0.017441,0.227726,0.005088,0.046947,0.000640,0.013537,0.103878,0.064196,0.073188,0.245070,0.002208,0.000992,0.000384,0.997786
0.429305,0.017313,0.208877,0.005056,0.047043,0.000608,0.013505,0.098885,0.063076,0.071268,0.236685,0.002081,0.000992,0.000416,0.969753
0.428857,0.017409,0.209772,0.004929,0.047170,0.000608,0.013504,0.099174,0.065540,0.071300,0.239438,0.002080,0.001217,0.000416,0.972505
0.432697,0.017505,0.208940,0.004865,0.046946,0.000608,0.013409,0.096614,0.059939,0.070372,0.230286,0.002368,0.001024,0.000448,0.966136
0.428377,0.017537,0.208493,0.005152,0.046979,0.000512,0.013504,0.100005,0.064612,0.076069,0.244047,0.002048,0.001280,0.000352,0.975321
0.427897,0.017633,0.208908,0.004896,0.046979,0.000576,0.013537,0.101382,0.066436,0.073828,0.244910,0.002113,0.000992,0.000384,0.976153
0.427993,0.017473,0.208844,0.004928,0.047075,0.000800,0.013537,0.099494,0.065860,0.099718,0.268400,0.002080,0.001088,0.000416,0.999738
0.444090,0.017505,0.208748,0.004897,0.047010,0.000576,0.013537,0.106791,0.065091,0.078341,0.253775,0.002464,0.001184,0.000512,1.003866
