Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428411,0.107527,0.635753,0.077669,0.824949,0.015489,0.000448,0.001536,0.001024,0.000480,1.277299
0.428347,0.113991,0.633033,0.077541,0.828501,0.014465,0.000512,0.001441,0.001120,0.000480,1.280819
0.444477,0.109927,0.632841,0.091110,0.837718,0.016065,0.000512,0.001600,0.001121,0.000352,1.307061
0.428060,0.105159,0.635337,0.085894,0.830326,0.014945,0.000512,0.001472,0.001024,0.000416,1.282387
0.428380,0.112200,0.643369,0.101511,0.861688,0.015393,0.000480,0.001568,0.001120,0.000417,1.314550
0.428700,0.132265,0.635625,0.075589,0.847095,0.014209,0.000480,0.001472,0.001248,0.000481,1.298069
0.428700,0.108103,0.633642,0.084261,0.829814,0.015297,0.000480,0.001504,0.001153,0.000480,1.282548
0.430012,0.108167,0.654858,0.080390,0.847639,0.015873,0.000480,0.001472,0.001120,0.000384,1.302964
0.428156,0.136137,0.638218,0.081957,0.860440,0.015105,0.000480,0.001568,0.001025,0.000448,1.312278
0.429308,0.112168,0.637577,0.101575,0.855192,0.015617,0.000480,0.001504,0.001120,0.000480,1.309301
0.429052,0.104231,0.633801,0.099046,0.840790,0.014656,0.000481,0.001504,0.000960,0.000416,1.293172
0.429436,0.104231,0.640074,0.083045,0.831382,0.015041,0.000544,0.001473,0.001120,0.000448,1.285332
0.428828,0.105351,0.655274,0.079398,0.844375,0.014401,0.000480,0.001504,0.001056,0.000448,1.296212
0.428252,0.111975,0.638026,0.080517,0.835126,0.014817,0.000448,0.001472,0.001120,0.000480,1.288499
0.428028,0.108103,0.637897,0.079654,0.829494,0.014369,0.000480,0.001504,0.001056,0.000384,1.280307
0.446461,0.114792,0.631625,0.086982,0.837239,0.015009,0.000448,0.001472,0.001056,0.000416,1.307733
0.428124,0.107143,0.635241,0.110535,0.856760,0.015009,0.000576,0.001472,0.001248,0.000512,1.308757
0.428636,0.108328,0.661803,0.079365,0.853720,0.015233,0.000448,0.001536,0.001088,0.000448,1.306869
0.428092,0.107815,0.639817,0.082661,0.834166,0.015009,0.000480,0.001440,0.001216,0.000448,1.286035
0.427996,0.114600,0.638505,0.080293,0.837591,0.015201,0.000448,0.001536,0.001248,0.000384,1.290260
0.428156,0.138537,0.638474,0.085222,0.866425,0.015617,0.000512,0.001504,0.001152,0.000480,1.319222
0.428827,0.102246,0.631977,0.081094,0.819765,0.014689,0.000480,0.001376,0.001152,0.000480,1.272178
0.427964,0.106471,0.634857,0.077989,0.823477,0.014401,0.000480,0.001408,0.001217,0.000448,1.275155
0.429116,0.112520,0.636009,0.086918,0.839703,0.015969,0.000512,0.001472,0.001184,0.000480,1.294708
0.428859,0.109735,0.635785,0.076485,0.826581,0.015649,0.000512,0.001536,0.001249,0.000416,1.280019
0.428988,0.138953,0.665067,0.081990,0.890202,0.014689,0.000512,0.001472,0.001152,0.000480,1.342839
0.429020,0.135785,0.637289,0.086118,0.863352,0.015393,0.000512,0.001408,0.001216,0.000480,1.316725
0.434332,0.145033,0.635657,0.079493,0.864568,0.015073,0.000448,0.001536,0.001152,0.000384,1.322998
0.446941,0.108519,0.639241,0.078662,0.830550,0.015457,0.000544,0.001472,0.001024,0.000480,1.302036
0.427868,0.110503,0.637065,0.076388,0.828182,0.015745,0.000480,0.001504,0.000896,0.000448,1.281587
0.427868,0.108519,0.657739,0.090502,0.861208,0.016353,0.000512,0.001440,0.001216,0.000384,1.314293
