Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429404,0.148938,0.653131,0.080773,0.887354,0.000992,0.015809,0.000384,0.001569,0.001024,0.000512,1.344152
0.427708,0.111496,0.635977,0.096039,0.847928,0.000864,0.014433,0.000320,0.001408,0.001216,0.000416,1.300181
0.428188,0.146506,0.637962,0.091686,0.880506,0.000992,0.015201,0.000384,0.001600,0.001184,0.000448,1.335511
0.448125,0.148010,0.636681,0.085606,0.874841,0.001280,0.015457,0.000608,0.001728,0.002976,0.000321,1.355577
0.429468,0.110439,0.639754,0.121800,0.875609,0.000928,0.015425,0.000704,0.001632,0.001504,0.000352,1.332631
0.428892,0.112999,0.650667,0.079941,0.847575,0.001312,0.016289,0.000576,0.001536,0.001057,0.000416,1.303637
0.429148,0.108263,0.635593,0.126856,0.875641,0.001088,0.015297,0.000320,0.001632,0.000992,0.000416,1.331575
0.429020,0.110695,0.636361,0.085797,0.836854,0.001120,0.015425,0.000608,0.001440,0.001152,0.000416,1.292565
0.450270,0.137097,0.647498,0.102822,0.892218,0.001568,0.015489,0.000384,0.001856,0.002624,0.000416,1.375834
0.432572,0.111079,0.640330,0.103334,0.858776,0.001152,0.014945,0.000384,0.001728,0.001728,0.000448,1.317718
0.430524,0.115111,0.661163,0.092070,0.872825,0.001024,0.014913,0.000352,0.001568,0.001056,0.000672,1.330102
0.430652,0.112007,0.639882,0.085478,0.841751,0.000992,0.015169,0.000352,0.001568,0.001472,0.000416,1.298900
0.430012,0.110887,0.639146,0.095174,0.850455,0.001248,0.015873,0.000576,0.001889,0.001056,0.000352,1.309430
0.444701,0.113639,0.634057,0.080133,0.832918,0.001792,0.016322,0.000544,0.001760,0.000992,0.000512,1.305557
0.429916,0.114855,0.639146,0.128264,0.886489,0.001025,0.015873,0.000416,0.001536,0.001632,0.000384,1.344632
0.428700,0.110151,0.653259,0.085669,0.853463,0.001441,0.015937,0.000608,0.001440,0.001056,0.000384,1.309237
