Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.428729,0.017313,0.208908,0.004961,0.047138,0.000608,0.013376,0.000416,0.119431,0.068324,0.057220,0.248335,0.975897
0.429305,0.017409,0.208780,0.004992,0.047203,0.000576,0.013409,0.000416,0.102918,0.071908,0.059428,0.237582,0.966200
0.429369,0.017281,0.208332,0.004865,0.047202,0.000544,0.013376,0.000416,0.100902,0.072357,0.056483,0.232942,0.960120
0.428856,0.017345,0.208908,0.004832,0.047235,0.000544,0.013505,0.000448,0.100998,0.069956,0.056867,0.231437,0.960055
0.428824,0.017313,0.209612,0.004832,0.046979,0.000544,0.013473,0.000448,0.100870,0.068260,0.057027,0.229677,0.958039
0.429049,0.017281,0.208492,0.004833,0.047330,0.000512,0.013473,0.000384,0.099078,0.071108,0.057092,0.230670,0.958008
0.428601,0.017441,0.208812,0.005024,0.047522,0.000544,0.013441,0.000416,0.102310,0.068740,0.057092,0.231470,0.959320
0.450970,0.017281,0.208428,0.005121,0.047170,0.000608,0.013440,0.000448,0.104646,0.070788,0.057347,0.236014,0.987129
0.429177,0.017345,0.208524,0.004896,0.047491,0.000608,0.013441,0.000448,0.102630,0.070052,0.055971,0.231693,0.959639
0.428921,0.017345,0.208300,0.004896,0.047619,0.000576,0.013409,0.000416,0.095173,0.070436,0.057444,0.226573,0.954135
0.429145,0.017281,0.208236,0.004800,0.047619,0.000608,0.013345,0.000416,0.121927,0.069380,0.056227,0.250991,0.978201
0.428537,0.017537,0.208652,0.005025,0.047586,0.000608,0.014016,0.000416,0.100998,0.071044,0.057156,0.232430,0.961656
0.428537,0.017313,0.208236,0.004896,0.047235,0.000544,0.013409,0.000416,0.094629,0.070596,0.057091,0.225517,0.951863
0.428921,0.017410,0.208140,0.004896,0.047779,0.000576,0.013377,0.000416,0.100517,0.070276,0.056483,0.230733,0.959672
