Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430459,0.017505,0.108647,0.638920,0.078757,0.830164,0.000832,0.002784,0.001345,0.000448,1.289233
0.430779,0.017633,0.107143,0.627879,0.083654,0.822644,0.000800,0.002528,0.001184,0.000512,1.282000
0.429115,0.017729,0.103719,0.627399,0.081957,0.816755,0.000704,0.002273,0.001216,0.000448,1.273648
0.429403,0.017505,0.103974,0.642888,0.080549,0.832020,0.000832,0.002240,0.001249,0.000448,1.289841
0.431035,0.017665,0.105767,0.627559,0.098375,0.835381,0.000768,0.002816,0.001376,0.000384,1.295697
0.429659,0.017537,0.103239,0.626599,0.077061,0.810963,0.000736,0.002784,0.001312,0.000480,1.269392
0.446428,0.017697,0.107463,0.626152,0.077348,0.814868,0.000832,0.002912,0.001376,0.000480,1.290801
0.429275,0.017665,0.104006,0.626055,0.074788,0.808690,0.000768,0.002241,0.001120,0.000448,1.266032
0.430427,0.017473,0.107782,0.658474,0.080325,0.850678,0.000736,0.002432,0.001216,0.000480,1.309554
0.429307,0.017634,0.104198,0.626728,0.076292,0.810963,0.000832,0.002304,0.001440,0.000416,1.268720
0.428987,0.017793,0.104903,0.623015,0.081605,0.813523,0.000992,0.003360,0.001216,0.000480,1.272080
0.430619,0.017474,0.124903,0.625352,0.076101,0.830132,0.000864,0.003328,0.001440,0.000512,1.290225
0.428922,0.017633,0.101158,0.627112,0.084805,0.816787,0.000768,0.003232,0.001344,0.000448,1.275632
0.428666,0.017729,0.102214,0.628072,0.077541,0.811731,0.000672,0.003264,0.001376,0.000384,1.269648
0.429083,0.017666,0.105478,0.637288,0.081829,0.828212,0.000768,0.003328,0.001600,0.000416,1.286609
0.429179,0.017537,0.099015,0.631751,0.077221,0.812147,0.000800,0.002433,0.001216,0.000512,1.270000
0.430203,0.017601,0.098662,0.657706,0.081125,0.842805,0.000832,0.002528,0.001088,0.000449,1.301586
0.429019,0.017473,0.096838,0.620775,0.088581,0.810099,0.000704,0.002304,0.001184,0.000448,1.267216
0.429019,0.017761,0.113672,0.629159,0.080517,0.827444,0.000928,0.002369,0.001376,0.000480,1.285361
0.447260,0.017697,0.107911,0.628295,0.082438,0.822516,0.000832,0.003360,0.001344,0.000736,1.300881
0.429595,0.017537,0.107783,0.629096,0.083877,0.824660,0.000768,0.002944,0.001504,0.000704,1.283761
0.428571,0.017506,0.107942,0.645545,0.075461,0.833012,0.000800,0.003232,0.001312,0.000544,1.291569
0.428955,0.017729,0.105574,0.623304,0.079717,0.812275,0.000768,0.003360,0.001120,0.000448,1.271184
0.431003,0.017761,0.110919,0.628584,0.081541,0.824884,0.000832,0.002784,0.001249,0.000416,1.285873
0.430203,0.017762,0.126664,0.624519,0.084773,0.839636,0.000672,0.002208,0.001312,0.000448,1.298386
0.428794,0.017601,0.104006,0.624552,0.083749,0.815859,0.000800,0.003328,0.001376,0.000513,1.275440
0.428987,0.017537,0.105767,0.626343,0.088134,0.824756,0.001088,0.003136,0.001153,0.000448,1.284465
0.429402,0.017601,0.105830,0.625768,0.083781,0.819059,0.000864,0.003424,0.001280,0.000480,1.278320
0.430267,0.017601,0.109671,0.629832,0.082437,0.826132,0.000864,0.003329,0.001216,0.000416,1.286449
0.429755,0.017730,0.110631,0.647048,0.076069,0.838324,0.000800,0.003361,0.001280,0.000512,1.299218
0.429211,0.017473,0.107015,0.627847,0.078661,0.817107,0.000704,0.003233,0.001344,0.000448,1.275440
0.429595,0.017537,0.107366,0.626056,0.076069,0.813043,0.000832,0.003264,0.001280,0.000672,1.272080
0.450140,0.017441,0.110695,0.626631,0.077445,0.818579,0.000704,0.003232,0.001216,0.000449,1.297714
0.429115,0.017793,0.102439,0.624519,0.080613,0.811123,0.000704,0.003072,0.001440,0.000384,1.270128
0.430523,0.017537,0.106375,0.646665,0.080421,0.837685,0.000704,0.003232,0.001344,0.000896,1.298289
0.428666,0.017537,0.104838,0.623432,0.075588,0.807730,0.000768,0.003328,0.001216,0.000448,1.265839
0.430971,0.017633,0.108071,0.627399,0.086278,0.825812,0.000928,0.005664,0.001248,0.000448,1.289168
0.429179,0.017569,0.127144,0.642121,0.084069,0.857366,0.000832,0.003232,0.001152,0.000480,1.316467
0.429211,0.017345,0.108711,0.626344,0.088677,0.827284,0.000864,0.003425,0.001312,0.000416,1.285681
0.430651,0.017633,0.103622,0.627912,0.079717,0.814803,0.000832,0.002368,0.001184,0.000480,1.273968
0.429050,0.017953,0.107527,0.627527,0.075781,0.814803,0.000800,0.003232,0.001312,0.000448,1.274031
0.429179,0.018274,0.103910,0.627784,0.076901,0.812275,0.000736,0.003328,0.001312,0.000480,1.271408
0.429210,0.017697,0.106598,0.646664,0.076261,0.833684,0.000800,0.002368,0.001312,0.000512,1.291217
0.430171,0.017697,0.106503,0.628456,0.083621,0.822580,0.000800,0.003392,0.001312,0.000384,1.282993
