Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428474,0.017569,0.208461,0.004896,0.106598,0.137193,0.091365,0.338548,0.000768,0.002305,0.001248,0.000416,1.009277
0.429114,0.017762,0.230797,0.005376,0.101702,0.131464,0.081125,0.318035,0.000832,0.002432,0.001216,0.000640,1.013501
0.428634,0.017569,0.208845,0.005056,0.104262,0.136681,0.120007,0.365142,0.000768,0.002496,0.001152,0.000384,1.036318
0.428986,0.017793,0.208332,0.005089,0.112678,0.139369,0.122759,0.378870,0.000832,0.002401,0.001184,0.000608,1.050848
0.429402,0.017633,0.209197,0.004928,0.126536,0.159145,0.082501,0.372471,0.000896,0.002720,0.001280,0.000704,1.046495
0.429402,0.017697,0.208428,0.005057,0.106662,0.152810,0.087717,0.352981,0.000928,0.002816,0.001281,0.000640,1.027550
0.428570,0.017633,0.208300,0.005025,0.110726,0.134888,0.126247,0.375510,0.000864,0.003328,0.001248,0.000672,1.049023
0.429530,0.017569,0.208748,0.005217,0.107142,0.175883,0.085221,0.373622,0.000928,0.002912,0.001249,0.000704,1.049312
0.428858,0.018274,0.209516,0.005057,0.111494,0.135913,0.087973,0.338900,0.000800,0.003872,0.001376,0.000609,1.014846
0.428474,0.017825,0.209069,0.005056,0.104519,0.138056,0.086309,0.334068,0.000928,0.002400,0.001344,0.000512,1.008157
0.428538,0.017569,0.208589,0.005120,0.116615,0.144969,0.127688,0.393304,0.000768,0.005632,0.001120,0.000417,1.068289
0.428762,0.017793,0.209837,0.004864,0.106726,0.145193,0.076965,0.333268,0.000896,0.002592,0.001312,0.000448,1.007293
0.429626,0.017633,0.208717,0.005024,0.107271,0.133416,0.118407,0.362870,0.000832,0.002304,0.001216,0.000640,1.035839
0.430074,0.017505,0.209069,0.005152,0.107110,0.138696,0.115111,0.364950,0.000864,0.002240,0.001344,0.000608,1.038910
0.429849,0.017633,0.209644,0.005185,0.104550,0.151689,0.094598,0.354773,0.000768,0.003328,0.001345,0.000608,1.031102
0.429210,0.017473,0.209485,0.005440,0.108934,0.140233,0.097318,0.350230,0.000736,0.002528,0.001376,0.000672,1.023902
0.429306,0.017601,0.209197,0.005184,0.111687,0.139592,0.086886,0.341941,0.000736,0.002912,0.001408,0.000448,1.016445
0.430906,0.017825,0.208812,0.005217,0.108102,0.140073,0.085285,0.337268,0.000736,0.003232,0.001344,0.000641,1.013085
0.430202,0.017761,0.208140,0.005057,0.108774,0.134664,0.084229,0.331444,0.000864,0.002976,0.001376,0.000640,1.005885
0.431770,0.017697,0.208973,0.005152,0.110503,0.154633,0.083813,0.352693,0.000928,0.002593,0.001408,0.000384,1.028574
0.449435,0.017921,0.208941,0.005088,0.105415,0.140936,0.114759,0.365078,0.000768,0.003137,0.001376,0.000608,1.059328
0.430170,0.018241,0.208909,0.005024,0.104775,0.134120,0.117191,0.359574,0.000896,0.002496,0.001152,0.000640,1.033566
0.428890,0.017601,0.209005,0.004864,0.109191,0.137864,0.129320,0.380247,0.000800,0.002592,0.001440,0.000704,1.053407
0.449883,0.017537,0.209229,0.005056,0.105990,0.137833,0.114631,0.362294,0.000992,0.003264,0.001312,0.000672,1.056927
0.429978,0.017697,0.208909,0.005184,0.100838,0.137481,0.124935,0.369111,0.000960,0.002656,0.001312,0.000704,1.045695
