Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.428921,0.017377,0.208237,0.005056,0.049091,0.000608,0.013441,0.105254,0.072452,0.059172,0.239982,0.969049
0.427993,0.017473,0.209164,0.005089,0.049923,0.000608,0.014081,0.100069,0.089765,0.069668,0.262831,0.993178
0.428601,0.017345,0.208941,0.004928,0.047555,0.000576,0.013505,0.103974,0.073028,0.057699,0.237741,0.965432
0.428825,0.017377,0.208652,0.005345,0.047682,0.000641,0.013504,0.093126,0.066308,0.059587,0.222349,0.950807
0.428377,0.017601,0.208940,0.005121,0.048194,0.000608,0.013537,0.100358,0.071620,0.061572,0.237102,0.966008
0.445722,0.017473,0.208428,0.005089,0.047554,0.000576,0.013569,0.106022,0.071973,0.056131,0.237870,0.982585
0.428376,0.017377,0.208876,0.005312,0.047779,0.000608,0.013601,0.101542,0.071876,0.058275,0.235278,0.963288
0.428153,0.017505,0.208844,0.004896,0.047683,0.000640,0.013473,0.107014,0.067364,0.054276,0.232366,0.960984
0.446298,0.017473,0.209197,0.005312,0.050083,0.000640,0.013473,0.099718,0.066372,0.072644,0.242126,0.991034
0.429785,0.017473,0.208908,0.005088,0.048419,0.000608,0.013569,0.104934,0.072420,0.058180,0.238862,0.969977
0.429081,0.017601,0.208684,0.005344,0.050563,0.000608,0.013793,0.105094,0.072389,0.060195,0.241262,0.973400
0.430041,0.017377,0.209037,0.005056,0.069796,0.000704,0.013633,0.095717,0.072932,0.063012,0.235150,0.987994
0.428057,0.017505,0.208748,0.005056,0.049731,0.000640,0.013441,0.102886,0.072388,0.057603,0.236686,0.966072
0.429945,0.017761,0.210636,0.005153,0.049923,0.000576,0.014080,0.102118,0.071877,0.064547,0.241679,0.976281
0.428472,0.017409,0.208908,0.005088,0.050147,0.000576,0.013505,0.101254,0.065764,0.054403,0.224909,0.955448
0.428537,0.017441,0.208620,0.005152,0.048131,0.000576,0.013921,0.102790,0.072644,0.059492,0.238222,0.966456
0.428697,0.017569,0.208876,0.005121,0.048515,0.000576,0.013568,0.104167,0.071940,0.060195,0.239726,0.969080
0.428441,0.017729,0.209132,0.004960,0.048931,0.000576,0.013633,0.108006,0.073701,0.060323,0.246574,0.977624
0.448922,0.017634,0.208204,0.005248,0.048867,0.000608,0.013889,0.105926,0.068996,0.056163,0.234125,0.984025
0.428441,0.017377,0.208716,0.004928,0.048739,0.000608,0.013601,0.102214,0.070788,0.060420,0.236878,0.966520
0.428153,0.017409,0.208973,0.005024,0.050435,0.000608,0.014113,0.105894,0.071556,0.055556,0.236398,0.967609
0.428153,0.017505,0.227917,0.005184,0.051074,0.000576,0.014016,0.100294,0.071364,0.060099,0.235086,0.986297
0.428377,0.017377,0.208556,0.005056,0.048643,0.000576,0.013793,0.102950,0.072228,0.060196,0.238670,0.967608
0.429433,0.017537,0.208492,0.005152,0.049891,0.000576,0.013825,0.111110,0.078885,0.056995,0.250670,0.982714
