Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.429242,0.017505,0.208685,0.005184,0.097478,0.132104,0.057699,0.290866,0.957050
0.428473,0.017569,0.209132,0.005184,0.100646,0.152905,0.062948,0.320339,0.986459
0.429657,0.017570,0.208940,0.005152,0.099078,0.136297,0.059427,0.298418,0.964921
0.428090,0.017633,0.208877,0.005280,0.107590,0.137320,0.058915,0.307474,0.973466
0.429274,0.017569,0.208749,0.005344,0.104487,0.136584,0.058691,0.303186,0.970426
0.429274,0.017633,0.208717,0.005440,0.112295,0.137928,0.059588,0.314195,0.981339
0.428730,0.017793,0.208653,0.005024,0.107110,0.140584,0.060580,0.311603,0.977499
0.428282,0.017601,0.209036,0.004897,0.103718,0.139272,0.058564,0.304818,0.970362
0.447003,0.017633,0.208557,0.005120,0.104966,0.141577,0.059012,0.309107,0.993052
0.430201,0.017793,0.208492,0.005344,0.102183,0.139720,0.058788,0.304339,0.971514
0.429306,0.017857,0.208716,0.005153,0.107174,0.140680,0.059427,0.310898,0.977690
0.428794,0.017857,0.228686,0.005568,0.107111,0.139784,0.059620,0.309907,0.996956
0.428186,0.017633,0.208301,0.005312,0.101510,0.140009,0.062787,0.307858,0.972475
0.428506,0.017985,0.208557,0.005504,0.110343,0.140744,0.060708,0.315891,0.982715
0.429241,0.017729,0.209933,0.005312,0.107175,0.164778,0.068484,0.344373,1.012444
0.428697,0.017697,0.208716,0.005216,0.108135,0.138216,0.058788,0.309555,0.977114
0.428762,0.017633,0.209516,0.005312,0.105510,0.140489,0.060483,0.310098,0.976602
0.429849,0.017602,0.208716,0.005280,0.106055,0.142504,0.060420,0.312659,0.979354
0.428794,0.017729,0.209004,0.005313,0.106470,0.140776,0.061219,0.311826,0.978042
0.429370,0.017601,0.208877,0.005312,0.106311,0.139784,0.057923,0.307539,0.973883
0.429402,0.017697,0.208877,0.005248,0.107527,0.143464,0.060740,0.315635,0.982715
0.447259,0.017601,0.209421,0.005216,0.103430,0.138953,0.058883,0.305490,0.990908
0.429978,0.017633,0.209517,0.005344,0.102086,0.142921,0.060516,0.309075,0.977115
0.428794,0.017633,0.209293,0.005024,0.105254,0.141224,0.059492,0.309779,0.976571
0.430554,0.017921,0.232430,0.005473,0.109990,0.145897,0.059684,0.319187,1.011869
0.432954,0.017921,0.209453,0.005280,0.113671,0.140744,0.060483,0.319475,0.992987
0.429945,0.017666,0.209004,0.005344,0.107335,0.140488,0.060260,0.311603,0.979226
0.429850,0.017665,0.208588,0.005281,0.122567,0.138184,0.057123,0.321427,0.988027
0.428762,0.017601,0.209164,0.005153,0.101638,0.139816,0.059044,0.304178,0.969690
0.428698,0.017665,0.207916,0.005185,0.104422,0.149705,0.059844,0.317715,0.982651
0.429593,0.017762,0.208172,0.005120,0.099078,0.135208,0.056228,0.293842,0.959545
