IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.106791,1.594028,0.081605,1.788281,0.000832,0.014369,0.000576,0.001472,0.001056,0.000384,1.810491
0.102342,1.618029,0.081541,1.807674,0.000768,0.014401,0.000608,0.001504,0.001089,0.000416,1.829885
0.100647,1.588972,0.075205,1.771064,0.000960,0.015617,0.000353,0.001504,0.001088,0.000416,1.794970
0.106567,1.611725,0.081990,1.806811,0.000864,0.015585,0.000608,0.001408,0.001216,0.000384,1.830844
0.108775,1.596141,0.078917,1.791801,0.001153,0.015553,0.000608,0.001728,0.001248,0.000352,1.816475
0.104615,1.617838,0.082502,1.812347,0.000896,0.016449,0.000352,0.001536,0.001153,0.000416,1.837597
0.104615,1.596268,0.077541,1.785433,0.000896,0.015681,0.000832,0.001504,0.001088,0.000417,1.809723
0.103047,1.610861,0.116936,1.836860,0.000928,0.015617,0.000832,0.001536,0.001024,0.000448,1.860670
0.137609,1.595693,0.079717,1.819355,0.000800,0.015873,0.000576,0.001408,0.001120,0.000416,1.843293
0.103911,1.621230,0.081829,1.814587,0.000960,0.015554,0.000384,0.001568,0.001024,0.000416,1.839229
0.102727,1.594349,0.076005,1.779513,0.000800,0.014369,0.000384,0.001536,0.001120,0.000416,1.801594
0.104295,1.608013,0.081894,1.799930,0.000768,0.014433,0.000800,0.001536,0.001088,0.000448,1.822684
0.139882,1.592684,0.073637,1.812539,0.000768,0.014369,0.000768,0.001537,0.001184,0.000416,1.835069
0.131881,1.626479,0.079109,1.843517,0.001281,0.015169,0.000608,0.001568,0.001248,0.000416,1.867711
0.107240,1.602509,0.078021,1.795514,0.000960,0.015745,0.000640,0.001761,0.001216,0.000416,1.820060
0.148746,1.605677,0.083462,1.844541,0.001600,0.015457,0.000609,0.001728,0.001280,0.000608,1.869823
0.107239,1.594092,0.104872,1.813211,0.001120,0.015361,0.000320,0.001888,0.001280,0.000416,1.837660
0.105223,1.593644,0.080518,1.786425,0.000832,0.014881,0.000576,0.001632,0.001408,0.000385,1.809915
0.129225,1.614766,0.081989,1.832060,0.000897,0.015457,0.000576,0.001536,0.001440,0.000640,1.856734
0.101383,1.592620,0.077765,1.778232,0.000961,0.015169,0.000608,0.001664,0.001216,0.000384,1.802106
0.104263,1.612141,0.079749,1.803130,0.000928,0.015457,0.000608,0.001665,0.001408,0.000384,1.828316
0.096231,1.586348,0.076005,1.765080,0.000864,0.014849,0.000576,0.001632,0.001505,0.000384,1.789626
0.105064,1.614349,0.085126,1.812283,0.000928,0.014721,0.000353,0.001632,0.001440,0.000384,1.835645
0.111207,1.601805,0.078789,1.798362,0.001057,0.015457,0.000640,0.001600,0.001536,0.000640,1.822972
0.133353,1.628975,0.080901,1.850685,0.001216,0.015682,0.000640,0.001920,0.001280,0.000416,1.875423
0.105767,1.597164,0.078469,1.788057,0.001185,0.015233,0.000704,0.001760,0.001216,0.000608,1.812539
0.109511,1.636783,0.081573,1.834140,0.000992,0.016322,0.000608,0.001568,0.001248,0.000416,1.858942
0.104039,1.595212,0.077765,1.783737,0.000992,0.015521,0.000608,0.001856,0.001472,0.000416,1.808411
0.103335,1.610989,0.081446,1.802522,0.000960,0.015521,0.000608,0.001697,0.001120,0.000416,1.827292
0.138474,1.592876,0.076485,1.813851,0.001025,0.015265,0.000608,0.001504,0.001152,0.000384,1.837469
0.103079,1.609837,0.077766,1.797530,0.000832,0.015585,0.000672,0.001440,0.001440,0.000416,1.821499
0.122472,1.595660,0.075013,1.799834,0.000896,0.015649,0.000544,0.001664,0.001184,0.000416,1.823964
0.109415,1.609613,0.077894,1.803738,0.000832,0.015553,0.000672,0.001632,0.001280,0.000416,1.827740
0.109992,1.594284,0.076357,1.786905,0.000832,0.014753,0.000609,0.001696,0.001248,0.000416,1.810683
0.110120,1.613357,0.081830,1.813243,0.000864,0.015617,0.000576,0.001600,0.001376,0.000384,1.838269
0.105063,1.586187,0.074181,1.771032,0.000928,0.014657,0.000576,0.001600,0.001312,0.000384,1.793978
0.104327,1.611725,0.079461,1.802010,0.000960,0.014657,0.000640,0.001536,0.001345,0.000416,1.825116
0.107495,1.593324,0.080678,1.788249,0.000896,0.014977,0.000608,0.001600,0.001120,0.000416,1.812314
0.119401,1.584843,0.072677,1.782841,0.000864,0.014625,0.000608,0.001600,0.001248,0.000384,1.805531
0.107783,1.599244,0.092390,1.805018,0.000928,0.014689,0.000352,0.001568,0.001216,0.000384,1.828092
0.103847,1.591020,0.074373,1.776216,0.000800,0.014945,0.000832,0.001600,0.001409,0.000416,1.799770
0.103463,1.591948,0.077349,1.778872,0.000800,0.014465,0.000832,0.001601,0.001152,0.000416,1.802842
0.138794,1.591468,0.074789,1.812155,0.000832,0.014721,0.000608,0.001664,0.001248,0.000416,1.835453
0.118216,1.617198,0.081701,1.824923,0.000961,0.014785,0.000640,0.001600,0.001088,0.000416,1.848509
