Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.427929,0.017505,0.208269,0.004928,0.048355,0.000576,0.102886,0.084581,0.114407,0.305586,0.001376,0.000480,1.022012
0.429337,0.017377,0.209132,0.004929,0.048387,0.000576,0.104710,0.084101,0.084133,0.276240,0.001600,0.000544,0.994938
0.429913,0.017409,0.208301,0.004928,0.049539,0.000576,0.106278,0.127208,0.075044,0.312146,0.001600,0.000512,1.032125
0.428985,0.017313,0.209036,0.004929,0.049155,0.000576,0.106822,0.107270,0.093702,0.311186,0.001664,0.000480,1.030492
0.428825,0.017441,0.208621,0.004928,0.048163,0.000768,0.109830,0.083557,0.084837,0.281712,0.001600,0.000513,0.999067
0.428409,0.017569,0.208716,0.004993,0.048514,0.000832,0.107142,0.084837,0.080613,0.276240,0.001696,0.000544,1.011387
0.428089,0.017601,0.209804,0.004929,0.048291,0.000736,0.112518,0.087494,0.074596,0.278512,0.001536,0.000480,0.996474
0.429465,0.017441,0.208876,0.004992,0.048195,0.000608,0.106502,0.083428,0.081700,0.275600,0.001601,0.000480,0.994491
0.429881,0.017473,0.210221,0.004864,0.049027,0.000672,0.108390,0.086341,0.083652,0.282193,0.001600,0.000448,1.003387
0.430105,0.017474,0.209100,0.004800,0.048259,0.000576,0.115719,0.083333,0.081669,0.284305,0.001408,0.000480,1.003643
0.429914,0.017409,0.209452,0.004864,0.048451,0.000640,0.105479,0.085061,0.080580,0.274736,0.001633,0.000416,0.994171
0.429145,0.017409,0.208684,0.004897,0.048898,0.000577,0.104838,0.084037,0.078052,0.270351,0.001857,0.000480,0.988762
0.448251,0.017473,0.209132,0.004801,0.048130,0.000576,0.106311,0.082501,0.079204,0.271344,0.001664,0.000448,1.008892
0.428249,0.017505,0.209069,0.004800,0.048515,0.000576,0.102886,0.090149,0.115079,0.311378,0.001504,0.000448,1.028701
0.428601,0.017473,0.208972,0.004928,0.048067,0.000544,0.105702,0.083845,0.097062,0.290193,0.001472,0.000448,1.007739
0.429017,0.034242,0.209452,0.004864,0.047939,0.000544,0.107495,0.084325,0.073092,0.268528,0.001600,0.000512,1.004091
0.428217,0.017473,0.209676,0.004865,0.048419,0.000576,0.102854,0.083013,0.115975,0.305522,0.001664,0.000544,1.023644
0.428697,0.017601,0.208844,0.004865,0.048194,0.000544,0.102854,0.084165,0.076612,0.267119,0.001632,0.000448,0.984793
0.429850,0.017441,0.210604,0.004928,0.070596,0.000672,0.099526,0.084005,0.084005,0.271440,0.001632,0.000448,1.014620
0.429497,0.017441,0.208652,0.004993,0.048451,0.000608,0.103686,0.078468,0.096101,0.282032,0.001472,0.000480,1.000090
0.429913,0.017377,0.208685,0.004832,0.048483,0.000544,0.102406,0.084165,0.093829,0.283761,0.001440,0.000480,1.002267
0.428345,0.017601,0.208364,0.004896,0.047427,0.000640,0.100518,0.083941,0.098822,0.287409,0.001408,0.000512,1.004955
0.428505,0.017537,0.208332,0.004833,0.047587,0.000576,0.099525,0.087685,0.113094,0.303345,0.001505,0.000512,1.019356
0.429722,0.017473,0.208556,0.005024,0.047747,0.000576,0.099974,0.084133,0.088165,0.275664,0.001568,0.000448,0.993691
0.428409,0.017441,0.208461,0.004896,0.047043,0.000576,0.101126,0.084389,0.079717,0.268720,0.001440,0.000512,0.983962
