Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429948,0.017793,0.105959,0.616679,0.086213,0.812979,0.001056,0.015233,0.000417,0.001536,0.001056,0.000448,1.287218
0.433051,0.017601,0.111335,0.618247,0.092389,0.826228,0.001377,0.015873,0.000416,0.001536,0.000992,0.000352,1.304114
0.464990,0.017633,0.105863,0.610438,0.084325,0.804787,0.001376,0.015649,0.000640,0.001440,0.001056,0.000384,1.315347
0.433468,0.017825,0.103846,0.615046,0.093509,0.816500,0.001184,0.015713,0.000672,0.001792,0.001056,0.000608,1.295762
0.429275,0.017441,0.107911,0.635880,0.102662,0.852534,0.000928,0.015777,0.000416,0.001601,0.001056,0.000832,1.328148
0.429499,0.017857,0.112295,0.615815,0.087749,0.819476,0.000768,0.015713,0.000448,0.001568,0.001312,0.000384,1.293426
0.428347,0.017633,0.106663,0.614599,0.089094,0.815604,0.001024,0.016001,0.000640,0.001728,0.001056,0.000384,1.289937
0.431963,0.018145,0.153321,0.627048,0.093158,0.878423,0.001152,0.016513,0.000416,0.001696,0.001921,0.000384,1.357814
0.429659,0.017825,0.108135,0.613383,0.086853,0.812787,0.001024,0.018657,0.000608,0.001536,0.001024,0.000448,1.290193
0.429116,0.017921,0.106343,0.620231,0.121672,0.867127,0.001248,0.017985,0.000416,0.001536,0.001088,0.000384,1.343125
0.433307,0.017505,0.105446,0.606759,0.087813,0.804146,0.000800,0.015009,0.000416,0.001536,0.001632,0.000416,1.281553
0.432795,0.017761,0.105191,0.611143,0.092678,0.813364,0.001280,0.015553,0.000416,0.001472,0.001408,0.000384,1.291441
0.432988,0.017761,0.105479,0.647177,0.081509,0.838293,0.000704,0.016993,0.000448,0.001536,0.001600,0.000416,1.317939
0.433947,0.017762,0.100582,0.610823,0.087813,0.802930,0.000704,0.018882,0.000608,0.001440,0.001408,0.000352,1.284241
0.435035,0.017602,0.099238,0.610214,0.084453,0.797458,0.001088,0.016449,0.000416,0.001536,0.001376,0.000832,1.278161
0.451484,0.017602,0.125448,0.610342,0.080709,0.820563,0.000768,0.014880,0.000385,0.001440,0.001056,0.000576,1.315187
