IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.127976,1.621740,0.080166,1.834907,0.006144,0.001120,0.000384,1.845435
0.093190,1.637902,0.073925,1.809689,0.006144,0.001088,0.000384,1.819546
0.145386,1.616300,0.079014,1.847484,0.006976,0.001632,0.000608,1.859837
0.126729,1.671920,0.079205,1.884447,0.003456,0.001568,0.000416,1.894303
0.092614,1.599915,0.080518,1.778711,0.006144,0.001120,0.000416,1.788855
0.093702,1.603180,0.115847,1.817658,0.006208,0.001184,0.000384,1.827834
0.089030,1.601195,0.086566,1.781655,0.006272,0.001121,0.000384,1.791768
0.108615,1.605612,0.079525,1.799608,0.003233,0.001184,0.000384,1.807673
0.097606,1.603819,0.087238,1.793272,0.006208,0.001088,0.000384,1.803961
0.143273,1.604140,0.084006,1.837947,0.004000,0.001152,0.000448,1.846363
0.139018,1.628525,0.080421,1.855773,0.006176,0.001120,0.000448,1.867549
0.102791,1.606892,0.078245,1.793688,0.003264,0.001152,0.000416,1.800792
0.098406,1.621581,0.083910,1.810713,0.003520,0.001056,0.000384,1.819257
0.113063,1.603724,0.076805,1.800664,0.003424,0.001056,0.000384,1.808473
0.111944,1.621676,0.080997,1.821626,0.002976,0.001088,0.000384,1.828634
0.143177,1.610187,0.083622,1.843611,0.006241,0.001120,0.000448,1.854172
0.098919,1.628141,0.079557,1.813785,0.006368,0.001184,0.000384,1.825338
0.104103,1.607115,0.103366,1.821594,0.005760,0.001152,0.000416,1.832090
0.103207,1.663887,0.101095,1.874685,0.004929,0.001056,0.000384,1.884062
0.101863,1.604395,0.084326,1.796600,0.006336,0.000992,0.000384,1.806777
0.124968,1.625900,0.079878,1.837435,0.002816,0.000992,0.000384,1.843963
0.125513,1.605899,0.075877,1.813978,0.005152,0.000992,0.000384,1.822938
