IN[0],INFER[0-5],OUT[5],TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.111336,1.626190,0.091686,1.836572,0.019554,0.000736,0.001472,0.001504,0.000384,1.863774
0.111719,1.598316,0.086950,1.804154,0.017185,0.000512,0.001504,0.001088,0.000448,1.829179
0.148714,1.598252,0.095782,1.849533,0.016321,0.000544,0.001536,0.001248,0.000416,1.872894
0.117383,1.599308,0.145002,1.869119,0.021729,0.000480,0.001504,0.001216,0.000448,1.899105
0.116232,1.608909,0.083333,1.815930,0.021441,0.000672,0.001440,0.001184,0.000352,1.845148
0.140330,1.619469,0.080517,1.847613,0.020674,0.000576,0.001440,0.001216,0.000416,1.876287
0.109223,1.615821,0.084198,1.815643,0.015041,0.000480,0.001536,0.001216,0.000352,1.837852
0.135305,1.620205,0.081318,1.843228,0.015137,0.000480,0.001472,0.001088,0.000384,1.865533
0.116200,1.622093,0.100711,1.845500,0.016418,0.000544,0.001568,0.001120,0.000416,1.869406
0.153962,1.640367,0.101703,1.903648,0.015745,0.000672,0.001504,0.001152,0.000384,1.927490
0.142762,1.601292,0.093766,1.845405,0.015585,0.000480,0.001696,0.001184,0.000384,1.868254
0.138442,1.620749,0.081030,1.846173,0.015393,0.000704,0.001600,0.001344,0.000416,1.869054
0.139690,1.602604,0.083782,1.833020,0.015393,0.000448,0.001600,0.001184,0.000416,1.855294
0.111304,1.616173,0.081957,1.816315,0.015937,0.000480,0.001600,0.001216,0.000416,1.839836
0.106695,1.597355,0.079813,1.790041,0.014945,0.000672,0.001568,0.001216,0.000384,1.812250
0.138601,1.620654,0.083205,1.849405,0.016129,0.000704,0.001632,0.001280,0.000416,1.873342
0.105511,1.596908,0.094534,1.804154,0.016577,0.000704,0.001472,0.001312,0.000384,1.828348
0.111879,1.620493,0.100263,1.838652,0.015777,0.000704,0.001536,0.001248,0.000384,1.861693
0.107656,1.613069,0.098374,1.825595,0.016385,0.000672,0.001504,0.001152,0.000416,1.849469
0.103847,1.600524,0.083878,1.795673,0.015937,0.000704,0.001536,0.001216,0.000416,1.819643
0.103911,1.597388,0.088678,1.797338,0.015521,0.000704,0.001600,0.001792,0.000352,1.820731
0.111144,1.599404,0.091462,1.807706,0.016609,0.000512,0.001504,0.001249,0.000416,1.831196
0.105255,1.613452,0.085861,1.810362,0.015041,0.000513,0.001504,0.001312,0.000416,1.832444
0.130344,1.587019,0.087398,1.811194,0.015073,0.000544,0.001600,0.001248,0.000416,1.833435
0.112552,1.616109,0.082310,1.817275,0.016545,0.000736,0.001600,0.001216,0.000416,1.841148
0.107335,1.598860,0.086982,1.800538,0.015489,0.000576,0.001536,0.001152,0.000416,1.823387
0.107304,1.624397,0.084101,1.822459,0.015361,0.000544,0.001569,0.001280,0.000384,1.844893
0.103815,1.595116,0.087142,1.792057,0.015873,0.000544,0.001568,0.001313,0.000416,1.814971
0.141033,1.614029,0.079301,1.841340,0.015073,0.000512,0.001472,0.001153,0.000416,1.863806
0.149322,1.604396,0.109767,1.871454,0.015489,0.000448,0.001600,0.001152,0.000416,1.893728
0.147754,1.619885,0.083110,1.858365,0.015521,0.000544,0.001536,0.001280,0.000384,1.881246
0.134249,1.599948,0.081574,1.822939,0.016257,0.000544,0.001632,0.001312,0.000416,1.846588
0.149706,1.616301,0.086470,1.859485,0.016513,0.000480,0.002048,0.001376,0.000576,1.884256
0.109767,1.597323,0.119720,1.834524,0.015649,0.000480,0.001568,0.001248,0.000352,1.857565
0.099047,1.609836,0.082950,1.799001,0.015713,0.000736,0.001568,0.001216,0.000416,1.822587
0.127785,1.597708,0.088678,1.820411,0.015265,0.000736,0.001600,0.001280,0.000416,1.842844
0.103431,1.611213,0.082342,1.803098,0.016065,0.000672,0.002016,0.001248,0.000384,1.826779
0.103239,1.611853,0.087014,1.807354,0.016001,0.000512,0.001760,0.001088,0.000416,1.830460
