Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.428473,0.017377,0.208652,0.004897,0.046946,0.000640,0.013537,0.000352,0.089285,0.065571,0.067556,0.225709,0.000448,0.953079
0.428985,0.017409,0.208556,0.005056,0.047107,0.000544,0.013505,0.000352,0.098758,0.072644,0.072772,0.247278,0.000608,0.975448
0.428377,0.017473,0.208748,0.004800,0.047299,0.000608,0.013473,0.000384,0.091109,0.063396,0.067908,0.225869,0.000672,0.954103
0.428697,0.017569,0.208428,0.005376,0.047107,0.000640,0.013409,0.000352,0.110502,0.068996,0.077636,0.260463,0.000608,0.989465
0.430009,0.017601,0.210572,0.004865,0.048514,0.000577,0.013568,0.000352,0.104966,0.072452,0.074532,0.255407,0.000608,0.989369
0.443514,0.017377,0.208876,0.004961,0.048322,0.000608,0.013569,0.000384,0.102054,0.072773,0.069604,0.247887,0.000608,0.992282
0.762764,0.017537,0.328243,0.004864,0.079493,0.000576,0.059203,0.000384,0.115238,0.095398,0.098406,0.312562,0.000608,1.572859
0.428057,0.017377,0.208876,0.004832,0.047107,0.000608,0.013409,0.000352,0.086981,0.073028,0.076453,0.239694,0.000512,0.967640
0.427512,0.017249,0.209164,0.004896,0.047107,0.000608,0.013537,0.000352,0.108006,0.064004,0.067460,0.242638,0.000544,0.969912
0.428185,0.017377,0.208781,0.005024,0.047299,0.000608,0.013504,0.000352,0.104806,0.070692,0.076228,0.254798,0.000480,0.984057
0.428473,0.017473,0.208364,0.004929,0.046946,0.000576,0.013408,0.000352,0.110279,0.073924,0.069892,0.257391,0.000512,0.984633
0.440122,0.017377,0.208492,0.004896,0.047139,0.000576,0.013409,0.000416,0.108198,0.068708,0.069668,0.249743,0.000576,0.988858
0.427705,0.017313,0.208620,0.004897,0.046914,0.000576,0.013345,0.000320,0.090214,0.068036,0.076260,0.237550,0.000544,0.964504
0.427673,0.017569,0.208556,0.005312,0.047171,0.000608,0.013409,0.000320,0.100742,0.065220,0.072260,0.241934,0.000672,0.970552
0.427673,0.017345,0.208460,0.005440,0.047011,0.000576,0.026978,0.000416,0.095397,0.063972,0.068036,0.230765,0.000608,0.971832
0.427897,0.017473,0.208428,0.004960,0.047043,0.000608,0.013441,0.000320,0.093893,0.066980,0.066980,0.230989,0.000512,0.957783
0.429433,0.017377,0.208140,0.004928,0.046947,0.000608,0.013473,0.000384,0.121255,0.082277,0.069956,0.276880,0.000608,1.004986
0.429657,0.017217,0.208268,0.005440,0.047235,0.000576,0.013537,0.000384,0.113702,0.073445,0.069988,0.260463,0.000576,0.989786
0.428025,0.018049,0.208108,0.004960,0.046979,0.000544,0.013345,0.000352,0.114535,0.077860,0.070148,0.265615,0.000512,0.992858
0.430553,0.017761,0.208780,0.005280,0.047139,0.000576,0.013569,0.000352,0.106470,0.073860,0.074756,0.258223,0.000512,0.990425
0.428473,0.017313,0.208237,0.004896,0.047363,0.000576,0.013472,0.000385,0.099621,0.072709,0.069956,0.245614,0.000640,0.972953
0.443162,0.017473,0.208428,0.004993,0.046946,0.000608,0.013409,0.000352,0.094342,0.073764,0.073988,0.245486,0.000576,0.988186
0.428600,0.017377,0.208268,0.004960,0.047139,0.000608,0.013441,0.000352,0.086949,0.070596,0.075684,0.236493,0.000544,0.963767
0.430297,0.017505,0.208556,0.005408,0.047363,0.000576,0.013377,0.000352,0.094790,0.067620,0.074340,0.240014,0.000608,0.970840
0.428377,0.017537,0.208428,0.004896,0.065284,0.000608,0.014081,0.000416,0.107974,0.066948,0.075653,0.254287,0.000544,1.003226
0.428633,0.017537,0.207948,0.005441,0.048258,0.000608,0.013633,0.000384,0.096550,0.067460,0.072324,0.239726,0.000672,0.968856
0.427865,0.017313,0.208396,0.005472,0.047555,0.000576,0.013441,0.000352,0.102182,0.073732,0.076613,0.256623,0.000512,0.984793
0.427513,0.017249,0.208364,0.004896,0.047395,0.000576,0.013313,0.000384,0.107974,0.072868,0.071717,0.255695,0.000544,0.982233
0.429145,0.017313,0.208141,0.004864,0.047267,0.000576,0.013312,0.000320,0.104390,0.068580,0.069156,0.245359,0.000576,0.973337
0.429177,0.017537,0.209132,0.005216,0.047331,0.000608,0.013537,0.000384,0.109990,0.071301,0.071908,0.256591,0.000640,0.988121
0.428825,0.017377,0.208428,0.005312,0.047171,0.000608,0.013409,0.000352,0.129095,0.073989,0.070852,0.277264,0.000544,1.005434
0.441465,0.017442,0.208588,0.005120,0.047171,0.000576,0.013313,0.000352,0.119527,0.077988,0.072132,0.272751,0.000576,1.014203
0.429945,0.017345,0.208460,0.004929,0.047170,0.000608,0.013312,0.000352,0.119559,0.077253,0.072228,0.272080,0.000672,1.000666
0.428121,0.017409,0.208812,0.005440,0.047363,0.000608,0.013377,0.000384,0.105414,0.067300,0.077060,0.253102,0.000640,0.981785
0.427769,0.017889,0.222541,0.004993,0.047106,0.000640,0.013344,0.000352,0.124840,0.071620,0.069956,0.269232,0.000576,1.010875
0.427800,0.017249,0.208780,0.004864,0.047011,0.000608,0.013505,0.000384,0.133095,0.072101,0.067556,0.275952,0.000512,1.002746
0.428984,0.017249,0.208140,0.005312,0.047075,0.000640,0.013601,0.000352,0.097861,0.063332,0.077637,0.241902,0.000512,0.969944
0.428537,0.017217,0.208044,0.004865,0.047074,0.000608,0.013408,0.000352,0.092518,0.075748,0.094310,0.265936,0.000544,0.993754
0.428408,0.017281,0.208301,0.004896,0.047139,0.000608,0.013376,0.000384,0.105318,0.072772,0.068772,0.250062,0.000608,0.977113
0.430777,0.017601,0.209516,0.004865,0.047074,0.000576,0.013505,0.000352,0.112167,0.070788,0.072068,0.258223,0.000576,0.991577
0.430649,0.017345,0.209036,0.004832,0.047075,0.000608,0.013537,0.000352,0.109479,0.070820,0.071076,0.255663,0.000640,0.986073
0.443482,0.017537,0.208364,0.004864,0.047043,0.000576,0.013441,0.000352,0.112487,0.068836,0.068548,0.253199,0.000608,0.996154
0.429113,0.017537,0.208300,0.004832,0.047011,0.000608,0.013409,0.000352,0.127335,0.083429,0.069828,0.283952,0.000640,1.011739
0.429561,0.017441,0.208205,0.004960,0.047011,0.000576,0.013504,0.000352,0.101381,0.068356,0.072677,0.245646,0.000672,0.975897
0.429049,0.032578,0.209164,0.004896,0.047043,0.000576,0.013537,0.000384,0.126215,0.082565,0.075908,0.287984,0.000609,1.032348
0.428632,0.017601,0.208780,0.005024,0.047171,0.000608,0.013505,0.000320,0.096613,0.067812,0.069828,0.237453,0.000608,0.965656
0.428601,0.017313,0.208780,0.004865,0.047042,0.000608,0.013729,0.000352,0.091238,0.073636,0.075332,0.244334,0.000641,0.972953
0.428729,0.017633,0.208172,0.005056,0.047043,0.000576,0.013473,0.000352,0.087237,0.081669,0.074148,0.246318,0.000704,0.974168
0.429689,0.018049,0.208076,0.004992,0.047011,0.000608,0.013537,0.000384,0.109766,0.069220,0.069156,0.251311,0.000480,0.980761
0.430521,0.017345,0.209612,0.004960,0.047075,0.000576,0.013537,0.000384,0.104198,0.079173,0.079012,0.265519,0.000545,0.997370
0.429721,0.017633,0.208524,0.004864,0.047491,0.000608,0.013505,0.000384,0.116199,0.077316,0.071268,0.268335,0.000576,0.997946
0.445177,0.017313,0.208844,0.004832,0.046851,0.000608,0.013441,0.000320,0.091653,0.067140,0.068196,0.230477,0.000576,0.974424
0.429401,0.017569,0.208460,0.005344,0.047107,0.000608,0.013409,0.000384,0.087557,0.067332,0.073060,0.230925,0.000608,0.959991
0.428345,0.017537,0.208524,0.005312,0.047491,0.000576,0.013409,0.000352,0.114598,0.064611,0.073061,0.255471,0.000704,0.984825
0.444474,0.017985,0.208172,0.004897,0.047074,0.000544,0.013440,0.000384,0.091462,0.067140,0.070436,0.232110,0.000640,0.993274
0.427705,0.017441,0.208428,0.004896,0.047075,0.000640,0.013441,0.000352,0.087237,0.071812,0.069124,0.231309,0.000576,0.957943
