Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.428570,0.017889,0.209005,0.097478,0.144681,0.077989,0.323476,0.000704,0.984476
0.447707,0.017569,0.209037,0.102726,0.144488,0.074949,0.325620,0.000704,1.005533
0.428731,0.017953,0.208332,0.104518,0.151305,0.076197,0.335893,0.000928,0.996861
0.429914,0.017889,0.210092,0.101287,0.148489,0.082085,0.335701,0.000704,0.999357
0.429402,0.017985,0.228942,0.103174,0.151466,0.076196,0.334388,0.000832,1.017022
0.430266,0.017473,0.209581,0.106311,0.151817,0.076965,0.338805,0.000800,1.002173
0.429466,0.018210,0.209964,0.104231,0.153385,0.083493,0.345045,0.000864,1.009182
0.429978,0.017761,0.210029,0.106054,0.168330,0.072357,0.350933,0.000736,1.014526
0.428315,0.021153,0.208621,0.092581,0.139337,0.089701,0.325556,0.000864,0.989245
0.428315,0.017793,0.208268,0.103622,0.152009,0.079141,0.338196,0.000704,0.998333
0.429146,0.017793,0.208269,0.107239,0.149257,0.075205,0.335637,0.000736,0.996573
0.428442,0.017985,0.209133,0.103750,0.159562,0.079845,0.346325,0.000672,1.007325
0.429562,0.017537,0.208717,0.105350,0.146696,0.079460,0.334964,0.000705,0.996573
0.428570,0.017985,0.208685,0.109542,0.150698,0.080037,0.343893,0.000736,1.004925
0.442619,0.017665,0.208941,0.106310,0.148329,0.072005,0.330100,0.000736,1.004861
0.429850,0.017921,0.209581,0.102246,0.148233,0.074596,0.328660,0.000800,0.991676
0.428859,0.018241,0.208877,0.107718,0.149737,0.080293,0.341652,0.000640,1.004382
0.446811,0.017921,0.208525,0.104102,0.142761,0.072868,0.323443,0.000736,1.002653
0.429850,0.017313,0.209004,0.092326,0.140681,0.074436,0.310995,0.000928,0.973147
0.428442,0.017537,0.209101,0.108327,0.149513,0.080037,0.341365,0.000704,1.001917
0.428474,0.017793,0.208429,0.125160,0.147561,0.073156,0.349845,0.000736,1.010622
0.430298,0.017825,0.208717,0.099942,0.146633,0.078629,0.328980,0.000832,0.991676
0.428090,0.017793,0.209389,0.093350,0.139944,0.080741,0.317843,0.000736,0.978811
0.428634,0.017505,0.208909,0.104582,0.147081,0.077829,0.332980,0.000704,1.026878
0.428378,0.018017,0.208621,0.106823,0.147529,0.075780,0.333876,0.000800,0.994972
0.429946,0.017729,0.209260,0.108454,0.153514,0.076996,0.342996,0.000896,1.007806
0.429146,0.017697,0.208332,0.108103,0.147689,0.075045,0.334837,0.000736,0.997725
0.429786,0.018209,0.208716,0.110791,0.150089,0.078821,0.343285,0.000800,1.006077
0.429850,0.017953,0.209037,0.102150,0.143497,0.098118,0.347317,0.000736,1.010045
0.428378,0.017698,0.208396,0.104647,0.146729,0.099302,0.354006,0.000832,1.015198
0.443355,0.017666,0.208460,0.105127,0.146441,0.081125,0.336469,0.000704,1.011838
