Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430969,0.017697,0.208428,0.005312,0.047043,0.000768,0.101542,0.079973,0.072676,0.257903,0.000672,0.002017,0.001120,0.000416,0.979546
0.429434,0.017473,0.208428,0.005473,0.046818,0.000736,0.106823,0.081605,0.074692,0.266576,0.000576,0.001920,0.001472,0.000449,0.986427
0.429849,0.018401,0.208268,0.004896,0.046819,0.000768,0.103462,0.078661,0.076804,0.263247,0.000864,0.002112,0.001473,0.000448,0.985178
0.445786,0.017633,0.208492,0.005344,0.047203,0.000832,0.105414,0.074916,0.072324,0.256495,0.000672,0.001953,0.001088,0.000416,0.993851
0.430521,0.017665,0.208621,0.005088,0.047107,0.000768,0.119079,0.081573,0.079332,0.284081,0.000864,0.001920,0.001184,0.000480,1.006043
0.429722,0.017921,0.208428,0.005152,0.046915,0.000736,0.124712,0.082949,0.075620,0.286961,0.000864,0.002016,0.001217,0.000480,1.007932
0.451419,0.018049,0.208877,0.005120,0.046915,0.000768,0.103878,0.080453,0.071588,0.259535,0.000768,0.001824,0.001056,0.000448,1.002235
0.430490,0.018401,0.208268,0.005248,0.046819,0.000768,0.101542,0.080037,0.078053,0.262992,0.000768,0.002048,0.000928,0.000448,0.984282
0.429273,0.017601,0.208652,0.005440,0.046915,0.000704,0.101734,0.079108,0.077316,0.261647,0.001088,0.002112,0.001152,0.000449,0.982490
0.428825,0.017889,0.227854,0.005344,0.046947,0.000768,0.103174,0.080549,0.079973,0.267344,0.000736,0.002720,0.001344,0.000544,1.009147
0.428761,0.017505,0.209165,0.005120,0.046819,0.000768,0.106342,0.080805,0.076709,0.267376,0.000768,0.002208,0.001152,0.000448,0.987450
0.429145,0.017569,0.208685,0.005056,0.046851,0.000768,0.104166,0.080933,0.073188,0.261647,0.000800,0.002017,0.001280,0.000480,0.981562
0.428697,0.017665,0.209357,0.005120,0.046979,0.000736,0.104262,0.085093,0.076165,0.286865,0.000768,0.002112,0.001184,0.000448,1.007675
0.429209,0.017634,0.208780,0.005344,0.047011,0.000800,0.094502,0.076004,0.091718,0.265488,0.000864,0.002016,0.001440,0.000512,0.986266
0.428826,0.017985,0.208620,0.004897,0.046978,0.000704,0.107623,0.081445,0.078788,0.271472,0.000800,0.001984,0.000992,0.000448,0.991067
0.428569,0.017793,0.209261,0.004896,0.046819,0.000736,0.103238,0.088613,0.075397,0.270704,0.000640,0.001920,0.001056,0.000448,0.990202
0.428954,0.017505,0.208908,0.005473,0.046754,0.000736,0.104775,0.082917,0.084837,0.276081,0.000608,0.001920,0.001280,0.000448,0.996347
