Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.432571,0.017921,0.113351,0.641640,0.081445,0.840308,0.001664,0.000576,1.298353
0.429147,0.018593,0.103783,0.646344,0.080741,0.834740,0.001760,0.000480,1.290321
0.429531,0.017793,0.103366,0.628647,0.086469,0.821683,0.001664,0.000480,1.276079
0.429435,0.017857,0.106759,0.650952,0.081926,0.843637,0.001728,0.000448,1.298001
0.429787,0.017633,0.107751,0.630792,0.084389,0.826644,0.001600,0.000448,1.281328
0.429243,0.017665,0.104679,0.623143,0.074693,0.806419,0.001600,0.000672,1.260879
0.448124,0.017665,0.104231,0.628327,0.076517,0.812403,0.001600,0.000512,1.285520
0.430011,0.017537,0.100999,0.625447,0.078405,0.808243,0.001632,0.000448,1.262735
0.429210,0.017825,0.109799,0.630887,0.101478,0.846101,0.001824,0.000448,1.300625
0.431227,0.017953,0.110055,0.632936,0.084741,0.831540,0.001696,0.000416,1.289137
0.430811,0.017953,0.107047,0.639784,0.079301,0.829844,0.001888,0.000416,1.286096
0.429818,0.018050,0.105318,0.648489,0.078725,0.836276,0.001568,0.000448,1.290864
0.429466,0.017474,0.102886,0.621991,0.080389,0.808946,0.001760,0.000864,1.263566
0.429595,0.017761,0.104326,0.626055,0.079173,0.813138,0.001696,0.000480,1.267951
0.449372,0.017729,0.103686,0.624167,0.078181,0.809938,0.001472,0.000416,1.284081
0.428731,0.017921,0.102599,0.629255,0.081061,0.816339,0.001601,0.000448,1.270416
0.429723,0.017825,0.104486,0.652265,0.082629,0.843156,0.001665,0.000448,1.298225
0.430619,0.017569,0.102983,0.622983,0.078085,0.807731,0.001536,0.000480,1.262799
0.431003,0.017825,0.109223,0.628743,0.082341,0.824180,0.001600,0.000672,1.280752
0.450653,0.017857,0.109767,0.624711,0.085925,0.824467,0.001600,0.000673,1.301266
0.429242,0.017826,0.107334,0.632168,0.081957,0.824915,0.001568,0.000672,1.279184
0.428923,0.017537,0.104679,0.629479,0.084166,0.821684,0.001952,0.000640,1.275728
0.428795,0.017697,0.104295,0.632455,0.081989,0.822131,0.001600,0.000641,1.275888
0.429531,0.017634,0.111399,0.637639,0.087718,0.840340,0.001664,0.000704,1.295761
0.431483,0.017729,0.096806,0.650217,0.079813,0.830868,0.001664,0.000704,1.288080
0.429083,0.017665,0.118503,0.624551,0.094470,0.841300,0.001600,0.000672,1.295569
0.429723,0.017826,0.102662,0.624519,0.079429,0.810162,0.001760,0.000416,1.265039
0.450748,0.017761,0.110311,0.629576,0.076356,0.819795,0.001409,0.000416,1.295313
0.428891,0.018145,0.110855,0.625671,0.080101,0.820596,0.001696,0.000736,1.275504
0.429819,0.017761,0.110855,0.658665,0.084613,0.860118,0.001728,0.000800,1.317778
0.429050,0.017634,0.106790,0.629704,0.077060,0.817331,0.001856,0.000480,1.271119
