Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428187,0.017761,0.208077,0.104518,0.072517,0.077285,0.257552,0.050371,0.000832,0.013761,0.000384,0.001536,0.001056,0.000352,0.986909
0.428923,0.017633,0.208365,0.095654,0.064996,0.079909,0.243855,0.050915,0.000864,0.013633,0.000416,0.001504,0.001120,0.000384,0.975293
0.427994,0.017601,0.208621,0.101895,0.074756,0.077509,0.257296,0.050627,0.000608,0.013697,0.000416,0.001408,0.001313,0.000384,0.986621
0.431291,0.017890,0.210893,0.124327,0.076037,0.079525,0.284017,0.049315,0.001120,0.014177,0.000352,0.001664,0.001761,0.000384,1.022240
0.429242,0.017633,0.209453,0.106822,0.068868,0.073860,0.253328,0.048643,0.000832,0.014529,0.000384,0.001600,0.001568,0.000353,0.984797
0.428571,0.017857,0.209069,0.107206,0.073221,0.073765,0.258128,0.048163,0.000608,0.013921,0.000384,0.001600,0.001184,0.000384,0.987133
0.443707,0.017729,0.208621,0.104295,0.084453,0.080325,0.272849,0.048131,0.000800,0.014209,0.000384,0.001760,0.001057,0.000384,1.016287
0.428699,0.017665,0.208621,0.122760,0.070820,0.076837,0.274385,0.049475,0.000832,0.013921,0.000384,0.001568,0.001152,0.000384,1.004958
0.428763,0.017761,0.208205,0.108711,0.072644,0.103495,0.288402,0.048387,0.000864,0.013857,0.000352,0.001568,0.001056,0.000352,1.016831
0.448475,0.017569,0.208557,0.108230,0.069605,0.074084,0.255855,0.050372,0.000800,0.014145,0.000416,0.001504,0.001088,0.000384,1.007198
0.428602,0.017601,0.209293,0.101734,0.064996,0.079493,0.250416,0.049603,0.000832,0.013697,0.000416,0.001504,0.001056,0.000416,0.981404
0.428347,0.017825,0.208749,0.108583,0.072068,0.077477,0.262032,0.049571,0.000864,0.013889,0.000352,0.001664,0.001344,0.000320,0.992733
0.431162,0.017762,0.227118,0.110567,0.072228,0.072933,0.259696,0.049539,0.000832,0.013761,0.000416,0.001536,0.001152,0.000352,1.012094
0.428442,0.017697,0.208685,0.102278,0.068580,0.081093,0.255695,0.048611,0.000832,0.014016,0.000609,0.001472,0.001056,0.000416,0.984925
0.429403,0.017793,0.209229,0.106054,0.072933,0.081957,0.264752,0.050467,0.000832,0.013985,0.000352,0.001568,0.001089,0.000416,0.997630
0.428186,0.017794,0.208652,0.113703,0.072996,0.097638,0.288178,0.049283,0.000833,0.013760,0.000352,0.001537,0.001152,0.000352,1.018303
0.428826,0.017857,0.210093,0.102854,0.072324,0.073252,0.252271,0.048323,0.000672,0.013761,0.000384,0.001536,0.001216,0.000352,0.982524
0.429562,0.017665,0.209517,0.106086,0.068613,0.085349,0.263568,0.049795,0.000800,0.013729,0.000384,0.001504,0.001184,0.000416,0.995261
0.428634,0.017601,0.209420,0.108966,0.071525,0.073892,0.258192,0.050403,0.000864,0.014145,0.000416,0.001664,0.001248,0.000384,0.991389
0.429051,0.017601,0.208749,0.105991,0.070692,0.080453,0.261328,0.048803,0.000832,0.013857,0.000384,0.001664,0.001120,0.000416,0.991262
0.428667,0.017921,0.208973,0.109063,0.072036,0.074629,0.259984,0.049699,0.000800,0.014337,0.000384,0.001632,0.001152,0.000384,0.991581
0.428474,0.017793,0.208813,0.102599,0.070564,0.081509,0.258544,0.050275,0.000768,0.014432,0.000384,0.001600,0.001184,0.000416,0.989885
0.448028,0.017697,0.208237,0.104550,0.069189,0.094534,0.272305,0.048355,0.000832,0.014145,0.000352,0.001536,0.001120,0.000384,1.020255
0.428346,0.017857,0.209005,0.105222,0.069765,0.074852,0.253199,0.050371,0.000801,0.013920,0.000352,0.001441,0.001248,0.000416,0.983901
0.428763,0.017633,0.208461,0.111751,0.072932,0.076004,0.264560,0.048803,0.000864,0.014593,0.000352,0.001569,0.001280,0.000416,0.994654
0.449820,0.018017,0.208749,0.108551,0.071621,0.072964,0.257264,0.048323,0.000832,0.014017,0.000384,0.001536,0.001152,0.000384,1.007935
0.428251,0.017633,0.208813,0.107847,0.073636,0.076804,0.261968,0.049443,0.000896,0.013696,0.000416,0.001473,0.001216,0.000416,0.992094
0.429531,0.018081,0.208813,0.109671,0.072485,0.087973,0.274097,0.049283,0.000896,0.013601,0.000896,0.001440,0.001153,0.000352,1.005055
0.430138,0.017634,0.225389,0.106790,0.071493,0.072740,0.254991,0.049827,0.000865,0.014048,0.000608,0.001793,0.001120,0.000384,1.005118
0.429146,0.017665,0.208717,0.113543,0.074052,0.124584,0.316276,0.049411,0.000832,0.014049,0.000384,0.001536,0.001248,0.000384,1.047232
0.428955,0.017857,0.208621,0.114119,0.073765,0.109639,0.301299,0.049667,0.000832,0.013825,0.000384,0.001568,0.001184,0.000416,1.031840
0.428794,0.017762,0.208332,0.132040,0.078821,0.077413,0.292243,0.050595,0.000800,0.014017,0.000416,0.001536,0.001248,0.000352,1.023263
0.427994,0.017697,0.209229,0.103815,0.067364,0.084261,0.259184,0.048579,0.000864,0.013889,0.000576,0.001568,0.001281,0.000416,0.989086
0.428155,0.017697,0.208141,0.106759,0.070596,0.076677,0.257776,0.049731,0.000832,0.013665,0.000448,0.001536,0.001184,0.000384,0.987005
0.428058,0.017537,0.208396,0.108615,0.072549,0.073572,0.258480,0.050724,0.000864,0.013697,0.000448,0.001632,0.001216,0.000384,0.989085
0.428155,0.017697,0.208461,0.106375,0.073988,0.074821,0.259408,0.050147,0.000832,0.014337,0.000384,0.001568,0.001184,0.000384,0.990014
0.428282,0.017634,0.208140,0.107399,0.070213,0.076868,0.258096,0.050372,0.000864,0.014369,0.000576,0.001696,0.001216,0.000352,0.988989
0.428922,0.017857,0.208365,0.110407,0.072484,0.078981,0.265264,0.049795,0.000800,0.013857,0.000448,0.001568,0.001120,0.000416,0.995486
0.447579,0.017729,0.208749,0.109927,0.073188,0.088486,0.275185,0.049795,0.000864,0.014465,0.000384,0.001632,0.001248,0.000384,1.026431
0.428538,0.017665,0.208845,0.110279,0.072837,0.091077,0.278833,0.049603,0.000864,0.014497,0.000416,0.001696,0.001056,0.000416,1.010271
0.428283,0.017761,0.208653,0.106215,0.071492,0.073189,0.256272,0.048355,0.000832,0.014305,0.000384,0.001632,0.001120,0.000352,0.985149
0.444795,0.018018,0.209165,0.103110,0.068356,0.074789,0.250543,0.050403,0.000832,0.014689,0.000416,0.001664,0.001281,0.000352,0.999966
0.428250,0.017665,0.209485,0.108775,0.069604,0.073796,0.256048,0.049731,0.000832,0.013857,0.000416,0.001536,0.001152,0.000384,0.987261
0.428218,0.017698,0.208076,0.104806,0.074725,0.075076,0.258160,0.049860,0.000864,0.014017,0.000416,0.001728,0.001120,0.000352,0.988445
0.428187,0.018017,0.227182,0.111559,0.073381,0.083301,0.271953,0.050147,0.000832,0.013825,0.000384,0.001440,0.001217,0.000416,1.021664
