Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.428217,0.017569,0.228845,0.005152,0.047427,0.000608,0.013505,0.000352,0.001408,0.133736,0.070020,0.078725,0.285873,0.000608,1.037948
0.428152,0.017601,0.208908,0.004832,0.047075,0.000608,0.013441,0.000384,0.001408,0.102182,0.067972,0.115014,0.288337,0.000704,1.019803
0.428921,0.017793,0.208684,0.005089,0.047490,0.000641,0.013504,0.000416,0.001472,0.106759,0.067204,0.081604,0.259375,0.000896,0.992794
0.429049,0.017377,0.208620,0.005088,0.048323,0.000608,0.013633,0.000384,0.001536,0.125767,0.071557,0.073060,0.273776,0.000768,1.006522
0.429048,0.017602,0.208844,0.005312,0.048547,0.000576,0.013985,0.000352,0.001472,0.098406,0.067043,0.074564,0.243214,0.000832,0.977304
0.429369,0.017537,0.209164,0.004897,0.048675,0.000576,0.013696,0.000416,0.001440,0.104998,0.067812,0.079268,0.255726,0.000832,0.989914
0.429337,0.017601,0.208524,0.005217,0.048963,0.000608,0.013953,0.000384,0.001440,0.101990,0.067236,0.074212,0.246894,0.000736,0.981593
0.429304,0.018209,0.208460,0.005120,0.047747,0.000576,0.013569,0.000352,0.001472,0.103078,0.066724,0.078436,0.251886,0.000769,0.985465
0.429913,0.017601,0.208780,0.005088,0.048899,0.000608,0.013569,0.000416,0.001408,0.104742,0.067396,0.079813,0.255279,0.000864,0.991705
0.429304,0.017889,0.208716,0.004896,0.048771,0.000608,0.013569,0.000416,0.001504,0.105926,0.069444,0.080133,0.258927,0.000672,0.993017
0.450394,0.017377,0.208684,0.005120,0.048323,0.000576,0.013697,0.000448,0.001440,0.106438,0.068996,0.085285,0.263983,0.000672,1.018299
0.429593,0.017537,0.208972,0.005184,0.048163,0.000672,0.014049,0.000384,0.001472,0.103206,0.076997,0.074948,0.258607,0.000768,0.992953
0.428920,0.017697,0.208588,0.005088,0.048195,0.000608,0.013953,0.000384,0.001504,0.108102,0.066980,0.083269,0.262031,0.000768,0.996665
0.448186,0.017793,0.209740,0.005536,0.048963,0.000640,0.013857,0.000384,0.001472,0.106438,0.067972,0.074532,0.252143,0.000640,1.007451
0.429337,0.017281,0.209228,0.004865,0.048706,0.000608,0.013761,0.000384,0.001472,0.104550,0.068483,0.077988,0.254447,0.000704,0.988473
0.429337,0.017313,0.209676,0.004864,0.048291,0.000608,0.013953,0.000352,0.001536,0.104294,0.069124,0.077861,0.254543,0.000672,0.988601
0.429625,0.017537,0.229389,0.005025,0.049283,0.000608,0.014113,0.000384,0.001440,0.105702,0.067780,0.082501,0.259311,0.000800,1.016123
0.429369,0.017569,0.208940,0.004896,0.048259,0.000608,0.013601,0.000384,0.001504,0.104966,0.069796,0.082437,0.260271,0.000704,0.993817
0.428952,0.017409,0.208940,0.004992,0.048003,0.000576,0.013569,0.000384,0.001504,0.116807,0.066308,0.079396,0.265903,0.000800,0.999129
0.429753,0.018369,0.209036,0.005312,0.048547,0.000576,0.013825,0.000416,0.001536,0.132776,0.079397,0.072868,0.288785,0.000832,1.025275
0.429785,0.017601,0.209420,0.005057,0.049602,0.000608,0.013697,0.000416,0.001472,0.104743,0.067844,0.076036,0.252143,0.000736,0.988601
0.428920,0.017409,0.209292,0.005152,0.048483,0.000640,0.013537,0.000384,0.001504,0.108102,0.067364,0.082629,0.261711,0.000736,0.995257
0.430713,0.017473,0.209068,0.005057,0.051075,0.000640,0.014497,0.000416,0.001504,0.110118,0.067524,0.083397,0.264527,0.000704,1.004666
0.428568,0.017825,0.208844,0.005088,0.048643,0.000576,0.013793,0.000352,0.001536,0.107014,0.068548,0.083877,0.262767,0.000832,0.996793
0.429401,0.017569,0.209004,0.005440,0.048963,0.000608,0.014145,0.000384,0.001472,0.101574,0.069636,0.077957,0.253039,0.000768,0.988953
0.428793,0.017313,0.209293,0.004928,0.049219,0.000608,0.013633,0.000416,0.001536,0.108230,0.067940,0.081605,0.261199,0.000896,0.995706
0.444954,0.017953,0.208844,0.005217,0.049314,0.000608,0.013601,0.000384,0.001440,0.134536,0.069668,0.079397,0.286961,0.000768,1.037564
0.429945,0.017345,0.208780,0.005377,0.048706,0.000577,0.014112,0.000384,0.001537,0.106598,0.068548,0.076132,0.254510,0.000768,0.989721
0.429145,0.017601,0.208972,0.005057,0.048962,0.000576,0.014112,0.000352,0.001504,0.107398,0.074564,0.085029,0.270288,0.000736,1.006682
0.446426,0.017729,0.209036,0.005313,0.048739,0.000544,0.013600,0.000352,0.001505,0.106374,0.064708,0.080068,0.254510,0.000672,1.006522
0.429272,0.017377,0.209132,0.005056,0.049795,0.000576,0.013473,0.000352,0.001472,0.103174,0.066340,0.078084,0.251054,0.000832,0.986265
0.429752,0.017505,0.208812,0.004832,0.049187,0.000544,0.013921,0.000352,0.001408,0.104550,0.067652,0.083269,0.258799,0.000704,0.993881
0.429209,0.017857,0.227214,0.005184,0.050371,0.000576,0.014401,0.000320,0.001696,0.110790,0.067364,0.072485,0.254511,0.000800,1.011963
0.428985,0.017409,0.209964,0.005312,0.048003,0.000576,0.013569,0.000384,0.001504,0.106758,0.068100,0.075877,0.254031,0.000736,0.988313
0.428665,0.017473,0.208812,0.005121,0.048706,0.000641,0.014208,0.000416,0.001473,0.099589,0.062500,0.073412,0.238989,0.000864,0.973368
0.429145,0.017345,0.208652,0.004992,0.048035,0.000576,0.013761,0.000384,0.001440,0.124327,0.064387,0.067908,0.260399,0.000800,0.993913
0.429785,0.017729,0.208364,0.005184,0.048931,0.000576,0.013601,0.000352,0.001408,0.108294,0.067139,0.079877,0.259183,0.000864,0.994713
0.429208,0.017473,0.208940,0.004960,0.048227,0.000608,0.013633,0.000384,0.001440,0.107942,0.068260,0.077797,0.257679,0.000736,0.991481
0.429561,0.017857,0.209357,0.005312,0.048259,0.000576,0.013633,0.000416,0.001472,0.107046,0.066052,0.082277,0.258959,0.000768,0.994362
0.429209,0.017665,0.209484,0.005280,0.048323,0.000608,0.014273,0.000384,0.001632,0.102534,0.062404,0.077412,0.245646,0.000768,0.981433
0.429273,0.017377,0.208748,0.005057,0.048962,0.000544,0.013952,0.000384,0.001505,0.104358,0.067876,0.072708,0.247982,0.000768,0.982617
0.429241,0.017441,0.208972,0.005440,0.048515,0.000544,0.014241,0.000352,0.001408,0.108294,0.069988,0.081668,0.263567,0.000800,0.999033
0.448506,0.017793,0.209036,0.005377,0.048675,0.000576,0.014369,0.000352,0.001504,0.112486,0.064324,0.077573,0.258063,0.000704,1.014523
0.430393,0.018145,0.208748,0.005056,0.048227,0.000576,0.014401,0.000608,0.001504,0.109254,0.069988,0.081796,0.264751,0.000800,1.001177
0.430073,0.017729,0.209004,0.004993,0.048098,0.000576,0.013760,0.000384,0.001536,0.103206,0.061635,0.079013,0.247279,0.000768,0.982585
0.447066,0.017761,0.209229,0.005024,0.047683,0.000576,0.014017,0.000352,0.001504,0.106598,0.068836,0.077988,0.256783,0.000736,1.009371
0.428953,0.017217,0.209068,0.005056,0.047811,0.000576,0.014241,0.000416,0.001504,0.108167,0.068132,0.077284,0.256943,0.000832,0.991353
0.429720,0.017761,0.208460,0.005088,0.048387,0.000576,0.014145,0.000384,0.001504,0.108870,0.074053,0.078244,0.264783,0.000768,1.000473
0.430264,0.017793,0.228397,0.005312,0.048675,0.000576,0.014113,0.000576,0.001472,0.113351,0.069124,0.078660,0.265103,0.000576,1.022139
0.429689,0.017794,0.208748,0.005440,0.048003,0.000544,0.014657,0.000384,0.001376,0.108966,0.068740,0.077765,0.259119,0.000704,0.994746
0.430873,0.017537,0.209196,0.004992,0.048579,0.000576,0.014369,0.000384,0.001472,0.110246,0.068132,0.078404,0.260815,0.000704,0.997625
0.430969,0.017857,0.224653,0.005280,0.049123,0.000608,0.014337,0.000384,0.001440,0.110471,0.067268,0.081957,0.263440,0.000672,1.018939
0.429529,0.017729,0.209100,0.005377,0.048386,0.000576,0.014593,0.000384,0.001536,0.111879,0.067332,0.080325,0.263280,0.000896,0.999642
0.430521,0.017537,0.208780,0.005120,0.047971,0.000608,0.013953,0.000384,0.001440,0.111142,0.068516,0.076485,0.259759,0.000832,0.995226
0.429368,0.017633,0.208620,0.005536,0.048611,0.000544,0.014337,0.000384,0.001440,0.115815,0.093061,0.075557,0.288273,0.000704,1.023803
0.429496,0.017793,0.208524,0.005536,0.048835,0.000640,0.014017,0.000416,0.001504,0.110598,0.065156,0.074085,0.253615,0.000736,0.989497
0.429112,0.017601,0.208684,0.005568,0.049603,0.000576,0.014273,0.000352,0.001440,0.112039,0.067011,0.082020,0.264623,0.000928,1.001433
0.429689,0.017665,0.208620,0.005216,0.048739,0.000576,0.014273,0.000320,0.001536,0.115463,0.069380,0.084101,0.272688,0.000768,1.007994
0.430041,0.017633,0.208940,0.005216,0.048163,0.000608,0.014689,0.000352,0.001536,0.109607,0.068548,0.086277,0.268304,0.000896,1.005146
