IN[0],INFER[0-6],OUT[6],TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.096166,1.606764,0.073765,1.782488,0.000768,0.002464,0.001120,0.000384,1.790424
0.097382,1.626765,0.077829,1.807033,0.000832,0.002625,0.001152,0.000416,1.815258
0.130121,1.608012,0.084806,1.828315,0.000928,0.003584,0.001120,0.000352,1.837339
0.099527,1.610380,0.091718,1.806969,0.000864,0.003425,0.001216,0.000384,1.816090
0.140201,1.613996,0.087302,1.848060,0.000768,0.003585,0.001248,0.000448,1.857469
0.097447,1.607788,0.083814,1.794713,0.000864,0.003648,0.001184,0.000416,1.804633
0.138217,1.607596,0.122312,1.874366,0.000832,0.002368,0.001345,0.000384,1.882751
0.096582,1.606924,0.080742,1.789976,0.000864,0.002432,0.001056,0.000384,1.797752
0.102119,1.629486,0.084741,1.822171,0.000896,0.003424,0.001120,0.000384,1.831419
0.131369,1.609420,0.085638,1.832283,0.000896,0.003584,0.001216,0.000416,1.841563
0.115976,1.630350,0.082373,1.834715,0.000865,0.002368,0.001088,0.000384,1.842556
0.133129,1.613868,0.115400,1.867517,0.000832,0.002336,0.001184,0.000384,1.875518
0.125448,1.629390,0.077317,1.838011,0.001088,0.003457,0.001120,0.000352,1.847164
0.113736,1.611084,0.099526,1.831547,0.000865,0.003520,0.001600,0.000352,1.841980
0.135881,1.627629,0.081286,1.850653,0.000768,0.002560,0.001216,0.000416,1.858621
0.100967,1.608781,0.083877,1.800185,0.000704,0.003520,0.001440,0.000448,1.810170
0.098119,1.628718,0.090694,1.824155,0.000768,0.003584,0.001248,0.000384,1.833468
0.098823,1.606796,0.083813,1.795096,0.000704,0.002496,0.001088,0.000384,1.803033
0.097063,1.635470,0.085958,1.825211,0.001056,0.002496,0.001120,0.000384,1.834235
0.130120,1.608876,0.080325,1.825082,0.000896,0.003521,0.001248,0.000384,1.834619
0.098759,1.725844,0.088262,1.918689,0.000864,0.003552,0.001152,0.000416,1.928065
0.128808,1.622317,0.080325,1.836731,0.000960,0.003201,0.001120,0.000416,1.846524
0.104007,1.628269,0.083430,1.821179,0.000832,0.002528,0.001056,0.000288,1.828955
0.134697,1.610828,0.082469,1.834907,0.000864,0.003136,0.001216,0.000448,1.843772
0.109768,1.644782,0.085990,1.848540,0.000992,0.003233,0.001152,0.000384,1.858333
0.099846,1.609868,0.088902,1.804889,0.000896,0.003456,0.001280,0.000416,1.814490
0.097191,1.629037,0.084966,1.816698,0.000864,0.003488,0.001089,0.000416,1.825819
0.133033,1.611117,0.076261,1.826235,0.000832,0.003488,0.001281,0.000352,1.835836
0.101223,1.607596,0.083237,1.797977,0.000800,0.003553,0.001344,0.000448,1.807578
0.126920,1.611245,0.077221,1.821018,0.000800,0.003456,0.001185,0.000352,1.830011
0.106695,1.608332,0.076261,1.797625,0.000864,0.002592,0.001248,0.000384,1.805945
