Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430075,0.017634,0.108070,0.622535,0.086917,0.821235,0.015649,0.000544,0.001377,0.001280,0.000608,1.294898
0.428443,0.017441,0.135369,0.653929,0.100391,0.893849,0.016513,0.000480,0.001440,0.001056,0.000448,1.366358
0.428251,0.017601,0.110759,0.610023,0.084709,0.808819,0.015393,0.000512,0.001440,0.001088,0.000320,1.279153
0.428827,0.017409,0.103879,0.611334,0.084069,0.803091,0.015233,0.000544,0.001344,0.001120,0.000384,1.274128
0.447964,0.017409,0.102886,0.609222,0.086693,0.802547,0.015297,0.000512,0.001408,0.001184,0.000416,1.292562
0.428667,0.017441,0.103335,0.612646,0.121480,0.841013,0.015041,0.000448,0.001440,0.000960,0.000384,1.311027
0.428091,0.017281,0.110695,0.633416,0.088966,0.836757,0.014305,0.000480,0.001408,0.001216,0.000384,1.305618
0.428091,0.017346,0.101702,0.612711,0.079653,0.797522,0.015521,0.000480,0.001504,0.001024,0.000384,1.267728
0.428123,0.017633,0.102023,0.611142,0.087334,0.803891,0.015265,0.000448,0.001440,0.000992,0.000384,1.273776
0.428443,0.017409,0.132200,0.622759,0.080229,0.839477,0.014145,0.000480,0.001536,0.001184,0.000352,1.309042
0.428411,0.018017,0.108071,0.617735,0.095110,0.824372,0.015009,0.000480,0.001408,0.001248,0.000384,1.295378
0.427995,0.017473,0.099943,0.610598,0.088422,0.802739,0.014753,0.000512,0.001536,0.001120,0.000384,1.271696
0.428603,0.017601,0.103239,0.619303,0.082917,0.809139,0.015105,0.000480,0.001408,0.001120,0.000576,1.279889
0.429883,0.017794,0.102662,0.609799,0.081989,0.798418,0.015553,0.000512,0.001376,0.001056,0.000608,1.271760
0.428987,0.017377,0.101126,0.627496,0.080837,0.812915,0.015297,0.000512,0.001376,0.000992,0.000384,1.283601
0.428283,0.017537,0.104231,0.611815,0.079269,0.799123,0.015233,0.000512,0.001408,0.001120,0.000576,1.270032
0.429083,0.017601,0.098631,0.606246,0.096870,0.806291,0.015169,0.000544,0.001504,0.001088,0.000640,1.277585
0.443964,0.017474,0.102214,0.610567,0.079685,0.796274,0.014401,0.000544,0.001472,0.001152,0.000576,1.281745
0.428731,0.017442,0.104870,0.610727,0.082501,0.801970,0.015041,0.000544,0.001408,0.001184,0.000640,1.272560
0.428891,0.017409,0.101542,0.616327,0.090214,0.811571,0.014337,0.000512,0.001376,0.001024,0.000384,1.281456
0.427995,0.017601,0.107559,0.619079,0.090022,0.821076,0.015937,0.000512,0.001504,0.001120,0.000416,1.291985
0.431323,0.017633,0.102150,0.611751,0.081669,0.799698,0.014721,0.000480,0.001376,0.001152,0.000640,1.272976
0.428187,0.017505,0.105767,0.634824,0.085509,0.829972,0.014817,0.000512,0.001408,0.001024,0.000384,1.299441
0.428635,0.017345,0.105063,0.619367,0.088358,0.816756,0.015393,0.000544,0.001472,0.001120,0.000576,1.288177
0.428283,0.017537,0.097318,0.610599,0.083749,0.795122,0.015105,0.000480,0.001440,0.001088,0.000352,1.265232
0.450940,0.017474,0.104006,0.610951,0.129096,0.848949,0.015649,0.000480,0.001440,0.000992,0.000384,1.343028
0.430299,0.017633,0.104678,0.620359,0.082886,0.813267,0.015233,0.000544,0.001440,0.000928,0.000384,1.285393
0.429115,0.017537,0.100807,0.632456,0.082885,0.820180,0.015777,0.000544,0.001408,0.001056,0.000384,1.292049
0.427963,0.017378,0.103750,0.616551,0.120392,0.844693,0.015361,0.000480,0.001440,0.001120,0.000384,1.314259
0.428891,0.017537,0.108263,0.610503,0.088261,0.811123,0.015617,0.000512,0.001440,0.001217,0.000640,1.283409
0.446364,0.017473,0.102342,0.607303,0.098982,0.812371,0.015585,0.000512,0.001472,0.000992,0.000352,1.301329
0.428155,0.017537,0.110247,0.607366,0.086213,0.807315,0.014433,0.000480,0.001408,0.001088,0.000384,1.276368
0.428795,0.017602,0.104838,0.615399,0.085253,0.809458,0.015552,0.000512,0.001408,0.001248,0.000352,1.281137
0.428251,0.017441,0.107207,0.612358,0.081573,0.805138,0.015329,0.000513,0.001408,0.001088,0.000448,1.276625
0.428091,0.017345,0.103462,0.612871,0.088710,0.809107,0.015425,0.000480,0.001536,0.001088,0.000384,1.279824
0.428411,0.017633,0.108391,0.640648,0.079557,0.832565,0.015777,0.000512,0.001536,0.001376,0.000384,1.304242
0.428731,0.018177,0.110631,0.623271,0.106470,0.844405,0.015425,0.000448,0.001409,0.001056,0.000384,1.315059
0.429211,0.017633,0.104647,0.611623,0.121799,0.841685,0.015361,0.000544,0.001569,0.001152,0.000640,1.314195
0.444444,0.017409,0.105895,0.615271,0.082149,0.807315,0.015361,0.000544,0.001440,0.001152,0.000416,1.294417
0.428155,0.017442,0.103334,0.611495,0.094054,0.812467,0.015009,0.000480,0.001440,0.000928,0.000352,1.282769
0.429147,0.017601,0.108935,0.643017,0.087877,0.844085,0.015393,0.000480,0.001440,0.001056,0.000416,1.315699
0.428123,0.017441,0.105927,0.613254,0.090245,0.813011,0.015265,0.000512,0.001536,0.001121,0.000384,1.284145
0.428155,0.017537,0.128200,0.640297,0.084677,0.856694,0.014305,0.000512,0.001472,0.001184,0.000416,1.325779
0.445788,0.017409,0.107559,0.612870,0.111495,0.835797,0.014368,0.000513,0.001440,0.001024,0.000384,1.322835
0.428091,0.017313,0.102662,0.606887,0.116775,0.830260,0.015393,0.000448,0.001408,0.000960,0.000416,1.300082
0.427867,0.017345,0.100966,0.617382,0.098855,0.821460,0.016001,0.000544,0.001472,0.001024,0.000416,1.292113
0.427995,0.017441,0.106343,0.612103,0.091141,0.813587,0.015777,0.000544,0.001536,0.001152,0.000448,1.285649
0.428571,0.017377,0.100263,0.607686,0.086725,0.798450,0.015265,0.000480,0.001376,0.000960,0.000384,1.268656
