IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.105703,1.080491,0.096103,1.288217,0.210350,0.005633,0.048739,0.000576,0.014593,0.000384,0.001600,0.001536,0.000416,1.576877
0.109479,1.063114,0.076901,1.256566,0.210767,0.012801,0.049379,0.000576,0.013985,0.000320,0.001408,0.001536,0.000416,1.552458
0.112104,1.104396,0.081222,1.303770,0.210702,0.005600,0.048707,0.000576,0.014497,0.000352,0.001633,0.001248,0.000416,1.592302
0.132234,1.058473,0.077061,1.274136,0.210671,0.005536,0.049443,0.000577,0.014369,0.000384,0.001600,0.001472,0.000384,1.563276
0.106536,1.061161,0.079525,1.253271,0.210382,0.009505,0.069669,0.000608,0.014113,0.000320,0.001536,0.001248,0.000384,1.566252
0.098790,1.057448,0.075973,1.238485,0.210926,0.005537,0.048931,0.000576,0.013889,0.000352,0.001536,0.001633,0.000416,1.526793
0.103943,1.059625,0.087718,1.257014,0.210351,0.009569,0.048451,0.000576,0.013793,0.000384,0.001472,0.001568,0.000416,1.548074
0.120040,1.060969,0.078886,1.266391,0.210735,0.009504,0.048292,0.000544,0.013505,0.000384,0.001344,0.001216,0.000416,1.557419
0.106311,1.058600,0.079845,1.250838,0.210191,0.005376,0.049251,0.000576,0.013729,0.000416,0.001536,0.001216,0.000384,1.538634
0.105320,1.079658,0.114248,1.305850,0.210511,0.009536,0.048676,0.000576,0.013665,0.000384,0.001472,0.001344,0.000416,1.597166
0.108263,1.060169,0.078438,1.252598,0.210478,0.009505,0.047843,0.000608,0.013601,0.000384,0.001505,0.001280,0.000416,1.542922
0.104167,1.073162,0.087910,1.271383,0.210094,0.009505,0.049059,0.000576,0.014049,0.000320,0.001600,0.001568,0.000384,1.563468
0.105640,1.056968,0.077029,1.245494,0.209806,0.005729,0.048451,0.000576,0.013633,0.000320,0.001504,0.001537,0.000384,1.532874
0.103495,1.061833,0.104551,1.275448,0.211022,0.005601,0.048483,0.000544,0.013761,0.000352,0.001472,0.001216,0.000416,1.563724
0.107111,1.058505,0.089222,1.261367,0.209774,0.005472,0.048291,0.000608,0.014337,0.000320,0.001536,0.001184,0.000384,1.549290
0.136009,1.059561,0.075334,1.277112,0.209582,0.009505,0.048803,0.000576,0.013889,0.000416,0.001568,0.001249,0.000384,1.567628
0.101671,1.053704,0.075269,1.236789,0.210255,0.005344,0.049092,0.000576,0.013665,0.000352,0.001440,0.001248,0.000448,1.524553
0.107624,1.060969,0.078117,1.253462,0.211855,0.009185,0.048739,0.000576,0.014561,0.000384,0.001632,0.001152,0.000417,1.547307
0.106119,1.085770,0.078982,1.277528,0.210190,0.005633,0.049379,0.000576,0.013729,0.000384,0.001504,0.001217,0.000448,1.565420
0.102951,1.060713,0.077350,1.247158,0.210062,0.005569,0.048323,0.000544,0.013569,0.000384,0.001504,0.001152,0.000384,1.533770
0.110472,1.077834,0.078982,1.274424,0.210382,0.005696,0.048099,0.000576,0.013729,0.000352,0.001536,0.001249,0.000448,1.561644
0.130249,1.059400,0.075878,1.272248,0.209582,0.005857,0.048835,0.000576,0.013985,0.000352,0.001632,0.001408,0.000416,1.559916
0.116360,1.103180,0.090822,1.316570,0.210159,0.005600,0.048132,0.000576,0.014561,0.000384,0.001600,0.001280,0.000448,1.604334
0.104743,1.066441,0.077830,1.255382,0.209902,0.009633,0.048867,0.000640,0.015137,0.000385,0.001536,0.001248,0.000384,1.547819
0.103847,1.058217,0.094855,1.263223,0.210222,0.009633,0.048675,0.000608,0.013824,0.000353,0.001504,0.001248,0.000448,1.554507
0.133065,1.063018,0.077061,1.279480,0.209998,0.005408,0.048643,0.000544,0.014081,0.000384,0.001472,0.001088,0.000416,1.566060
0.106119,1.059241,0.083526,1.255190,0.209998,0.005537,0.047747,0.000544,0.013793,0.000416,0.001440,0.001088,0.000384,1.540681
0.106855,1.063593,0.082693,1.258967,0.215022,0.005665,0.047907,0.000608,0.013857,0.000384,0.001856,0.001184,0.000416,1.550795
0.106215,1.059497,0.079237,1.251510,0.210798,0.005601,0.048931,0.000576,0.013697,0.000384,0.001536,0.001248,0.000384,1.539593
0.105543,1.077834,0.079174,1.268887,0.210862,0.005633,0.048707,0.000576,0.013569,0.000384,0.001472,0.001216,0.000384,1.557067
0.138794,1.059337,0.079589,1.285016,0.210415,0.005600,0.047876,0.000608,0.013793,0.000384,0.001504,0.001344,0.000384,1.572108
0.104519,1.073482,0.081734,1.265783,0.210606,0.005568,0.048803,0.000576,0.014529,0.000384,0.001505,0.001216,0.000416,1.554059
0.135305,1.059785,0.086310,1.287736,0.210063,0.005536,0.048419,0.000576,0.013953,0.000384,0.001568,0.001344,0.000416,1.574764
0.105832,1.077834,0.084166,1.273752,0.210318,0.009441,0.049188,0.000544,0.013889,0.000384,0.001472,0.001632,0.000384,1.566092
