Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.431482,0.017537,0.211148,0.005089,0.049442,0.000609,0.106022,0.084229,0.077220,0.271216,0.002336,0.001056,0.000416,0.997819
0.428665,0.017761,0.210028,0.005344,0.048675,0.000640,0.101158,0.082469,0.072805,0.260048,0.002432,0.001088,0.000416,0.982330
0.429081,0.017825,0.208908,0.005824,0.049635,0.000640,0.104134,0.081220,0.080517,0.269168,0.002592,0.001376,0.000673,0.993147
0.428921,0.017377,0.209581,0.005408,0.049731,0.000576,0.108134,0.082756,0.072869,0.267184,0.002464,0.001152,0.000384,0.989882
0.428697,0.017569,0.209100,0.005249,0.048579,0.000608,0.109062,0.081221,0.076293,0.269840,0.002624,0.001280,0.000448,0.991674
0.428537,0.017697,0.209932,0.005152,0.049411,0.000800,0.106279,0.082245,0.073540,0.265264,0.002720,0.001216,0.000640,0.988314
0.449082,0.017569,0.208877,0.005184,0.048995,0.000608,0.103718,0.082117,0.074116,0.263663,0.002497,0.001344,0.000448,1.006235
0.428505,0.017761,0.209421,0.005184,0.048739,0.000544,0.127559,0.084197,0.078277,0.293233,0.002368,0.001152,0.000416,1.014235
0.428313,0.017601,0.209100,0.005345,0.047330,0.000608,0.098565,0.080933,0.078821,0.261519,0.002240,0.001248,0.000416,0.980473
0.448730,0.017729,0.209036,0.005152,0.047331,0.000800,0.109959,0.080580,0.073381,0.267280,0.002432,0.001024,0.000448,1.007611
0.429626,0.017505,0.209900,0.005121,0.048931,0.000736,0.129607,0.085989,0.079973,0.299025,0.002688,0.001216,0.000416,1.022397
0.430650,0.017441,0.208908,0.004960,0.049603,0.000704,0.090662,0.079877,0.069220,0.243279,0.002432,0.000928,0.000416,0.965625
0.429114,0.017345,0.228077,0.005249,0.047874,0.000769,0.104998,0.077540,0.068196,0.254190,0.002048,0.001120,0.000416,0.994107
0.429529,0.017441,0.208684,0.005057,0.047554,0.000609,0.102790,0.076708,0.079973,0.262927,0.002688,0.001216,0.000416,0.984121
0.428761,0.017441,0.209228,0.005472,0.047555,0.000800,0.101670,0.082277,0.084485,0.271920,0.002272,0.001184,0.000352,0.992282
0.428633,0.017633,0.208492,0.005120,0.047299,0.000960,0.108519,0.082212,0.117766,0.312243,0.002336,0.001184,0.000416,1.032285
0.428953,0.017665,0.208940,0.005152,0.047491,0.000896,0.107174,0.082756,0.080453,0.274064,0.002624,0.001249,0.000416,0.996379
0.428601,0.017505,0.208813,0.005184,0.050051,0.000736,0.105350,0.082117,0.074949,0.266128,0.002336,0.001312,0.000448,0.988410
0.429209,0.017697,0.208845,0.005344,0.049411,0.000576,0.105158,0.080421,0.083621,0.272848,0.002400,0.001216,0.000416,0.995131
0.429626,0.017697,0.208300,0.005216,0.048130,0.000576,0.106055,0.083109,0.080676,0.273297,0.002624,0.001216,0.000448,0.994907
0.429529,0.017633,0.209261,0.005152,0.049923,0.000736,0.109927,0.082948,0.075012,0.271568,0.002624,0.001088,0.000416,0.995514
0.429017,0.017569,0.208748,0.005313,0.047778,0.000800,0.106342,0.081285,0.079940,0.270960,0.002592,0.001152,0.000384,0.991738
0.448058,0.017729,0.208652,0.005088,0.047907,0.000640,0.132200,0.079493,0.072132,0.287537,0.002336,0.001152,0.000352,1.027388
0.429369,0.017377,0.208364,0.005184,0.049955,0.000864,0.108391,0.083653,0.081892,0.277264,0.002432,0.001312,0.000448,1.000475
0.429177,0.017409,0.209228,0.005152,0.048995,0.000800,0.106471,0.082308,0.075012,0.267120,0.002400,0.001184,0.000416,0.989466
0.444698,0.017633,0.208812,0.005056,0.048962,0.000768,0.101669,0.079908,0.071141,0.256496,0.002400,0.001472,0.000416,0.992794
0.428729,0.017345,0.208940,0.004929,0.048963,0.000608,0.105926,0.082437,0.075716,0.267855,0.003041,0.001056,0.000352,0.989018
0.428665,0.017569,0.208908,0.005024,0.048739,0.000544,0.089829,0.078852,0.073573,0.245903,0.002464,0.001056,0.000416,0.965593
0.432090,0.017345,0.208620,0.005312,0.047875,0.000800,0.111495,0.079013,0.075780,0.270032,0.003232,0.000960,0.000449,0.993691
0.429049,0.017345,0.208525,0.004960,0.050051,0.000800,0.101350,0.082533,0.070756,0.258063,0.002240,0.000896,0.000384,0.978585
0.428409,0.017313,0.208525,0.004864,0.048835,0.000864,0.094598,0.080836,0.072293,0.251119,0.002368,0.000928,0.000416,0.969721
0.429177,0.017409,0.208780,0.004928,0.049987,0.000800,0.098598,0.078085,0.071876,0.252207,0.002432,0.000960,0.000384,0.973625
0.428506,0.018113,0.209004,0.005504,0.049379,0.000640,0.104935,0.077732,0.078533,0.264656,0.002656,0.001088,0.000480,0.987546
0.429530,0.017569,0.208140,0.004960,0.049795,0.000800,0.108230,0.088549,0.072517,0.273296,0.002560,0.000896,0.000448,0.994587
0.429049,0.017441,0.209869,0.005312,0.048643,0.000608,0.103526,0.083109,0.082245,0.272080,0.003072,0.001344,0.000448,0.995258
0.445338,0.017505,0.209325,0.005312,0.049347,0.000768,0.107142,0.081573,0.079397,0.271632,0.002240,0.001152,0.000448,1.010427
0.430170,0.017441,0.208428,0.005185,0.049731,0.000768,0.108966,0.080901,0.078277,0.271632,0.002304,0.001024,0.000384,0.995771
0.427641,0.017633,0.209356,0.005344,0.049059,0.000800,0.099142,0.077317,0.071620,0.251407,0.002400,0.001280,0.000448,0.972633
0.429401,0.017441,0.224493,0.005505,0.048258,0.000576,0.108934,0.082437,0.077508,0.272529,0.002208,0.001216,0.000384,1.009724
0.428057,0.017537,0.209420,0.005217,0.049827,0.000608,0.103398,0.081893,0.077156,0.265743,0.002273,0.001152,0.000352,0.987194
0.429689,0.017537,0.209452,0.005313,0.048643,0.000768,0.097701,0.075205,0.074852,0.251822,0.002497,0.001088,0.000640,0.974746
0.430841,0.017601,0.209421,0.005568,0.048675,0.000640,0.097990,0.100550,0.077796,0.280081,0.002816,0.001120,0.000384,1.004155
0.429082,0.017569,0.209036,0.005440,0.051203,0.001089,0.104230,0.077700,0.072485,0.257775,0.002496,0.001152,0.000448,0.982714
0.428729,0.017794,0.208716,0.005376,0.048771,0.000608,0.113191,0.078852,0.076484,0.271728,0.002592,0.001216,0.000448,0.993786
0.429017,0.017345,0.208781,0.005312,0.048035,0.000768,0.111622,0.079876,0.073413,0.268368,0.002592,0.001152,0.000384,0.988890
0.429945,0.017409,0.209228,0.004896,0.050211,0.000832,0.134856,0.084901,0.074981,0.298002,0.002528,0.001088,0.000384,1.022908
0.428858,0.017505,0.209804,0.004896,0.050659,0.000608,0.102630,0.082308,0.078884,0.267151,0.002432,0.001057,0.000384,0.990427
0.428601,0.017441,0.209868,0.005121,0.050819,0.000608,0.100966,0.082277,0.078500,0.265167,0.002401,0.001088,0.000608,0.988090
0.446522,0.017377,0.209325,0.005280,0.048579,0.000608,0.102214,0.080389,0.077029,0.263248,0.002240,0.001056,0.000384,1.001627
0.428601,0.017441,0.209037,0.005408,0.048291,0.000800,0.107910,0.077797,0.077700,0.266736,0.002496,0.001120,0.000416,0.987770
0.430329,0.017345,0.209069,0.005408,0.049187,0.000768,0.101094,0.082725,0.078117,0.265136,0.002368,0.001152,0.000416,0.988570
0.428153,0.017313,0.226157,0.005185,0.048546,0.000768,0.101478,0.076164,0.077925,0.259119,0.005824,0.001120,0.000416,1.000794
0.428633,0.017377,0.209708,0.005120,0.049187,0.000576,0.106822,0.082020,0.078917,0.271024,0.002336,0.001152,0.000736,0.994395
0.429978,0.017633,0.210188,0.005441,0.049635,0.000608,0.102502,0.082533,0.080356,0.268591,0.002465,0.001792,0.000608,0.994267
0.428985,0.017409,0.209516,0.005280,0.047875,0.000608,0.121543,0.089734,0.071076,0.285585,0.002240,0.001024,0.000576,1.006107
0.429049,0.017345,0.209836,0.005153,0.049155,0.000608,0.104454,0.075812,0.078085,0.261903,0.002976,0.001152,0.000416,0.985210
