Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429146,0.018209,0.210381,0.005248,0.102311,0.130312,0.076836,0.313171,0.000768,0.013952,0.000416,0.001568,0.001184,0.000384,1.001757
0.431803,0.017569,0.209837,0.005312,0.103270,0.119176,0.097029,0.323284,0.001216,0.017889,0.000416,0.001440,0.001312,0.000608,1.018430
0.429146,0.017665,0.209836,0.005057,0.102022,0.118023,0.091558,0.315155,0.000704,0.014945,0.000384,0.001472,0.001280,0.000416,1.003805
0.433338,0.017761,0.209389,0.005248,0.104583,0.120391,0.078533,0.307059,0.000800,0.014433,0.000352,0.001504,0.001344,0.000416,0.999228
0.430618,0.017761,0.210317,0.005408,0.104231,0.119495,0.079621,0.306995,0.000768,0.014977,0.000384,0.001504,0.001120,0.000608,0.997596
0.429146,0.017569,0.209068,0.005377,0.102758,0.113959,0.079589,0.299474,0.000800,0.014529,0.000352,0.001504,0.001248,0.000416,0.986524
0.433370,0.017409,0.209773,0.005216,0.106439,0.119687,0.074629,0.304627,0.000704,0.014209,0.000384,0.001504,0.001216,0.000672,0.996508
0.428986,0.017633,0.209421,0.005056,0.103238,0.118631,0.083749,0.309043,0.000800,0.014305,0.000352,0.001472,0.001280,0.000352,0.995612
0.449691,0.017761,0.209228,0.005313,0.106726,0.118855,0.109670,0.338676,0.000832,0.015425,0.000448,0.001600,0.001153,0.000384,1.047904
0.429498,0.017921,0.210093,0.005312,0.102119,0.119143,0.075012,0.299891,0.000832,0.014241,0.000416,0.001568,0.001184,0.000416,0.989020
0.428826,0.017665,0.208653,0.005216,0.115783,0.120456,0.080965,0.320788,0.000800,0.014849,0.000352,0.001472,0.001248,0.000608,1.008637
0.450651,0.017697,0.210029,0.005185,0.106086,0.115719,0.086341,0.311474,0.000705,0.015008,0.000417,0.001568,0.001280,0.000608,1.023006
0.428698,0.017761,0.209293,0.004928,0.098566,0.119528,0.095365,0.317076,0.000736,0.015649,0.000480,0.001600,0.001184,0.000608,1.005949
0.428506,0.017570,0.209804,0.005281,0.102982,0.118183,0.076741,0.301170,0.000736,0.014945,0.000416,0.001536,0.001184,0.000416,0.988476
0.428506,0.017473,0.209197,0.023617,0.098598,0.115079,0.075493,0.292850,0.000864,0.014081,0.000384,0.001504,0.001056,0.000448,0.997212
0.429210,0.017729,0.210029,0.005504,0.101030,0.120296,0.081125,0.305843,0.000768,0.015617,0.000384,0.001568,0.001248,0.000576,0.995836
0.428634,0.017537,0.209165,0.005440,0.106919,0.119399,0.076933,0.306771,0.000768,0.014753,0.000384,0.001440,0.001184,0.000608,0.993820
0.429338,0.017601,0.209133,0.005440,0.101799,0.120615,0.099110,0.325044,0.000736,0.014177,0.000352,0.001536,0.001280,0.000608,1.012829
0.429946,0.017377,0.210093,0.004896,0.101926,0.118439,0.089510,0.313363,0.000992,0.014721,0.000416,0.001536,0.001152,0.000640,1.002204
0.429242,0.017825,0.208461,0.004928,0.103142,0.119976,0.078564,0.305234,0.000800,0.014528,0.000480,0.001505,0.001248,0.000384,0.991580
0.428986,0.017665,0.209868,0.005313,0.101734,0.116615,0.073285,0.295186,0.000800,0.015425,0.000384,0.001568,0.001184,0.000416,0.984028
0.428826,0.017793,0.208940,0.005345,0.107622,0.120872,0.092613,0.324819,0.000832,0.015201,0.000480,0.001537,0.001248,0.000416,1.013374
0.428986,0.017794,0.209356,0.005377,0.102886,0.113159,0.077477,0.297010,0.000736,0.014657,0.000416,0.001600,0.001312,0.000416,0.985052
0.428890,0.017569,0.210061,0.004896,0.099750,0.119207,0.077413,0.299859,0.000768,0.014145,0.000416,0.001600,0.001184,0.000384,0.986620
0.444475,0.017794,0.208492,0.005153,0.104358,0.116647,0.072965,0.297554,0.000736,0.015297,0.000416,0.001568,0.001248,0.000672,1.000285
0.430107,0.017825,0.209133,0.005344,0.108071,0.115719,0.076740,0.304722,0.000800,0.016449,0.000416,0.001760,0.001184,0.000640,0.997821
0.431962,0.017569,0.209933,0.005120,0.108935,0.117863,0.079013,0.309459,0.000736,0.014529,0.000384,0.001600,0.001216,0.000608,1.000604
0.453468,0.019809,0.209005,0.005280,0.109607,0.113991,0.079877,0.306995,0.000768,0.014497,0.000416,0.001536,0.001312,0.000672,1.022814
0.429530,0.017633,0.210125,0.005280,0.108775,0.117927,0.077989,0.309011,0.000768,0.014593,0.000384,0.001600,0.001184,0.000640,0.997852
0.429114,0.017601,0.210764,0.005025,0.112967,0.125447,0.097318,0.339188,0.000704,0.015233,0.000384,0.001536,0.001248,0.000417,1.028927
0.428954,0.017601,0.230766,0.005440,0.108423,0.119719,0.077701,0.309523,0.000704,0.015905,0.000384,0.001568,0.001248,0.000672,1.020702
0.428665,0.017537,0.210349,0.005312,0.109287,0.118823,0.076197,0.308083,0.000768,0.014593,0.000352,0.001600,0.001280,0.000416,0.997660
0.429242,0.017729,0.209101,0.005312,0.104262,0.116487,0.090502,0.314963,0.000800,0.015425,0.000384,0.001504,0.001408,0.000832,1.004156
0.428986,0.017537,0.209804,0.005217,0.116647,0.140552,0.075652,0.336820,0.000736,0.014561,0.000448,0.001440,0.001248,0.000416,1.025247
0.429690,0.017601,0.210605,0.005248,0.106887,0.120519,0.075525,0.306771,0.000704,0.015297,0.000416,0.001472,0.001280,0.000608,0.997052
0.428441,0.017793,0.210349,0.005248,0.107046,0.119400,0.083333,0.313459,0.000704,0.014913,0.000352,0.001568,0.001440,0.000416,1.003260
0.430138,0.017569,0.210669,0.005345,0.108454,0.119847,0.089701,0.321747,0.000800,0.014977,0.000352,0.001536,0.001312,0.000864,1.012701
0.429434,0.017729,0.210061,0.004992,0.109127,0.123815,0.083109,0.319443,0.000768,0.015841,0.000352,0.001600,0.001281,0.000416,1.010334
0.428858,0.017569,0.210956,0.005313,0.104454,0.121063,0.100871,0.330132,0.000832,0.016833,0.000416,0.001536,0.001216,0.000416,1.022558
0.429018,0.017537,0.209804,0.005153,0.107238,0.119496,0.080325,0.310963,0.000832,0.018305,0.000384,0.001632,0.001184,0.000640,1.004285
0.428954,0.017601,0.209357,0.005344,0.104838,0.113670,0.074052,0.296146,0.000832,0.015969,0.000320,0.001568,0.001248,0.000416,0.984891
0.428858,0.017601,0.210189,0.005280,0.108615,0.114599,0.077189,0.304307,0.000896,0.014945,0.000384,0.001536,0.001184,0.000416,0.994364
0.428634,0.017633,0.210029,0.005472,0.107911,0.119271,0.075300,0.306067,0.000736,0.015681,0.000576,0.001600,0.001216,0.000384,0.995452
0.447803,0.017698,0.209324,0.005377,0.109542,0.115719,0.073061,0.301938,0.000736,0.015393,0.000384,0.001632,0.001280,0.000704,1.010269
0.439067,0.017601,0.209453,0.005216,0.107271,0.112871,0.080997,0.305011,0.000704,0.014657,0.000384,0.001632,0.001280,0.000384,1.003005
0.430458,0.017505,0.209068,0.005345,0.108614,0.119304,0.084453,0.316499,0.000768,0.014625,0.000416,0.001600,0.001216,0.000608,1.006717
0.462108,0.017889,0.210637,0.005056,0.113255,0.118023,0.073285,0.308339,0.000768,0.014465,0.000384,0.001664,0.001248,0.000608,1.031230
0.429370,0.017569,0.209901,0.005280,0.109191,0.119975,0.079877,0.312691,0.000864,0.014561,0.000352,0.001536,0.001216,0.000352,1.001885
0.429402,0.017601,0.210540,0.005441,0.107462,0.117895,0.086725,0.315667,0.000672,0.015137,0.000320,0.001664,0.001248,0.000672,1.005821
0.429306,0.017505,0.231406,0.005313,0.109286,0.116647,0.073732,0.303378,0.000768,0.015265,0.000352,0.001632,0.001280,0.000576,1.016349
0.428986,0.017665,0.209836,0.005089,0.106886,0.118632,0.082245,0.311283,0.000896,0.014817,0.000416,0.001536,0.001248,0.000416,0.999868
0.428730,0.017601,0.210060,0.005217,0.114567,0.118375,0.081253,0.317715,0.000832,0.014913,0.000384,0.001600,0.001344,0.000384,1.007133
0.428698,0.017570,0.209868,0.005281,0.107558,0.139369,0.075108,0.325779,0.000832,0.016065,0.000384,0.001760,0.001280,0.000640,1.015742
0.428218,0.017698,0.209708,0.005313,0.106790,0.117639,0.087078,0.315219,0.000736,0.015393,0.000384,0.001600,0.001440,0.000576,1.004925
0.429306,0.017601,0.209421,0.005344,0.107271,0.119303,0.086885,0.317043,0.000992,0.015873,0.000416,0.001601,0.001280,0.000416,1.006557
0.429786,0.017569,0.209420,0.005185,0.110278,0.117127,0.079909,0.310867,0.000864,0.031394,0.000672,0.001696,0.001248,0.000608,1.019294
0.429754,0.017505,0.209133,0.005344,0.107911,0.117479,0.078533,0.307827,0.000960,0.015361,0.000384,0.001568,0.001280,0.000640,0.997020
0.429210,0.017793,0.208973,0.005344,0.102279,0.113735,0.086981,0.306899,0.000768,0.015009,0.000416,0.001536,0.001280,0.000384,0.995292
0.428794,0.017793,0.208845,0.005312,0.108743,0.119975,0.088517,0.320627,0.000705,0.014432,0.000384,0.001536,0.001280,0.000384,1.008061
