Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.429466,0.017505,0.209613,0.005152,0.046915,0.099398,0.070468,0.082789,0.256431,0.015681,0.000480,0.001536,0.000896,0.000320,0.991323
0.429049,0.017601,0.209036,0.004896,0.047490,0.108039,0.066500,0.089349,0.267664,0.014753,0.000480,0.001568,0.001089,0.000384,1.003196
0.429113,0.018017,0.209708,0.005312,0.047107,0.105927,0.060387,0.079621,0.249487,0.015713,0.000736,0.001632,0.001024,0.000448,0.986746
0.427866,0.018401,0.210348,0.005408,0.048515,0.104998,0.065284,0.087557,0.261263,0.015329,0.000512,0.001536,0.001184,0.000416,0.999036
0.428314,0.017921,0.210157,0.005152,0.048195,0.105798,0.074821,0.078916,0.262735,0.015425,0.000672,0.001441,0.001152,0.000416,0.999612
0.444955,0.017697,0.209516,0.005281,0.049315,0.106054,0.066948,0.087909,0.264335,0.015393,0.000768,0.001504,0.001184,0.000384,1.018333
0.428345,0.017665,0.209452,0.004928,0.047651,0.109319,0.064580,0.078500,0.255983,0.015360,0.000769,0.001472,0.001248,0.000608,0.990971
0.428089,0.017729,0.209004,0.005088,0.048099,0.096358,0.058436,0.068388,0.226862,0.015009,0.000736,0.001664,0.001088,0.000672,0.961369
0.449083,0.018274,0.211308,0.005408,0.049026,0.145513,0.074725,0.097702,0.321972,0.015585,0.000768,0.001696,0.002496,0.000640,1.089025
0.429785,0.017698,0.210188,0.005184,0.048771,0.100358,0.060772,0.090502,0.255504,0.015265,0.000736,0.001696,0.001216,0.000384,0.994299
0.429498,0.017825,0.209485,0.005312,0.048867,0.105574,0.075173,0.093733,0.278640,0.015425,0.000768,0.001409,0.001120,0.000640,1.016477
0.428890,0.034978,0.210860,0.005505,0.048355,0.102534,0.060484,0.073124,0.239758,0.017633,0.000800,0.001760,0.001440,0.000416,0.998748
0.428346,0.017633,0.210348,0.005537,0.048611,0.100614,0.066468,0.087429,0.258895,0.015521,0.000704,0.001504,0.001280,0.000416,0.996923
0.428442,0.017921,0.209325,0.005184,0.049027,0.102246,0.066980,0.073700,0.246575,0.015264,0.000768,0.001696,0.001152,0.000416,0.983131
0.427417,0.017633,0.209708,0.005121,0.048482,0.123144,0.065412,0.073956,0.266096,0.016161,0.000704,0.001665,0.001120,0.000384,1.002140
0.427738,0.017729,0.209068,0.005409,0.048707,0.102086,0.062275,0.080676,0.248494,0.015297,0.000768,0.001473,0.001120,0.000416,0.983483
