Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.428921,0.017505,0.208876,0.004929,0.047618,0.000608,0.101350,0.084581,0.056964,0.246223,0.960728
0.428953,0.017569,0.227117,0.005153,0.047394,0.000608,0.121800,0.081444,0.055395,0.261808,0.995258
0.429561,0.017377,0.208429,0.005088,0.047299,0.000608,0.098118,0.087077,0.058019,0.246062,0.959608
0.428441,0.017345,0.208780,0.004961,0.047426,0.000736,0.104966,0.086597,0.057251,0.251854,0.964824
0.428729,0.017537,0.208588,0.004993,0.047874,0.000768,0.100774,0.115495,0.078149,0.298226,1.013659
0.427961,0.017313,0.208460,0.004864,0.048931,0.000608,0.104359,0.084293,0.059907,0.251855,0.965432
0.427961,0.017377,0.208301,0.005056,0.047395,0.000576,0.103878,0.086405,0.057475,0.250959,0.962233
0.435577,0.018882,0.214540,0.005664,0.048130,0.000736,0.135400,0.088934,0.060067,0.288049,1.020891
0.430169,0.017537,0.209164,0.005312,0.048515,0.000864,0.106886,0.088614,0.058115,0.257295,0.975065
0.429401,0.017665,0.209005,0.005120,0.048803,0.000736,0.100230,0.082117,0.054851,0.240302,0.956504
0.429817,0.018274,0.208812,0.005152,0.048515,0.000768,0.098502,0.081125,0.054979,0.237806,0.955352
0.447610,0.017505,0.209260,0.005248,0.047235,0.000576,0.121863,0.082021,0.055971,0.262831,0.995739
0.429113,0.017729,0.208172,0.004929,0.047266,0.000800,0.103879,0.087717,0.057859,0.252559,0.966328
0.429337,0.018145,0.208652,0.005024,0.047267,0.000608,0.102470,0.102438,0.062020,0.271600,0.986970
0.428665,0.017473,0.232110,0.005280,0.047171,0.000608,0.097094,0.084453,0.056643,0.241646,0.979033
0.428473,0.017505,0.209036,0.004928,0.047011,0.000576,0.120295,0.088645,0.057059,0.269232,0.982394
0.428729,0.017377,0.209325,0.005088,0.046979,0.000576,0.124135,0.088869,0.057444,0.273648,0.987194
0.428697,0.017409,0.208908,0.004897,0.046946,0.000576,0.107367,0.109990,0.064452,0.285233,0.998202
0.430073,0.017473,0.208876,0.005281,0.046978,0.001024,0.108583,0.089221,0.057155,0.257999,0.973113
0.428121,0.017377,0.208620,0.004896,0.047171,0.000576,0.132040,0.089221,0.059203,0.284369,0.997211
0.429273,0.017377,0.208493,0.005088,0.047043,0.000576,0.107142,0.085189,0.058052,0.253519,0.967129
0.433050,0.017377,0.208492,0.004832,0.047170,0.000544,0.099462,0.081861,0.055651,0.240110,0.956952
0.433274,0.017537,0.208780,0.004928,0.047267,0.000512,0.098438,0.086949,0.058116,0.246543,0.964057
0.430457,0.017473,0.209517,0.005024,0.047043,0.001024,0.095045,0.081764,0.056228,0.236398,0.953272
0.447066,0.017537,0.209100,0.004929,0.047170,0.000609,0.100101,0.081541,0.055972,0.240942,0.972985
0.430297,0.017761,0.209901,0.005056,0.048547,0.000768,0.109350,0.087621,0.058276,0.258671,0.976761
0.430745,0.018049,0.209676,0.004929,0.048898,0.000576,0.091462,0.079717,0.059107,0.233550,0.952184
