Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.429850,0.017793,0.208621,0.114503,0.153386,0.095877,0.369271,0.003488,0.000896,0.000448,1.035519
0.428730,0.017665,0.208781,0.094982,0.136936,0.074213,0.309843,0.002304,0.001024,0.000384,0.974619
0.428570,0.018497,0.209293,0.080261,0.134408,0.074501,0.294226,0.003040,0.000992,0.000448,0.960890
0.428154,0.017217,0.208941,0.107751,0.145801,0.076421,0.333397,0.002528,0.001056,0.000416,0.996477
0.429466,0.018018,0.208524,0.102855,0.149545,0.076389,0.332469,0.002464,0.000992,0.000320,0.997373
0.430074,0.017537,0.209325,0.118759,0.176939,0.078693,0.378487,0.003072,0.001088,0.000352,1.045760
0.429243,0.018337,0.209325,0.089797,0.144201,0.073573,0.311315,0.003392,0.001056,0.000352,0.977980
0.442139,0.017506,0.209452,0.095942,0.137161,0.071204,0.308403,0.003585,0.001024,0.000320,0.987389
0.429243,0.017793,0.210733,0.087589,0.137065,0.081381,0.309747,0.003104,0.001024,0.000352,0.977564
0.428570,0.017441,0.209613,0.085061,0.151433,0.086085,0.327284,0.002176,0.001024,0.000416,0.991004
0.428730,0.017985,0.209005,0.099238,0.135209,0.077380,0.315251,0.003457,0.000992,0.000352,0.980700
0.428986,0.017761,0.210317,0.087077,0.134025,0.074852,0.300594,0.003521,0.001056,0.000352,0.967195
0.430042,0.017889,0.210957,0.097318,0.143689,0.076293,0.321044,0.003520,0.001152,0.000320,0.991580
0.430234,0.017442,0.208972,0.111847,0.142953,0.083653,0.342069,0.003169,0.001024,0.000288,1.007966
0.428218,0.017698,0.211021,0.097478,0.154729,0.116167,0.372982,0.003201,0.001056,0.000352,1.040992
0.428858,0.017793,0.211021,0.104359,0.142120,0.086726,0.337397,0.003584,0.001344,0.000416,1.007421
0.429019,0.017729,0.209581,0.096326,0.141384,0.084390,0.326036,0.002400,0.001088,0.000384,0.991133
0.441339,0.017505,0.209869,0.091430,0.135112,0.076677,0.306867,0.002976,0.001152,0.000352,0.985245
0.428218,0.017729,0.210381,0.095878,0.140265,0.082117,0.322132,0.003296,0.001152,0.000352,0.988668
0.427354,0.017697,0.208813,0.100998,0.139305,0.075780,0.320403,0.003361,0.001056,0.000320,0.983772
0.441627,0.017633,0.209773,0.102375,0.139784,0.083461,0.329044,0.002752,0.001088,0.000352,1.007038
0.427546,0.017697,0.208524,0.119464,0.139880,0.116392,0.379768,0.003200,0.001120,0.000640,1.044160
0.427514,0.017729,0.209197,0.088070,0.137448,0.080837,0.309523,0.002848,0.001056,0.000384,0.973084
0.428954,0.017601,0.209069,0.120136,0.146633,0.100006,0.370999,0.002784,0.001216,0.000384,1.036735
0.427835,0.017793,0.208749,0.098534,0.141705,0.105062,0.349237,0.002912,0.001120,0.000416,1.014014
0.429210,0.017665,0.208397,0.097190,0.138856,0.081605,0.321716,0.002432,0.000960,0.000608,0.987229
0.428602,0.017729,0.209068,0.098663,0.140296,0.080037,0.322516,0.002176,0.001152,0.000417,0.986397
0.428699,0.018017,0.209133,0.098054,0.139752,0.110567,0.351861,0.002496,0.001088,0.000384,1.016575
0.428187,0.017537,0.209901,0.099430,0.137800,0.096742,0.338164,0.002945,0.001152,0.000384,1.003710
0.428730,0.017825,0.209197,0.121448,0.146793,0.078277,0.350710,0.003264,0.001088,0.000288,1.015806
0.443036,0.017825,0.209133,0.094277,0.137865,0.079237,0.314867,0.002944,0.001184,0.000384,0.994237
0.431099,0.017633,0.210093,0.113575,0.141833,0.086469,0.345589,0.003072,0.001088,0.000416,1.013854
0.427482,0.017633,0.209004,0.095686,0.138537,0.081669,0.319700,0.002208,0.000896,0.000320,0.981852
