Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-7],OUT[7],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.428858,0.017441,0.210125,0.004928,0.093093,0.136168,0.079941,0.312595,0.002528,0.001152,0.000416,0.983451
0.428442,0.017505,0.209484,0.004897,0.098822,0.139592,0.086662,0.329076,0.002592,0.001056,0.000384,0.999196
0.440635,0.017473,0.209517,0.005088,0.106726,0.136936,0.089637,0.337204,0.002913,0.001344,0.000416,1.021502
0.428122,0.017377,0.208204,0.004865,0.092901,0.138025,0.097606,0.332052,0.003744,0.001120,0.000384,1.002556
0.427930,0.017345,0.209037,0.005056,0.096806,0.138536,0.085350,0.325012,0.002720,0.001120,0.000416,0.996124
0.444795,0.017505,0.208909,0.005376,0.081477,0.132424,0.077765,0.295346,0.003104,0.000992,0.000384,0.982683
0.435354,0.017505,0.208524,0.004896,0.083974,0.131464,0.073316,0.292530,0.002304,0.001376,0.000384,0.969178
0.427738,0.017953,0.208269,0.004896,0.098086,0.137704,0.085254,0.324340,0.002304,0.001152,0.000416,0.992924
0.431290,0.017441,0.212813,0.005088,0.118632,0.131656,0.089093,0.343125,0.003456,0.001280,0.000416,1.021950
0.429082,0.017505,0.209581,0.005056,0.096038,0.133928,0.079621,0.313235,0.004160,0.001152,0.000352,0.985883
0.429690,0.017345,0.210253,0.004928,0.087109,0.133928,0.079781,0.304274,0.002272,0.001056,0.000384,0.975290
0.427546,0.017473,0.217037,0.004960,0.096902,0.132648,0.075941,0.309235,0.005568,0.001121,0.000352,0.988988
0.428794,0.017345,0.209037,0.005056,0.096742,0.130248,0.077925,0.308595,0.005376,0.001056,0.000384,0.982171
0.428154,0.017665,0.210221,0.005248,0.101574,0.139112,0.108326,0.352405,0.002656,0.001120,0.000416,1.024509
0.428058,0.017601,0.208429,0.005024,0.089317,0.133800,0.085061,0.311859,0.002496,0.001056,0.000384,0.980411
0.443098,0.017409,0.208845,0.004992,0.109831,0.134984,0.078149,0.326196,0.002272,0.001056,0.000384,1.009340
0.428921,0.017569,0.209196,0.004833,0.107718,0.139497,0.083301,0.333908,0.002464,0.001216,0.000352,1.006044
0.430746,0.017377,0.208780,0.005089,0.102982,0.132488,0.090021,0.329043,0.002400,0.001312,0.000384,1.001436
0.445787,0.017441,0.208684,0.005312,0.135113,0.138248,0.116199,0.393176,0.003008,0.001184,0.000384,1.081410
0.428217,0.017474,0.207980,0.004960,0.102887,0.136744,0.094246,0.337205,0.002560,0.001472,0.000352,1.006908
0.428345,0.017506,0.208812,0.004896,0.107847,0.145897,0.081477,0.338965,0.002528,0.001280,0.000384,1.009244
0.428058,0.017665,0.227822,0.005312,0.108935,0.133992,0.088966,0.336629,0.002784,0.001216,0.000384,1.026782
0.428922,0.017761,0.208237,0.004928,0.103302,0.134632,0.115815,0.358229,0.002561,0.001344,0.000384,1.030078
0.429690,0.017633,0.208364,0.004897,0.104582,0.136296,0.074501,0.319283,0.002912,0.001248,0.000416,0.991323
0.428794,0.017409,0.227822,0.005248,0.130632,0.138568,0.109383,0.381911,0.002624,0.001344,0.000416,1.072768
0.427962,0.017409,0.208365,0.004864,0.102310,0.137097,0.084933,0.327508,0.002912,0.001312,0.000384,0.997468
0.428218,0.017601,0.208780,0.005121,0.104742,0.138088,0.089414,0.335732,0.003072,0.001248,0.000384,1.007292
0.427897,0.017505,0.208396,0.004960,0.104455,0.158281,0.072869,0.339189,0.002560,0.001248,0.000416,1.009116
0.428186,0.017313,0.208429,0.005088,0.103079,0.137128,0.084197,0.327988,0.003296,0.001088,0.000416,0.999069
0.429722,0.017505,0.209677,0.005088,0.108679,0.144265,0.077508,0.334964,0.002561,0.001280,0.000416,1.008413
0.428762,0.017761,0.208557,0.005120,0.105318,0.137737,0.086341,0.333140,0.018561,0.001216,0.000384,1.020093
0.431354,0.017569,0.208589,0.005056,0.102630,0.136584,0.087397,0.330196,0.002624,0.001152,0.000385,1.003485
0.428633,0.017473,0.208396,0.005056,0.105703,0.138792,0.078309,0.326804,0.002560,0.001216,0.000416,0.998108
0.428890,0.017633,0.208621,0.005120,0.105959,0.139720,0.081445,0.330868,0.002976,0.001312,0.000384,1.002972
0.428281,0.017441,0.208684,0.005248,0.106663,0.136392,0.082117,0.328564,0.002464,0.001184,0.000416,0.998845
0.428345,0.017473,0.208268,0.005025,0.103718,0.137512,0.084645,0.329363,0.003489,0.001152,0.000448,1.000220
0.428410,0.017601,0.207981,0.005056,0.103910,0.137385,0.089893,0.334868,0.002977,0.001248,0.000416,1.006397
0.446107,0.017441,0.208620,0.005249,0.100806,0.137576,0.082821,0.324915,0.002816,0.001024,0.000417,1.012925
0.427706,0.017601,0.208333,0.005248,0.100710,0.130184,0.074180,0.308915,0.002400,0.001152,0.000384,0.978651
0.428505,0.017665,0.208268,0.005056,0.099910,0.134696,0.079717,0.317876,0.002688,0.001120,0.000416,0.987899
0.428089,0.033890,0.208972,0.005089,0.098918,0.136872,0.081349,0.320563,0.003040,0.001184,0.000448,1.008380
0.427738,0.017633,0.208045,0.004960,0.103366,0.135592,0.090886,0.333684,0.002688,0.001088,0.000384,1.003452
0.428634,0.017633,0.208237,0.004928,0.112807,0.136968,0.087270,0.340885,0.002752,0.001120,0.000416,1.011549
0.428570,0.017441,0.207917,0.005056,0.114631,0.128680,0.080325,0.327444,0.003200,0.001344,0.000416,0.998268
0.428442,0.017601,0.208108,0.004929,0.099878,0.138856,0.099686,0.341972,0.003200,0.001121,0.000384,1.012701
0.428250,0.017345,0.208268,0.004929,0.104678,0.138889,0.091813,0.339060,0.003168,0.001313,0.000384,1.009949
0.428730,0.017345,0.208236,0.005281,0.106854,0.155946,0.077892,0.344692,0.002785,0.001280,0.000384,1.015741
0.428538,0.017697,0.208173,0.005120,0.104103,0.145896,0.084582,0.338325,0.003200,0.001184,0.000416,1.009341
