Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428892,0.111143,0.574502,0.080293,0.770098,0.008609,0.047747,0.000832,0.014433,0.000384,0.001664,0.001440,0.000416,1.282036
0.429596,0.143402,0.589958,0.077701,0.814998,0.005600,0.048067,0.000800,0.014433,0.000416,0.001601,0.001536,0.000576,1.324407
0.448221,0.116552,0.577830,0.084614,0.782836,0.009600,0.047588,0.000864,0.013825,0.000416,0.001696,0.001344,0.000416,1.314582
0.429181,0.116679,0.575365,0.094567,0.790516,0.005568,0.047491,0.000800,0.014081,0.000448,0.001504,0.001537,0.000608,1.298454
0.428572,0.112135,0.571430,0.105831,0.793844,0.009376,0.049860,0.000832,0.014081,0.000416,0.001664,0.001568,0.000576,1.308470
0.429820,0.109031,0.575430,0.078629,0.767186,0.005569,0.048099,0.001088,0.014337,0.000448,0.001792,0.001664,0.000608,1.277172
0.430044,0.113224,0.576326,0.080773,0.774227,0.011937,0.048419,0.000832,0.013953,0.000384,0.001504,0.001312,0.000576,1.291029
0.431517,0.126344,0.575910,0.119144,0.825718,0.005728,0.048195,0.000800,0.013825,0.000384,0.001536,0.001152,0.000384,1.335896
0.430748,0.114472,0.586790,0.092582,0.798516,0.007137,0.047971,0.000864,0.013889,0.000384,0.001664,0.001216,0.000609,1.310839
0.429084,0.110568,0.576966,0.080357,0.771987,0.007297,0.047811,0.000640,0.013953,0.000448,0.001536,0.001216,0.000512,1.281268
0.430300,0.118280,0.579238,0.084998,0.787092,0.008769,0.048099,0.000864,0.013793,0.000384,0.001536,0.001216,0.000448,1.300277
0.431068,0.113288,0.577958,0.080293,0.775955,0.005952,0.048259,0.000896,0.014145,0.000384,0.001664,0.001184,0.000384,1.286868
0.430300,0.148842,0.612425,0.087749,0.854777,0.010752,0.048484,0.000832,0.013761,0.000416,0.001536,0.001152,0.000608,1.371002
0.429020,0.112615,0.586470,0.083462,0.786548,0.005632,0.048291,0.000832,0.014241,0.000384,0.001537,0.001248,0.000448,1.295349
0.430748,0.113832,0.576902,0.078885,0.773651,0.006209,0.047747,0.000832,0.014049,0.000416,0.001600,0.001184,0.000416,1.284340
0.429276,0.111848,0.577158,0.086149,0.779284,0.005760,0.048547,0.000832,0.013825,0.000448,0.001568,0.001344,0.000384,1.287925
0.428989,0.118984,0.583974,0.090150,0.797204,0.011809,0.048387,0.000800,0.014081,0.000384,0.001600,0.001248,0.000385,1.312567
0.429788,0.106663,0.597768,0.085509,0.794709,0.005760,0.047875,0.000800,0.013793,0.000352,0.001536,0.001216,0.000384,1.303253
0.429693,0.115207,0.577445,0.087941,0.784883,0.005761,0.048419,0.000800,0.014241,0.000448,0.001600,0.001280,0.000416,1.295349
0.429596,0.118248,0.577638,0.092390,0.793044,0.007393,0.048227,0.000608,0.013793,0.000416,0.001600,0.001216,0.000704,1.303413
0.446942,0.113255,0.577702,0.097543,0.793108,0.005472,0.047811,0.000832,0.014209,0.000384,0.001600,0.001248,0.000576,1.319511
0.429820,0.112328,0.578598,0.079941,0.774675,0.005664,0.047651,0.000832,0.013697,0.000384,0.001600,0.001184,0.000704,1.282996
0.429564,0.146889,0.601160,0.077477,0.830134,0.005473,0.048131,0.000864,0.014049,0.000480,0.001632,0.001472,0.000384,1.339640
0.429308,0.109959,0.576742,0.080390,0.771187,0.005536,0.049475,0.000800,0.013953,0.000352,0.001505,0.001344,0.000384,1.280436
0.434780,0.120616,0.577094,0.080646,0.782804,0.009600,0.047843,0.000832,0.014561,0.000384,0.001664,0.001696,0.000640,1.303381
0.449117,0.111880,0.575782,0.079717,0.771411,0.005792,0.049540,0.000800,0.013857,0.000384,0.001600,0.001280,0.000384,1.301077
0.430237,0.113383,0.587431,0.080229,0.785491,0.006240,0.047619,0.000928,0.013793,0.000384,0.001536,0.001376,0.000576,1.295669
0.429916,0.113063,0.590855,0.077253,0.785907,0.009601,0.048163,0.000832,0.014049,0.000384,0.001728,0.001376,0.000640,1.299606
0.431869,0.117320,0.576582,0.087141,0.785331,0.011809,0.047875,0.000800,0.014529,0.000352,0.001473,0.001472,0.000608,1.304086
0.430365,0.111431,0.577478,0.079749,0.773170,0.005569,0.047907,0.000640,0.014177,0.000448,0.001664,0.001184,0.000384,1.282708
0.447294,0.114375,0.574758,0.088902,0.783539,0.005441,0.048003,0.000864,0.014017,0.000416,0.001600,0.001248,0.000384,1.310518
0.429020,0.144393,0.587110,0.082790,0.818262,0.005664,0.048035,0.000864,0.014241,0.000384,0.001600,0.001056,0.000416,1.326327
0.428732,0.112231,0.573126,0.081925,0.771122,0.005601,0.047971,0.000640,0.014689,0.000448,0.001568,0.001312,0.000480,1.279924
0.429564,0.110535,0.585126,0.098086,0.797685,0.005664,0.047939,0.000864,0.013985,0.000416,0.001536,0.001248,0.000384,1.306070
0.428060,0.110408,0.576069,0.085605,0.776051,0.005697,0.047939,0.000832,0.014433,0.000416,0.001536,0.001248,0.000448,1.283892
0.429212,0.113095,0.595367,0.089830,0.802517,0.005792,0.049667,0.000832,0.013985,0.000352,0.001537,0.001440,0.000608,1.312822
0.429884,0.145002,0.589703,0.088069,0.826550,0.006049,0.047971,0.000896,0.014337,0.000416,0.001536,0.001376,0.000384,1.336695
0.434749,0.124488,0.585575,0.094662,0.809845,0.006657,0.048419,0.000896,0.013921,0.000416,0.001696,0.001632,0.000384,1.326327
0.430748,0.122664,0.582182,0.085190,0.794804,0.010080,0.048132,0.000800,0.014561,0.000480,0.001632,0.001632,0.000608,1.310422
0.429725,0.115783,0.577542,0.081350,0.779091,0.012641,0.047971,0.000800,0.014241,0.000448,0.001600,0.001664,0.000416,1.295765
0.430300,0.116487,0.601352,0.081285,0.804116,0.005537,0.048579,0.000800,0.014081,0.000384,0.001632,0.001472,0.000640,1.314806
0.430876,0.110664,0.577606,0.085157,0.778035,0.009953,0.048355,0.000800,0.014209,0.000384,0.001568,0.001249,0.000416,1.292533
0.430876,0.109095,0.587303,0.093094,0.794196,0.005569,0.048323,0.000800,0.014433,0.000448,0.001600,0.001312,0.000640,1.304949
