Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428570,0.017473,0.227886,0.005024,0.048867,0.102662,0.078085,0.070596,0.254991,0.000864,0.002049,0.001280,0.000480,0.995228
0.428442,0.017761,0.209037,0.004896,0.048003,0.103046,0.078181,0.075204,0.259855,0.000672,0.002177,0.001248,0.000384,0.979771
0.428249,0.017921,0.208620,0.004960,0.048323,0.106471,0.081060,0.106471,0.297522,0.000704,0.002048,0.001184,0.000352,1.017788
0.427833,0.017666,0.209004,0.005152,0.048323,0.128680,0.079429,0.071940,0.283889,0.000832,0.002144,0.001152,0.000352,1.004092
0.428250,0.017441,0.209165,0.005024,0.049123,0.101958,0.079429,0.074340,0.259567,0.000672,0.002144,0.001280,0.000352,0.980699
0.428025,0.017665,0.209389,0.004864,0.048099,0.100902,0.074757,0.073828,0.252943,0.000736,0.002144,0.001376,0.000352,0.973465
0.428473,0.017473,0.208844,0.004928,0.047587,0.101702,0.076037,0.072740,0.254703,0.000769,0.002240,0.001376,0.000416,0.975386
0.428921,0.017537,0.208205,0.004864,0.048067,0.102534,0.076293,0.076964,0.259151,0.000832,0.002112,0.001088,0.000384,0.978394
0.428569,0.017473,0.209325,0.004864,0.047331,0.095302,0.074692,0.072997,0.246287,0.000704,0.001856,0.001216,0.000352,0.964825
0.428409,0.017697,0.208845,0.004960,0.047811,0.107495,0.080292,0.073093,0.264592,0.000704,0.001984,0.001216,0.000416,0.984442
0.445531,0.017505,0.209132,0.004865,0.047362,0.106022,0.081125,0.077252,0.267824,0.000673,0.002176,0.001312,0.000384,1.004924
0.428089,0.017473,0.209197,0.004832,0.047107,0.100422,0.080741,0.074820,0.259823,0.000928,0.001953,0.001184,0.000352,0.978267
0.428506,0.017409,0.208652,0.004928,0.047459,0.103334,0.082309,0.076292,0.265487,0.000672,0.002048,0.001184,0.000352,0.983675
0.445210,0.017537,0.208621,0.004960,0.047619,0.106534,0.076453,0.078789,0.265328,0.000960,0.002208,0.001568,0.000384,1.002907
0.428634,0.017569,0.209197,0.004896,0.048611,0.105382,0.088614,0.077892,0.275568,0.000640,0.002177,0.001312,0.000416,0.996668
0.428345,0.017505,0.208653,0.004896,0.048323,0.104550,0.081701,0.072325,0.262096,0.000736,0.002080,0.001184,0.000320,0.980986
0.428826,0.017377,0.208780,0.004833,0.065444,0.106182,0.083717,0.079109,0.272784,0.000672,0.002176,0.001280,0.000384,1.011612
0.429306,0.017473,0.208717,0.004896,0.047587,0.103014,0.088965,0.073893,0.269360,0.000640,0.002176,0.001376,0.000384,0.988827
0.428441,0.017729,0.208813,0.005056,0.047939,0.103718,0.082501,0.073221,0.263056,0.000672,0.001888,0.001632,0.000352,0.982330
0.428281,0.017889,0.208493,0.004928,0.047491,0.106438,0.082725,0.096934,0.290001,0.000736,0.001952,0.001249,0.000416,1.008572
0.428058,0.017441,0.209100,0.004929,0.047747,0.102086,0.083045,0.074756,0.263279,0.000704,0.002209,0.001184,0.000384,0.982107
0.428474,0.017665,0.208237,0.004928,0.047523,0.104422,0.082085,0.074212,0.264624,0.000672,0.002144,0.001536,0.000384,0.983227
0.428698,0.017633,0.208653,0.004864,0.047299,0.106214,0.082437,0.074277,0.266512,0.000736,0.002176,0.001440,0.000384,0.985947
0.428570,0.017601,0.209389,0.004864,0.047491,0.107078,0.082309,0.078917,0.271952,0.000960,0.002240,0.001376,0.000384,0.993019
0.428154,0.017537,0.208588,0.004833,0.047202,0.108487,0.082277,0.098182,0.292370,0.000960,0.002848,0.001312,0.000416,1.011836
