Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430365,0.106215,0.090214,0.097190,0.315669,0.209518,0.009568,0.048419,0.000608,0.014016,0.000352,0.001600,0.001152,0.000384,1.038725
0.428220,0.105607,0.092134,0.092647,0.294004,0.209485,0.005120,0.048771,0.000864,0.013921,0.000384,0.001632,0.001056,0.000352,1.010626
0.428924,0.133641,0.094023,0.095494,0.326710,0.213006,0.005632,0.048068,0.000608,0.013537,0.000352,0.001440,0.001152,0.000480,1.047173
0.429564,0.109415,0.090022,0.091206,0.295059,0.225551,0.005377,0.047555,0.000576,0.013473,0.000416,0.001504,0.001120,0.000416,1.028292
0.428605,0.139881,0.093190,0.095655,0.332694,0.213518,0.005344,0.048035,0.000768,0.013505,0.000384,0.001376,0.000993,0.000832,1.053062
0.429149,0.104743,0.091334,0.119080,0.319797,0.209390,0.005600,0.048003,0.000544,0.013473,0.000352,0.001440,0.001089,0.000384,1.035813
0.429148,0.105287,0.086949,0.083430,0.279698,0.209262,0.009793,0.048227,0.000608,0.013441,0.000384,0.001472,0.001024,0.000384,1.000354
0.428317,0.109383,0.090246,0.090310,0.294035,0.210190,0.005920,0.047907,0.000608,0.013793,0.000384,0.001536,0.001088,0.000416,1.011235
0.428189,0.101446,0.087621,0.091718,0.284691,0.214094,0.005536,0.048899,0.000832,0.013473,0.000416,0.001505,0.001056,0.000320,1.006467
0.428316,0.150282,0.093190,0.099751,0.347415,0.210030,0.005568,0.047939,0.000640,0.013697,0.000384,0.001568,0.001249,0.000384,1.063847
0.428125,0.110023,0.105351,0.088614,0.307892,0.208974,0.009472,0.048484,0.000576,0.013953,0.000352,0.001600,0.000992,0.000480,1.027652
0.428060,0.108295,0.099494,0.097575,0.309269,0.209518,0.005600,0.048259,0.000640,0.013921,0.000384,0.001600,0.001120,0.000416,1.025188
0.429500,0.142794,0.090982,0.080773,0.318613,0.213934,0.009505,0.048579,0.000608,0.013729,0.000384,0.001504,0.000992,0.000352,1.044452
0.445022,0.107143,0.098310,0.143338,0.352727,0.210286,0.005696,0.047779,0.000576,0.013761,0.000384,0.001473,0.001024,0.000416,1.086696
0.428668,0.109447,0.093030,0.093606,0.300723,0.210862,0.005377,0.048099,0.000608,0.013473,0.000352,0.001536,0.001088,0.000384,1.019011
0.429149,0.105831,0.091206,0.086822,0.287795,0.216622,0.005632,0.048196,0.000608,0.013857,0.000384,0.001600,0.001088,0.000384,1.012291
0.464510,0.189484,0.108584,0.102566,0.405723,0.215854,0.005728,0.049188,0.001056,0.014369,0.000352,0.001952,0.003296,0.000672,1.176781
0.434812,0.149546,0.096486,0.096294,0.346615,0.213582,0.009568,0.049060,0.001088,0.013825,0.000352,0.001856,0.002784,0.000608,1.082919
0.429180,0.110888,0.093958,0.099398,0.308340,0.210478,0.009633,0.048451,0.001056,0.013505,0.000608,0.001920,0.001312,0.000384,1.031972
0.430492,0.153194,0.095494,0.100039,0.352823,0.211310,0.005728,0.048259,0.000865,0.013952,0.000353,0.001696,0.001568,0.000352,1.077127
0.430332,0.104614,0.090181,0.084965,0.283570,0.210094,0.005408,0.048579,0.000832,0.013441,0.000352,0.001568,0.001536,0.000352,1.003010
0.429116,0.109192,0.091142,0.093830,0.298292,0.210670,0.005472,0.048228,0.000864,0.013857,0.000384,0.001632,0.001312,0.000416,1.017251
0.450365,0.113703,0.112392,0.091302,0.321205,0.213806,0.005312,0.048067,0.000865,0.013760,0.000353,0.001632,0.001344,0.000416,1.064134
