Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.443899,0.017473,0.208748,0.004897,0.048995,0.101446,0.078404,0.068453,0.252751,0.001408,0.000352,0.985179
0.429530,0.017729,0.208652,0.004865,0.049411,0.097733,0.080325,0.074277,0.257327,0.001504,0.000384,0.976218
0.428634,0.017345,0.209036,0.005057,0.049219,0.099366,0.081829,0.072548,0.257295,0.001504,0.000416,0.974266
0.441370,0.017473,0.208396,0.004864,0.050083,0.117639,0.076997,0.067492,0.266032,0.001120,0.000416,0.995451
0.432473,0.017345,0.208268,0.004928,0.049763,0.093894,0.078404,0.075684,0.251951,0.001248,0.000384,0.972121
0.428057,0.017633,0.208524,0.004832,0.049795,0.093510,0.076452,0.069604,0.243215,0.001216,0.000416,0.959257
0.429337,0.017505,0.208589,0.004896,0.049571,0.095814,0.121735,0.067652,0.289553,0.001344,0.000480,1.007035
0.434842,0.017345,0.208428,0.004992,0.049378,0.103047,0.085573,0.078500,0.270609,0.001216,0.000416,0.993563
0.430906,0.017537,0.207916,0.004897,0.048739,0.103110,0.085061,0.080037,0.272048,0.001408,0.000448,0.990971
0.428730,0.017537,0.208300,0.004833,0.048963,0.122471,0.085541,0.074596,0.286001,0.001536,0.000416,1.001756
0.429306,0.018049,0.208268,0.004961,0.049474,0.102086,0.081060,0.074020,0.261007,0.001536,0.000480,0.979962
0.435994,0.018625,0.213357,0.005344,0.049443,0.177675,0.099238,0.093893,0.375894,0.004001,0.000992,1.114530
0.431801,0.018177,0.210828,0.005377,0.048995,0.110822,0.086789,0.089926,0.291729,0.001952,0.000640,1.016860
0.429754,0.018049,0.210253,0.005216,0.048803,0.100006,0.085285,0.076229,0.265072,0.001344,0.000672,0.985435
0.430841,0.017761,0.209229,0.005440,0.047619,0.099654,0.080005,0.073892,0.257871,0.001312,0.000416,0.976697
0.429209,0.018050,0.208332,0.005184,0.048131,0.102374,0.079877,0.071684,0.258543,0.001441,0.000448,0.976730
0.476060,0.017633,0.208524,0.005088,0.047555,0.097926,0.082405,0.072292,0.256431,0.001313,0.000384,1.019901
0.431993,0.017665,0.208973,0.005504,0.047939,0.100358,0.086213,0.075013,0.265360,0.001248,0.000384,0.985499
0.430138,0.018241,0.208748,0.005441,0.048259,0.100614,0.082821,0.090117,0.277424,0.001888,0.000448,0.997723
0.429274,0.018145,0.227565,0.005313,0.047715,0.101606,0.085317,0.072740,0.263567,0.001248,0.000448,0.999931
0.430585,0.017729,0.208525,0.005120,0.050371,0.102982,0.082021,0.072421,0.261264,0.001600,0.000448,0.982746
0.429273,0.017505,0.208973,0.005216,0.048515,0.102406,0.083109,0.078693,0.267888,0.001440,0.000480,0.986426
0.428985,0.017601,0.208876,0.005376,0.047619,0.100358,0.079397,0.093190,0.276977,0.001440,0.000384,0.994203
0.430649,0.017793,0.208685,0.005312,0.048163,0.101926,0.085925,0.075621,0.266864,0.001280,0.000384,0.984890
0.429466,0.017729,0.208940,0.005153,0.048483,0.105574,0.087397,0.102918,0.299793,0.001728,0.000448,1.019069
0.428986,0.017761,0.210060,0.005473,0.048195,0.105414,0.081317,0.087973,0.278576,0.001504,0.000704,0.997691
0.429722,0.017953,0.208844,0.005441,0.048163,0.102534,0.079621,0.071972,0.258159,0.001408,0.000512,0.976474
0.429305,0.017985,0.208973,0.005120,0.048387,0.104774,0.086661,0.076229,0.271760,0.001536,0.000608,0.990362
0.430457,0.017761,0.209228,0.005280,0.048003,0.104519,0.085445,0.075620,0.269584,0.001408,0.000448,0.988827
0.450682,0.017473,0.208684,0.005312,0.048227,0.110023,0.084837,0.085381,0.284145,0.001408,0.000672,1.023836
0.431386,0.018081,0.208556,0.005152,0.049282,0.104167,0.086245,0.077092,0.271121,0.001280,0.000640,0.992795
0.429689,0.017793,0.209260,0.005088,0.048515,0.105510,0.086597,0.083781,0.279921,0.001792,0.000672,1.000155
0.431097,0.017761,0.226190,0.005344,0.048611,0.125768,0.087077,0.087333,0.303634,0.001440,0.000448,1.041341
