Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.429530,0.017473,0.209164,0.005056,0.048259,0.100230,0.088390,0.058659,0.250991,0.965657
0.427833,0.017570,0.209196,0.004928,0.048195,0.104614,0.089830,0.057955,0.256367,0.969945
0.429625,0.017793,0.208141,0.005088,0.048195,0.099750,0.089125,0.059748,0.251983,0.965721
0.429657,0.017505,0.208428,0.004929,0.048003,0.101702,0.089925,0.060644,0.255791,0.969209
0.428569,0.017633,0.208588,0.005344,0.047715,0.101094,0.088966,0.059107,0.252719,0.966265
0.429593,0.017633,0.209581,0.005216,0.047491,0.099046,0.089029,0.060036,0.251183,0.965657
0.444122,0.017794,0.208620,0.005312,0.047011,0.099878,0.084389,0.057155,0.245199,0.973754
0.427897,0.017793,0.208365,0.005152,0.047075,0.093829,0.085573,0.057091,0.240238,0.952632
0.430009,0.017857,0.209517,0.004896,0.047043,0.100646,0.088549,0.057828,0.250127,0.964313
0.428249,0.017569,0.226926,0.005344,0.047459,0.099014,0.092613,0.057476,0.252623,0.983994
0.429657,0.017697,0.208780,0.005312,0.047011,0.100518,0.088581,0.059780,0.252463,0.966233
0.429177,0.017601,0.208877,0.005376,0.047203,0.100934,0.090469,0.056644,0.251567,0.965273
0.427897,0.017761,0.208365,0.005376,0.047651,0.123591,0.124136,0.066692,0.318035,1.030141
0.429817,0.017441,0.208781,0.005056,0.047235,0.097094,0.085445,0.056579,0.242318,0.956248
0.427865,0.017665,0.208877,0.005184,0.047043,0.106630,0.089030,0.060035,0.259311,0.971833
0.428217,0.017569,0.209133,0.005184,0.047683,0.098918,0.088069,0.058051,0.248110,0.961016
0.446811,0.017729,0.209036,0.005281,0.047074,0.094054,0.079173,0.056099,0.232654,0.964185
0.428089,0.017569,0.208268,0.005344,0.047011,0.094757,0.092390,0.061251,0.251983,0.963609
0.428249,0.017825,0.208876,0.004832,0.047011,0.101574,0.096646,0.059075,0.261103,0.973242
0.466364,0.017761,0.208940,0.005440,0.047459,0.110406,0.085477,0.057444,0.256847,1.007836
0.428569,0.017601,0.208397,0.005024,0.047011,0.096389,0.087813,0.056323,0.243758,0.955320
0.429818,0.017633,0.208588,0.005153,0.047010,0.101574,0.087941,0.056867,0.250191,0.963961
