Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.429274,0.017665,0.208556,0.005024,0.046947,0.000768,0.013505,0.102374,0.068452,0.075780,0.250030,0.001153,0.000384,0.980090
0.428985,0.017761,0.208268,0.004800,0.046883,0.000576,0.013569,0.097190,0.068708,0.071972,0.241326,0.001248,0.000448,0.970936
0.427929,0.017793,0.208620,0.004929,0.047042,0.000800,0.013505,0.108359,0.068580,0.125863,0.306770,0.001408,0.000448,1.037724
0.428281,0.017569,0.208556,0.005121,0.047490,0.000864,0.013504,0.097734,0.067908,0.080773,0.249711,0.001312,0.000448,0.979769
0.429657,0.017441,0.208140,0.005120,0.047267,0.000576,0.013441,0.109926,0.066116,0.073989,0.253519,0.001184,0.000416,0.984378
0.463003,0.017505,0.208172,0.004896,0.047203,0.001088,0.013441,0.101734,0.068836,0.070500,0.244526,0.001280,0.000448,1.009083
0.428057,0.017473,0.208396,0.005057,0.047395,0.000736,0.013504,0.098118,0.068004,0.076773,0.246159,0.001728,0.000480,0.975513
0.427513,0.017889,0.208076,0.005185,0.046946,0.000800,0.013473,0.093638,0.063875,0.074180,0.234830,0.001376,0.000512,0.963256
0.429433,0.017442,0.227181,0.005440,0.047203,0.000576,0.013473,0.099494,0.064067,0.079876,0.246734,0.001184,0.000480,0.997082
0.429753,0.017569,0.208332,0.005024,0.047106,0.000992,0.013569,0.101734,0.068932,0.085029,0.258895,0.001248,0.000448,0.989657
0.427801,0.017633,0.208172,0.005088,0.047459,0.000800,0.013473,0.098854,0.068836,0.079236,0.250255,0.001536,0.000576,0.979801
0.428729,0.018337,0.208204,0.005089,0.047043,0.000992,0.013536,0.120295,0.066915,0.077924,0.268624,0.001504,0.000512,0.999962
0.430521,0.017697,0.208908,0.005025,0.047875,0.000768,0.013472,0.095813,0.061732,0.071140,0.232237,0.001472,0.000512,0.965912
0.428185,0.017633,0.208141,0.005216,0.047075,0.000736,0.013440,0.097253,0.063428,0.080165,0.245326,0.001248,0.000448,0.975001
0.429113,0.017793,0.208172,0.004801,0.047811,0.000576,0.013408,0.100678,0.066020,0.116167,0.287377,0.001280,0.000512,1.017819
0.428217,0.017505,0.208108,0.005056,0.047555,0.000608,0.013441,0.097670,0.064227,0.074116,0.239214,0.001248,0.000512,0.968536
0.428441,0.017441,0.208268,0.005185,0.047011,0.000736,0.013408,0.102246,0.062147,0.075717,0.243439,0.001344,0.000512,0.972953
0.427513,0.017601,0.209325,0.005088,0.047011,0.000992,0.013409,0.097925,0.069060,0.080869,0.251278,0.001184,0.000416,0.980601
0.445402,0.017569,0.208780,0.004864,0.047139,0.000768,0.013441,0.106758,0.069540,0.075429,0.255247,0.001504,0.000448,1.003067
0.427769,0.017729,0.208460,0.004897,0.046947,0.000800,0.013440,0.102182,0.068292,0.076260,0.250191,0.001312,0.000512,0.978873
0.427769,0.017569,0.208236,0.005280,0.047267,0.000704,0.013473,0.104262,0.063588,0.075428,0.246638,0.001312,0.000480,0.975417
0.428921,0.017633,0.222541,0.005537,0.047362,0.000736,0.013569,0.102406,0.068708,0.117351,0.292049,0.001344,0.000480,1.037916
0.427641,0.017761,0.208076,0.005280,0.047075,0.000704,0.013505,0.099654,0.067972,0.075236,0.246158,0.001280,0.000480,0.975128
0.429337,0.017505,0.208461,0.004928,0.047011,0.000544,0.013537,0.101029,0.068805,0.117990,0.290928,0.001376,0.000864,1.021276
0.429177,0.017601,0.208332,0.005152,0.047107,0.000544,0.013537,0.100262,0.083205,0.087493,0.274672,0.001344,0.000416,1.005370
0.429273,0.017665,0.208589,0.005120,0.047555,0.000704,0.013473,0.101574,0.069444,0.078884,0.253038,0.001184,0.000481,0.983354
0.428089,0.017601,0.208876,0.004833,0.047170,0.000768,0.013472,0.102630,0.068964,0.070981,0.246031,0.001376,0.000416,0.976153
0.428153,0.018337,0.208556,0.005089,0.047202,0.000544,0.013729,0.098150,0.069476,0.079941,0.251055,0.001344,0.000384,0.981049
0.427801,0.017505,0.208364,0.005152,0.046947,0.000512,0.013537,0.097221,0.063300,0.076773,0.240718,0.001376,0.000480,0.969977
0.428025,0.017793,0.209132,0.005088,0.047171,0.000704,0.013505,0.100198,0.063844,0.070724,0.238190,0.001408,0.000448,0.968440
0.428217,0.017569,0.208588,0.004865,0.047490,0.000512,0.013440,0.112807,0.067972,0.116807,0.300562,0.001280,0.000448,1.029468
0.446042,0.017633,0.208620,0.004865,0.046914,0.000737,0.013440,0.105991,0.073092,0.076580,0.259664,0.001248,0.000608,1.007323
0.428793,0.017473,0.208429,0.004864,0.047203,0.000704,0.013473,0.107174,0.070948,0.111687,0.293297,0.001248,0.000864,1.023452
0.427609,0.017409,0.208300,0.005088,0.046947,0.000736,0.013441,0.099750,0.067044,0.079653,0.249711,0.001344,0.000416,0.977753
0.427289,0.017633,0.243503,0.005408,0.047299,0.000928,0.013473,0.126503,0.083333,0.118375,0.331475,0.001216,0.000512,1.096224
0.428249,0.017313,0.208524,0.004896,0.046979,0.000704,0.013441,0.099494,0.067524,0.081092,0.251343,0.001248,0.000416,0.979641
0.427321,0.017601,0.208236,0.005344,0.047299,0.000928,0.013409,0.098758,0.069124,0.086085,0.257231,0.001248,0.000416,0.986297
0.427609,0.017697,0.208364,0.005153,0.046786,0.000897,0.013440,0.118087,0.076101,0.079876,0.277233,0.001248,0.000480,1.005467
0.428121,0.017729,0.208428,0.005120,0.046979,0.000544,0.013441,0.103014,0.063588,0.112166,0.283088,0.001920,0.000480,1.013467
0.429209,0.017537,0.208492,0.004865,0.047107,0.000512,0.013440,0.101222,0.068484,0.072741,0.245711,0.001248,0.000416,0.975193
0.428281,0.017729,0.208012,0.004864,0.046915,0.000512,0.013473,0.093733,0.067780,0.075365,0.240174,0.001344,0.000544,0.968473
0.429049,0.017473,0.209901,0.004928,0.046947,0.000736,0.013441,0.102918,0.067684,0.078852,0.252782,0.001696,0.000480,0.984730
0.429113,0.017505,0.209100,0.005088,0.047075,0.000768,0.013505,0.103782,0.068356,0.076645,0.252239,0.001376,0.000416,0.983449
0.428025,0.017569,0.208940,0.004832,0.046947,0.000544,0.013505,0.100998,0.068548,0.084357,0.257967,0.001920,0.000416,0.988505
0.446682,0.017537,0.208876,0.005057,0.047138,0.000704,0.013473,0.100326,0.067812,0.075973,0.247407,0.001408,0.000416,0.995450
0.427705,0.017569,0.208108,0.005120,0.046914,0.000544,0.013441,0.096614,0.068868,0.082245,0.250735,0.001440,0.000416,0.978745
0.428665,0.017633,0.208268,0.005249,0.046978,0.000512,0.013472,0.100678,0.067652,0.078437,0.249775,0.001344,0.000448,0.979161
0.429145,0.017537,0.227822,0.005152,0.046819,0.000736,0.013441,0.099237,0.067875,0.070564,0.241294,0.001344,0.000480,0.991386
0.430681,0.017633,0.208972,0.004961,0.046914,0.000736,0.013537,0.103974,0.072293,0.083365,0.263440,0.001664,0.000480,0.997530
0.428857,0.017537,0.209068,0.005312,0.046787,0.000704,0.013441,0.095205,0.061923,0.074469,0.234734,0.001248,0.000416,0.965208
0.428185,0.017601,0.208620,0.005056,0.047395,0.000768,0.013505,0.102694,0.066052,0.129383,0.301682,0.001248,0.000416,1.031484
0.429785,0.018337,0.209580,0.005280,0.047235,0.000768,0.013441,0.100582,0.069124,0.082469,0.255407,0.001664,0.000416,0.989402
0.428889,0.017569,0.209068,0.005089,0.047298,0.000736,0.013441,0.100998,0.066564,0.076997,0.249103,0.001344,0.000448,0.980505
0.428601,0.017601,0.208588,0.005089,0.047202,0.000737,0.013440,0.100262,0.069476,0.083109,0.255951,0.001408,0.000448,0.985689
0.429785,0.017569,0.208332,0.005184,0.049507,0.000544,0.014049,0.103206,0.067716,0.078821,0.253039,0.001600,0.000864,0.986905
0.428121,0.017537,0.208844,0.005216,0.047811,0.000480,0.013601,0.100422,0.067844,0.077380,0.249006,0.001376,0.000704,0.979993
