Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-5],OUT[5],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428314,0.017537,0.208173,0.004960,0.104614,0.119624,0.073988,0.301362,0.014753,0.000544,0.001504,0.001120,0.000352,0.985723
0.428666,0.018145,0.208557,0.004864,0.098790,0.117928,0.078404,0.298482,0.014977,0.000544,0.001473,0.001120,0.000320,0.983516
0.428122,0.017537,0.208173,0.004800,0.107239,0.126183,0.071205,0.307539,0.014561,0.000512,0.001440,0.001088,0.000384,0.990588
0.428634,0.017601,0.208525,0.005024,0.100838,0.120680,0.076516,0.300978,0.014753,0.000512,0.001345,0.001248,0.000384,0.985276
0.446491,0.017505,0.208461,0.004864,0.100326,0.119623,0.074629,0.297650,0.014593,0.000512,0.001408,0.001312,0.000352,1.000060
0.428122,0.017474,0.208524,0.004928,0.099206,0.116679,0.077860,0.296690,0.014561,0.000960,0.001345,0.001056,0.000384,0.980540
0.428506,0.017505,0.208748,0.004897,0.105318,0.120103,0.075845,0.304338,0.014401,0.000544,0.001472,0.001024,0.000384,0.989948
0.428026,0.017633,0.240303,0.005472,0.105383,0.120583,0.073861,0.302707,0.014465,0.000512,0.001472,0.001088,0.000352,1.018942
0.428025,0.017345,0.208396,0.004897,0.101446,0.120647,0.076325,0.301426,0.014337,0.000576,0.001568,0.001056,0.000352,0.984476
0.428730,0.017345,0.208877,0.004928,0.104134,0.117512,0.072580,0.297298,0.014465,0.000544,0.001504,0.001088,0.000384,0.981531
0.427834,0.017409,0.208300,0.004928,0.104263,0.139208,0.082117,0.328532,0.014401,0.000512,0.001472,0.000992,0.000353,1.010910
0.428698,0.017377,0.208205,0.004864,0.104070,0.116295,0.077540,0.300690,0.014401,0.000544,0.001600,0.001249,0.000352,0.984252
0.427705,0.017569,0.208716,0.004929,0.105446,0.112935,0.072036,0.293361,0.014657,0.000544,0.001376,0.001120,0.000385,0.976859
0.428570,0.017377,0.208237,0.004928,0.098438,0.117895,0.074181,0.293330,0.014528,0.000512,0.001440,0.001088,0.000384,0.976539
0.428282,0.017377,0.208269,0.004896,0.126536,0.131176,0.078020,0.338580,0.014401,0.000672,0.001504,0.000992,0.000384,1.021534
0.429466,0.017505,0.208301,0.005184,0.124904,0.117927,0.073732,0.319795,0.014337,0.000576,0.001376,0.001217,0.000416,1.004285
0.428794,0.017729,0.208876,0.005185,0.106982,0.118248,0.086021,0.314227,0.014721,0.000512,0.001440,0.001088,0.000384,1.001212
0.448667,0.017377,0.209133,0.005088,0.103399,0.119399,0.080261,0.306387,0.014881,0.000512,0.001440,0.001088,0.000352,1.011645
0.430970,0.018049,0.210893,0.005056,0.118375,0.117895,0.076997,0.317043,0.015969,0.000992,0.001664,0.001888,0.000544,1.010525
0.438106,0.018530,0.213933,0.004896,0.177515,0.130216,0.093637,0.404984,0.017281,0.001056,0.001760,0.003136,0.000768,1.115267
0.447483,0.017665,0.210092,0.005025,0.105478,0.121960,0.080933,0.311411,0.020609,0.000512,0.001536,0.001408,0.000608,1.023230
0.429082,0.017633,0.210285,0.004864,0.101575,0.117575,0.078853,0.301267,0.016609,0.000576,0.001600,0.001376,0.000608,0.990620
0.428602,0.017793,0.209773,0.004960,0.100550,0.118535,0.079749,0.302098,0.015073,0.000544,0.001536,0.001184,0.000384,0.988155
0.427994,0.017889,0.229902,0.005057,0.098758,0.126215,0.083173,0.311474,0.015393,0.000736,0.001441,0.001024,0.000352,1.018142
0.428826,0.017665,0.210413,0.004864,0.102982,0.119688,0.077028,0.302802,0.015585,0.000576,0.001568,0.001056,0.000416,0.990172
0.428026,0.017633,0.209037,0.004896,0.099942,0.117511,0.077636,0.298194,0.015073,0.000544,0.001504,0.001088,0.000384,0.982748
0.428474,0.017889,0.210253,0.004864,0.105223,0.135816,0.071428,0.315763,0.015041,0.000512,0.001537,0.001088,0.000640,1.002845
0.429690,0.017825,0.209741,0.004896,0.099526,0.120487,0.087302,0.310227,0.015873,0.000544,0.001728,0.001088,0.000416,0.998588
0.428793,0.017921,0.208812,0.004897,0.097798,0.118599,0.079685,0.298930,0.014529,0.000544,0.001472,0.001088,0.000352,0.983739
0.430618,0.017889,0.209004,0.004897,0.106118,0.123848,0.087237,0.320787,0.015041,0.000512,0.001472,0.001184,0.000640,1.008477
0.429210,0.017697,0.208717,0.004864,0.101734,0.114599,0.073797,0.293266,0.015329,0.000544,0.001664,0.001120,0.000448,0.979323
0.430906,0.017889,0.208525,0.004800,0.100070,0.119816,0.081125,0.304083,0.015297,0.000544,0.001408,0.001152,0.000384,0.991644
0.429337,0.017761,0.209548,0.004929,0.099590,0.117351,0.073604,0.293521,0.015937,0.000544,0.001408,0.001024,0.000352,0.980923
0.446843,0.017633,0.208653,0.004896,0.102406,0.119592,0.075012,0.300466,0.015841,0.000512,0.001377,0.001024,0.000640,1.003773
0.429050,0.017601,0.209389,0.005056,0.102918,0.120072,0.079588,0.305523,0.015745,0.000544,0.001504,0.001088,0.000384,0.992508
0.428602,0.017537,0.209004,0.004832,0.100774,0.121287,0.078725,0.304146,0.015553,0.000544,0.001376,0.001088,0.000416,0.989500
0.427962,0.017857,0.229198,0.005569,0.105478,0.118631,0.073381,0.300882,0.015457,0.000512,0.001440,0.000992,0.000512,1.008061
0.428122,0.017537,0.208717,0.005056,0.090597,0.113863,0.078661,0.286001,0.014753,0.000544,0.001536,0.001088,0.000576,0.970235
0.427450,0.017601,0.209069,0.004896,0.096710,0.118727,0.085317,0.304018,0.015137,0.000512,0.001441,0.001280,0.000352,0.988156
0.429274,0.017665,0.208589,0.005056,0.108135,0.144072,0.080965,0.336468,0.015329,0.000544,0.001472,0.001248,0.000384,1.023166
0.429914,0.017665,0.208845,0.004928,0.100294,0.119815,0.091302,0.314707,0.015105,0.000992,0.001376,0.001344,0.000672,1.002396
0.430458,0.017729,0.210541,0.005056,0.112999,0.121607,0.085030,0.323060,0.015329,0.000544,0.001536,0.001248,0.000576,1.013245
0.430138,0.017921,0.209005,0.005056,0.103463,0.120519,0.082725,0.309875,0.015393,0.000544,0.001536,0.001088,0.000352,0.997469
0.429369,0.017889,0.208844,0.004865,0.100550,0.114407,0.117383,0.335668,0.015041,0.000512,0.001408,0.001184,0.000352,1.021597
0.429146,0.017665,0.208525,0.004896,0.103718,0.126919,0.080485,0.314323,0.014849,0.000512,0.001472,0.001248,0.000320,0.999548
0.429562,0.017857,0.208845,0.004832,0.108039,0.119495,0.083461,0.314259,0.015681,0.000576,0.001536,0.001312,0.000384,1.002012
0.447387,0.017857,0.208589,0.005088,0.110727,0.120359,0.076005,0.310515,0.014849,0.000576,0.001568,0.001216,0.000416,1.015549
0.429466,0.018081,0.208621,0.005216,0.102343,0.118311,0.076837,0.301267,0.015265,0.000544,0.001504,0.001184,0.000416,0.988220
0.428698,0.017953,0.209421,0.005024,0.104614,0.120008,0.075652,0.303570,0.015265,0.000736,0.001568,0.001248,0.000417,0.990332
0.448924,0.017857,0.208492,0.005089,0.116071,0.122055,0.075557,0.316915,0.015169,0.000512,0.001472,0.001248,0.000416,1.023166
0.428922,0.017793,0.208781,0.004896,0.106855,0.120327,0.082693,0.313235,0.015841,0.000800,0.001440,0.001312,0.000641,1.000253
0.428090,0.018018,0.208556,0.004832,0.104263,0.120711,0.076677,0.304883,0.015265,0.000576,0.001440,0.001248,0.000352,0.990012
0.429754,0.017889,0.224046,0.005184,0.102566,0.118983,0.076292,0.301010,0.015361,0.000512,0.001440,0.001248,0.000384,1.003804
0.429242,0.017825,0.208973,0.004960,0.109447,0.119079,0.080965,0.312787,0.015425,0.000544,0.001440,0.001248,0.000384,1.000125
0.428505,0.017793,0.208780,0.005057,0.103270,0.119911,0.077605,0.303954,0.016033,0.000512,0.001408,0.001280,0.000384,0.990331
0.428154,0.017794,0.208652,0.004896,0.124488,0.118887,0.068772,0.315860,0.015201,0.000480,0.001504,0.001152,0.000384,1.001053
