Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.449944,0.017473,0.208619,0.005313,0.049186,0.000832,0.013889,0.000384,0.001504,0.001248,0.108646,0.065188,0.000096,0.177354,0.933810
0.430455,0.017857,0.208683,0.005280,0.047746,0.000800,0.013825,0.000352,0.001536,0.001056,0.109030,0.066532,0.000096,0.178570,0.913841
0.428567,0.017633,0.209419,0.005184,0.048899,0.000800,0.014017,0.000352,0.001408,0.001248,0.103430,0.064003,0.000064,0.171273,0.906928
0.428759,0.017633,0.227756,0.005536,0.048451,0.000832,0.013793,0.000352,0.001472,0.001120,0.108518,0.060131,0.000032,0.172105,0.925489
0.428375,0.017601,0.208811,0.005280,0.048387,0.000832,0.014017,0.000384,0.001472,0.001120,0.107558,0.072868,0.000096,0.183498,0.917489
0.428503,0.017569,0.210603,0.005152,0.048355,0.000800,0.013825,0.000352,0.001472,0.001408,0.107750,0.065284,0.000096,0.176490,0.912177
0.428023,0.017601,0.208523,0.005344,0.048675,0.000832,0.014017,0.000352,0.001440,0.001184,0.108934,0.065732,0.000064,0.178122,0.912305
0.428951,0.017505,0.208747,0.005313,0.048482,0.000800,0.013889,0.000384,0.001440,0.001088,0.108518,0.063524,0.000064,0.175562,0.910129
0.428343,0.017729,0.208459,0.005280,0.048419,0.000832,0.014561,0.000352,0.001536,0.001280,0.109158,0.063235,0.000064,0.175818,0.910833
0.428599,0.017665,0.208811,0.005473,0.048386,0.000768,0.013857,0.000352,0.001472,0.001120,0.107590,0.065380,0.000064,0.176394,0.910481
0.448696,0.017569,0.209195,0.005313,0.048098,0.000768,0.013729,0.000320,0.001568,0.001280,0.108550,0.064612,0.000064,0.175978,0.931186
0.430359,0.017601,0.208364,0.005312,0.048610,0.000801,0.014048,0.000352,0.001504,0.001121,0.105381,0.063396,0.000064,0.171721,0.906801
0.428695,0.017857,0.208748,0.005056,0.048546,0.000769,0.014304,0.000384,0.001504,0.001185,0.107717,0.070116,0.000064,0.181097,0.915633
0.428311,0.017633,0.209451,0.005569,0.047586,0.000832,0.013601,0.000384,0.001504,0.001088,0.120199,0.062915,0.000160,0.186378,0.919889
0.430263,0.018337,0.208779,0.004960,0.048547,0.000800,0.014209,0.000352,0.001536,0.001120,0.111206,0.065796,0.000096,0.180362,0.916881
0.428343,0.017761,0.208139,0.005408,0.048227,0.000832,0.013921,0.000352,0.001472,0.001152,0.100838,0.064707,0.000032,0.168169,0.900752
0.428279,0.017505,0.209163,0.005408,0.048067,0.000768,0.014017,0.000384,0.001472,0.000992,0.106982,0.065539,0.000096,0.175625,0.910289
0.443608,0.017633,0.209291,0.005376,0.047779,0.000800,0.013793,0.000384,0.001472,0.001216,0.111110,0.067652,0.000064,0.181706,0.930834
0.428439,0.017569,0.208555,0.005281,0.048418,0.000800,0.013825,0.000352,0.001504,0.001152,0.104358,0.062723,0.000064,0.170506,0.903665
0.429751,0.017409,0.208235,0.005504,0.047971,0.000800,0.013632,0.000384,0.001505,0.001184,0.107941,0.060451,0.000064,0.171753,0.905617
0.428375,0.017601,0.229197,0.005344,0.047907,0.000800,0.014176,0.000384,0.001504,0.001248,0.109062,0.059299,0.000032,0.171593,0.926354
0.428471,0.017633,0.208492,0.005312,0.047651,0.000832,0.014208,0.000384,0.001441,0.001152,0.107365,0.063524,0.000096,0.173769,0.906449
0.428439,0.017409,0.208395,0.005088,0.047938,0.000800,0.014081,0.000416,0.001504,0.001216,0.111462,0.062531,0.000096,0.177322,0.909937
0.429623,0.017889,0.208011,0.005376,0.048451,0.000800,0.014049,0.000384,0.001472,0.001056,0.103077,0.065859,0.000096,0.172073,0.906384
0.429719,0.017600,0.208971,0.005152,0.048355,0.000832,0.013408,0.000352,0.001537,0.001024,0.109702,0.065187,0.000032,0.178377,0.913457
0.427991,0.017633,0.208427,0.005504,0.048131,0.000800,0.013857,0.000352,0.001536,0.001376,0.105926,0.065795,0.000064,0.175049,0.908017
0.429847,0.017729,0.209067,0.005344,0.048451,0.000608,0.014145,0.000352,0.001472,0.001088,0.110278,0.065508,0.000064,0.179178,0.915409
0.446584,0.017601,0.208780,0.005312,0.048194,0.000769,0.014176,0.000352,0.001504,0.001089,0.106437,0.059428,0.000096,0.168937,0.920850
0.429463,0.017857,0.209259,0.005056,0.047939,0.000768,0.014401,0.000384,0.001504,0.001216,0.110310,0.060323,0.000064,0.174217,0.910160
0.428471,0.017633,0.208267,0.005504,0.047938,0.000832,0.014209,0.000352,0.001536,0.001120,0.106726,0.063620,0.000096,0.173290,0.906609
0.428983,0.017729,0.208171,0.005409,0.048290,0.000832,0.013793,0.000352,0.001472,0.001312,0.127239,0.063172,0.000096,0.193867,0.928402
0.429623,0.017665,0.207883,0.005312,0.048195,0.000800,0.014304,0.000385,0.001440,0.001152,0.105861,0.065380,0.000064,0.174825,0.908241
0.428535,0.017377,0.208715,0.004833,0.048930,0.000576,0.014273,0.000352,0.001504,0.001376,0.106406,0.064804,0.000096,0.174698,0.908785
0.429495,0.017729,0.208619,0.004993,0.048354,0.000800,0.026050,0.000512,0.001664,0.001184,0.105766,0.064099,0.000064,0.172809,0.919185
