INFER[0-0],INFER[0-10],INFER[0-1],INFER[0-2],INFER[0-3],INFER[0-4],INFER[0-5],INFER[0-6],INFER[0-7],INFER[0-8],INFER[0-9],INFER[1-10],INFER[1-1],INFER[1-2],INFER[1-3],INFER[1-4],INFER[1-5],INFER[1-6],INFER[1-7],INFER[1-8],INFER[1-9],INFER[10-10],INFER[2-10],INFER[2-2],INFER[2-3],INFER[2-4],INFER[2-5],INFER[2-6],INFER[2-7],INFER[2-8],INFER[2-9],INFER[3-10],INFER[3-3],INFER[3-4],INFER[3-5],INFER[3-6],INFER[3-7],INFER[3-8],INFER[3-9],INFER[4-10],INFER[4-4],INFER[4-5],INFER[4-6],INFER[4-7],INFER[4-8],INFER[4-9],INFER[5-10],INFER[5-5],INFER[5-6],INFER[5-7],INFER[5-8],INFER[5-9],INFER[6-10],INFER[6-6],INFER[6-7],INFER[6-8],INFER[6-9],INFER[7-10],INFER[7-7],INFER[7-8],INFER[7-9],INFER[8-10],INFER[8-8],INFER[8-9],INFER[9-10],INFER[9-9],IN[0],IN[10],IN[1],IN[2],IN[3],IN[4],IN[5],IN[6],IN[7],IN[8],IN[9],Layer[0],Layer[10],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],OUT[0],OUT[10],OUT[1],OUT[2],OUT[3],OUT[4],OUT[5],OUT[6],OUT[7],OUT[8],OUT[9],TEE[0-0],TEE[0-10],TEE[0-1],TEE[0-2],TEE[0-3],TEE[0-4],TEE[0-5],TEE[0-6],TEE[0-7],TEE[0-8],TEE[0-9],TEE[1-10],TEE[1-1],TEE[1-2],TEE[1-3],TEE[1-4],TEE[1-5],TEE[1-6],TEE[1-7],TEE[1-8],TEE[1-9],TEE[10-10],TEE[2-10],TEE[2-2],TEE[2-3],TEE[2-4],TEE[2-5],TEE[2-6],TEE[2-7],TEE[2-8],TEE[2-9],TEE[3-10],TEE[3-3],TEE[3-4],TEE[3-5],TEE[3-6],TEE[3-7],TEE[3-8],TEE[3-9],TEE[4-10],TEE[4-4],TEE[4-5],TEE[4-6],TEE[4-7],TEE[4-8],TEE[4-9],TEE[5-10],TEE[5-5],TEE[5-6],TEE[5-7],TEE[5-8],TEE[5-9],TEE[6-10],TEE[6-6],TEE[6-7],TEE[6-8],TEE[6-9],TEE[7-10],TEE[7-7],TEE[7-8],TEE[7-9],TEE[8-10],TEE[8-8],TEE[8-9],TEE[9-10],TEE[9-9],classifier,source
1.042184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129128,,,,,,,,,,,,0.00041600000000000003,0.02221,0.20939000000000002,0.005377000000000001,0.049602999999999994,0.0008320000000000001,0.013793000000000001,0.00041600000000000003,0.00144,0.001568,0.087782,,,,,,,,,,,1.265816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.575982,output_pp0-0_1016_1204
1.052009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12804100000000002,,,,,,,,,,,,0.000352,0.021089,0.216367,0.0050880000000000005,0.048131,0.0008640000000000001,0.013953,0.00041600000000000003,0.001568,0.002144,0.1258,,,,,,,,,,,1.313403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62968,output_pp0-0_1016_1204
1.052425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124329,,,,,,,,,,,,0.00041600000000000003,0.017761000000000002,0.210799,0.004864,0.048260000000000004,0.0008,0.014177,0.00041600000000000003,0.001568,0.001024,0.087174,,,,,,,,,,,1.269944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.575437,output_pp0-0_1016_1204
1.048392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12644,,,,,,,,,,,,0.000352,0.017505,0.212207,0.004928,0.048258999999999996,0.000833,0.013888,0.00041600000000000003,0.001632,0.001344,0.093319,,,,,,,,,,,1.273208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.579725,output_pp0-0_1016_1204
1.046408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11332,,,,,,,,,,,,0.00022400000000000002,0.017666,0.21047800000000003,0.004897,0.048547,0.0008320000000000001,0.013600999999999999,0.00041600000000000003,0.001568,0.001312,0.088166,,,,,,,,,,,1.2530459999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5578040000000002,output_pp0-0_1016_1204
1.0629540000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104775,,,,,,,,,,,,0.000384,0.024257,0.21031799999999998,0.00512,0.047908,0.0008640000000000001,0.013793000000000001,0.000384,0.001472,0.001472,0.11348,,,,,,,,,,,1.287193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.598606,output_pp0-0_1016_1204
1.0452569999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133225,,,,,,,,,,,,0.00041600000000000003,0.017697,0.20993499999999998,0.005312,0.048355,0.000833,0.013856,0.00041600000000000003,0.001504,0.001408,0.086086,,,,,,,,,,,1.270744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.575501,output_pp0-0_1016_1204
1.0691620000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119593,,,,,,,,,,,,0.000384,0.021889,0.209615,0.00496,0.048004000000000005,0.0008,0.013729,0.00041600000000000003,0.001504,0.000992,0.11511199999999999,,,,,,,,,,,1.3090190000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.616624,output_pp0-0_1016_1204
1.047016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10755999999999999,,,,,,,,,,,,0.000384,0.017793,0.209135,0.0050880000000000005,0.049091,0.0008,0.013569,0.00044800000000000005,0.0014089999999999999,0.001152,0.088518,,,,,,,,,,,1.249527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.553676,output_pp0-0_1016_1204
1.0417040000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098599,,,,,,,,,,,,0.000352,0.017986000000000002,0.209806,0.004801,0.048291,0.000704,0.013600999999999999,0.00041600000000000003,0.00144,0.001312,0.128169,,,,,,,,,,,1.275032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.579277,output_pp0-0_1016_1204
