size,input(us),output(us)
4704,79.399000168,73.989999771
4704,115.946001053,78.470001221
4704,77.734001160,73.798999786
4704,82.022998810,72.517999649
4704,108.297000885,74.437999725
4704,90.184000015,74.982000351
4704,82.661998749,74.214998245
4704,141.676000595,79.687000275
4704,78.439001083,75.013999939
4704,83.239000320,73.926000595
4704,158.316999435,95.687999725
4704,78.885999680,72.902000427
4704,107.753000259,74.406000137
4704,105.353000641,82.055000305
4704,87.559000015,73.894001007
4704,152.812000275,82.694999695
4704,114.312999725,76.614999771
4704,79.687000275,73.062000275
4704,108.041000366,73.990999222
4704,93.927999496,75.685998917
4704,75.367000580,73.573999405
4704,118.441999435,80.166000366
4704,98.087999344,75.814998627
4704,77.350000381,74.789999008
4704,108.840999603,79.079000473
4704,77.607000351,134.218999863
4704,87.944000244,73.605998993
4704,108.585000992,74.342000961
4704,76.357999802,73.830999374
4704,77.605998993,73.958000183
4704,102.856998444,72.677999496
4704,157.069000244,88.552000046
4704,96.680000305,75.718999863
4704,110.729000092,77.190999985
4704,88.006999969,93.159999847
4704,77.638999939,74.565999985
4704,113.449998856,77.637998581
4704,77.574998856,138.570999146
4704,76.101999283,73.893999100
4704,119.434000015,74.694000244
4704,75.143001556,97.416000366
4704,74.789999008,73.286998749
4704,105.353000641,75.942001343
4704,76.390998840,73.605998993
4704,78.854999542,74.534000397
4704,114.249000549,75.366998672
4704,86.471000671,75.142000198
4704,77.094001770,74.406000137
4704,105.928998947,75.077999115
4704,77.222999573,72.870000839
4704,77.413999557,74.150001526
4704,113.288999557,75.975000381
4704,108.520999908,73.285999298
4704,81.318998337,75.237998962
4704,104.455999374,76.839000702
4704,77.255001068,72.774000168
4704,77.638000488,73.798000336
4704,110.729999542,74.790000916
4704,76.135000229,73.765998840
4704,89.000000000,72.902000427
4704,104.904001236,75.527000427
4704,77.253999710,74.310998917
4704,103.815999985,75.174999237
4704,100.711999893,74.149999619
4704,121.225999832,77.863000870
4704,113.192998886,76.486000061
4704,120.777999878,82.663000107
4704,78.118999481,75.013999939
4704,107.208999634,78.854999542
4704,121.513999939,77.287000656
4704,79.622999191,73.446001053
4704,100.903999329,74.886999130
4704,111.945001602,79.430999756
4704,76.870000839,73.158000946
4704,113.993999481,81.542999268
4704,113.385999680,78.789999008
4704,75.527000427,76.805999756
4704,154.604999542,80.519001007
4704,100.329000473,77.286001205
4704,79.047000885,73.734001160
4704,111.017000198,78.727001190
4704,78.310998917,88.422998428
4704,78.215000153,74.885999680
4704,109.097000122,74.181999207
4704,77.799001694,73.093999863
4704,78.789999008,72.742000580
4704,105.768999100,74.246000290
1176,70.118000031,62.756999969
1176,116.969999313,66.884998322
1176,72.454000473,62.789001465
1176,91.847999573,71.974000931
1176,72.166000366,61.924999237
1176,78.694999695,64.613000870
1176,71.109998703,62.309000015
1176,76.262001038,61.894001007
1176,90.087999344,65.924999237
1176,70.277999878,61.317001343
1176,103.048000336,82.343000412
1176,70.982000351,62.916999817
1176,102.088998795,65.028999329
1176,68.837999344,62.020999908
1176,106.024999619,69.734001160
1176,70.854000092,62.213998795
1176,89.094999313,64.614000320
1176,71.237998962,61.604999542
1176,97.511999130,64.229999542
1176,74.182001114,62.885000229
1176,92.743999481,74.374000549
1176,70.854000092,64.228998184
1176,83.847000122,61.829000473
1176,69.829999924,63.205001831
1176,71.173999786,62.437999725
1176,162.540998459,72.070999146
1176,73.062000275,62.693000793
1176,108.873001099,65.766000748
1176,72.742000580,62.052999496
1176,95.592000961,63.270000458
1176,70.918001175,63.364999771
1176,93.288000107,74.565999985
1176,75.079000473,62.981000900
1176,91.174999237,65.029998779
1176,80.870000839,61.958000183
1176,112.393999100,84.646999359
1176,73.541999817,62.117000580
1176,106.281000137,82.375000000
1176,70.724998474,64.869998932
1176,73.638000488,62.149999619
1176,70.854000092,61.861000061
