Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395084,0.017408,0.191526,0.133444,0.101411,0.065730,0.303433,0.000672,0.002240,0.001216,0.000320,0.918267
0.396651,0.017792,0.191750,0.135620,0.104835,0.063298,0.306889,0.000736,0.002208,0.001248,0.000576,0.925083
0.394476,0.017632,0.191590,0.133508,0.101539,0.061314,0.299433,0.000672,0.002016,0.001184,0.000352,0.913499
0.412557,0.017888,0.191622,0.129252,0.106371,0.061634,0.300137,0.000672,0.002112,0.001184,0.000352,0.932988
0.395372,0.017633,0.191877,0.133380,0.105507,0.063394,0.305577,0.000704,0.002304,0.001216,0.000353,0.921692
0.395628,0.017856,0.192070,0.135364,0.104163,0.062946,0.305865,0.000640,0.002336,0.001184,0.000384,0.922363
0.394827,0.017536,0.191942,0.151908,0.131716,0.063586,0.350954,0.000704,0.002208,0.001152,0.000320,0.966204
0.394411,0.017601,0.191686,0.156004,0.109028,0.062177,0.330377,0.000672,0.002113,0.001088,0.000416,0.944796
0.395244,0.017856,0.192582,0.131652,0.100387,0.061250,0.296521,0.000672,0.002272,0.001152,0.000320,0.912795
0.395531,0.017760,0.191910,0.144036,0.101891,0.064994,0.315209,0.000960,0.002176,0.001088,0.000352,0.932603
0.395243,0.017729,0.191622,0.134372,0.104643,0.062274,0.304457,0.000704,0.002304,0.001216,0.000352,0.921147
0.395243,0.017761,0.192006,0.130979,0.101571,0.061889,0.297672,0.000736,0.002113,0.001216,0.000416,0.914011
0.395436,0.017697,0.191621,0.135524,0.107492,0.069922,0.316138,0.000672,0.002176,0.001344,0.000768,0.932540
0.411373,0.017568,0.191622,0.130820,0.112195,0.061698,0.307913,0.000704,0.005088,0.001152,0.000384,0.943132
0.395532,0.017504,0.192166,0.131364,0.105795,0.065570,0.306025,0.000672,0.002272,0.001056,0.000384,0.922043
0.395147,0.017601,0.192070,0.134116,0.102851,0.062849,0.302953,0.000704,0.002240,0.001056,0.000352,0.918619
0.395308,0.017793,0.191781,0.132132,0.099779,0.067234,0.320394,0.001056,0.002432,0.001216,0.000640,0.937692
0.395883,0.017825,0.191750,0.129763,0.099395,0.060770,0.292840,0.000704,0.002144,0.001216,0.000352,0.909690
0.395308,0.017760,0.192166,0.128420,0.103075,0.063426,0.298121,0.000672,0.002272,0.001152,0.000384,0.914875
0.395819,0.017569,0.191718,0.129187,0.102563,0.061122,0.295848,0.000704,0.002240,0.001088,0.000384,0.912538
0.409452,0.017825,0.191749,0.128516,0.109764,0.064513,0.305993,0.000673,0.002240,0.001216,0.000672,0.936892
0.395147,0.017697,0.192390,0.135940,0.106083,0.065282,0.310409,0.000672,0.002368,0.001216,0.000384,0.927259
0.394764,0.017665,0.191653,0.132068,0.104131,0.060609,0.300169,0.000768,0.002208,0.001216,0.000385,0.915292
0.395627,0.017600,0.211174,0.165381,0.118148,0.063458,0.350379,0.000672,0.002368,0.001216,0.000608,0.986877
0.396779,0.017633,0.191910,0.138468,0.106595,0.064738,0.312969,0.000704,0.002816,0.001248,0.000416,0.931451
