Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.509668,0.017888,0.205921,0.004864,0.088321,0.101601,0.071936,0.265410,0.000864,0.002144,0.002464,0.000640,1.017831
0.417955,0.017440,0.203874,0.004832,0.120833,0.096065,0.063264,0.283810,0.000640,0.002208,0.001824,0.000608,0.940039
0.416803,0.017440,0.202850,0.004768,0.113984,0.100705,0.063905,0.281730,0.000608,0.002336,0.001440,0.000352,0.934439
0.417443,0.017248,0.202881,0.004928,0.123393,0.098945,0.066464,0.292578,0.000608,0.002400,0.001280,0.000384,0.946694
0.430403,0.017473,0.203201,0.004800,0.118273,0.104705,0.064800,0.290946,0.000640,0.002560,0.001120,0.000320,0.957383
0.415523,0.017152,0.203297,0.004832,0.110273,0.102753,0.065056,0.281442,0.000672,0.003169,0.001312,0.000416,0.933223
0.415747,0.017440,0.202658,0.004800,0.139937,0.108001,0.063424,0.314594,0.000672,0.002208,0.000960,0.000320,0.964999
0.415843,0.017184,0.202913,0.004864,0.107009,0.116449,0.067936,0.294978,0.001249,0.002496,0.001024,0.000320,0.946183
0.416163,0.017248,0.202690,0.004768,0.101537,0.105760,0.064705,0.274914,0.000704,0.002080,0.000832,0.000480,0.925127
0.416803,0.017473,0.202337,0.004800,0.128577,0.100097,0.064192,0.295906,0.000704,0.002112,0.000928,0.000352,0.946631
0.415715,0.017408,0.202529,0.004832,0.110529,0.097153,0.066336,0.277186,0.000736,0.002240,0.000832,0.000320,0.927270
0.432259,0.017408,0.202498,0.004832,0.088960,0.095937,0.061025,0.248994,0.000704,0.002080,0.000768,0.000256,0.915015
0.415747,0.017216,0.202338,0.004800,0.090305,0.107968,0.066817,0.268162,0.001088,0.003296,0.000960,0.000416,0.919527
0.417923,0.017344,0.203937,0.004800,0.112641,0.093729,0.064384,0.274914,0.000672,0.002368,0.001280,0.000352,0.930694
0.416227,0.017472,0.202722,0.004864,0.130497,0.107264,0.063617,0.304546,0.000640,0.002240,0.001120,0.000256,0.955591
0.415555,0.017408,0.202658,0.004832,0.107841,0.101824,0.063265,0.276258,0.001120,0.003360,0.001088,0.000384,0.928391
0.415811,0.017440,0.202369,0.004768,0.094337,0.096737,0.067840,0.261986,0.000800,0.002400,0.000864,0.000224,0.912038
0.415555,0.017216,0.202273,0.004768,0.104993,0.094497,0.061760,0.264354,0.000768,0.002336,0.000864,0.000416,0.913734
0.429987,0.017248,0.202017,0.004800,0.100257,0.096449,0.062400,0.263714,0.001120,0.003328,0.000992,0.000384,0.928742
0.415459,0.017440,0.202114,0.004768,0.096448,0.104033,0.062401,0.266146,0.001024,0.002528,0.000928,0.000256,0.916359
0.415619,0.017248,0.202274,0.004768,0.119457,0.101408,0.063521,0.287106,0.001056,0.004512,0.000896,0.000352,0.939111
0.415875,0.017185,0.202561,0.004800,0.103905,0.107745,0.064960,0.280226,0.000960,0.002240,0.000864,0.000352,0.931047
0.416003,0.017248,0.202497,0.004768,0.090305,0.094465,0.061344,0.249058,0.000704,0.002048,0.000768,0.000320,0.898886
0.417315,0.017696,0.203969,0.004801,0.119456,0.096321,0.066017,0.285506,0.000608,0.002272,0.001024,0.000320,0.940615
0.417283,0.017248,0.203490,0.004768,0.111457,0.101568,0.065249,0.281314,0.000800,0.002144,0.000768,0.000256,0.933479
0.428099,0.017344,0.202337,0.004832,0.108449,0.102433,0.062368,0.276322,0.000864,0.002336,0.001024,0.000352,0.939046
0.416483,0.017376,0.202498,0.004864,0.106464,0.106305,0.063201,0.279106,0.000768,0.002208,0.000960,0.000416,0.929703
0.415555,0.017344,0.202242,0.004800,0.109505,0.101728,0.064481,0.278882,0.001024,0.002816,0.000960,0.000384,0.929351
0.416547,0.017345,0.202369,0.004864,0.145569,0.097153,0.062208,0.307938,0.000928,0.003264,0.001024,0.000416,0.960071
0.415779,0.017184,0.202401,0.004832,0.133824,0.111680,0.063393,0.312002,0.000768,0.002208,0.000896,0.000320,0.962151
0.415523,0.017409,0.202529,0.004768,0.104353,0.098176,0.060577,0.266146,0.000800,0.002048,0.000992,0.000384,0.915751
0.415586,0.017440,0.203457,0.004736,0.102785,0.100513,0.067648,0.274146,0.000928,0.003296,0.001120,0.000320,0.926662
0.428675,0.017312,0.204609,0.004800,0.114400,0.103809,0.064897,0.286179,0.000704,0.002368,0.001056,0.000416,0.952839
0.415587,0.017536,0.202594,0.004768,0.112833,0.100992,0.066049,0.283170,0.000704,0.002400,0.000928,0.000224,0.934055
0.415811,0.017280,0.202209,0.004832,0.111201,0.098785,0.066752,0.279554,0.000640,0.002272,0.000896,0.000384,0.929030
0.415267,0.017440,0.217410,0.005024,0.106849,0.093696,0.063969,0.267778,0.000768,0.002208,0.000896,0.000352,0.933127
0.415427,0.017505,0.202433,0.004800,0.104321,0.090912,0.059841,0.257986,0.000672,0.002208,0.000960,0.000288,0.907591
0.414627,0.017248,0.202145,0.004800,0.139841,0.093441,0.061728,0.298050,0.000672,0.002016,0.000928,0.000224,0.946118
0.415235,0.017216,0.202018,0.004800,0.101632,0.098753,0.060864,0.264161,0.000609,0.002080,0.001024,0.000288,0.912743
0.415523,0.017376,0.202018,0.004864,0.136449,0.093697,0.062560,0.295426,0.000672,0.002048,0.000800,0.000288,0.943975
0.415427,0.017312,0.203073,0.004832,0.118785,0.099617,0.065792,0.287458,0.000608,0.002208,0.001088,0.000384,0.938662
0.415491,0.017472,0.202530,0.004768,0.115073,0.103104,0.067041,0.288226,0.000672,0.002176,0.000960,0.000384,0.939079
0.416131,0.017472,0.224033,0.004929,0.112704,0.095169,0.063968,0.274785,0.000705,0.001984,0.000960,0.000384,0.948039
