Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395948,0.169797,0.539152,0.067490,0.780311,0.049794,0.000672,0.013632,0.000416,0.001536,0.001152,0.000576,1.251269
0.415148,0.154853,0.547408,0.065602,0.771607,0.048962,0.000608,0.013792,0.000352,0.001504,0.001248,0.000384,1.260261
0.396524,0.157157,0.549968,0.063778,0.774743,0.050178,0.000608,0.013568,0.000384,0.001504,0.001120,0.000352,1.245765
0.395596,0.148836,0.535408,0.081155,0.769207,0.051585,0.000672,0.013601,0.000416,0.001504,0.001120,0.000576,1.240709
0.395787,0.162116,0.535184,0.064194,0.764982,0.048546,0.000640,0.013536,0.000384,0.001536,0.001152,0.000384,1.233732
0.395724,0.162373,0.537840,0.069538,0.773335,0.049378,0.000576,0.013568,0.000384,0.001504,0.001056,0.000352,1.242213
0.395883,0.159685,0.557169,0.076226,0.797432,0.050754,0.000608,0.013632,0.000416,0.001600,0.001152,0.000448,1.271461
0.395275,0.192613,0.542256,0.071394,0.809944,0.051201,0.000576,0.013569,0.000448,0.001536,0.001120,0.000384,1.281318
0.396140,0.170437,0.540976,0.068418,0.783575,0.050850,0.000672,0.013632,0.000384,0.001568,0.001152,0.000352,1.255173
0.409324,0.171845,0.548848,0.067906,0.792280,0.050657,0.000640,0.013856,0.000384,0.001600,0.001280,0.000480,1.277414
0.396236,0.155845,0.539792,0.067874,0.767575,0.051681,0.000608,0.013537,0.000320,0.001536,0.001152,0.000384,1.240389
0.395243,0.173670,0.554544,0.078434,0.810712,0.051586,0.000672,0.013920,0.000384,0.001601,0.001120,0.000320,1.282022
0.395276,0.164676,0.537007,0.065314,0.770294,0.051138,0.000640,0.013856,0.000352,0.001697,0.001152,0.000576,1.241893
0.396172,0.167909,0.537488,0.066146,0.775063,0.050306,0.000576,0.013664,0.000384,0.001504,0.001120,0.000384,1.245797
