Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.508132,0.017632,0.205506,0.004832,0.047040,0.000768,0.013408,0.000384,0.001472,0.002432,0.000576,0.809446
0.417955,0.017408,0.203682,0.004896,0.048001,0.000576,0.013888,0.000352,0.001504,0.001792,0.000320,0.718534
0.415812,0.017248,0.204065,0.005024,0.047457,0.000544,0.013760,0.000352,0.001408,0.001120,0.000224,0.714022
0.417252,0.017568,0.220130,0.004992,0.049344,0.000544,0.014336,0.000352,0.001472,0.001248,0.000384,0.736934
0.416227,0.017568,0.204290,0.004864,0.048577,0.000576,0.013792,0.000384,0.001472,0.001056,0.000320,0.717702
0.416100,0.017408,0.202786,0.004896,0.047936,0.000576,0.013696,0.000416,0.001536,0.001408,0.000352,0.714118
0.415908,0.017216,0.203138,0.004832,0.047168,0.000480,0.013312,0.000352,0.001408,0.000800,0.000288,0.710886
0.415428,0.018272,0.202753,0.004897,0.048512,0.000576,0.013696,0.000384,0.001472,0.001248,0.000416,0.714438
0.417156,0.017216,0.202818,0.004768,0.048832,0.000576,0.014016,0.000416,0.001536,0.001184,0.000384,0.718150
0.416388,0.017344,0.202818,0.004832,0.048384,0.000576,0.013760,0.000448,0.001472,0.001152,0.000352,0.714278
0.415460,0.017408,0.203458,0.004832,0.047776,0.000576,0.013568,0.000416,0.001504,0.000864,0.000256,0.712646
0.416260,0.018016,0.202785,0.004768,0.047489,0.000544,0.013632,0.000384,0.001536,0.001120,0.000384,0.714022
0.415268,0.017440,0.202914,0.004864,0.047744,0.000544,0.013664,0.000448,0.001472,0.001152,0.000384,0.713830
0.416900,0.017760,0.202786,0.004864,0.047968,0.000576,0.013632,0.000384,0.001472,0.001088,0.000352,0.715174
0.415940,0.017472,0.203362,0.004864,0.047680,0.000576,0.013568,0.000352,0.001472,0.001120,0.000384,0.713830
0.415684,0.017536,0.203938,0.004928,0.047680,0.000576,0.013664,0.000384,0.001504,0.001216,0.000352,0.714566
0.432932,0.017408,0.202561,0.004865,0.047872,0.000544,0.013568,0.000384,0.001408,0.001088,0.000352,0.730470
0.415843,0.017601,0.203073,0.004832,0.048033,0.000576,0.013600,0.000352,0.001472,0.001632,0.000352,0.714374
0.415491,0.017473,0.202721,0.004864,0.048449,0.000608,0.013632,0.000384,0.001440,0.001408,0.000320,0.714246
0.415491,0.017536,0.203746,0.004864,0.048065,0.000576,0.013472,0.000352,0.001376,0.001504,0.000352,0.714342
0.432195,0.017505,0.202721,0.004832,0.048449,0.000544,0.013632,0.000384,0.001440,0.001216,0.000320,0.731398
0.416003,0.017600,0.202594,0.004800,0.047937,0.000576,0.013472,0.000384,0.001504,0.001664,0.000352,0.714022
0.420419,0.017504,0.202946,0.004800,0.049153,0.000576,0.013696,0.000416,0.001568,0.001152,0.000384,0.722822
0.416995,0.017664,0.202786,0.004896,0.048897,0.000576,0.013664,0.000384,0.001504,0.001216,0.000352,0.716262
0.432963,0.017569,0.202785,0.004768,0.050593,0.000576,0.013728,0.000352,0.001440,0.001120,0.000320,0.733958
0.416035,0.017504,0.203074,0.004896,0.049505,0.000576,0.013760,0.000384,0.001440,0.001152,0.000352,0.716038
0.415363,0.017440,0.203138,0.004832,0.048769,0.000544,0.013760,0.000384,0.001440,0.001472,0.000384,0.714790
0.415331,0.017408,0.203170,0.004928,0.049249,0.000576,0.013600,0.000352,0.001440,0.001216,0.000384,0.715142
0.437667,0.017505,0.203521,0.004800,0.049057,0.000576,0.013504,0.000384,0.001504,0.001184,0.000352,0.738982
0.414947,0.017440,0.203138,0.004864,0.048385,0.000576,0.013664,0.000416,0.001408,0.001440,0.000384,0.714374
0.420515,0.017345,0.202881,0.004896,0.049729,0.000576,0.013600,0.000384,0.001440,0.001152,0.000416,0.720998
0.415907,0.017664,0.202402,0.004832,0.049825,0.000576,0.013696,0.000384,0.001408,0.001152,0.000480,0.715654
0.418756,0.037696,0.203746,0.005088,0.052448,0.001056,0.014432,0.000576,0.001760,0.002784,0.000640,0.752326
0.418563,0.018208,0.205474,0.005120,0.052353,0.001056,0.015136,0.000352,0.001760,0.002528,0.000608,0.730566
0.416580,0.018208,0.204737,0.005057,0.052512,0.000800,0.014208,0.000384,0.001440,0.001664,0.000448,0.723526
0.415459,0.017569,0.202977,0.005312,0.050881,0.000832,0.014496,0.000384,0.001696,0.001440,0.000384,0.718854
0.419971,0.017760,0.203553,0.005056,0.050881,0.000864,0.014112,0.000352,0.001440,0.001152,0.000384,0.740262
0.416708,0.017696,0.204130,0.005088,0.049920,0.000832,0.013856,0.000384,0.001504,0.001408,0.000384,0.719142
0.420068,0.017600,0.203330,0.005248,0.050592,0.000864,0.014816,0.000608,0.001472,0.001120,0.000352,0.723718
0.421859,0.017536,0.202722,0.005056,0.052992,0.000864,0.015585,0.000416,0.001632,0.001408,0.000640,0.727750
0.416547,0.017472,0.223042,0.005248,0.051713,0.000800,0.014272,0.000384,0.001632,0.001440,0.000672,0.740646
0.436324,0.017760,0.207042,0.005056,0.051616,0.000832,0.013824,0.000352,0.001504,0.001344,0.000608,0.744166
0.416260,0.017472,0.204290,0.004992,0.051072,0.000768,0.014976,0.000384,0.001440,0.001184,0.000288,0.719782
0.415748,0.017600,0.202657,0.004801,0.049024,0.000480,0.013536,0.000416,0.001472,0.000928,0.000288,0.712966
0.415491,0.017344,0.216354,0.005216,0.047521,0.000800,0.013408,0.000384,0.001376,0.000832,0.000288,0.725414
0.414628,0.017504,0.201954,0.005120,0.047200,0.000896,0.013344,0.000352,0.001472,0.000736,0.000256,0.709542
0.415555,0.017696,0.202722,0.004896,0.047872,0.000480,0.013440,0.000352,0.001376,0.000832,0.000256,0.711621
0.414979,0.017408,0.202274,0.005248,0.047392,0.000512,0.013408,0.000352,0.001376,0.000864,0.000224,0.710053
0.415236,0.017536,0.202338,0.004832,0.047296,0.000480,0.013472,0.000384,0.001344,0.000768,0.000288,0.709894
0.432484,0.017856,0.203842,0.005056,0.047200,0.000832,0.013504,0.000352,0.001472,0.000960,0.000576,0.731142
0.415907,0.017472,0.202626,0.005120,0.047072,0.000768,0.013440,0.000352,0.001472,0.000992,0.000576,0.712293
