Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395116,0.017696,0.123140,0.541648,0.087426,0.756471,0.005344,0.049121,0.000864,0.014305,0.000416,0.001536,0.001248,0.000608,1.250661
0.395148,0.017600,0.127172,0.512943,0.069122,0.713205,0.005408,0.048546,0.000800,0.013664,0.000384,0.001536,0.001216,0.000384,1.205988
0.395499,0.017409,0.136548,0.513263,0.068834,0.722325,0.005377,0.049345,0.001056,0.013664,0.000384,0.001537,0.001184,0.000608,1.215748
0.412172,0.017632,0.140101,0.522575,0.070114,0.736534,0.005344,0.049634,0.000800,0.013600,0.000480,0.001632,0.001120,0.000512,1.247557
0.395180,0.017761,0.127619,0.512399,0.068386,0.711925,0.005408,0.051457,0.001057,0.013536,0.000384,0.001504,0.001088,0.000672,1.207716
0.395340,0.017761,0.141316,0.513231,0.069954,0.728245,0.005600,0.049186,0.001024,0.013600,0.000512,0.001536,0.001152,0.000384,1.222852
0.394956,0.017729,0.142756,0.514383,0.098947,0.759990,0.005696,0.048450,0.000864,0.013472,0.000416,0.001472,0.001216,0.000353,1.252582
0.395595,0.017505,0.135620,0.513135,0.069410,0.721525,0.005408,0.048738,0.000800,0.013504,0.000352,0.001472,0.001185,0.000608,1.214756
0.395148,0.017729,0.135012,0.546320,0.084066,0.769718,0.008129,0.049121,0.000800,0.013505,0.000416,0.001440,0.001088,0.000576,1.265894
0.395371,0.017889,0.146276,0.515216,0.070306,0.735894,0.005440,0.048321,0.001088,0.013537,0.000448,0.001440,0.001120,0.000384,1.229156
0.395052,0.017536,0.133860,0.515248,0.070914,0.723894,0.005536,0.048705,0.000896,0.013537,0.000384,0.001504,0.001120,0.000416,1.216292
0.422348,0.017473,0.138180,0.515311,0.078947,0.735766,0.008288,0.048257,0.001056,0.013825,0.000512,0.001504,0.001088,0.000384,1.257893
0.395372,0.017344,0.144068,0.526960,0.069346,0.743830,0.005312,0.048546,0.001120,0.013568,0.000384,0.001504,0.001216,0.000384,1.236644
0.395052,0.017344,0.137252,0.527951,0.082307,0.751447,0.005440,0.048929,0.001088,0.013729,0.000352,0.001504,0.001312,0.000384,1.244549
0.395692,0.017473,0.142244,0.524687,0.069250,0.739957,0.005313,0.048513,0.000800,0.013760,0.000416,0.001504,0.001248,0.000608,1.232901
