Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.398092,0.017824,0.125796,0.583185,0.068130,0.780759,0.000672,0.005313,0.001248,0.000352,1.210564
0.396908,0.017729,0.130596,0.597873,0.067426,0.800311,0.000800,0.002945,0.001216,0.000384,1.227941
0.396556,0.017632,0.133828,0.601362,0.067394,0.806200,0.000800,0.004640,0.001152,0.000384,1.233828
0.397035,0.017665,0.136580,0.615282,0.075298,0.830840,0.000737,0.002496,0.001120,0.000480,1.255909
0.395564,0.017824,0.136164,0.584177,0.066594,0.790584,0.000800,0.005216,0.001408,0.000416,1.217860
0.396236,0.017984,0.135236,0.584722,0.074338,0.798136,0.000864,0.002816,0.001280,0.000576,1.224548
0.396843,0.017889,0.164197,0.595921,0.066946,0.831641,0.000800,0.004576,0.001088,0.000416,1.260293
0.396332,0.017984,0.117636,0.584593,0.073314,0.779031,0.000832,0.003552,0.001120,0.000384,1.205411
0.396236,0.017825,0.143620,0.588241,0.072226,0.808664,0.000832,0.002592,0.001376,0.000352,1.234789
0.396843,0.017409,0.135108,0.588849,0.069666,0.797303,0.000768,0.003233,0.001152,0.000448,1.223588
0.396140,0.017600,0.126756,0.586897,0.064577,0.782039,0.000736,0.004896,0.001216,0.000416,1.209668
0.396812,0.017696,0.140484,0.605330,0.082979,0.833273,0.000768,0.005152,0.001248,0.000448,1.262405
0.396460,0.017633,0.134052,0.585105,0.066562,0.789783,0.000800,0.003200,0.001152,0.000320,1.215652
0.395883,0.017633,0.129252,0.594481,0.067554,0.795095,0.000800,0.003072,0.001344,0.000448,1.221188
0.395948,0.017696,0.129828,0.601554,0.087394,0.823320,0.000769,0.002688,0.001280,0.000448,1.249189
0.396875,0.017633,0.137828,0.585073,0.066402,0.793495,0.000704,0.005249,0.001184,0.000416,1.222084
0.396396,0.017569,0.120131,0.583762,0.064930,0.772471,0.000736,0.002720,0.001344,0.000448,1.197796
0.412428,0.017761,0.135364,0.593201,0.067874,0.800247,0.000736,0.003201,0.001120,0.000384,1.242917
