IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.149573,1.016542,0.068130,1.239941,0.195270,0.005568,0.048354,0.000608,0.013504,0.000352,0.001440,0.001120,0.000384,1.511469
0.151972,1.036447,0.076130,1.270758,0.193414,0.005120,0.047969,0.000608,0.013633,0.000608,0.001472,0.001184,0.000384,1.540206
0.131684,1.018494,0.068642,1.225028,0.193062,0.005664,0.048194,0.000864,0.013600,0.000352,0.001504,0.001184,0.000384,1.494892
0.135812,1.035807,0.118979,1.298022,0.195910,0.005536,0.048002,0.000832,0.013696,0.000352,0.001472,0.001120,0.000384,1.570670
0.151813,1.018494,0.067842,1.245317,0.192934,0.005568,0.047522,0.000608,0.013568,0.000320,0.001536,0.001184,0.000416,1.514541
0.136900,1.016351,0.068034,1.226885,0.193158,0.005472,0.068258,0.000864,0.013984,0.000384,0.001472,0.001216,0.000384,1.517389
0.148356,1.019327,0.067554,1.241445,0.193221,0.005025,0.047841,0.000576,0.013569,0.000320,0.001472,0.001152,0.000384,1.509933
0.146341,1.018142,0.068834,1.238597,0.193222,0.005152,0.048002,0.000704,0.013536,0.000384,0.001472,0.001120,0.000384,1.507277
0.148452,1.033855,0.075074,1.264294,0.197765,0.005121,0.047809,0.000544,0.013568,0.000320,0.001408,0.001120,0.000448,1.537230
0.146116,1.016543,0.066434,1.234117,0.192966,0.005120,0.048545,0.000576,0.013569,0.000352,0.001440,0.001152,0.000384,1.503053
0.150373,1.037887,0.079970,1.275078,0.194726,0.005568,0.047874,0.000576,0.013536,0.000384,0.001440,0.001120,0.000352,1.545518
0.144325,1.017694,0.067490,1.235717,0.194790,0.005056,0.047938,0.000608,0.013632,0.000448,0.001408,0.001248,0.000416,1.506061
0.150053,1.039199,0.111331,1.307527,0.194502,0.005152,0.047746,0.000576,0.013728,0.000352,0.001408,0.001120,0.000384,1.578095
0.155396,1.017471,0.068706,1.248101,0.196070,0.005120,0.048193,0.000576,0.013665,0.000352,0.001440,0.001120,0.000448,1.519917
0.156964,1.021822,0.070402,1.255909,0.193094,0.005088,0.066306,0.000832,0.013793,0.000384,0.001376,0.001408,0.000384,1.543982
0.134276,1.028510,0.074179,1.244518,0.193893,0.005569,0.048385,0.000608,0.013536,0.000384,0.001473,0.001344,0.000416,1.515310
0.147877,1.019038,0.067266,1.241349,0.192934,0.005472,0.047714,0.000800,0.013632,0.000384,0.001504,0.001120,0.000384,1.509997
0.128836,1.032511,0.069826,1.236901,0.193125,0.005568,0.048545,0.000576,0.013473,0.000384,0.001408,0.001152,0.000416,1.506477
0.141444,1.018911,0.068994,1.237029,0.193382,0.005536,0.048961,0.000608,0.013600,0.000384,0.001536,0.001472,0.000416,1.507789
0.150180,1.035743,0.081603,1.275494,0.198054,0.005120,0.047841,0.000640,0.013857,0.000352,0.001472,0.001664,0.000448,1.550510
0.146244,1.016958,0.068034,1.237829,0.193126,0.009472,0.048130,0.000640,0.013504,0.000352,0.001376,0.001152,0.000352,1.510765
0.133924,1.036319,0.080866,1.258693,0.192934,0.005120,0.049762,0.000640,0.013696,0.000384,0.001472,0.001184,0.000480,1.529037
0.146084,1.018751,0.070530,1.241509,0.196550,0.005536,0.047426,0.000608,0.013824,0.000320,0.001472,0.001088,0.000416,1.513677
0.143525,1.016286,0.067842,1.235589,0.193414,0.005376,0.047906,0.000608,0.013952,0.000384,0.001408,0.001024,0.000416,1.524398
0.156837,1.021279,0.068706,1.254150,0.194086,0.011840,0.048321,0.000608,0.013729,0.000384,0.001472,0.001728,0.000384,1.531982
0.152100,1.020319,0.072002,1.250917,0.192870,0.005088,0.047937,0.000800,0.013825,0.000352,0.001504,0.001184,0.000384,1.519469
0.147684,1.046271,0.076610,1.277894,0.193382,0.005120,0.047937,0.000800,0.013729,0.000320,0.001472,0.001248,0.000384,1.547470
0.112036,1.017694,0.070434,1.206948,0.192966,0.005088,0.048098,0.000640,0.013568,0.000352,0.001376,0.001120,0.000384,1.475532
0.151396,1.035615,0.071459,1.264870,0.193413,0.005185,0.047969,0.000608,0.013472,0.000320,0.001409,0.001152,0.000384,1.533646
0.146500,1.018175,0.073090,1.244549,0.195014,0.005088,0.048290,0.000544,0.013760,0.000320,0.001440,0.001120,0.000384,1.515565
0.149476,1.032831,0.081155,1.270822,0.194150,0.005088,0.049505,0.000640,0.013601,0.000384,0.001440,0.001120,0.000384,1.542478
0.151493,1.020222,0.070243,1.249126,0.194789,0.005697,0.049057,0.000672,0.013696,0.000385,0.001504,0.001248,0.000384,1.521582
0.149893,1.019038,0.065986,1.240421,0.193542,0.005600,0.047970,0.000672,0.032417,0.000480,0.001600,0.001216,0.000352,1.529550
0.152581,1.019486,0.068258,1.247429,0.193222,0.005632,0.048578,0.000608,0.013600,0.000384,0.001408,0.001152,0.000352,1.517165
