Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.420977,0.017760,0.202407,0.254538,0.002945,0.001024,0.000416,0.906724
0.420848,0.017312,0.202856,0.263691,0.002304,0.000992,0.000352,0.915236
0.415248,0.017697,0.219720,0.263851,0.002336,0.001024,0.000352,0.928036
0.421584,0.017473,0.202376,0.256138,0.002272,0.000896,0.000416,0.908099
0.417137,0.017504,0.202792,0.255658,0.002368,0.000896,0.000384,0.903780
0.420401,0.017857,0.202952,0.250601,0.002432,0.001088,0.000640,0.904132
0.420464,0.017633,0.202920,0.252426,0.002496,0.001248,0.000608,0.906723
0.420305,0.017505,0.202695,0.249578,0.002336,0.000992,0.000417,0.900932
0.420784,0.017473,0.202376,0.257738,0.002176,0.000960,0.000416,0.908259
0.417649,0.017504,0.221513,0.282315,0.002368,0.000928,0.000352,0.949381
0.420657,0.017824,0.203464,0.243338,0.002400,0.000960,0.000384,0.895011
0.419792,0.017377,0.203016,0.254442,0.002176,0.000896,0.000416,0.903683
0.415088,0.017473,0.201800,0.250185,0.002432,0.000897,0.000352,0.894435
0.415216,0.017601,0.202728,0.257322,0.002464,0.000896,0.000352,0.903395
0.415984,0.017409,0.202664,0.237673,0.002176,0.000928,0.000352,0.884003
0.420177,0.017633,0.202280,0.259722,0.003264,0.001056,0.000384,0.912644
0.417360,0.017505,0.221416,0.268747,0.002080,0.001088,0.000416,0.937380
0.415664,0.017729,0.203208,0.265098,0.002528,0.000896,0.000416,0.913219
0.416177,0.017728,0.203240,0.262283,0.002368,0.000896,0.000544,0.910564
0.416112,0.017633,0.203080,0.264650,0.002432,0.001024,0.000384,0.912996
0.415952,0.017473,0.203464,0.259914,0.003136,0.000992,0.000352,0.909155
0.415793,0.017664,0.203112,0.259307,0.002304,0.000928,0.000352,0.906692
0.420017,0.017440,0.202632,0.261675,0.002176,0.001088,0.000384,0.912580
0.434673,0.017569,0.202504,0.271051,0.002272,0.000864,0.000416,0.936549
0.416528,0.017569,0.202600,0.266218,0.003200,0.001057,0.000416,0.915492
0.416016,0.017697,0.203208,0.262826,0.002400,0.000896,0.000384,0.910788
0.415952,0.017696,0.202888,0.286379,0.002624,0.001024,0.000640,0.936133
0.417200,0.017633,0.202632,0.251498,0.002592,0.000992,0.000384,0.900099
0.420336,0.017697,0.202632,0.259594,0.003296,0.001024,0.000384,0.912323
0.420432,0.017633,0.202696,0.246441,0.002464,0.000960,0.000384,0.897315
0.434417,0.017377,0.203048,0.266219,0.002144,0.000960,0.000384,0.932421
0.416560,0.017089,0.202344,0.248170,0.002048,0.001088,0.000352,0.895043
0.417808,0.017697,0.202792,0.257066,0.002336,0.001056,0.000640,0.907171
0.421233,0.017472,0.202344,0.263819,0.002336,0.000960,0.000384,0.914660
0.416593,0.017760,0.204168,0.266283,0.002240,0.000960,0.000384,0.915940
0.418705,0.017537,0.202792,0.261962,0.002400,0.000992,0.000384,0.911716
0.419536,0.017505,0.203560,0.271115,0.002336,0.001024,0.000384,0.923140
0.441553,0.017633,0.202856,0.273163,0.002592,0.000864,0.000352,0.946469
0.416496,0.017409,0.202856,0.259306,0.002304,0.000896,0.000608,0.906499
0.416081,0.017504,0.202567,0.252362,0.002881,0.001120,0.000352,0.900356
0.418481,0.017632,0.203144,0.279819,0.002561,0.001120,0.000384,0.929989
0.416881,0.017376,0.202311,0.259851,0.002240,0.000960,0.000384,0.907204
0.417936,0.017601,0.202664,0.254474,0.002368,0.000992,0.000320,0.903427
0.421264,0.017537,0.202344,0.259402,0.002240,0.001024,0.000384,0.911492
0.444722,0.017537,0.203016,0.276106,0.002817,0.000992,0.000416,0.953222
0.420977,0.017473,0.203080,0.252650,0.002208,0.001120,0.000416,0.905028
0.416656,0.017472,0.203112,0.261866,0.002752,0.001120,0.000384,0.911524
0.423056,0.017569,0.220905,0.247273,0.002305,0.001088,0.000640,0.919364
0.416848,0.017249,0.203176,0.254986,0.002432,0.000992,0.000704,0.904035
0.417264,0.017312,0.203144,0.256106,0.002400,0.001057,0.000352,0.904868
0.422193,0.017473,0.202760,0.262442,0.002304,0.000992,0.000384,0.915684
0.431217,0.017569,0.202504,0.252362,0.002496,0.000992,0.000384,0.914724
0.417905,0.017697,0.202952,0.254378,0.002432,0.000896,0.000384,0.903716
0.415632,0.017537,0.202760,0.267595,0.003072,0.000992,0.000384,0.914628
0.417361,0.017920,0.221096,0.267435,0.002336,0.001120,0.000416,0.935045
0.418064,0.017569,0.202632,0.256522,0.002912,0.001216,0.000416,0.905955
0.421649,0.017825,0.202472,0.260842,0.002176,0.001312,0.000320,0.915204
0.416400,0.017249,0.202600,0.258826,0.002272,0.001024,0.000416,0.905347
0.434545,0.017569,0.202248,0.265866,0.002241,0.001024,0.000384,0.930757
0.416209,0.017632,0.202407,0.256202,0.002432,0.001088,0.000352,0.902692
0.416240,0.017569,0.202344,0.258218,0.002304,0.000928,0.000416,0.904611
0.418224,0.017665,0.221129,0.254890,0.002528,0.001024,0.000416,0.922596
0.417520,0.017248,0.202952,0.257290,0.002048,0.001024,0.000384,0.904611
0.417712,0.017601,0.203912,0.250090,0.002368,0.001024,0.000384,0.899811
0.418800,0.017792,0.203048,0.246506,0.003552,0.001120,0.000352,0.897987
0.448242,0.017633,0.202184,0.249705,0.002368,0.000993,0.000416,0.927813
0.416656,0.017697,0.202536,0.252010,0.002240,0.001024,0.000672,0.901251
0.416624,0.017633,0.202472,0.271979,0.002432,0.000992,0.000352,0.918948
0.416816,0.017313,0.223145,0.249289,0.002529,0.000992,0.000416,0.916996
0.416401,0.017728,0.202216,0.243786,0.002304,0.001216,0.000416,0.890627
0.421168,0.017312,0.202536,0.269163,0.002176,0.000992,0.000384,0.920132
0.417553,0.017536,0.202728,0.240010,0.002272,0.000960,0.000608,0.887395
0.418065,0.017280,0.202408,0.258602,0.002240,0.000992,0.000416,0.921700
0.419665,0.017633,0.202408,0.247465,0.002113,0.001024,0.000416,0.897092
0.417328,0.017696,0.203656,0.255082,0.002720,0.000864,0.000352,0.905028
0.415728,0.017761,0.215561,0.266890,0.002432,0.001056,0.000416,0.927364
0.418481,0.017280,0.201959,0.244074,0.002176,0.001024,0.000608,0.892707
0.416560,0.017217,0.202664,0.275883,0.002304,0.000960,0.000608,0.922980
0.416624,0.017217,0.202440,0.248554,0.002432,0.000960,0.000576,0.895267
0.430449,0.017696,0.202728,0.251914,0.002144,0.000992,0.000352,0.912259
0.420976,0.017761,0.203208,0.251562,0.002176,0.000896,0.000608,0.903523
0.416112,0.017249,0.203048,0.239721,0.002080,0.000832,0.000320,0.885698
0.416720,0.017440,0.220841,0.247850,0.001984,0.000864,0.000608,0.912772
0.416369,0.017281,0.203015,0.256778,0.002176,0.000896,0.000352,0.903492
0.421777,0.017409,0.202728,0.246697,0.002432,0.000896,0.000576,0.898692
0.416497,0.020897,0.202439,0.242665,0.002560,0.000928,0.000416,0.893699
0.435537,0.017569,0.202408,0.286187,0.002400,0.000928,0.000416,0.951909
0.420656,0.017569,0.203592,0.235177,0.002080,0.000928,0.000416,0.886690
0.415920,0.017441,0.203944,0.261738,0.002848,0.000992,0.000384,0.909827
0.418672,0.017184,0.203112,0.257258,0.002080,0.000960,0.000384,0.906020
0.420656,0.017729,0.203304,0.262314,0.002592,0.001120,0.000608,0.916099
0.416464,0.017345,0.202824,0.261898,0.002496,0.001152,0.000384,0.911011
0.421424,0.017409,0.203720,0.250890,0.002336,0.001152,0.000608,0.905443
0.442514,0.017408,0.204008,0.290731,0.002560,0.001184,0.000672,0.967014
0.420657,0.017536,0.202664,0.259435,0.002592,0.001248,0.000384,0.912772
0.420624,0.017696,0.202696,0.249194,0.002496,0.001248,0.000608,0.903075
0.420432,0.017569,0.218793,0.257418,0.002240,0.001376,0.000384,0.926148
0.417712,0.017569,0.202888,0.266474,0.002336,0.001408,0.000640,0.916707
0.421392,0.017601,0.203464,0.258730,0.002368,0.001152,0.000385,0.912900
0.422992,0.018081,0.203528,0.265002,0.002401,0.001248,0.000416,0.920548
0.417936,0.017793,0.203368,0.255082,0.002432,0.001152,0.000576,0.905731
0.421137,0.017632,0.202632,0.263179,0.002720,0.001280,0.000416,0.916996
0.421712,0.017825,0.202440,0.258346,0.002496,0.001152,0.000608,0.912003
0.433777,0.017665,0.204072,0.262954,0.002529,0.001280,0.000416,0.930725
0.416784,0.017760,0.202632,0.259498,0.002528,0.001312,0.000416,0.909380
0.417520,0.017984,0.203240,0.250634,0.002688,0.001312,0.000384,0.902147
0.416560,0.017505,0.203208,0.265642,0.003488,0.001120,0.000416,0.914659
0.416944,0.017793,0.202536,0.247497,0.002400,0.000993,0.000384,0.895299
0.422193,0.017632,0.202536,0.240298,0.002336,0.000992,0.000352,0.893187
0.416336,0.017665,0.202376,0.247017,0.002400,0.000960,0.000416,0.893539
0.435121,0.017441,0.203016,0.241289,0.002240,0.000960,0.000384,0.907620
0.416208,0.017409,0.202152,0.255850,0.002272,0.000992,0.000352,0.901763
0.416528,0.017217,0.202216,0.251241,0.002145,0.000928,0.000608,0.897411
0.420337,0.017504,0.201672,0.267371,0.002240,0.000928,0.000576,0.916964
0.416337,0.017697,0.202600,0.249673,0.002272,0.001057,0.000416,0.896868
0.417040,0.017857,0.202664,0.255946,0.002304,0.001184,0.000608,0.905987
0.421424,0.017473,0.202504,0.260746,0.003201,0.001248,0.000640,0.915364
0.433521,0.017601,0.202632,0.263466,0.002433,0.001152,0.000384,0.929253
0.416880,0.017665,0.204168,0.257834,0.002464,0.001152,0.000384,0.907875
0.416912,0.017344,0.202632,0.259690,0.002369,0.001184,0.000352,0.908996
0.417841,0.017793,0.202920,0.277706,0.002400,0.001312,0.000352,0.927941
0.417712,0.017857,0.202408,0.256810,0.002528,0.001344,0.000352,0.906467
0.416496,0.017889,0.203080,0.259178,0.002528,0.001280,0.000320,0.908739
0.415920,0.018144,0.203944,0.257834,0.002560,0.001280,0.000384,0.908484
0.458994,0.017728,0.202664,0.281899,0.002401,0.001152,0.000640,0.974150
0.421584,0.017985,0.203208,0.255658,0.002560,0.001216,0.000384,0.910755
0.420880,0.017888,0.207080,0.275787,0.002720,0.001184,0.000608,0.934693
0.437745,0.017697,0.203880,0.269451,0.002464,0.001088,0.000320,0.939621
0.416816,0.017729,0.203016,0.254154,0.002624,0.000864,0.000320,0.902403
0.416400,0.017505,0.203208,0.272906,0.002496,0.000896,0.000384,0.920708
0.417137,0.017536,0.203656,0.232361,0.002400,0.000896,0.000288,0.880419
0.416816,0.017441,0.203592,0.236841,0.002432,0.000864,0.000352,0.884514
0.422384,0.017505,0.202920,0.263306,0.002337,0.000832,0.000416,0.915780
0.415953,0.017761,0.205000,0.261674,0.002336,0.001184,0.000384,0.911908
0.437809,0.017633,0.202760,0.254122,0.002368,0.001024,0.000384,0.923460
0.416945,0.017665,0.203496,0.258122,0.002560,0.001280,0.000384,0.908356
0.416913,0.017536,0.203400,0.248746,0.002432,0.000864,0.000384,0.895491
0.422481,0.017856,0.203048,0.246250,0.002720,0.000864,0.000416,0.899619
0.416465,0.017249,0.202952,0.242633,0.002560,0.000960,0.000416,0.890371
0.416241,0.017760,0.202408,0.238026,0.002464,0.000928,0.000256,0.884963
0.415440,0.017345,0.202760,0.240425,0.002368,0.000928,0.000320,0.886722
0.415824,0.034434,0.203016,0.244265,0.002433,0.000864,0.000320,0.908516
0.416016,0.017857,0.202248,0.252554,0.002080,0.000896,0.000288,0.898179
0.420112,0.017825,0.206504,0.271307,0.002400,0.001248,0.000384,0.928900
0.422032,0.017569,0.204392,0.278027,0.002432,0.000992,0.000288,0.932676
0.417712,0.018305,0.203112,0.257578,0.002560,0.000928,0.000352,0.908067
0.418032,0.017665,0.202920,0.245289,0.002496,0.000960,0.000352,0.894691
0.418833,0.017952,0.202151,0.241258,0.002464,0.000864,0.000288,0.890947
0.417681,0.028161,0.203272,0.279755,0.002304,0.000864,0.000320,0.939109
0.418353,0.017473,0.202664,0.238889,0.002400,0.000896,0.000288,0.886435
0.416144,0.017633,0.202184,0.231145,0.002176,0.000960,0.000256,0.876322
0.417392,0.017505,0.202152,0.241001,0.002400,0.000832,0.000352,0.887202
0.417681,0.017537,0.202440,0.235945,0.002464,0.000896,0.000224,0.883203
0.416912,0.017473,0.202984,0.242058,0.002592,0.000928,0.000352,0.889955
0.416336,0.017761,0.202600,0.274539,0.002560,0.000832,0.000352,0.920676
0.417296,0.017857,0.215913,0.248169,0.002081,0.000864,0.000288,0.910116
0.417136,0.017665,0.202184,0.270571,0.002368,0.000960,0.000608,0.917348
0.417648,0.017409,0.202664,0.244745,0.002176,0.001120,0.000352,0.891619
0.416689,0.017473,0.201927,0.233962,0.002336,0.000928,0.000352,0.879075
0.434321,0.017761,0.203592,0.242953,0.002144,0.000832,0.000672,0.908483
0.416593,0.017568,0.202248,0.228361,0.002112,0.000928,0.000577,0.873955
0.416368,0.017313,0.202248,0.254570,0.002400,0.000864,0.000608,0.900163
0.416528,0.017729,0.203176,0.305804,0.002848,0.000960,0.000416,0.955493
0.417361,0.017729,0.203848,0.248809,0.002528,0.001185,0.000384,0.900068
0.422001,0.017536,0.202376,0.273579,0.002432,0.001184,0.000416,0.927300
0.421264,0.017665,0.203240,0.272907,0.002720,0.001120,0.000352,0.926596
0.432625,0.017345,0.203976,0.256682,0.002528,0.001088,0.000352,0.920772
0.416080,0.017633,0.203144,0.257482,0.002528,0.000992,0.000352,0.905219
0.422321,0.017344,0.202728,0.250858,0.002336,0.000992,0.000384,0.903619
0.417104,0.017376,0.202600,0.277195,0.002336,0.001056,0.000384,0.925156
0.418896,0.017377,0.203560,0.283979,0.002464,0.001088,0.000416,0.934500
0.416337,0.017664,0.202952,0.277579,0.002368,0.001216,0.000416,0.925252
0.416400,0.017793,0.203528,0.263210,0.002337,0.001056,0.000352,0.912004
0.434417,0.017600,0.202856,0.270539,0.003648,0.001152,0.000416,0.939076
0.422705,0.017665,0.203848,0.246826,0.002464,0.001056,0.000576,0.902692
0.420817,0.017536,0.202536,0.263819,0.002272,0.000992,0.000384,0.915524
0.422929,0.017793,0.222761,0.262858,0.002336,0.001216,0.000320,0.937413
0.423472,0.017537,0.203176,0.255370,0.002240,0.000992,0.000384,0.910019
0.417520,0.017505,0.202728,0.253066,0.002496,0.001216,0.000384,0.901572
0.417584,0.017633,0.202728,0.253514,0.002304,0.001088,0.000416,0.902179
0.421105,0.017601,0.202984,0.250121,0.002433,0.001152,0.000352,0.902404
0.419024,0.017569,0.203272,0.262986,0.002560,0.000992,0.000384,0.912867
0.420849,0.017569,0.202312,0.251017,0.002272,0.000992,0.000608,0.902436
0.416688,0.017601,0.220937,0.258378,0.002304,0.000992,0.000384,0.924900
0.416752,0.017473,0.202888,0.269450,0.002528,0.000993,0.000352,0.918212
0.422384,0.017441,0.202824,0.266155,0.002368,0.001088,0.000416,0.919620
0.420337,0.017761,0.202888,0.265386,0.002400,0.001056,0.000416,0.917860
0.415952,0.017600,0.203592,0.261482,0.002432,0.001056,0.000640,0.910020
0.416721,0.017409,0.202664,0.261258,0.002240,0.000992,0.000384,0.908964
0.421584,0.017537,0.202632,0.254730,0.002304,0.001056,0.000384,0.906883
0.446162,0.017857,0.203496,0.249801,0.002400,0.000960,0.000384,0.928677
0.417200,0.017536,0.203784,0.259882,0.002561,0.000960,0.000384,0.909028
0.417553,0.018400,0.203464,0.247978,0.002624,0.001088,0.000352,0.898563
0.422385,0.017601,0.202856,0.266090,0.002432,0.000992,0.000320,0.920324
0.425072,0.017632,0.204200,0.260170,0.002400,0.001120,0.000416,0.919748
0.421648,0.017537,0.203592,0.248746,0.002464,0.001120,0.000608,0.902339
0.418544,0.017473,0.202888,0.265290,0.002304,0.000992,0.000608,0.914179
0.433649,0.017568,0.202632,0.295084,0.002432,0.000960,0.000320,0.958886
0.415984,0.017441,0.202344,0.260906,0.002432,0.001120,0.000384,0.907683
0.415185,0.017537,0.201959,0.263691,0.002208,0.001120,0.000640,0.909380
0.415952,0.017633,0.202536,0.277259,0.002272,0.000992,0.000384,0.923236
0.416433,0.017569,0.202343,0.254665,0.002400,0.001024,0.000608,0.902436
0.416977,0.017280,0.202792,0.247338,0.002304,0.000960,0.000352,0.894627
0.416848,0.017505,0.202760,0.266219,0.002432,0.001120,0.000384,0.915044
0.434481,0.018048,0.202792,0.274987,0.002400,0.001184,0.000384,0.942757
0.416945,0.017504,0.202920,0.250346,0.002432,0.001056,0.000384,0.897987
0.416337,0.017248,0.202792,0.258667,0.002272,0.001024,0.000384,0.905636
0.417072,0.017313,0.202312,0.281643,0.002240,0.001024,0.000384,0.928036
0.415728,0.017377,0.202920,0.258634,0.002336,0.000960,0.000384,0.904227
0.417712,0.017537,0.202664,0.252682,0.002240,0.000960,0.000352,0.900483
0.420560,0.017729,0.202504,0.250186,0.002176,0.001024,0.000416,0.900803
0.434449,0.017633,0.202696,0.263818,0.002144,0.000960,0.000320,0.928228
0.418704,0.017345,0.203528,0.251146,0.002112,0.000928,0.000352,0.900355
0.418992,0.017633,0.202504,0.256522,0.002304,0.001024,0.000384,0.907011
0.418929,0.017665,0.203144,0.288555,0.003360,0.001184,0.000672,0.942245
0.417104,0.017633,0.203752,0.260714,0.002528,0.001024,0.000608,0.910627
0.416560,0.017473,0.202472,0.252234,0.002240,0.001120,0.000640,0.899523
0.417137,0.017729,0.203240,0.256938,0.002432,0.001024,0.000352,0.905572
0.437777,0.017537,0.202568,0.267114,0.002464,0.000960,0.000640,0.936004
0.416912,0.017344,0.203624,0.285931,0.002369,0.001056,0.000352,0.933925
0.416880,0.017345,0.202856,0.246442,0.002528,0.001216,0.000416,0.894755
0.417872,0.017473,0.202504,0.267818,0.003232,0.001088,0.000416,0.917380
0.418961,0.017184,0.202216,0.279307,0.002400,0.001120,0.000352,0.929317
0.417265,0.017472,0.202216,0.245962,0.002496,0.000960,0.000384,0.893667
0.423057,0.017728,0.203208,0.264619,0.002592,0.001056,0.000608,0.920900
0.438417,0.017696,0.202568,0.255498,0.002368,0.001024,0.000384,0.925125
0.416368,0.017889,0.203144,0.246730,0.002368,0.001056,0.000608,0.894947
0.416561,0.017217,0.203175,0.285899,0.002496,0.000928,0.000384,0.933509
0.417392,0.017793,0.220137,0.251306,0.002560,0.001120,0.000608,0.918660
0.418769,0.017280,0.203304,0.248138,0.002112,0.000992,0.000384,0.897123
0.418384,0.017569,0.202888,0.254122,0.002336,0.001088,0.000416,0.903715
0.419728,0.017888,0.202696,0.264139,0.002432,0.000992,0.000416,0.915460
0.435089,0.017569,0.203176,0.263499,0.002368,0.001024,0.000352,0.931589
0.422673,0.017249,0.203112,0.263178,0.002592,0.000992,0.000576,0.917476
0.415568,0.017505,0.203144,0.262986,0.002656,0.000993,0.000416,0.910884
0.416944,0.017441,0.221416,0.264651,0.002336,0.001152,0.000416,0.931556
0.418640,0.017505,0.202600,0.283435,0.002400,0.000928,0.000352,0.931652
0.422577,0.017633,0.202760,0.265258,0.002464,0.000896,0.000608,0.919076
0.418033,0.017569,0.202824,0.239529,0.002240,0.001280,0.000352,0.889283
0.416016,0.017793,0.203112,0.267115,0.002624,0.001216,0.000352,0.916132
0.420049,0.017569,0.203144,0.268618,0.002624,0.001120,0.000352,0.921060
0.420721,0.017536,0.203112,0.257514,0.002369,0.001280,0.000640,0.910660
0.415920,0.033185,0.203368,0.266987,0.002496,0.001504,0.000640,0.932004
0.420241,0.017536,0.202856,0.280011,0.002529,0.001376,0.000576,0.932773
0.421457,0.017568,0.202536,0.267947,0.002720,0.001312,0.000416,0.921924
0.420688,0.017536,0.202792,0.282123,0.002497,0.001408,0.000352,0.935365
0.421232,0.017696,0.203336,0.263979,0.002496,0.001280,0.000352,0.917956
0.418928,0.017761,0.202600,0.269226,0.002496,0.001249,0.000352,0.919844
0.422096,0.017537,0.203240,0.263114,0.002336,0.001248,0.000384,0.917187
0.438417,0.017729,0.202792,0.269579,0.002528,0.001184,0.000320,0.940613
0.427505,0.017729,0.202728,0.316140,0.002432,0.001152,0.000352,0.975238
0.418545,0.017537,0.202408,0.256042,0.002304,0.001152,0.000416,0.906244
0.422672,0.017568,0.221033,0.268330,0.002368,0.001152,0.000608,0.941541
0.422672,0.017569,0.203048,0.262442,0.002465,0.001088,0.000384,0.916708
0.420336,0.017793,0.202632,0.255402,0.002528,0.001088,0.000448,0.907683
0.419952,0.017569,0.202536,0.269867,0.002528,0.001024,0.000320,0.920996
0.426993,0.017697,0.203560,0.264938,0.002305,0.001024,0.000416,0.923877
0.417104,0.017473,0.202792,0.271659,0.002368,0.001312,0.000384,0.921668
0.416464,0.017761,0.201992,0.262154,0.002528,0.001216,0.000352,0.908772
0.415120,0.017569,0.220840,0.263883,0.002208,0.001088,0.000416,0.928324
0.415728,0.017505,0.202440,0.256010,0.002336,0.001248,0.000416,0.902947
0.418192,0.017569,0.202504,0.251402,0.002432,0.001024,0.000352,0.900067
0.419249,0.017984,0.202824,0.293004,0.002784,0.001568,0.000352,0.946469
0.421041,0.017664,0.205288,0.274827,0.003072,0.002081,0.000544,0.934949
0.420112,0.017665,0.204744,0.306028,0.003104,0.002880,0.000608,0.968133
0.419793,0.017569,0.203015,0.270763,0.002496,0.001504,0.000320,0.923684
0.441329,0.017697,0.203752,0.275690,0.002817,0.001472,0.000320,0.950566
0.421808,0.017504,0.202888,0.266987,0.002656,0.001440,0.000352,0.920900
0.417553,0.017281,0.202792,0.254858,0.002304,0.001408,0.000416,0.904100
0.422352,0.017600,0.221673,0.265002,0.002593,0.001152,0.000416,0.938341
0.419856,0.017377,0.202856,0.262570,0.002368,0.001184,0.000384,0.913603
0.415376,0.017601,0.202760,0.260490,0.002464,0.001184,0.000576,0.907331
0.417648,0.017601,0.202856,0.263402,0.002304,0.001248,0.000448,0.913764
0.416336,0.017729,0.202824,0.260714,0.002592,0.001248,0.000608,0.910371
0.416400,0.017665,0.202952,0.264650,0.002688,0.001152,0.000640,0.913796
0.420369,0.017664,0.203016,0.249290,0.002464,0.001088,0.000608,0.901123
0.416337,0.038753,0.202792,0.249066,0.002240,0.001120,0.000608,0.919012
0.420945,0.017792,0.202728,0.254186,0.002240,0.001120,0.000384,0.905636
0.416272,0.017633,0.202600,0.260522,0.002432,0.001216,0.000608,0.908035
0.416080,0.017696,0.202984,0.257418,0.002272,0.001217,0.000416,0.904644
0.422033,0.017665,0.203080,0.260298,0.002176,0.001408,0.000640,0.913636
0.420432,0.017313,0.201960,0.278603,0.002336,0.001152,0.000576,0.928580
0.422033,0.017728,0.202728,0.249386,0.002400,0.001184,0.000384,0.902915
0.434385,0.017665,0.202888,0.269162,0.002528,0.001120,0.000640,0.936260
0.415569,0.017664,0.202536,0.251530,0.002400,0.001121,0.000320,0.897796
0.421136,0.017601,0.202440,0.244553,0.002304,0.001152,0.000384,0.896035
0.419920,0.017601,0.202664,0.265002,0.002305,0.001184,0.000352,0.915396
0.415824,0.017569,0.202440,0.258922,0.002240,0.001120,0.000352,0.905379
0.416272,0.017569,0.202952,0.264714,0.002464,0.001217,0.000608,0.911780
0.420816,0.017825,0.202856,0.280555,0.002432,0.001184,0.000384,0.934244
0.429905,0.017761,0.203848,0.271050,0.002528,0.001216,0.000416,0.934917
0.421296,0.017696,0.202632,0.257642,0.002432,0.001344,0.000416,0.911716
0.417648,0.017696,0.202376,0.259402,0.002561,0.001280,0.000608,0.910212
0.417649,0.017857,0.223656,0.264491,0.002752,0.001312,0.000384,0.937189
0.416721,0.018241,0.202887,0.250730,0.002432,0.001249,0.000384,0.900164
0.421681,0.017697,0.202664,0.269610,0.002528,0.001184,0.000608,0.923972
0.421232,0.017728,0.203208,0.263147,0.002208,0.001408,0.000384,0.916612
0.421008,0.017729,0.203272,0.255178,0.002464,0.001408,0.000608,0.909571
0.420785,0.017633,0.202792,0.253418,0.002400,0.001280,0.000384,0.906500
0.422032,0.017568,0.202472,0.266059,0.002624,0.001216,0.000384,0.919620
0.420945,0.017472,0.221577,0.266027,0.002400,0.001248,0.000416,0.937541
0.421425,0.017376,0.203624,0.267083,0.002272,0.001216,0.000352,0.920516
0.417329,0.017537,0.202664,0.271274,0.002496,0.001152,0.000385,0.920997
0.417424,0.017920,0.202664,0.257930,0.002560,0.017441,0.000448,0.924324
0.420432,0.017505,0.202440,0.246474,0.002208,0.001056,0.000640,0.896931
0.416944,0.017217,0.202600,0.256010,0.002240,0.000992,0.000384,0.902563
0.421489,0.017569,0.206504,0.260426,0.002240,0.000992,0.000352,0.915844
0.440690,0.018016,0.202920,0.285196,0.002720,0.001280,0.000352,0.958278
0.415440,0.017249,0.203112,0.253642,0.002048,0.001024,0.000352,0.899043
0.415888,0.017473,0.203080,0.255690,0.002112,0.001088,0.000352,0.902115
0.415184,0.017440,0.202216,0.274251,0.002272,0.000960,0.000352,0.918500
0.420113,0.017408,0.202952,0.256426,0.002433,0.000928,0.000352,0.908484
0.416113,0.017344,0.202760,0.256714,0.002176,0.001088,0.000384,0.902692
0.417009,0.017568,0.202344,0.253578,0.002464,0.000993,0.000384,0.902916
0.432753,0.017568,0.203496,0.262251,0.002624,0.001248,0.000576,0.928549
0.418928,0.017505,0.204008,0.246826,0.002688,0.001056,0.000384,0.898275
0.416752,0.017281,0.202600,0.260170,0.002656,0.001120,0.000576,0.907523
0.421328,0.017697,0.202312,0.283787,0.002464,0.001088,0.000352,0.936388
0.422769,0.017537,0.203944,0.254634,0.002432,0.001024,0.000384,0.910276
0.421616,0.017313,0.203080,0.266090,0.002497,0.001088,0.000384,0.919108
0.418288,0.017569,0.203240,0.258602,0.002432,0.001152,0.000352,0.908739
0.435409,0.017537,0.202952,0.302188,0.002464,0.001184,0.000640,0.970022
0.419728,0.017537,0.202696,0.256138,0.002112,0.001344,0.000384,0.906851
0.418961,0.017632,0.202311,0.261739,0.002272,0.001024,0.000608,0.911652
0.418001,0.017888,0.222601,0.273707,0.002304,0.001120,0.000352,0.942245
0.422544,0.017568,0.202760,0.260842,0.002209,0.001056,0.000352,0.913668
0.422704,0.018240,0.203336,0.248746,0.002240,0.000960,0.000384,0.903395
0.417680,0.017280,0.203368,0.259402,0.002465,0.001120,0.000352,0.908676
0.434481,0.017601,0.203112,0.265450,0.002305,0.001056,0.000384,0.931269
0.420753,0.017377,0.202855,0.244202,0.002400,0.001120,0.000416,0.895491
0.423441,0.017472,0.203016,0.246058,0.002336,0.000960,0.000384,0.900323
0.416816,0.017569,0.220073,0.264586,0.002592,0.000992,0.000448,0.931044
0.418001,0.017568,0.202536,0.267659,0.002816,0.000960,0.000320,0.917124
0.419281,0.017217,0.202952,0.256458,0.002336,0.001024,0.000384,0.907556
0.418161,0.017664,0.202728,0.257194,0.002369,0.000960,0.000576,0.907012
0.417073,0.017568,0.202408,0.245482,0.002752,0.001024,0.000352,0.893859
0.420464,0.017408,0.202376,0.256330,0.002560,0.001152,0.000640,0.908547
0.421809,0.017761,0.202696,0.260394,0.002464,0.001024,0.000576,0.914020
0.418032,0.017729,0.220009,0.254090,0.002656,0.000960,0.000608,0.921188
0.416785,0.017697,0.202663,0.241481,0.002560,0.000960,0.000352,0.889187
0.415568,0.017409,0.202984,0.242857,0.002144,0.001248,0.000416,0.889218
0.416048,0.017729,0.203272,0.256650,0.002112,0.001056,0.000352,0.904355
0.415632,0.017312,0.203080,0.261194,0.002369,0.000864,0.000352,0.907556
0.419856,0.017569,0.202504,0.262826,0.002497,0.001056,0.000352,0.913956
0.420048,0.017665,0.202696,0.260330,0.002240,0.000928,0.000416,0.910947
0.416368,0.017601,0.222409,0.278347,0.002304,0.000992,0.000384,0.945669
0.416464,0.017569,0.202824,0.255050,0.002368,0.001088,0.000384,0.902755
0.420624,0.017569,0.203144,0.264778,0.002496,0.001184,0.000352,0.917188
