Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.431537,0.017857,0.202663,0.259754,0.002336,0.001152,0.000352,0.921924
0.416913,0.017536,0.202792,0.264427,0.002432,0.001184,0.000384,0.913092
0.415504,0.017537,0.202600,0.277099,0.002400,0.001088,0.000640,0.923588
0.418512,0.017601,0.224521,0.258954,0.002400,0.001216,0.000640,0.932420
0.416784,0.017793,0.203528,0.245802,0.002368,0.001216,0.000384,0.894659
0.416784,0.017601,0.203368,0.249162,0.003104,0.001088,0.000416,0.898019
0.416145,0.017600,0.203272,0.249066,0.002272,0.001088,0.000384,0.896963
0.420145,0.018177,0.203464,0.246473,0.002368,0.000993,0.000384,0.898852
0.416880,0.017409,0.204456,0.251882,0.002400,0.001024,0.000352,0.900611
0.415601,0.017216,0.203592,0.259755,0.002176,0.000960,0.000384,0.904836
0.416208,0.017632,0.219913,0.254538,0.002336,0.001120,0.000352,0.920100
0.417296,0.017729,0.203528,0.252138,0.002560,0.000992,0.000640,0.903395
0.420145,0.017632,0.202952,0.260683,0.002240,0.001056,0.000576,0.913156
0.419024,0.017729,0.203528,0.266571,0.002592,0.001216,0.000608,0.919908
0.417136,0.017633,0.202920,0.260138,0.002272,0.001152,0.000352,0.908003
0.419408,0.017473,0.204072,0.240009,0.002336,0.001088,0.000576,0.891043
0.421040,0.017537,0.203016,0.255114,0.002144,0.000960,0.000416,0.907012
0.421136,0.017472,0.223721,0.268235,0.002432,0.001056,0.000416,0.941349
0.420784,0.017505,0.202952,0.334221,0.002592,0.001056,0.000384,0.985958
0.415889,0.017216,0.203496,0.267595,0.002304,0.000960,0.000384,0.915012
0.420497,0.017248,0.203784,0.249674,0.002240,0.000960,0.000448,0.901027
0.421105,0.017633,0.203048,0.266186,0.002400,0.000992,0.000352,0.918340
0.417488,0.017633,0.204072,0.251082,0.002496,0.001216,0.000384,0.903459
0.422288,0.017377,0.203784,0.241705,0.002432,0.001024,0.000352,0.896259
0.431505,0.017504,0.203880,0.235146,0.002304,0.001024,0.000352,0.897859
0.416240,0.017665,0.203688,0.247465,0.002432,0.001024,0.000320,0.894595
0.415760,0.017441,0.202696,0.284939,0.002272,0.001248,0.000352,0.930340
0.416496,0.017441,0.204232,0.252074,0.002592,0.000992,0.000384,0.901763
0.416177,0.017377,0.202535,0.263082,0.002432,0.001024,0.000352,0.908932
0.416465,0.017408,0.202824,0.238954,0.002368,0.000928,0.000352,0.885827
0.419441,0.017344,0.203144,0.262251,0.002272,0.000960,0.000320,0.911460
0.435281,0.017345,0.203080,0.256202,0.002400,0.001152,0.000576,0.923748
0.421456,0.017697,0.202856,0.260266,0.002688,0.001281,0.000384,0.914596
0.416944,0.017857,0.202280,0.255306,0.002656,0.001056,0.000384,0.904163
0.417232,0.017505,0.202888,0.284427,0.002368,0.001088,0.000417,0.933445
0.416785,0.017537,0.203272,0.251049,0.002401,0.001184,0.000640,0.900708
0.422352,0.017601,0.203176,0.256874,0.002528,0.001056,0.000448,0.911588
0.417136,0.017473,0.202408,0.274891,0.002432,0.001056,0.000416,0.922852
0.441745,0.017537,0.203720,0.255818,0.002080,0.001088,0.000320,0.928132
0.423632,0.017697,0.202984,0.242409,0.002401,0.000992,0.000672,0.896611
0.420368,0.017505,0.203432,0.255434,0.002400,0.001056,0.000384,0.908035
0.422544,0.017793,0.203464,0.277579,0.002432,0.001056,0.000384,0.933508
0.418449,0.017665,0.205192,0.256554,0.002720,0.001152,0.000384,0.910820
0.418960,0.017473,0.203368,0.250026,0.002592,0.001120,0.000352,0.901283
0.417457,0.017472,0.205800,0.243625,0.002560,0.000992,0.000384,0.895811
0.440721,0.017377,0.202856,0.256042,0.002368,0.000992,0.000384,0.928772
0.423216,0.017633,0.202760,0.264234,0.002625,0.001152,0.000384,0.920356
0.416272,0.017505,0.203016,0.265194,0.002560,0.001152,0.000384,0.913443
0.416465,0.017473,0.223368,0.273547,0.002528,0.001024,0.000384,0.942661
0.417361,0.017537,0.202536,0.254026,0.002400,0.001088,0.000352,0.902532
0.417904,0.017440,0.204552,0.251466,0.002656,0.001056,0.000640,0.902275
