Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.419953,0.017537,0.202663,0.005217,0.265354,0.002400,0.001216,0.000608,0.923492
0.420241,0.017921,0.202663,0.005025,0.254986,0.003072,0.001120,0.000640,0.912900
0.439857,0.017825,0.202696,0.005312,0.262442,0.002336,0.001216,0.000384,0.940004
0.415729,0.017921,0.202728,0.004832,0.251402,0.002304,0.001184,0.000416,0.904164
0.416432,0.017697,0.202824,0.005248,0.261514,0.002241,0.001440,0.000576,0.915748
0.415536,0.017889,0.202888,0.004832,0.287403,0.002528,0.001152,0.000384,0.940388
0.418192,0.017985,0.204136,0.005088,0.258730,0.002720,0.001216,0.000608,0.917347
0.416496,0.017953,0.203176,0.005280,0.252778,0.002464,0.001088,0.000352,0.907523
0.416945,0.017824,0.202887,0.005345,0.266378,0.002400,0.001184,0.000352,0.921604
0.444337,0.017729,0.202472,0.005088,0.256746,0.002592,0.001120,0.000608,0.939300
0.416304,0.017760,0.203080,0.005024,0.269067,0.002528,0.001440,0.000576,0.924484
0.420433,0.017953,0.202728,0.005152,0.257610,0.002432,0.001248,0.000576,0.916388
0.416497,0.017601,0.215976,0.005152,0.257386,0.002593,0.001120,0.000544,0.926245
0.416144,0.017856,0.202056,0.004992,0.250122,0.002528,0.001184,0.000609,0.903684
0.416656,0.017921,0.202216,0.005056,0.251402,0.002432,0.001120,0.000640,0.905219
0.416432,0.017696,0.202920,0.005216,0.242986,0.002368,0.001152,0.000608,0.897859
0.416304,0.017729,0.202600,0.005280,0.253514,0.002848,0.001216,0.000608,0.908771
0.416593,0.018016,0.202952,0.005217,0.253514,0.002656,0.001152,0.000320,0.908356
0.415792,0.017953,0.202344,0.005056,0.250506,0.002304,0.001280,0.000320,0.903747
0.415952,0.037505,0.202920,0.005056,0.255114,0.002272,0.001184,0.000608,0.929253
0.416592,0.018049,0.202632,0.005376,0.246730,0.002656,0.001440,0.000608,0.902115
0.416432,0.017761,0.202376,0.005344,0.247978,0.002400,0.001184,0.000320,0.901891
0.416304,0.017281,0.202824,0.004832,0.250122,0.002432,0.001152,0.000608,0.903683
0.415696,0.017601,0.202600,0.005248,0.249322,0.002784,0.001152,0.000576,0.903427
0.415313,0.017824,0.202344,0.005025,0.257034,0.002336,0.001088,0.000416,0.909476
0.416016,0.017792,0.202184,0.005344,0.244937,0.002368,0.001088,0.000640,0.898915
0.433585,0.017888,0.203016,0.005185,0.256074,0.002400,0.001216,0.000416,0.928420
0.415632,0.017504,0.202312,0.005376,0.253930,0.002433,0.001184,0.000416,0.906916
0.415601,0.017760,0.202472,0.004833,0.253577,0.002464,0.001120,0.000384,0.906500
0.415568,0.017729,0.202536,0.004960,0.292523,0.002785,0.001248,0.000608,0.946565
0.416209,0.018016,0.202824,0.005281,0.253674,0.002496,0.001120,0.000352,0.908580
0.416432,0.017697,0.202696,0.005216,0.247658,0.002464,0.001216,0.000608,0.902819
0.416465,0.017952,0.201992,0.005280,0.251017,0.002528,0.001376,0.000384,0.904580
0.433841,0.018081,0.203048,0.005248,0.252074,0.002336,0.001120,0.000576,0.924324
0.416080,0.017985,0.202056,0.005280,0.243178,0.002272,0.001120,0.000416,0.895875
0.416528,0.017633,0.202600,0.005248,0.255242,0.002368,0.001120,0.000384,0.909315
0.416849,0.017729,0.220680,0.005152,0.261195,0.002336,0.001248,0.000416,0.934309
0.415760,0.017888,0.202472,0.005216,0.255562,0.003329,0.001248,0.000384,0.909284
0.415760,0.017729,0.202536,0.005184,0.253322,0.002656,0.001248,0.000352,0.906851
0.416017,0.017760,0.202631,0.005089,0.256458,0.002592,0.001152,0.000608,0.909860
0.415984,0.017984,0.202792,0.005344,0.250378,0.002592,0.001184,0.000352,0.905060
0.415793,0.017760,0.202664,0.005057,0.248457,0.002785,0.001152,0.000576,0.902244
0.415376,0.017825,0.202280,0.005280,0.242633,0.002624,0.001217,0.000576,0.895459
0.415696,0.034594,0.203016,0.005280,0.245770,0.002176,0.001120,0.000384,0.915908
0.416080,0.017953,0.202440,0.004800,0.252106,0.002528,0.001184,0.000608,0.905507
0.415921,0.017856,0.202248,0.004833,0.242249,0.002368,0.001216,0.000576,0.895139
0.416465,0.017857,0.204104,0.005216,0.248554,0.002528,0.001248,0.000416,0.905028
0.417232,0.017920,0.202216,0.005184,0.258506,0.002432,0.001440,0.000576,0.913668
0.416081,0.017760,0.202888,0.005281,0.253609,0.002592,0.001376,0.000608,0.908260
0.416400,0.017601,0.202920,0.005280,0.257194,0.002400,0.001216,0.000608,0.911716
0.434961,0.017921,0.202664,0.005344,0.248682,0.002496,0.001184,0.000576,0.922468
0.416144,0.017793,0.202248,0.005152,0.256906,0.002369,0.001152,0.000640,0.911236
0.415952,0.017953,0.202408,0.005248,0.258570,0.002368,0.001152,0.000416,0.913091
0.416464,0.017825,0.202440,0.005248,0.284011,0.002688,0.001440,0.000576,0.938852
0.416209,0.017696,0.202184,0.004993,0.254858,0.002432,0.001184,0.000384,0.907556
0.415888,0.017921,0.202152,0.005088,0.256394,0.002400,0.001184,0.000384,0.909059
0.416977,0.017793,0.202952,0.005024,0.262250,0.002624,0.001184,0.000416,0.917924
0.441937,0.017953,0.202760,0.005504,0.256170,0.002528,0.001152,0.000416,0.936676
0.420848,0.017696,0.202184,0.005088,0.251786,0.002464,0.001153,0.000608,0.909540
0.416240,0.017889,0.202472,0.005280,0.256650,0.002368,0.001120,0.000576,0.912035
0.415536,0.017953,0.218696,0.005376,0.247498,0.002400,0.001184,0.000640,0.917987
0.416304,0.017824,0.202376,0.004896,0.251818,0.002496,0.001120,0.000384,0.905188
0.415792,0.017857,0.202312,0.004864,0.238473,0.002656,0.001088,0.000640,0.891811
0.415793,0.017953,0.201992,0.005120,0.253866,0.002752,0.001120,0.000608,0.907300
0.417296,0.017825,0.202152,0.005280,0.257258,0.002305,0.001120,0.000576,0.911524
0.416240,0.018400,0.203080,0.005024,0.239370,0.002560,0.001248,0.000384,0.894851
0.416977,0.017825,0.202760,0.005024,0.243273,0.002528,0.001153,0.000640,0.898244
0.432593,0.017601,0.202184,0.005312,0.249514,0.002400,0.001184,0.000352,0.918820
0.415888,0.017953,0.202152,0.005312,0.253834,0.002400,0.001152,0.000352,0.906691
0.415952,0.018017,0.202440,0.005088,0.245802,0.002432,0.001248,0.000384,0.899747
0.415857,0.017856,0.202184,0.004864,0.255305,0.002656,0.001568,0.000672,0.908804
0.416561,0.017760,0.202568,0.005377,0.244457,0.002432,0.001184,0.000608,0.899491
0.415760,0.017921,0.202504,0.004832,0.241386,0.002464,0.001120,0.000640,0.894947
0.416336,0.017761,0.202472,0.005088,0.260458,0.002753,0.001408,0.000608,0.914948
0.435153,0.018049,0.202408,0.005120,0.256458,0.002784,0.001248,0.000608,0.929828
0.416881,0.017537,0.202312,0.004864,0.234793,0.002464,0.001216,0.000384,0.889123
0.416304,0.017505,0.202408,0.005248,0.259370,0.003136,0.001185,0.000576,0.912548
0.415984,0.017601,0.202056,0.005248,0.273291,0.003488,0.001376,0.000576,0.928132
0.415440,0.017729,0.202280,0.005120,0.265130,0.002529,0.001152,0.000576,0.917988
0.416081,0.017953,0.202887,0.004833,0.241833,0.002368,0.001280,0.000608,0.896291
0.415953,0.018017,0.202471,0.004929,0.245641,0.002528,0.001249,0.000640,0.898916
0.433553,0.017824,0.202056,0.004896,0.242474,0.002368,0.001184,0.000352,0.912516
0.415312,0.017633,0.202376,0.005120,0.246153,0.002272,0.001216,0.000416,0.897827
0.415216,0.017889,0.202120,0.005184,0.253226,0.002368,0.001216,0.000384,0.905123
0.416208,0.017889,0.202280,0.005280,0.271627,0.002240,0.001184,0.000608,0.924932
0.416112,0.017953,0.202248,0.005248,0.248938,0.002496,0.001216,0.000576,0.903427
0.417424,0.017761,0.202408,0.005280,0.250634,0.002336,0.001120,0.000384,0.904707
0.415536,0.017953,0.202088,0.005216,0.252010,0.002272,0.001152,0.000384,0.903683
0.432561,0.017888,0.202472,0.005121,0.239241,0.002432,0.000992,0.000672,0.909635
0.416496,0.017729,0.202024,0.005248,0.247274,0.002496,0.001216,0.000608,0.900867
0.420304,0.017504,0.202696,0.004832,0.242058,0.002272,0.001088,0.000416,0.899267
0.416241,0.017856,0.220489,0.005184,0.244042,0.002240,0.001152,0.000352,0.914980
0.415728,0.017793,0.203016,0.005344,0.238889,0.002304,0.001184,0.000352,0.891938
0.414928,0.017761,0.203336,0.004896,0.246218,0.002208,0.001152,0.000416,0.897987
0.418224,0.018017,0.203720,0.005440,0.243914,0.002400,0.001120,0.000384,0.901571
0.434417,0.018113,0.202728,0.005120,0.244746,0.002560,0.001184,0.000416,0.918052
0.415920,0.017633,0.202920,0.005280,0.248714,0.002560,0.001120,0.000608,0.901731
0.415344,0.017921,0.203048,0.005280,0.251754,0.002464,0.001120,0.000416,0.904675
0.416944,0.017856,0.238090,0.005280,0.293931,0.002400,0.001153,0.000608,0.984071
0.416305,0.017857,0.203239,0.005216,0.263850,0.002528,0.001184,0.000640,0.919044
0.420656,0.017953,0.202600,0.005312,0.256170,0.002273,0.001056,0.000416,0.913700
0.420848,0.017441,0.202376,0.004896,0.235785,0.002208,0.001120,0.000352,0.892962
0.420368,0.017409,0.202536,0.005024,0.259466,0.003008,0.001056,0.000640,0.917508
0.415952,0.017697,0.202248,0.005088,0.255050,0.002944,0.001120,0.000416,0.907811
0.415664,0.017920,0.202888,0.005184,0.256651,0.002272,0.001024,0.000416,0.909348
0.431089,0.018081,0.202728,0.005312,0.252074,0.002592,0.001248,0.000384,0.922116
0.420208,0.017856,0.202632,0.005120,0.262443,0.002208,0.001024,0.000352,0.919236
0.420080,0.017729,0.202920,0.005312,0.253994,0.002368,0.001056,0.000352,0.911331
0.415568,0.017569,0.202568,0.005344,0.276139,0.003264,0.001152,0.000448,0.931076
0.418928,0.017793,0.202376,0.005280,0.253802,0.002528,0.001120,0.000384,0.910628
0.421009,0.017953,0.203656,0.005216,0.246730,0.002304,0.001152,0.000384,0.905732
0.416272,0.017921,0.202184,0.005152,0.259434,0.002272,0.001024,0.000576,0.912355
0.436785,0.017761,0.202440,0.005408,0.263467,0.003040,0.001088,0.000416,0.938469
0.416496,0.017760,0.202536,0.005120,0.256715,0.002144,0.001088,0.000384,0.909764
0.420081,0.017632,0.201992,0.004833,0.257258,0.002080,0.001088,0.000352,0.912356
0.416528,0.017761,0.202600,0.005280,0.268235,0.002368,0.001184,0.000384,0.923236
0.416048,0.017761,0.201800,0.005056,0.244106,0.002240,0.001088,0.000384,0.896259
0.420433,0.017505,0.202248,0.005024,0.258442,0.002464,0.001056,0.000352,0.914884
0.420592,0.017569,0.202888,0.005216,0.262730,0.002241,0.001088,0.000576,0.921796
0.432081,0.018081,0.202664,0.005088,0.273899,0.003808,0.001248,0.000640,0.947077
0.416272,0.017665,0.202600,0.005056,0.255946,0.002176,0.001088,0.000608,0.909027
0.415664,0.017665,0.202248,0.005024,0.259370,0.002209,0.001024,0.000608,0.911492
0.420144,0.017761,0.220137,0.005184,0.256234,0.002208,0.001056,0.000384,0.930788
0.415665,0.017536,0.202824,0.005057,0.261418,0.002272,0.001056,0.000384,0.913636
0.420721,0.017473,0.202120,0.005152,0.259594,0.002400,0.001056,0.000352,0.916900
0.416752,0.018049,0.203176,0.005312,0.262186,0.003297,0.001280,0.000416,0.919108
0.420560,0.017984,0.203048,0.005312,0.263115,0.002336,0.001120,0.000352,0.921060
0.416305,0.017472,0.202408,0.005057,0.259338,0.002208,0.001056,0.000384,0.911460
0.415888,0.017793,0.202376,0.005088,0.258922,0.002208,0.001056,0.000576,0.911555
0.416593,0.017952,0.218025,0.005184,0.248650,0.002400,0.001184,0.000416,0.918820
0.420464,0.017825,0.202216,0.005344,0.261803,0.002432,0.001056,0.000384,0.919812
0.415984,0.017729,0.202568,0.005280,0.264747,0.002240,0.001120,0.000384,0.916420
0.415376,0.017665,0.202440,0.004992,0.263306,0.002432,0.001024,0.000384,0.915459
0.420304,0.017953,0.202632,0.005312,0.258826,0.002272,0.001024,0.000416,0.916515
0.420369,0.017697,0.202375,0.005056,0.247561,0.002177,0.001120,0.000384,0.904772
0.417072,0.017857,0.204072,0.005376,0.250282,0.002528,0.001216,0.000640,0.907427
0.434097,0.017889,0.203144,0.005344,0.265002,0.002208,0.001024,0.000384,0.936804
0.415280,0.017601,0.203016,0.005440,0.252842,0.002752,0.001184,0.000384,0.906147
0.415889,0.017888,0.203016,0.005249,0.264714,0.002368,0.001056,0.000384,0.918500
0.416528,0.017920,0.202440,0.005024,0.286828,0.002528,0.001280,0.000384,0.941509
0.415920,0.017953,0.202888,0.005280,0.239178,0.002432,0.001024,0.000352,0.892323
0.420336,0.017697,0.202376,0.005248,0.246250,0.002400,0.001024,0.000416,0.903139
0.420881,0.017793,0.202984,0.005248,0.258794,0.002240,0.001024,0.000352,0.916644
0.434641,0.017888,0.202376,0.005312,0.255722,0.002209,0.000992,0.000352,0.927077
0.416752,0.017825,0.202280,0.005280,0.251722,0.002272,0.001024,0.000608,0.905091
0.416241,0.017792,0.203464,0.005217,0.259178,0.002432,0.001216,0.000416,0.914564
0.415792,0.017473,0.203080,0.004800,0.279435,0.003296,0.001088,0.000416,0.932676
0.416369,0.017473,0.202728,0.005408,0.260746,0.002240,0.000960,0.000384,0.914180
0.420785,0.017825,0.202504,0.005120,0.287819,0.002368,0.001024,0.000640,0.947109
0.416016,0.017889,0.203240,0.005216,0.251786,0.002560,0.001184,0.000384,0.906435
0.432113,0.017729,0.204008,0.005056,0.247434,0.002336,0.001088,0.000384,0.917828
0.416112,0.017601,0.202216,0.005280,0.246762,0.002272,0.001088,0.000352,0.898595
0.419760,0.017729,0.202632,0.005024,0.256394,0.002336,0.001088,0.000384,0.912419
0.416144,0.017665,0.222953,0.005152,0.245034,0.002368,0.001088,0.000384,0.918660
0.415824,0.017729,0.201960,0.004992,0.261738,0.002144,0.000960,0.000416,0.913155
0.417457,0.017792,0.202856,0.005057,0.242761,0.002560,0.001248,0.000384,0.898755
0.416945,0.017793,0.202696,0.005216,0.258282,0.002656,0.001024,0.000608,0.913188
0.415728,0.017761,0.203848,0.005344,0.253930,0.002080,0.001024,0.000384,0.907492
0.416176,0.017793,0.202792,0.005248,0.263754,0.002464,0.001216,0.000608,0.919364
0.420817,0.017441,0.202152,0.005280,0.253130,0.002304,0.001056,0.000352,0.909988
0.415888,0.017536,0.221449,0.005280,0.247562,0.002368,0.000992,0.000416,0.918980
0.415441,0.017664,0.202183,0.004833,0.241481,0.002240,0.001024,0.000384,0.892035
0.415792,0.017729,0.202728,0.005184,0.244938,0.003040,0.001120,0.000608,0.898243
0.420593,0.017537,0.202023,0.005216,0.242601,0.002368,0.000960,0.000384,0.898627
0.418128,0.017825,0.204264,0.005280,0.245770,0.002400,0.001280,0.000384,0.904067
0.417201,0.017888,0.202727,0.005601,0.254698,0.002336,0.001024,0.000384,0.909348
0.420400,0.017537,0.202824,0.005152,0.260554,0.002368,0.001056,0.000416,0.918148
0.420113,0.017921,0.238665,0.005216,0.251818,0.002752,0.001024,0.000352,0.946053
0.416145,0.017857,0.203208,0.005248,0.252778,0.002368,0.001280,0.000384,0.907652
0.420273,0.017665,0.202408,0.005248,0.258890,0.002400,0.000992,0.000352,0.915556
0.416048,0.017953,0.202984,0.005152,0.259306,0.002272,0.001024,0.000416,0.912260
0.420272,0.017729,0.202408,0.005184,0.259946,0.002401,0.001056,0.000384,0.916836
0.415920,0.017728,0.202472,0.005024,0.230665,0.002336,0.001120,0.000608,0.883523
0.420432,0.017600,0.202920,0.004800,0.257771,0.002368,0.001088,0.000672,0.915844
0.431697,0.017665,0.203080,0.005248,0.246410,0.002656,0.001344,0.000384,0.916900
0.420241,0.017664,0.202248,0.005281,0.244361,0.002432,0.001184,0.000416,0.901219
0.420081,0.017856,0.203144,0.005281,0.262474,0.002624,0.001216,0.000640,0.920740
0.416112,0.017889,0.202664,0.004832,0.283083,0.002560,0.001280,0.000608,0.936548
0.416176,0.017985,0.202760,0.005056,0.250378,0.002368,0.001280,0.000384,0.905123
0.416080,0.017633,0.202984,0.005216,0.258346,0.002304,0.001120,0.000384,0.911651
0.420817,0.017825,0.202503,0.004832,0.246121,0.002785,0.001184,0.000576,0.904228
0.439889,0.017601,0.202759,0.004832,0.264042,0.002432,0.001120,0.000384,0.940741
0.420144,0.017633,0.203048,0.005440,0.254506,0.002368,0.001153,0.000416,0.912388
0.420081,0.017696,0.202568,0.005121,0.244041,0.002144,0.001088,0.000608,0.900995
0.418480,0.017633,0.204872,0.005312,0.278763,0.002688,0.001216,0.000384,0.937028
0.416656,0.017889,0.203560,0.005248,0.258858,0.002433,0.001344,0.000576,0.914180
0.416689,0.017761,0.203080,0.005152,0.241033,0.003680,0.001505,0.000640,0.897380
0.415728,0.017857,0.203208,0.005216,0.265963,0.003328,0.001440,0.000352,0.921092
0.415121,0.017921,0.203112,0.005056,0.242409,0.002496,0.001248,0.000417,0.896676
0.416689,0.017665,0.202728,0.004832,0.254538,0.002592,0.001120,0.000384,0.907748
0.416145,0.017728,0.202472,0.004865,0.254057,0.002432,0.001184,0.000640,0.906852
0.438257,0.017601,0.202280,0.005248,0.263146,0.002688,0.001280,0.000416,0.939109
0.418192,0.017985,0.202216,0.005216,0.259498,0.002625,0.001216,0.000416,0.915588
0.420433,0.017984,0.202696,0.005057,0.262090,0.002528,0.001088,0.000640,0.919748
0.414992,0.017921,0.202504,0.005312,0.267595,0.002656,0.001280,0.000608,0.921316
0.420785,0.017889,0.203048,0.004896,0.247113,0.002592,0.000992,0.000544,0.906948
0.420177,0.017473,0.202024,0.005248,0.256746,0.002336,0.001056,0.000416,0.912772
0.420913,0.017440,0.202504,0.004865,0.247529,0.002368,0.001088,0.000576,0.905700
0.436370,0.018048,0.203112,0.005089,0.242313,0.002496,0.001184,0.000416,0.917700
0.415344,0.017729,0.202344,0.005280,0.264299,0.002400,0.001440,0.000384,0.917188
0.416016,0.017793,0.202216,0.005216,0.266155,0.002304,0.001184,0.000384,0.918852
0.415184,0.018017,0.202728,0.005280,0.283563,0.002272,0.001056,0.000416,0.935556
0.416048,0.017633,0.202920,0.004832,0.239465,0.002144,0.000928,0.000384,0.890787
0.415440,0.017345,0.203016,0.005120,0.228233,0.002112,0.000960,0.000384,0.879234
0.414993,0.017568,0.202280,0.005313,0.245577,0.002336,0.001120,0.000384,0.898084
0.432145,0.017889,0.202343,0.004865,0.249129,0.002081,0.000960,0.000352,0.916548
0.416848,0.017248,0.202792,0.005120,0.247114,0.002816,0.000928,0.000576,0.899747
0.415761,0.017728,0.203048,0.005185,0.237289,0.002112,0.000928,0.000384,0.889763
0.416816,0.017729,0.202760,0.005280,0.277771,0.002336,0.001152,0.000352,0.932292
0.415120,0.017569,0.202536,0.004800,0.225225,0.002176,0.000864,0.000352,0.875202
0.415633,0.017888,0.202568,0.004833,0.228905,0.002848,0.000928,0.000448,0.880515
0.415089,0.021024,0.202215,0.005249,0.218568,0.002304,0.000960,0.000320,0.871426
0.426096,0.017729,0.202696,0.004800,0.263019,0.002304,0.000864,0.000352,0.924388
0.415280,0.017504,0.202184,0.004832,0.245866,0.002112,0.000800,0.000608,0.895587
0.416465,0.017760,0.202856,0.005057,0.264874,0.002272,0.001408,0.000384,0.919716
0.416656,0.017344,0.202728,0.005120,0.267307,0.002176,0.001056,0.000416,0.919972
0.415760,0.017761,0.202536,0.005248,0.223177,0.002304,0.000864,0.000384,0.874914
0.415856,0.020960,0.202696,0.004865,0.256042,0.002112,0.000992,0.000384,0.911780
0.416656,0.017601,0.202824,0.005024,0.265835,0.002368,0.001120,0.000576,0.920324
0.429553,0.017761,0.202312,0.004800,0.252682,0.002400,0.000864,0.000384,0.917892
0.415568,0.017761,0.202472,0.005216,0.236009,0.002400,0.000865,0.000320,0.887683
0.415249,0.018400,0.202599,0.004801,0.268522,0.002240,0.000896,0.000384,0.920036
0.420177,0.017729,0.201992,0.004736,0.274027,0.002336,0.000864,0.000320,0.928997
0.422129,0.017760,0.202184,0.004832,0.247177,0.002304,0.001056,0.000320,0.904707
0.419953,0.017793,0.203272,0.005248,0.250794,0.002336,0.001120,0.000384,0.909636
0.417105,0.017536,0.202728,0.005281,0.254122,0.002560,0.001088,0.000416,0.908004
0.429520,0.017633,0.202408,0.004896,0.250282,0.002432,0.000928,0.000352,0.915523
0.416208,0.017441,0.202280,0.004800,0.242857,0.002240,0.001056,0.000416,0.894883
0.416880,0.017729,0.202920,0.005056,0.255306,0.002337,0.001120,0.000384,0.910052
0.420273,0.017568,0.202568,0.005089,0.237929,0.002240,0.001088,0.000320,0.894147
0.415664,0.017633,0.202760,0.005088,0.284619,0.002368,0.000928,0.000416,0.936580
0.415281,0.017696,0.202984,0.004801,0.249193,0.002464,0.000992,0.000385,0.900388
0.415409,0.017728,0.202408,0.004800,0.261483,0.002240,0.001152,0.000384,0.912356
0.428688,0.018017,0.202248,0.004768,0.280779,0.002368,0.000896,0.000384,0.945957
0.416272,0.017473,0.202216,0.004832,0.239849,0.002689,0.001152,0.000352,0.893123
0.416464,0.017984,0.202568,0.004864,0.278763,0.002304,0.000897,0.000320,0.931141
0.414992,0.017729,0.202440,0.005152,0.298444,0.002368,0.000928,0.000352,0.949477
0.415792,0.017537,0.202632,0.004800,0.245898,0.002176,0.001088,0.000384,0.898115
0.417072,0.017761,0.202760,0.004960,0.259658,0.002368,0.001184,0.000608,0.914820
0.415376,0.017761,0.202056,0.005120,0.234057,0.003328,0.001056,0.000384,0.886530
0.432657,0.017953,0.202088,0.005184,0.248874,0.002304,0.001024,0.000352,0.918244
0.416048,0.017953,0.202184,0.005312,0.262346,0.002496,0.000992,0.000384,0.915268
0.415857,0.017536,0.202696,0.005121,0.245577,0.002208,0.000992,0.000608,0.897699
0.416272,0.017537,0.202664,0.004992,0.279403,0.002336,0.000992,0.000384,0.932196
0.417488,0.017665,0.203720,0.005280,0.252042,0.002432,0.001280,0.000384,0.908931
0.421265,0.017857,0.202568,0.005120,0.246058,0.003008,0.001120,0.000384,0.905892
0.415633,0.017536,0.202536,0.004865,0.246569,0.002368,0.000992,0.000384,0.898979
0.440433,0.017921,0.203464,0.005248,0.261803,0.002400,0.001024,0.000576,0.941381
0.415888,0.017953,0.202376,0.005056,0.266698,0.002944,0.001217,0.000416,0.921124
0.420593,0.017857,0.202984,0.005312,0.262410,0.002400,0.001056,0.000352,0.921220
0.420689,0.017632,0.202504,0.005120,0.280362,0.003488,0.001120,0.000640,0.940229
0.415889,0.017953,0.203144,0.005312,0.253226,0.002240,0.001056,0.000480,0.906756
0.415761,0.017665,0.202311,0.005376,0.258442,0.002880,0.001088,0.000416,0.911172
0.415889,0.017729,0.202407,0.004865,0.253226,0.002272,0.001024,0.000384,0.904644
0.435153,0.017697,0.203080,0.005216,0.255690,0.002624,0.001248,0.000384,0.929508
0.415856,0.017761,0.202504,0.005120,0.259530,0.002400,0.001056,0.000384,0.910820
0.416209,0.017857,0.202536,0.004832,0.257098,0.002240,0.000960,0.000320,0.909604
0.417489,0.017793,0.218312,0.005185,0.252873,0.002433,0.001184,0.000608,0.925893
0.415376,0.017665,0.202120,0.005280,0.241802,0.002144,0.001024,0.000320,0.891907
0.415313,0.017696,0.203048,0.004993,0.247881,0.002112,0.001025,0.000384,0.898660
0.420016,0.017473,0.214920,0.009665,0.254730,0.002112,0.001024,0.000416,0.930820
0.416368,0.017633,0.202120,0.004960,0.263883,0.002048,0.001056,0.000608,0.915268
0.414416,0.017633,0.202183,0.005185,0.253290,0.002080,0.000992,0.000416,0.902307
0.416592,0.017760,0.202344,0.005024,0.237066,0.002272,0.001248,0.000608,0.891619
0.420592,0.017825,0.225385,0.005312,0.262218,0.002369,0.001024,0.000576,0.944101
0.415665,0.017600,0.202216,0.005280,0.256970,0.002144,0.000992,0.000608,0.908100
0.419345,0.017472,0.202728,0.004929,0.255978,0.002752,0.000992,0.000384,0.911332
0.416017,0.017792,0.202504,0.005057,0.270666,0.002496,0.001184,0.000608,0.926276
0.416784,0.017728,0.202600,0.005056,0.261643,0.002752,0.001248,0.000352,0.917124
0.416112,0.017569,0.202728,0.005056,0.255146,0.002816,0.001152,0.000384,0.908772
0.416017,0.017568,0.202920,0.005025,0.249225,0.002368,0.001249,0.000384,0.902532
0.437137,0.017953,0.202311,0.004832,0.272746,0.002273,0.001056,0.000384,0.946949
0.420016,0.017761,0.202888,0.005248,0.259594,0.002304,0.001216,0.000608,0.917027
0.416240,0.017888,0.203112,0.004960,0.245610,0.002528,0.001184,0.000672,0.901411
0.420624,0.017633,0.202728,0.004960,0.285003,0.002752,0.001440,0.000384,0.943557
0.420401,0.017761,0.202728,0.004800,0.248458,0.002496,0.001120,0.000384,0.905892
0.416112,0.017569,0.202600,0.005152,0.260362,0.002496,0.001216,0.000416,0.913796
0.416209,0.018017,0.203016,0.004992,0.268138,0.002528,0.001377,0.000640,0.923845
0.434705,0.017665,0.202215,0.004864,0.265706,0.002624,0.001216,0.000640,0.937572
0.420560,0.018049,0.202600,0.005216,0.257738,0.003008,0.001376,0.000608,0.915651
0.420529,0.017920,0.202792,0.005249,0.257418,0.002272,0.001440,0.000384,0.915716
0.420144,0.017921,0.220009,0.005184,0.253386,0.002336,0.001152,0.000352,0.928324
0.420240,0.017825,0.202632,0.004832,0.244906,0.002400,0.001248,0.000384,0.901539
0.416112,0.017793,0.202632,0.005280,0.255722,0.002560,0.001280,0.000384,0.910595
0.420336,0.018144,0.202920,0.005249,0.252329,0.002305,0.001440,0.000384,0.911236
0.420720,0.017952,0.202664,0.005248,0.261835,0.002432,0.001440,0.000608,0.920580
0.415632,0.017920,0.202536,0.005280,0.262955,0.002464,0.001280,0.000608,0.915780
0.416528,0.018241,0.203048,0.005248,0.259338,0.003360,0.001440,0.000384,0.915812
0.439985,0.017793,0.202632,0.005088,0.299852,0.002272,0.001216,0.000640,0.977670
0.415824,0.018049,0.202408,0.005056,0.257866,0.003681,0.001248,0.000640,0.912964
0.415632,0.017953,0.202440,0.005024,0.247338,0.002432,0.001184,0.000352,0.900259
0.416144,0.017985,0.202568,0.005248,0.297579,0.002464,0.001216,0.000416,0.951589
0.420016,0.017921,0.205736,0.005248,0.263530,0.002593,0.001440,0.000576,0.925444
0.417296,0.017921,0.203848,0.005120,0.253418,0.002464,0.001376,0.000544,0.911043
0.417073,0.017601,0.203112,0.004864,0.256586,0.002624,0.001216,0.000352,0.911812
0.434770,0.018048,0.203144,0.005153,0.253962,0.002592,0.001216,0.000384,0.927621
0.416657,0.017888,0.203112,0.005313,0.248009,0.002593,0.001120,0.000608,0.904452
0.418288,0.017537,0.203176,0.005088,0.246890,0.002528,0.001216,0.000608,0.904099
0.420592,0.017569,0.220168,0.005216,0.244425,0.002560,0.001121,0.000544,0.921604
0.416304,0.017921,0.202120,0.004992,0.250698,0.002592,0.001408,0.000576,0.904579
0.415536,0.017857,0.202216,0.004896,0.248298,0.002752,0.001376,0.000384,0.901635
0.417296,0.017921,0.202376,0.004864,0.251914,0.002496,0.001184,0.000352,0.906563
0.416112,0.018017,0.202536,0.004992,0.250570,0.002464,0.001088,0.000384,0.904419
0.416112,0.018561,0.202888,0.005088,0.247466,0.002624,0.001216,0.000576,0.903459
0.416753,0.017952,0.202823,0.005121,0.256170,0.002848,0.001088,0.000608,0.911684
0.417105,0.031969,0.202600,0.005120,0.280555,0.002624,0.001152,0.000640,0.950085
0.416688,0.017760,0.204552,0.005409,0.251465,0.002433,0.001056,0.000576,0.908964
0.416336,0.017793,0.202184,0.005408,0.245354,0.002560,0.001184,0.000544,0.900099
0.416113,0.017984,0.202824,0.005217,0.274218,0.002369,0.001120,0.000416,0.928229
