Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.420849,0.017633,0.202504,0.004832,0.258890,0.002400,0.000960,0.000384,0.916196
0.433841,0.017792,0.202280,0.005121,0.262602,0.002624,0.001056,0.000416,0.933540
0.416336,0.017281,0.203944,0.005280,0.238729,0.002433,0.001088,0.000384,0.894435
0.421072,0.017825,0.202472,0.005248,0.259722,0.002400,0.001088,0.000384,0.917987
0.416368,0.017761,0.226025,0.005152,0.277387,0.002368,0.000992,0.000416,0.954661
0.420816,0.017537,0.202088,0.005280,0.236105,0.002528,0.000960,0.000416,0.893987
0.419472,0.018017,0.204488,0.005312,0.319501,0.003776,0.002848,0.000576,0.985702
0.418672,0.017856,0.203368,0.005120,0.265483,0.003168,0.002176,0.000576,0.926084
0.417808,0.017888,0.203080,0.005057,0.276650,0.003136,0.002240,0.000576,0.938949
0.416176,0.017601,0.203080,0.005088,0.261258,0.002496,0.000960,0.000609,0.915012
0.416913,0.017664,0.201896,0.005313,0.253354,0.002272,0.001248,0.000544,0.906884
0.434609,0.017760,0.202568,0.005312,0.245578,0.002080,0.000896,0.000512,0.917380
0.417041,0.017985,0.202728,0.004832,0.244745,0.002465,0.001280,0.000448,0.900196
0.420785,0.017729,0.202440,0.005216,0.241449,0.002336,0.001088,0.000384,0.898980
0.421392,0.021153,0.201800,0.005088,0.275499,0.002144,0.001120,0.000384,0.935268
0.416048,0.017889,0.202184,0.004832,0.244233,0.002176,0.000993,0.000384,0.895747
0.421200,0.017569,0.202152,0.004896,0.258314,0.002208,0.001152,0.000384,0.916291
0.415536,0.017697,0.203560,0.005248,0.254698,0.002240,0.001024,0.000384,0.907715
0.431665,0.017825,0.202472,0.005088,0.256202,0.002240,0.000992,0.000416,0.924452
0.420592,0.017665,0.202152,0.005216,0.244746,0.002304,0.000992,0.000352,0.901891
0.420016,0.017793,0.202184,0.005216,0.246186,0.002144,0.001056,0.000640,0.901923
