Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-7],OUT[7],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.416323,0.017504,0.202690,0.005024,0.112993,0.097024,0.064257,0.277570,0.002624,0.001088,0.000352,0.928967
0.415683,0.017280,0.202657,0.005248,0.113057,0.097345,0.063904,0.277954,0.002560,0.001152,0.000352,0.928678
0.416259,0.017312,0.202946,0.005024,0.112640,0.114976,0.072417,0.303490,0.002656,0.001152,0.000320,0.954887
0.417027,0.017312,0.202369,0.005248,0.110017,0.096897,0.065216,0.275522,0.002464,0.001056,0.000320,0.927270
0.415683,0.017344,0.202658,0.005184,0.112865,0.102656,0.066209,0.285090,0.002496,0.001056,0.000416,0.936167
0.415875,0.017408,0.203361,0.005312,0.107073,0.093825,0.063072,0.267170,0.002624,0.001088,0.000288,0.919302
0.438979,0.017280,0.202626,0.005312,0.114433,0.098528,0.064129,0.280450,0.002400,0.001120,0.000608,0.954919
0.415459,0.017632,0.203393,0.005248,0.111713,0.097473,0.064896,0.277986,0.002752,0.001184,0.000352,0.930246
0.415363,0.017472,0.202626,0.005536,0.114881,0.097856,0.066785,0.282818,0.002432,0.001056,0.000384,0.933831
0.415235,0.017280,0.219682,0.005184,0.116480,0.099201,0.063713,0.282882,0.002592,0.001024,0.000352,0.951271
0.415587,0.017280,0.203297,0.004768,0.119649,0.097537,0.066240,0.286818,0.002624,0.001280,0.000352,0.938246
0.415395,0.017472,0.202754,0.005280,0.111393,0.099616,0.066465,0.280770,0.002528,0.001056,0.000352,0.931303
0.415203,0.017536,0.204321,0.005056,0.111297,0.097313,0.063040,0.274690,0.002592,0.001088,0.000384,0.926694
0.415395,0.017440,0.204674,0.005056,0.113377,0.100384,0.062881,0.280226,0.002528,0.001024,0.000320,0.932871
0.415171,0.017312,0.202625,0.005120,0.112033,0.099137,0.069248,0.283458,0.002656,0.001120,0.000352,0.933798
0.415619,0.017473,0.205057,0.005056,0.115329,0.096321,0.063968,0.278882,0.002560,0.001120,0.000352,0.932455
0.430531,0.017504,0.202914,0.005056,0.113216,0.098625,0.066113,0.281442,0.002752,0.000960,0.000384,0.947527
0.416386,0.017568,0.203905,0.005120,0.126561,0.105505,0.073312,0.308994,0.003072,0.001088,0.000320,0.963590
0.415811,0.017504,0.205218,0.005024,0.116673,0.098945,0.065344,0.284674,0.002592,0.001152,0.000352,0.938759
0.415651,0.017472,0.221218,0.005216,0.114817,0.097728,0.065441,0.281570,0.002592,0.001120,0.000384,0.952103
0.415811,0.017216,0.203105,0.005376,0.115809,0.099297,0.068704,0.287106,0.002688,0.001216,0.000384,0.938822
0.415043,0.017472,0.203266,0.004800,0.113825,0.106913,0.064864,0.288514,0.002528,0.001024,0.000320,0.939431
0.415363,0.017248,0.203201,0.005056,0.114145,0.101409,0.064609,0.283331,0.002560,0.001152,0.000384,0.934343
0.415011,0.017504,0.202689,0.004992,0.109569,0.095361,0.065440,0.273602,0.002528,0.001120,0.000352,0.924390
0.415459,0.017312,0.202850,0.005024,0.110881,0.101280,0.062977,0.278210,0.002432,0.001056,0.000416,0.928551
0.416227,0.017280,0.202625,0.005088,0.116929,0.098241,0.064800,0.283042,0.002624,0.001088,0.000384,0.935014
0.431299,0.017537,0.202785,0.005056,0.120161,0.100289,0.069120,0.293186,0.002592,0.001056,0.000384,0.962823
0.416803,0.017408,0.202466,0.005024,0.121057,0.097280,0.064993,0.286818,0.002752,0.001088,0.000608,0.941255
0.415843,0.017632,0.202497,0.004992,0.117537,0.099937,0.066176,0.287202,0.002592,0.001152,0.000416,0.939143
0.420291,0.017505,0.219393,0.005408,0.120225,0.098401,0.066624,0.288226,0.002816,0.001120,0.000608,0.963111
0.416131,0.017600,0.202626,0.005024,0.122113,0.099584,0.067713,0.293218,0.002912,0.001088,0.000448,0.945479
0.421347,0.017504,0.202945,0.005280,0.119201,0.096225,0.062944,0.281730,0.002624,0.001024,0.000416,0.939239
0.420483,0.017313,0.202849,0.005088,0.120385,0.105249,0.066784,0.295650,0.002816,0.001088,0.000384,0.952135
0.415523,0.017344,0.203010,0.005024,0.117505,0.101088,0.067361,0.289666,0.002816,0.001152,0.000384,0.941447
0.415683,0.017408,0.202721,0.005281,0.110720,0.095905,0.065024,0.275042,0.002688,0.001024,0.000416,0.927175
0.416003,0.017505,0.202593,0.005024,0.117345,0.106241,0.067616,0.294690,0.002592,0.001120,0.000416,0.947271
0.431203,0.017408,0.203266,0.005024,0.115937,0.100800,0.069697,0.292098,0.002784,0.000992,0.000448,0.960903
0.415555,0.017472,0.202657,0.005024,0.117089,0.096961,0.064256,0.281890,0.002624,0.001056,0.000384,0.933415
0.415971,0.017281,0.202849,0.005088,0.117121,0.100321,0.066880,0.288834,0.002784,0.001088,0.000352,0.940487
0.415747,0.017312,0.220738,0.005216,0.117121,0.100032,0.068321,0.288802,0.002304,0.001152,0.000416,0.958887
0.416867,0.017312,0.202721,0.005056,0.117537,0.099745,0.065888,0.286818,0.002464,0.000992,0.000576,0.938983
0.420003,0.017281,0.202977,0.005280,0.118849,0.097025,0.064640,0.284066,0.002496,0.001088,0.000352,0.940167
0.419331,0.017824,0.206210,0.005344,0.134753,0.102369,0.094272,0.336834,0.003584,0.001216,0.000416,1.000551
0.416771,0.017632,0.204034,0.005056,0.123617,0.098465,0.066368,0.292418,0.002752,0.001120,0.000384,0.946951
0.416803,0.017760,0.203586,0.005344,0.107553,0.098176,0.066337,0.275842,0.003040,0.001184,0.000384,0.930407
0.417539,0.017312,0.203585,0.005120,0.111969,0.099265,0.065984,0.280866,0.002752,0.001088,0.000736,0.935462
0.432963,0.017376,0.204353,0.005248,0.109697,0.100513,0.064672,0.278466,0.002496,0.001088,0.000384,0.949511
0.416643,0.017440,0.202786,0.005280,0.120257,0.099264,0.065153,0.288066,0.002432,0.001088,0.000608,0.940743
