IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.144549,1.571503,0.066242,1.790422,0.004320,0.001344,0.000480,1.799126
0.145572,1.580687,0.067138,1.799413,0.004353,0.001120,0.000384,1.807798
0.144452,1.563343,0.062658,1.778101,0.002656,0.000992,0.000384,1.784533
0.145989,1.595791,0.075011,1.824247,0.005504,0.001248,0.000480,1.835383
0.129028,1.561711,0.061538,1.758293,0.002816,0.001184,0.000416,1.764981
0.137765,1.579311,0.082370,1.805046,0.003200,0.001248,0.000480,1.812438
0.166341,1.564334,0.064226,1.801334,0.003456,0.001056,0.000448,1.808534
0.169189,1.579599,0.073634,1.827766,0.005504,0.001184,0.000480,1.837782
0.140196,1.561358,0.063106,1.770645,0.005504,0.000992,0.000416,1.780021
0.160997,1.618512,0.077155,1.863384,0.003168,0.001088,0.000416,1.871352
0.132068,1.563566,0.068770,1.772884,0.003296,0.000992,0.000480,1.780565
0.139908,1.582095,0.084610,1.813717,0.002657,0.001184,0.000576,1.821814
0.144196,1.565614,0.066466,1.783029,0.005152,0.001120,0.000416,1.791957
0.147492,1.582607,0.088130,1.825814,0.005569,0.001344,0.000416,1.837015
0.146565,1.577999,0.065730,1.796918,0.002688,0.001120,0.000448,1.803414
0.149125,1.594031,0.107012,1.858040,0.003552,0.001152,0.000384,1.866360
0.141349,1.573390,0.066722,1.788117,0.002496,0.001120,0.000448,1.794390
0.142628,1.580015,0.067234,1.796981,0.003073,0.001088,0.000416,1.805302
0.161381,1.563694,0.064002,1.795093,0.005568,0.001120,0.000448,1.804565
0.141572,1.592527,0.080418,1.821750,0.002816,0.001152,0.000448,1.828598
0.149860,1.567727,0.066530,1.791477,0.003296,0.001344,0.000480,1.798869
0.143364,1.596368,0.074082,1.820246,0.002912,0.001184,0.000448,1.827798
0.146437,1.568142,0.064258,1.785301,0.002624,0.000992,0.000384,1.791573
0.122852,1.580399,0.070722,1.779861,0.003616,0.001121,0.000480,1.788310
0.131076,1.575151,0.069282,1.782197,0.003104,0.001152,0.000384,1.789141
0.147620,1.581519,0.073826,1.809685,0.002912,0.001152,0.000384,1.816629
0.139140,1.574478,0.064769,1.783861,0.002688,0.001088,0.000352,1.790262
0.139588,1.587311,0.087587,1.819830,0.005504,0.001184,0.000384,1.829526
0.117507,1.574639,0.063970,1.761620,0.002432,0.000960,0.000384,1.767668
0.124004,1.591887,0.073250,1.795253,0.005184,0.000896,0.000384,1.804502
0.129219,1.574735,0.070946,1.779828,0.002529,0.000992,0.000448,1.786101
0.139012,1.575567,0.071842,1.792661,0.002752,0.001024,0.000448,1.799125
0.147269,1.563566,0.070978,1.787381,0.002624,0.001121,0.000416,1.793814
0.149765,1.592591,0.087203,1.837143,0.003008,0.001216,0.000384,1.845271
0.144517,1.563566,0.065986,1.780789,0.002528,0.001025,0.000416,1.786902
0.170309,1.572783,0.070370,1.820886,0.002496,0.001152,0.000448,1.827286
0.146372,1.572719,0.065218,1.790517,0.002496,0.001280,0.000384,1.796917
0.154085,1.573647,0.076258,1.810006,0.002528,0.001056,0.000512,1.816534
0.141412,1.568879,0.064290,1.780981,0.002624,0.000960,0.000384,1.787189
0.148356,1.564463,0.067234,1.788181,0.002432,0.000992,0.000416,1.794293
0.149797,1.580463,0.065666,1.802582,0.005600,0.001184,0.000448,1.812278
0.141316,1.571182,0.064258,1.784245,0.003776,0.001216,0.000416,1.791925
0.132356,1.562670,0.064354,1.765780,0.002592,0.001088,0.000416,1.772180
0.131012,1.566382,0.066146,1.770004,0.002432,0.001024,0.000384,1.776052
0.139908,1.565391,0.066658,1.777813,0.005568,0.001120,0.000384,1.787157
0.131908,1.565486,0.063266,1.767732,0.005569,0.001152,0.000416,1.777077
0.149797,1.577839,0.066178,1.800022,0.002688,0.001024,0.000384,1.806390
0.170725,1.564494,0.064130,1.805333,0.005696,0.001152,0.000384,1.814742
0.142692,1.584399,0.082979,1.815670,0.002624,0.001216,0.000384,1.822262
0.132676,1.566447,0.066338,1.772533,0.005600,0.001088,0.000384,1.781877
0.143364,1.585263,0.089827,1.824982,0.005536,0.001088,0.000384,1.834774
0.155237,1.574959,0.066882,1.804630,0.002784,0.001088,0.000416,1.811158
0.148517,1.601423,0.091971,1.849079,0.003200,0.000992,0.000384,1.855831
0.151492,1.565935,0.066882,1.790805,0.002752,0.001248,0.000416,1.797365
0.142980,1.585295,0.074338,1.809685,0.003649,0.001344,0.000448,1.817622
0.133508,1.568559,0.065122,1.773493,0.002880,0.000992,0.000384,1.780149
0.150244,1.581263,0.070370,1.808053,0.004544,0.001056,0.000384,1.816245
0.147652,1.566095,0.066946,1.786422,0.002720,0.001056,0.000416,1.792758
0.133252,1.581807,0.086339,1.809494,0.003616,0.001152,0.000448,1.818198
0.152548,1.565775,0.067202,1.792789,0.002528,0.000992,0.000416,1.799157
