IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.156389,1.596176,0.080802,1.841463,0.003328,0.001568,0.000448,1.849175
0.150949,1.567630,0.068642,1.793845,0.003169,0.001344,0.000416,1.801174
0.154180,1.584463,0.104100,1.851255,0.003104,0.001280,0.000416,1.859383
0.150660,1.578991,0.067202,1.803541,0.003136,0.001280,0.000352,1.810517
0.131972,1.599056,0.095074,1.833270,0.003232,0.001312,0.000416,1.841527
0.150021,1.568590,0.068130,1.794262,0.003072,0.001312,0.000416,1.801334
0.154277,1.587503,0.076770,1.826614,0.003136,0.001440,0.000512,1.834422
0.150949,1.568975,0.068610,1.795606,0.002912,0.001216,0.000480,1.802774
0.151588,1.586320,0.086242,1.832406,0.003168,0.001280,0.000384,1.840951
0.140805,1.567310,0.070082,1.786293,0.003040,0.001313,0.000448,1.793430
0.159589,1.586991,0.108099,1.862967,0.003072,0.001248,0.000448,1.870168
0.152964,1.566863,0.069730,1.796533,0.002848,0.001216,0.000384,1.803637
0.154565,1.588015,0.087907,1.838775,0.003008,0.001376,0.000448,1.847511
0.121700,1.569326,0.067906,1.766453,0.002976,0.001248,0.000384,1.773429
0.152740,1.587055,0.098114,1.844919,0.003200,0.001312,0.000416,1.852311
0.155877,1.571214,0.070147,1.803894,0.003200,0.001440,0.000416,1.811254
0.153413,1.584687,0.101251,1.846423,0.003616,0.001312,0.000480,1.855031
0.150693,1.569422,0.067650,1.794517,0.003905,0.001376,0.000576,1.803126
0.171717,1.573807,0.068866,1.822294,0.003008,0.001312,0.000384,1.829334
0.154244,1.570447,0.071810,1.804565,0.005953,0.001344,0.000384,1.814710
0.153188,1.579086,0.068707,1.808022,0.003456,0.001312,0.000384,1.815702
0.152772,1.574799,0.070882,1.805909,0.003232,0.001120,0.000416,1.813205
0.151460,1.579439,0.068098,1.806069,0.003392,0.001409,0.000384,1.814102
0.151748,1.591088,0.103907,1.854999,0.003200,0.001408,0.000416,1.863095
0.152292,1.569135,0.068354,1.797333,0.003424,0.001344,0.000416,1.805045
0.151525,1.596847,0.087554,1.844343,0.003648,0.001344,0.000416,1.853687
0.136484,1.567951,0.071906,1.783317,0.003424,0.001344,0.000416,1.791093
0.175270,1.588911,0.090947,1.862968,0.003072,0.001312,0.000384,1.871064
0.152997,1.569583,0.070114,1.799862,0.004352,0.001280,0.000384,1.808214
0.129283,1.594224,0.088642,1.819479,0.002944,0.000992,0.000384,1.826743
0.152356,1.573039,0.066306,1.798741,0.002688,0.000992,0.000384,1.805077
0.137860,1.586255,0.075171,1.808086,0.003200,0.001344,0.000416,1.815894
0.151396,1.567279,0.067426,1.793525,0.003072,0.001248,0.000416,1.800597
0.170597,1.593871,0.083651,1.857591,0.004288,0.002432,0.000512,1.867511
0.159845,1.573359,0.072258,1.814326,0.005216,0.002529,0.000544,1.825463
0.142916,1.590287,0.076611,1.816150,0.002912,0.001152,0.000608,1.823926
0.148005,1.567822,0.066658,1.789269,0.002593,0.001024,0.000384,1.795574
0.141636,1.587823,0.080963,1.816630,0.003168,0.001152,0.000512,1.824406
0.120420,1.578094,0.067074,1.771701,0.002464,0.000800,0.000416,1.777685
0.134756,1.593007,0.085603,1.819254,0.004192,0.001184,0.000480,1.827542
0.159749,1.585359,0.067202,1.817558,0.002624,0.000896,0.000352,1.823766
0.157349,1.586031,0.079234,1.830678,0.003265,0.001600,0.000416,1.838487
0.153093,1.567055,0.066946,1.794102,0.002880,0.001248,0.000384,1.801142
0.142309,1.587919,0.079010,1.817206,0.003200,0.001280,0.000416,1.826262
0.154597,1.567791,0.067074,1.797142,0.003392,0.001312,0.000416,1.804886
0.158277,1.581103,0.066338,1.813270,0.003104,0.001472,0.000320,1.820790
0.149988,1.568783,0.072962,1.799093,0.003744,0.001280,0.000416,1.806997
0.156101,1.584303,0.085603,1.834295,0.003904,0.001376,0.000384,1.842999
0.124100,1.581423,0.067650,1.780565,0.002944,0.000992,0.000448,1.787445
0.128195,1.581199,0.067266,1.783701,0.002688,0.001056,0.000480,1.790197
0.131300,1.574703,0.065730,1.792981,0.002528,0.000896,0.000352,1.799061
0.149317,1.575759,0.069762,1.803222,0.002496,0.001248,0.000384,1.810582
0.168037,1.604623,0.077731,1.856440,0.002848,0.001088,0.000480,1.863320
0.130468,1.573199,0.064994,1.774645,0.002688,0.000960,0.000480,1.781173
0.147812,1.593871,0.073762,1.823158,0.002624,0.001152,0.000384,1.830454
0.130244,1.577487,0.069026,1.782869,0.002752,0.000928,0.000512,1.789461
0.121220,1.589327,0.080898,1.797813,0.002752,0.001184,0.000449,1.805270
0.120452,1.566479,0.069474,1.762357,0.002432,0.000928,0.000416,1.768725
0.148197,1.594287,0.078882,1.828758,0.002881,0.001184,0.000416,1.836983
0.139460,1.575759,0.069154,1.790773,0.003072,0.001024,0.000384,1.797685
0.147716,1.598736,0.085890,1.838198,0.004321,0.001120,0.000416,1.846743
0.132644,1.567055,0.066946,1.774293,0.002528,0.000928,0.000352,1.780661
0.173637,1.611375,0.110180,1.900985,0.004352,0.000992,0.000384,1.909113
0.149893,1.567919,0.066210,1.790710,0.002944,0.001248,0.000352,1.798006
0.128932,1.591119,0.079650,1.805013,0.005249,0.001024,0.000384,1.814358
0.130724,1.563951,0.063266,1.763925,0.002464,0.000864,0.000480,1.769941
0.117987,1.589935,0.072770,1.787413,0.002464,0.000928,0.000448,1.794517
0.131396,1.581103,0.066082,1.783829,0.002368,0.000832,0.000480,1.789621
0.126563,1.579343,0.104740,1.817078,0.002848,0.000960,0.000512,1.824246
0.148836,1.575759,0.071042,1.801141,0.002593,0.001120,0.000416,1.807414
0.139396,1.577071,0.069698,1.792853,0.004672,0.001120,0.000480,1.802133
0.162597,1.569071,0.066338,1.804662,0.002720,0.001088,0.000480,1.811222
0.133220,1.578639,0.069922,1.787990,0.002624,0.001024,0.000416,1.795158
0.147524,1.579343,0.065762,1.798613,0.002688,0.001152,0.000544,1.805205
0.127716,1.605904,0.100547,1.841111,0.002528,0.000992,0.000416,1.847767
0.119267,1.566575,0.065634,1.757012,0.002528,0.000864,0.000448,1.763316
0.148580,1.583599,0.088771,1.826614,0.002720,0.001120,0.000384,1.833686
0.140420,1.572687,0.067650,1.786069,0.002528,0.001024,0.000384,1.792277
0.118627,1.592560,0.073570,1.791829,0.002688,0.001120,0.000448,1.799253
0.125124,1.566991,0.069410,1.766773,0.002528,0.001056,0.000448,1.773205
0.149092,1.582383,0.070946,1.810390,0.003136,0.001248,0.000480,1.817718
0.138244,1.575695,0.065762,1.785845,0.002560,0.000832,0.000416,1.791989
0.136420,1.590927,0.075490,1.808022,0.003520,0.001120,0.000384,1.815542
0.145477,1.567566,0.069474,1.789557,0.002913,0.000896,0.000384,1.796694
0.144261,1.588207,0.078178,1.817846,0.002688,0.001120,0.000416,1.825270
0.141892,1.581166,0.066754,1.795894,0.002624,0.000960,0.000352,1.802038
0.145860,1.589231,0.106531,1.848438,0.005537,0.001056,0.000576,1.859735
0.126051,1.572911,0.065634,1.771061,0.002528,0.000800,0.000384,1.776853
0.162501,1.586351,0.089603,1.845687,0.005312,0.001056,0.000384,1.855319
0.168517,1.575343,0.069826,1.823030,0.005344,0.003073,0.000576,1.835191
0.167013,1.597423,0.066754,1.838807,0.003200,0.001184,0.000416,1.846327
0.152389,1.571695,0.066338,1.797526,0.002656,0.001184,0.000416,1.804086
0.150212,1.575503,0.067490,1.800213,0.002912,0.001344,0.000416,1.807317
0.147204,1.566255,0.066242,1.786357,0.002560,0.001152,0.000416,1.792821
0.097123,1.595600,0.063266,1.762805,0.002624,0.001120,0.000384,1.769173
0.123428,1.573903,0.064226,1.767957,0.004128,0.001056,0.000480,1.775861
0.148772,1.565423,0.069314,1.790773,0.005568,0.001248,0.000416,1.800725
0.149828,1.568367,0.090403,1.815574,0.003712,0.001216,0.000448,1.823254
0.151461,1.572910,0.068322,1.800182,0.003168,0.001184,0.000416,1.807798
0.152932,1.597616,0.079746,1.838806,0.003072,0.001120,0.000448,1.847158
0.128804,1.567503,0.069506,1.772885,0.003104,0.001312,0.000416,1.780117
0.149989,1.614096,0.083779,1.855864,0.003360,0.001120,0.000416,1.864184
0.150949,1.568686,0.065890,1.792693,0.002945,0.001504,0.000384,1.799798
0.150212,1.589296,0.115555,1.863031,0.003104,0.001312,0.000512,1.871863
0.149508,1.567119,0.066402,1.789749,0.003360,0.001184,0.000480,1.797013
0.151652,1.583919,0.075810,1.818934,0.003168,0.001344,0.000512,1.826550
0.175174,1.567310,0.067138,1.816886,0.002816,0.001184,0.000480,1.823799
0.128612,1.587407,0.074114,1.798517,0.003105,0.001504,0.000544,1.807478
0.178501,1.570159,0.068002,1.824278,0.002880,0.001344,0.000384,1.831414
0.151269,1.595663,0.080419,1.835799,0.003200,0.001248,0.000416,1.844631
0.154181,1.573998,0.068738,1.805110,0.002752,0.001280,0.000352,1.811926
0.148645,1.585519,0.074850,1.816662,0.003361,0.001248,0.000480,1.825655
0.140612,1.580335,0.066210,1.794453,0.003360,0.001184,0.000352,1.801941
0.152452,1.582927,0.085762,1.827798,0.003456,0.001280,0.000448,1.836598
0.150884,1.575119,0.069506,1.802261,0.002913,0.001184,0.000352,1.809206
0.149733,1.595663,0.075970,1.828151,0.003200,0.001280,0.000416,1.835383
0.167941,1.573551,0.066882,1.815350,0.002688,0.001248,0.000416,1.822198
0.151301,1.596399,0.093187,1.848343,0.003136,0.001248,0.000480,1.855703
0.178790,1.636721,0.130307,1.954459,0.003392,0.001248,0.000448,1.963387
0.150373,1.569838,0.068258,1.796021,0.002625,0.001056,0.000480,1.802486
0.156613,1.600976,0.085410,1.851383,0.003457,0.001120,0.000416,1.859448
0.152452,1.579695,0.069058,1.809045,0.002944,0.001216,0.000480,1.816054
0.156517,1.591247,0.082339,1.837719,0.003456,0.001184,0.000512,1.845623
0.152901,1.569999,0.068194,1.798614,0.003040,0.001280,0.000416,1.805910
0.156901,1.590703,0.076546,1.832375,0.003232,0.001280,0.000416,1.840887
0.152100,1.574575,0.068130,1.801941,0.002784,0.001280,0.000352,1.808693
0.153668,1.591439,0.083234,1.835222,0.003200,0.001313,0.000416,1.842743
0.154884,1.572271,0.070626,1.805813,0.003168,0.001344,0.000448,1.813205
0.154501,1.589743,0.083075,1.834007,0.003008,0.001344,0.000416,1.841431
0.139300,1.569742,0.067522,1.784245,0.003136,0.001312,0.000384,1.791989
0.137188,1.605648,0.082755,1.833719,0.003200,0.001280,0.000416,1.842391
0.143460,1.578895,0.065538,1.794165,0.002688,0.001312,0.000416,1.800917
0.141828,1.596239,0.070882,1.815350,0.002784,0.001184,0.000480,1.822262
0.127172,1.575759,0.075458,1.785813,0.005504,0.001056,0.000416,1.795253
0.121955,1.591695,0.076834,1.796853,0.005536,0.001216,0.000544,1.807381
0.146277,1.581007,0.071202,1.804758,0.003360,0.001408,0.000448,1.812278
0.133188,1.590415,0.093283,1.822710,0.002816,0.001120,0.000384,1.829078
0.127715,1.575919,0.068450,1.778644,0.002401,0.000960,0.000384,1.784917
0.172261,1.595503,0.090339,1.863896,0.002560,0.001056,0.000352,1.870136
0.133956,1.577103,0.066466,1.786229,0.002720,0.001120,0.000416,1.792885
0.152548,1.607824,0.087811,1.854071,0.002784,0.001408,0.000384,1.861207
0.149701,1.566318,0.067938,1.790517,0.002753,0.001152,0.000544,1.797334
0.138725,1.577775,0.069602,1.811830,0.002976,0.001408,0.000416,1.819351
0.129796,1.567439,0.067970,1.773109,0.002784,0.001280,0.000416,1.779893
0.153572,1.575279,0.068258,1.804757,0.003008,0.001248,0.000416,1.811733
0.151908,1.569423,0.068770,1.797909,0.002944,0.001216,0.000384,1.805493
0.155525,1.568782,0.071810,1.804502,0.003328,0.001280,0.000352,1.812470
0.158053,1.571247,0.070818,1.807894,0.003168,0.001280,0.000416,1.815478
0.149637,1.565934,0.066594,1.789461,0.003008,0.001248,0.000416,1.796565
0.156421,1.590895,0.106851,1.862359,0.003488,0.001345,0.000416,1.870136
0.153541,1.567951,0.068962,1.797910,0.002944,0.001248,0.000416,1.804822
0.152292,1.588560,0.077410,1.826038,0.003168,0.001376,0.000480,1.833750
0.136069,1.574222,0.069763,1.787702,0.003008,0.001280,0.000448,1.795094
0.135108,1.589519,0.086851,1.818998,0.003424,0.001568,0.000416,1.827830
0.151492,1.570575,0.068770,1.797589,0.002976,0.001248,0.000448,1.804917
0.139012,1.586319,0.077666,1.810902,0.003104,0.001376,0.000512,1.819638
0.164965,1.572334,0.071266,1.818902,0.003425,0.001792,0.000800,1.827831
