TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.712587,0.049316,0.000768,0.013377,0.000608,0.001408,0.000928,0.000352,1.786448
1.702411,0.048995,0.000800,0.013441,0.000832,0.001408,0.001248,0.000384,1.776271
1.723116,0.049059,0.000832,0.013441,0.000800,0.001632,0.001056,0.000352,1.797137
1.669737,0.048867,0.000768,0.013569,0.000672,0.001376,0.001088,0.000384,1.744653
1.774255,0.049699,0.000640,0.013633,0.000576,0.001440,0.001056,0.000352,1.849204
1.710347,0.048931,0.000768,0.013377,0.000576,0.001376,0.000928,0.000416,1.783631
1.694922,0.049507,0.000896,0.013537,0.000640,0.001408,0.001056,0.000384,1.769455
1.702058,0.049027,0.000800,0.013825,0.000640,0.001440,0.001088,0.000416,1.776815
1.703851,0.049635,0.000704,0.013633,0.000608,0.001440,0.001024,0.000320,1.778607
1.708555,0.049283,0.000768,0.013601,0.000576,0.001408,0.001088,0.000416,1.783151
1.696810,0.049699,0.000864,0.013985,0.000928,0.001536,0.001024,0.000320,1.772878
1.677705,0.049283,0.000800,0.013761,0.000640,0.001440,0.000992,0.000384,1.753230
1.727500,0.049027,0.000832,0.013409,0.000608,0.001376,0.000992,0.000384,1.801488
1.681673,0.049475,0.000768,0.013441,0.000640,0.001504,0.000992,0.000384,1.756302
1.731596,0.049316,0.000896,0.013696,0.000640,0.001408,0.001056,0.000384,1.805329
1.725931,0.049347,0.000832,0.014273,0.000640,0.001408,0.001120,0.000352,1.801136
1.739405,0.048803,0.000736,0.013921,0.000672,0.001472,0.000992,0.000321,1.813426
1.718860,0.048675,0.000800,0.013441,0.000640,0.001408,0.001152,0.000384,1.793040
1.718795,0.049027,0.000864,0.013376,0.000640,0.001537,0.001024,0.000416,1.792752
1.685802,0.049091,0.000768,0.013377,0.000640,0.001536,0.001120,0.000352,1.759470
1.679273,0.049219,0.000768,0.013409,0.000608,0.001472,0.001088,0.000352,1.753197
1.702826,0.049219,0.000800,0.013376,0.000576,0.001473,0.001088,0.000416,1.777871
1.729164,0.049283,0.000896,0.013985,0.000864,0.001408,0.001056,0.000384,1.804688
1.684041,0.049667,0.000800,0.013953,0.000608,0.001440,0.001313,0.000384,1.760398
1.741869,0.049187,0.000896,0.013985,0.000608,0.001440,0.001024,0.000384,1.816433
1.672904,0.049251,0.000800,0.013665,0.000672,0.001472,0.001088,0.000352,1.747117
1.689994,0.049251,0.000768,0.013505,0.000608,0.001472,0.001216,0.000384,1.764590
1.683882,0.049187,0.000832,0.013985,0.000864,0.001472,0.001088,0.000384,1.759950
1.688361,0.049123,0.000896,0.013825,0.000672,0.001568,0.000960,0.000416,1.762734
1.671272,0.049539,0.000832,0.013665,0.000608,0.001440,0.001088,0.000352,1.746221
1.705259,0.049059,0.000768,0.013601,0.000608,0.001440,0.001024,0.000352,1.779087
1.708811,0.048803,0.000608,0.013441,0.000832,0.001408,0.000960,0.000352,1.783439
1.702634,0.049155,0.000864,0.014273,0.000832,0.001504,0.001121,0.000416,1.778511
1.685161,0.049060,0.000864,0.013793,0.000640,0.001344,0.000992,0.000384,1.760046
1.736492,0.049155,0.000832,0.013665,0.000832,0.001472,0.001088,0.000352,1.811345
1.709546,0.048995,0.000800,0.013537,0.000576,0.001376,0.001088,0.000384,1.784335
1.721163,0.049411,0.000896,0.013505,0.000640,0.001408,0.001024,0.000352,1.795888
1.681545,0.049252,0.000704,0.013697,0.000608,0.001504,0.000928,0.000352,1.755342
1.689929,0.049219,0.000832,0.013729,0.000640,0.001537,0.001088,0.000416,1.764366
1.678889,0.049283,0.000800,0.013729,0.000608,0.001440,0.000992,0.000384,1.753677
1.714891,0.050020,0.000800,0.013504,0.000640,0.001344,0.001088,0.000384,1.789456
1.718379,0.049635,0.000832,0.014657,0.000608,0.001633,0.001088,0.000352,1.794544
1.685865,0.049571,0.000896,0.013889,0.000640,0.001600,0.001024,0.000352,1.761358
1.671400,0.049859,0.000928,0.014849,0.000864,0.001632,0.001024,0.000352,1.748781
1.696202,0.049667,0.000832,0.014273,0.000640,0.001664,0.001024,0.000384,1.771278
1.683529,0.048931,0.000864,0.014273,0.000672,0.001664,0.001088,0.000416,1.760014
1.669160,0.048835,0.000800,0.014337,0.000640,0.001632,0.001121,0.000352,1.744653
1.675241,0.048963,0.000928,0.013825,0.000608,0.001568,0.000993,0.000384,1.750222
1.684713,0.049059,0.000768,0.014049,0.000576,0.001472,0.001024,0.000384,1.759790
1.717259,0.048932,0.000832,0.013536,0.000609,0.001408,0.001024,0.000352,1.790640
1.691273,0.049059,0.000704,0.013825,0.000608,0.001440,0.001024,0.000384,1.766190
1.705834,0.066820,0.000736,0.013569,0.000640,0.001568,0.001088,0.000384,1.798704
1.674632,0.050499,0.000800,0.013856,0.000608,0.001536,0.001184,0.000416,1.751405
1.773391,0.049091,0.000768,0.013697,0.000640,0.001505,0.001056,0.000416,1.848628
1.674408,0.048611,0.000928,0.013473,0.000608,0.001472,0.000928,0.000384,1.748013
1.695658,0.050148,0.000800,0.013568,0.000609,0.001472,0.001088,0.000384,1.770959
1.676616,0.048579,0.000769,0.013984,0.000640,0.001697,0.001088,0.000352,1.752109
1.698121,0.049091,0.000800,0.013729,0.000608,0.001472,0.001024,0.000384,1.772878
1.693577,0.048867,0.000832,0.013857,0.000640,0.001536,0.001152,0.000384,1.768462
1.689994,0.049475,0.000896,0.013729,0.000704,0.001536,0.001120,0.000384,1.764494
1.659335,0.049027,0.000608,0.014081,0.000608,0.001504,0.001057,0.000352,1.735212
1.712843,0.050883,0.000928,0.013761,0.000608,0.001569,0.001152,0.000384,1.790416
1.703050,0.048995,0.000800,0.013665,0.000672,0.001504,0.001152,0.000384,1.777807
1.761678,0.048931,0.000896,0.013792,0.000641,0.001536,0.001216,0.000608,1.836531
1.708682,0.050340,0.000832,0.013921,0.000672,0.001504,0.001024,0.000384,1.784527
1.698538,0.049251,0.000864,0.013825,0.000640,0.001504,0.001025,0.000352,1.773519
1.705322,0.049091,0.000928,0.013761,0.000608,0.001472,0.001088,0.000352,1.780303
1.706890,0.048675,0.000800,0.013665,0.000800,0.001408,0.001184,0.000416,1.781039
1.672137,0.049411,0.000800,0.013473,0.000576,0.001632,0.001152,0.000352,1.747341
1.676105,0.049219,0.000864,0.013409,0.000832,0.001472,0.001184,0.000384,1.750285
1.725611,0.049059,0.000768,0.013857,0.000640,0.001472,0.001088,0.000416,1.801520
1.699242,0.050435,0.000800,0.013793,0.000640,0.001440,0.000960,0.000384,1.775086
1.703274,0.049667,0.000640,0.014305,0.000576,0.001440,0.001024,0.000353,1.779535
1.760206,0.049091,0.000640,0.013505,0.000800,0.001408,0.001024,0.000384,1.834258
1.678312,0.049347,0.000832,0.013729,0.000608,0.001600,0.000960,0.000384,1.752749
1.689705,0.049347,0.000896,0.013633,0.000608,0.001729,0.001120,0.000352,1.764782
1.673608,0.049316,0.000800,0.013857,0.000608,0.001472,0.001056,0.000384,1.749357
1.699370,0.048931,0.000832,0.014113,0.000640,0.001473,0.000992,0.000352,1.774031
1.671592,0.049059,0.000768,0.013633,0.000608,0.001536,0.001024,0.000352,1.745901
1.687817,0.049348,0.000960,0.013569,0.000640,0.001472,0.001536,0.000416,1.762958
1.706698,0.049187,0.000800,0.013793,0.000608,0.001408,0.001024,0.000384,1.782063
1.723755,0.049219,0.000800,0.013729,0.000640,0.001472,0.001056,0.000384,1.798000
1.691177,0.049059,0.000801,0.013536,0.000640,0.001409,0.001152,0.000384,1.766222
1.700810,0.049219,0.000864,0.013409,0.000608,0.001472,0.000960,0.000352,1.774798
1.706250,0.049732,0.000864,0.014401,0.000608,0.001856,0.001152,0.000384,1.783951
1.707146,0.049859,0.000864,0.014337,0.000608,0.001728,0.001024,0.000352,1.783567
1.704362,0.049731,0.000832,0.013953,0.000640,0.001504,0.001056,0.000352,1.778990
1.713995,0.049603,0.000832,0.013697,0.000608,0.001536,0.001377,0.000384,1.788784
1.673832,0.049987,0.000800,0.014209,0.000640,0.001536,0.001056,0.000384,1.749485
1.721387,0.049187,0.000800,0.014881,0.000608,0.001537,0.001120,0.000352,1.797584
1.742380,0.049187,0.000928,0.013761,0.000672,0.001537,0.001152,0.000576,1.818705
1.731084,0.048803,0.000832,0.014401,0.000608,0.001536,0.001185,0.000384,1.806737
1.729707,0.049315,0.000896,0.014017,0.000896,0.001440,0.001152,0.000352,1.805744
1.737932,0.049187,0.000896,0.014305,0.000640,0.001568,0.001184,0.000384,1.813264
1.685129,0.049571,0.000832,0.013921,0.000640,0.001568,0.001216,0.000384,1.761389
1.740172,0.050595,0.000800,0.014657,0.000608,0.001568,0.001184,0.000352,1.817585
1.708266,0.049059,0.000865,0.013952,0.000640,0.001441,0.001088,0.000384,1.782351
1.690313,0.049251,0.000864,0.014273,0.000864,0.001472,0.001088,0.000352,1.765165
1.673352,0.049763,0.000800,0.014113,0.000608,0.001728,0.001024,0.000385,1.749293
1.728587,0.048739,0.000896,0.014177,0.000864,0.001568,0.001088,0.000352,1.803632
1.693065,0.049283,0.001024,0.013920,0.000896,0.001504,0.001088,0.000384,1.768590
1.708554,0.048803,0.000832,0.013952,0.000608,0.001504,0.001152,0.000384,1.784367
1.696233,0.048867,0.000832,0.013793,0.000640,0.001472,0.001216,0.000352,1.771183
1.690025,0.048675,0.000864,0.013856,0.000640,0.001633,0.001056,0.000352,1.764302
1.710602,0.049155,0.000800,0.013697,0.000640,0.001504,0.001056,0.000384,1.784814
1.709322,0.052643,0.000832,0.013441,0.000608,0.001472,0.001024,0.000384,1.787503
1.698633,0.048803,0.000832,0.014305,0.000640,0.001504,0.001120,0.000352,1.773742
1.733899,0.049059,0.000800,0.013729,0.000640,0.001600,0.001184,0.000384,1.809104
1.669064,0.048995,0.000832,0.013473,0.000608,0.001472,0.001024,0.000384,1.742988
1.679368,0.051363,0.000960,0.013409,0.000896,0.001504,0.001024,0.000352,1.755917
1.676936,0.049219,0.000800,0.013504,0.000608,0.001440,0.001024,0.000352,1.750413
1.708426,0.049379,0.000800,0.013409,0.000576,0.001440,0.001056,0.000416,1.782542
1.673991,0.049379,0.000864,0.014177,0.000640,0.001536,0.001024,0.000384,1.749165
1.706025,0.048835,0.000672,0.014081,0.000608,0.001472,0.001024,0.000352,1.779438
1.709738,0.049155,0.000800,0.013761,0.000608,0.001344,0.001056,0.000384,1.783791
1.697674,0.049251,0.000800,0.013953,0.000672,0.001472,0.000992,0.000384,1.772654
1.673063,0.049059,0.000864,0.013697,0.000608,0.001440,0.001088,0.000320,1.747532
1.691465,0.049187,0.000768,0.013697,0.000608,0.001376,0.001024,0.000384,1.765709
1.668103,0.049155,0.000800,0.013473,0.000576,0.001376,0.001088,0.000352,1.741708
1.724267,0.049379,0.000800,0.013633,0.000640,0.001376,0.000992,0.000352,1.799888
1.713258,0.048771,0.000896,0.013633,0.000640,0.001633,0.001152,0.000384,1.788623
1.704746,0.049347,0.000832,0.013793,0.000544,0.001408,0.001280,0.000576,1.780399
1.722443,0.049219,0.000864,0.014049,0.000640,0.001536,0.001120,0.000544,1.799151
1.705994,0.049539,0.000928,0.013889,0.000608,0.001504,0.001089,0.000384,1.781583
1.707850,0.049699,0.000992,0.013921,0.000608,0.001568,0.001121,0.000352,1.783855
1.703593,0.049539,0.000832,0.013793,0.000608,0.001408,0.001056,0.000352,1.779246
1.723275,0.049251,0.000864,0.013793,0.000608,0.001536,0.000960,0.000352,1.798607
1.676936,0.049443,0.000864,0.013729,0.000864,0.001472,0.000992,0.000352,1.752556
1.692425,0.049283,0.000865,0.014048,0.000609,0.001600,0.001056,0.000416,1.767534
1.705993,0.049091,0.000928,0.014081,0.000608,0.001536,0.001056,0.000416,1.781614
1.683081,0.048899,0.000896,0.014113,0.000864,0.001568,0.001120,0.000352,1.758221
1.688937,0.049219,0.000801,0.013760,0.000865,0.001568,0.000928,0.000384,1.764718
1.725707,0.049155,0.000960,0.031138,0.000704,0.001664,0.001216,0.000352,1.819088
1.702249,0.049283,0.000896,0.013569,0.000608,0.001408,0.001088,0.000416,1.777102
1.674472,0.067236,0.000961,0.013632,0.000608,0.001505,0.001056,0.000384,1.767854
1.721963,0.049315,0.000929,0.013888,0.000608,0.001536,0.001024,0.000384,1.797424
1.736588,0.049219,0.000896,0.013729,0.000576,0.001600,0.001312,0.000352,1.811152
1.690889,0.048867,0.000864,0.014177,0.000576,0.001664,0.001344,0.000384,1.766381
1.701098,0.049187,0.000832,0.013505,0.000576,0.001536,0.001056,0.000384,1.776110
1.716395,0.049411,0.000864,0.014017,0.000608,0.001632,0.001088,0.000384,1.792463
1.717322,0.049507,0.000992,0.013793,0.000640,0.001569,0.001280,0.000352,1.793391
1.733547,0.050627,0.001120,0.013793,0.000576,0.001472,0.001920,0.000544,1.813872
1.707433,0.049955,0.001088,0.014113,0.000896,0.001728,0.001696,0.000352,1.785838
1.736492,0.052035,0.000928,0.014272,0.000864,0.001473,0.001792,0.000544,1.819185
1.698825,0.049667,0.000896,0.013761,0.000672,0.001728,0.001504,0.000352,1.775854
1.682632,0.049571,0.001088,0.013888,0.000576,0.001601,0.001024,0.000352,1.758957
1.711114,0.048931,0.000800,0.014273,0.000608,0.001664,0.001121,0.000384,1.785359
1.679624,0.049059,0.000768,0.014049,0.000640,0.001568,0.001281,0.000384,1.754605
1.697065,0.049507,0.001152,0.013889,0.000640,0.001440,0.001088,0.000384,1.772430
1.707434,0.048963,0.000800,0.013889,0.000640,0.001568,0.001056,0.000384,1.782734
1.729707,0.049155,0.001056,0.014304,0.000608,0.001537,0.001152,0.000384,1.804944
1.708041,0.048804,0.000896,0.014305,0.000608,0.001440,0.001088,0.000416,1.782830
1.698377,0.049571,0.001184,0.013857,0.000608,0.001376,0.001056,0.000384,1.773806
1.678696,0.049251,0.000832,0.014081,0.000608,0.001472,0.001024,0.000416,1.753933
1.709866,0.049187,0.000896,0.014017,0.000640,0.001504,0.001057,0.000384,1.785679
1.675464,0.049475,0.000864,0.013761,0.000608,0.001504,0.001216,0.000352,1.750188
1.698345,0.049667,0.000960,0.014017,0.000640,0.001600,0.000993,0.000384,1.773710
1.695401,0.049188,0.000832,0.013921,0.000608,0.001472,0.001056,0.000384,1.770542
1.682856,0.050339,0.000832,0.013825,0.000608,0.001472,0.000993,0.000384,1.757261
1.700969,0.049667,0.000864,0.013697,0.000832,0.001376,0.001025,0.000416,1.776142
1.709610,0.048963,0.000800,0.013505,0.000832,0.001440,0.000960,0.000288,1.784334
1.709578,0.049187,0.000832,0.013761,0.000608,0.001568,0.001024,0.000352,1.784622
1.695817,0.049667,0.000672,0.013793,0.000608,0.001632,0.000960,0.000384,1.771086
1.692552,0.048931,0.000801,0.013728,0.000640,0.001472,0.000928,0.000384,1.766477
1.731147,0.049059,0.000832,0.014017,0.000608,0.001536,0.001152,0.000384,1.806543
1.690440,0.049283,0.000832,0.014049,0.000640,0.001504,0.001184,0.000416,1.765389
1.726667,0.048643,0.000960,0.014081,0.000608,0.001504,0.001120,0.000384,1.801808
1.659143,0.049219,0.000832,0.013697,0.000608,0.001504,0.000864,0.000320,1.733387
1.688201,0.049091,0.000800,0.013697,0.000672,0.001472,0.000992,0.000384,1.763661
1.712874,0.049091,0.000864,0.014017,0.000640,0.001440,0.001216,0.000384,1.788783
1.736683,0.049124,0.000928,0.013536,0.000609,0.001504,0.001152,0.000384,1.811952
1.704138,0.049123,0.000960,0.013505,0.000640,0.001472,0.000992,0.000384,1.778702
1.686057,0.049219,0.000832,0.013761,0.000832,0.001440,0.001024,0.000384,1.761229
1.707722,0.049411,0.000896,0.013761,0.000640,0.001376,0.000992,0.000384,1.782478
1.697033,0.049443,0.000832,0.013505,0.000864,0.001440,0.001152,0.000385,1.772046
1.690152,0.049507,0.001120,0.014209,0.000608,0.001633,0.000992,0.000384,1.765741
1.700265,0.049443,0.000928,0.013953,0.001120,0.001536,0.001216,0.000384,1.776174
1.684968,0.048867,0.000960,0.013441,0.000608,0.001600,0.000960,0.000320,1.758828
1.702826,0.049891,0.000864,0.014305,0.000640,0.001504,0.000992,0.000384,1.779982
1.691785,0.049219,0.000832,0.013505,0.000608,0.001408,0.001120,0.000384,1.765869
1.712393,0.048899,0.000864,0.013441,0.000640,0.001472,0.001056,0.000384,1.787086
1.680936,0.049251,0.000864,0.013825,0.000672,0.001472,0.000992,0.000384,1.756204
1.733963,0.049187,0.000896,0.013569,0.000608,0.001344,0.001280,0.000352,1.808367
1.711593,0.049187,0.000832,0.013505,0.000640,0.001504,0.001088,0.000352,1.785934
1.695817,0.049155,0.001056,0.013889,0.000672,0.001504,0.001280,0.000384,1.771213
1.686248,0.048867,0.000800,0.013729,0.000672,0.001472,0.001152,0.000416,1.760556
1.739243,0.049347,0.001056,0.014113,0.000928,0.001472,0.000993,0.000384,1.815505
1.677672,0.049411,0.000800,0.014337,0.000640,0.001408,0.001056,0.000384,1.753164
1.729419,0.049123,0.000960,0.013633,0.000672,0.001376,0.001089,0.000352,1.805040
1.703145,0.049955,0.000832,0.013441,0.000608,0.001344,0.001088,0.000384,1.778446
1.709737,0.051555,0.000768,0.013889,0.000640,0.001440,0.000992,0.000416,1.788430
1.675367,0.049155,0.000896,0.013729,0.000896,0.001440,0.001120,0.000416,1.750348
1.730603,0.049443,0.001088,0.013985,0.000896,0.001408,0.001120,0.000384,1.806703
1.689192,0.049347,0.000864,0.013953,0.000672,0.001440,0.001088,0.000384,1.763021
1.690888,0.048995,0.000864,0.013921,0.000608,0.001408,0.001088,0.000384,1.766093
1.689865,0.049379,0.000896,0.013537,0.000608,0.001472,0.001056,0.000384,1.764173
1.678120,0.049155,0.000864,0.013505,0.000608,0.001408,0.001024,0.000352,1.751916
1.705225,0.049155,0.000832,0.013825,0.000576,0.001440,0.001120,0.000384,1.779950
1.680616,0.049379,0.001056,0.013601,0.000608,0.001536,0.001056,0.000640,1.756717
1.682472,0.049283,0.001152,0.014881,0.000608,0.001600,0.001088,0.000640,1.759404
1.703849,0.049219,0.001152,0.013825,0.000672,0.001376,0.001089,0.000416,1.779214
1.681672,0.049155,0.000992,0.014049,0.000640,0.001472,0.001121,0.000384,1.756973
1.711369,0.049091,0.001184,0.014337,0.000864,0.001376,0.001120,0.000416,1.787406
1.718698,0.049251,0.014817,0.014625,0.000608,0.001536,0.001152,0.000576,1.809615
1.674663,0.049155,0.000864,0.013953,0.000640,0.001408,0.001120,0.000352,1.749580
1.680647,0.066692,0.001088,0.014145,0.000640,0.001440,0.001248,0.000320,1.774989
1.707593,0.049155,0.000864,0.014433,0.000640,0.001440,0.001088,0.000352,1.783598
1.712201,0.049507,0.000864,0.013889,0.000608,0.001376,0.001152,0.000352,1.787790
1.692360,0.049444,0.000928,0.014433,0.000608,0.001472,0.001088,0.000384,1.768269
1.706953,0.049539,0.001152,0.013665,0.000608,0.001728,0.001057,0.000352,1.782766
1.685736,0.049155,0.000928,0.014561,0.000608,0.001760,0.001024,0.000384,1.762060
1.709833,0.048931,0.000961,0.013824,0.000640,0.001536,0.001088,0.000384,1.784654
1.734795,0.049828,0.001024,0.014305,0.000608,0.001536,0.001216,0.000384,1.810864
1.726347,0.050755,0.000896,0.013793,0.000608,0.001536,0.001152,0.000352,1.803279
1.686824,0.049827,0.000832,0.014465,0.000608,0.001601,0.001056,0.000352,1.762413
1.695465,0.049827,0.001088,0.014497,0.000640,0.001504,0.001120,0.000352,1.771949
1.688296,0.049539,0.000928,0.014945,0.000640,0.001472,0.001440,0.000384,1.765420
1.735723,0.048739,0.000896,0.014433,0.000608,0.001536,0.001344,0.000416,1.811888
1.701577,0.049027,0.001089,0.013984,0.000640,0.001441,0.001216,0.000384,1.777070
1.732490,0.049603,0.001152,0.013697,0.000608,0.001568,0.001184,0.000320,1.809135
1.712618,0.049635,0.001184,0.014113,0.000672,0.001696,0.001152,0.000384,1.789358
1.710633,0.049635,0.000864,0.014593,0.000608,0.001728,0.001408,0.000416,1.787598
1.696360,0.049123,0.000832,0.013633,0.000576,0.001696,0.001120,0.000384,1.771565
1.713642,0.049059,0.000896,0.014177,0.000608,0.001440,0.001248,0.000448,1.789646
1.690248,0.049539,0.000864,0.013633,0.000896,0.001728,0.001025,0.000576,1.766925
1.708713,0.052067,0.001088,0.014305,0.000832,0.001504,0.001152,0.000384,1.788334
1.703304,0.049667,0.000896,0.014625,0.000576,0.001472,0.001056,0.000352,1.779981
1.710025,0.049187,0.000864,0.014368,0.000672,0.001505,0.001184,0.000384,1.786382
1.669255,0.049571,0.000864,0.014145,0.000864,0.001664,0.001344,0.000352,1.746091
1.708745,0.049603,0.001216,0.014177,0.000896,0.001472,0.001120,0.000384,1.785902
1.668071,0.049923,0.000896,0.013857,0.000640,0.001536,0.001121,0.000384,1.743628
1.727050,0.050115,0.001152,0.014177,0.000640,0.001568,0.001056,0.000416,1.804015
1.703560,0.049539,0.000896,0.014017,0.000608,0.001536,0.001184,0.000352,1.778541
1.725770,0.051523,0.000768,0.013889,0.000928,0.001504,0.001056,0.000384,1.803919
1.681480,0.049411,0.000896,0.013761,0.000640,0.001536,0.001024,0.000416,1.756588
1.695305,0.048963,0.000832,0.013793,0.000640,0.001472,0.001120,0.000384,1.769869
1.695721,0.048931,0.000928,0.013473,0.000704,0.001472,0.000928,0.000352,1.769293
1.691912,0.050147,0.000896,0.013409,0.000640,0.001440,0.001089,0.000352,1.768333
1.699368,0.048899,0.000865,0.013504,0.000640,0.001409,0.001120,0.000384,1.773677
1.753004,0.049123,0.000832,0.014209,0.000608,0.001536,0.001344,0.000416,1.829200
1.716681,0.049635,0.000800,0.014017,0.000608,0.001504,0.001312,0.000384,1.792046
1.727178,0.049443,0.001184,0.014241,0.000640,0.001504,0.001184,0.000352,1.803342
1.704616,0.049507,0.000800,0.014305,0.000608,0.001568,0.001056,0.000384,1.779725
1.714441,0.049859,0.000928,0.013889,0.000640,0.001600,0.001120,0.000384,1.790222
1.681639,0.049411,0.000832,0.014049,0.000608,0.001568,0.001088,0.000352,1.756780
1.704232,0.049379,0.000864,0.013665,0.000576,0.001440,0.001248,0.000384,1.779533
1.687400,0.048739,0.000929,0.013600,0.000640,0.001473,0.001056,0.000352,1.761069
1.702088,0.049923,0.001088,0.013985,0.000608,0.001504,0.000992,0.000384,1.777389
1.682600,0.049091,0.000896,0.013729,0.000608,0.001536,0.001024,0.000320,1.757484
1.722154,0.049123,0.000801,0.014112,0.000608,0.001569,0.001024,0.000416,1.796495
1.674919,0.049987,0.000800,0.013569,0.000608,0.001536,0.001024,0.000256,1.748652
1.700168,0.049155,0.000832,0.013473,0.000640,0.001440,0.001312,0.000352,1.773965
1.706473,0.049091,0.000864,0.013505,0.000800,0.001440,0.001152,0.000352,1.779725
1.748747,0.049347,0.000960,0.013729,0.000832,0.001440,0.001056,0.000416,1.824240
1.722506,0.049059,0.000896,0.013377,0.000608,0.001504,0.001152,0.000352,1.796750
1.702089,0.049123,0.000832,0.014113,0.000608,0.001568,0.000960,0.000384,1.776909
1.664582,0.049315,0.000864,0.013729,0.000640,0.001472,0.001120,0.000384,1.738347
1.722666,0.049379,0.000864,0.013505,0.000640,0.001440,0.001088,0.000352,1.797262
1.681895,0.049187,0.000896,0.013505,0.000864,0.001440,0.001056,0.000416,1.756971
1.726954,0.048995,0.000896,0.014305,0.000640,0.001472,0.000896,0.000416,1.801903
1.668486,0.048739,0.000865,0.013792,0.000608,0.001441,0.001024,0.000384,1.742603
1.693096,0.049187,0.001152,0.014081,0.000704,0.001536,0.001152,0.000384,1.768717
1.678311,0.049603,0.000896,0.013537,0.000608,0.001376,0.001056,0.000384,1.754091
1.672583,0.048707,0.000832,0.013761,0.000640,0.001792,0.001056,0.000385,1.746988
1.731082,0.049540,0.000960,0.013600,0.000640,0.001504,0.001088,0.000384,1.806031
1.661639,0.049571,0.000896,0.013697,0.000896,0.001536,0.000992,0.000416,1.736267
1.712841,0.048899,0.000864,0.013409,0.000608,0.001440,0.001025,0.000352,1.786958
1.682919,0.049411,0.000864,0.013729,0.000768,0.001440,0.000993,0.000384,1.758668
1.691879,0.049379,0.001056,0.013761,0.000672,0.001504,0.001248,0.000416,1.767276
1.684808,0.049187,0.001056,0.013857,0.000864,0.001472,0.001120,0.000384,1.759788
1.697992,0.050595,0.001312,0.014400,0.000864,0.001600,0.001472,0.000352,1.777293
1.681127,0.050499,0.001056,0.013953,0.000608,0.001536,0.001024,0.000384,1.757932
1.682663,0.050020,0.021345,0.014049,0.000640,0.001504,0.001312,0.000576,1.780365
1.706472,0.049219,0.001024,0.014209,0.000608,0.001632,0.001248,0.000384,1.782285
1.698120,0.050500,0.000800,0.014529,0.000864,0.001696,0.001120,0.000384,1.775085
1.685352,0.049347,0.000832,0.013857,0.000640,0.001632,0.001024,0.000384,1.761260
1.732074,0.049187,0.001088,0.013824,0.000640,0.001728,0.001088,0.000384,1.808399
1.673863,0.049635,0.001056,0.013857,0.000672,0.001600,0.000992,0.000384,1.748747
1.705161,0.050083,0.001056,0.013601,0.000896,0.001632,0.001185,0.000384,1.781934
1.686888,0.049187,0.000864,0.013569,0.000608,0.001600,0.001088,0.000416,1.761964
1.686983,0.049731,0.001120,0.013889,0.000832,0.001664,0.001152,0.000352,1.763884
1.718698,0.049123,0.000960,0.013729,0.000608,0.001536,0.001152,0.000384,1.794062
1.723337,0.049187,0.000864,0.013472,0.000641,0.001568,0.001152,0.000352,1.798670
1.683848,0.049667,0.001184,0.013665,0.000640,0.001536,0.001120,0.000384,1.759532
1.705193,0.049507,0.000896,0.013761,0.000576,0.001472,0.001056,0.000416,1.780525
1.689640,0.049347,0.000928,0.014049,0.000576,0.001568,0.001216,0.000352,1.765421
1.710761,0.049571,0.000896,0.013473,0.000576,0.001504,0.001184,0.000352,1.786829
1.693864,0.049763,0.000992,0.014017,0.000608,0.001536,0.001088,0.000320,1.769772
1.745803,0.049987,0.000928,0.013985,0.000608,0.001440,0.001088,0.000384,1.822160
1.697224,0.049379,0.000832,0.013920,0.000641,0.001600,0.001056,0.000352,1.773037
1.732715,0.049539,0.001120,0.014305,0.000672,0.001504,0.001120,0.000384,1.808751
1.717098,0.049059,0.000896,0.013985,0.000640,0.001600,0.001056,0.000352,1.792270
1.709992,0.049379,0.000928,0.013985,0.000608,0.001536,0.001088,0.000320,1.785677
1.692616,0.049411,0.001024,0.013953,0.000608,0.001536,0.001057,0.000416,1.768077
1.737739,0.049315,0.000960,0.013729,0.000608,0.001600,0.001152,0.000384,1.813104
1.677831,0.049379,0.000928,0.014145,0.000608,0.001728,0.001120,0.000384,1.753452
1.700680,0.050083,0.001281,0.013664,0.000640,0.001600,0.001120,0.000384,1.777101
1.723946,0.049603,0.000832,0.013985,0.000608,0.001568,0.001216,0.000385,1.799823
1.739946,0.049187,0.001089,0.014080,0.000640,0.001601,0.001152,0.000384,1.815791
1.683751,0.049251,0.000864,0.013953,0.000576,0.001504,0.001184,0.000384,1.759244
1.744299,0.049571,0.001024,0.014145,0.000608,0.001568,0.001216,0.000384,1.820655
1.689160,0.049059,0.000864,0.013889,0.000608,0.001408,0.001120,0.000320,1.764012
1.716617,0.049859,0.001184,0.013889,0.000608,0.001472,0.001056,0.000384,1.792909
1.679079,0.048771,0.000960,0.014209,0.000640,0.001568,0.001152,0.000416,1.754347
1.714857,0.049603,0.000896,0.014177,0.000640,0.001505,0.001024,0.000352,1.790894
1.683847,0.049891,0.000960,0.013985,0.000640,0.001536,0.000992,0.000352,1.760012
1.687240,0.050339,0.001152,0.013761,0.000640,0.001504,0.001024,0.000352,1.764172
1.719977,0.049539,0.000928,0.014113,0.000608,0.001536,0.001088,0.000576,1.796077
1.705384,0.049059,0.000832,0.013889,0.000608,0.001728,0.001120,0.000384,1.780429
