TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.721325,0.049443,0.000704,0.014113,0.000352,0.001600,0.001120,0.000352,1.796882
1.735055,0.049507,0.000672,0.014145,0.000576,0.001569,0.001152,0.000352,1.810644
1.713773,0.050051,0.000704,0.013825,0.000352,0.001536,0.001185,0.000384,1.789362
1.732558,0.050115,0.000673,0.013856,0.000384,0.001504,0.001152,0.000384,1.808179
1.680427,0.049891,0.000672,0.013953,0.000608,0.001504,0.001185,0.000384,1.756240
1.703436,0.050116,0.000640,0.013761,0.000384,0.001568,0.001120,0.000352,1.778641
1.682411,0.050403,0.000608,0.013889,0.000352,0.001472,0.001120,0.000352,1.757712
1.708045,0.049987,0.000640,0.013697,0.000608,0.001633,0.000992,0.000384,1.783250
1.712782,0.048547,0.000704,0.013473,0.000608,0.001600,0.001184,0.000416,1.786642
1.677706,0.049987,0.000672,0.014529,0.000384,0.001568,0.001088,0.000352,1.754480
1.680779,0.053155,0.000609,0.013952,0.000609,0.001568,0.001152,0.000352,1.760560
1.715309,0.049348,0.000640,0.014209,0.000640,0.001536,0.001088,0.000352,1.791058
1.686827,0.049411,0.000672,0.013889,0.000608,0.001408,0.001152,0.000384,1.761936
1.741583,0.050627,0.000576,0.014241,0.000384,0.001568,0.001088,0.000384,1.818451
1.691948,0.051748,0.000672,0.013761,0.000384,0.001696,0.001056,0.000352,1.769809
1.740207,0.049987,0.000640,0.014433,0.000608,0.001536,0.001024,0.000384,1.816371
1.712141,0.050788,0.000608,0.014017,0.000416,0.001632,0.001056,0.000384,1.788530
1.703980,0.049635,0.000640,0.013953,0.000608,0.001568,0.001120,0.000352,1.779537
1.687435,0.049347,0.000672,0.013857,0.000640,0.001600,0.001216,0.000384,1.762992
1.686091,0.049699,0.000608,0.014049,0.000640,0.001536,0.001120,0.000384,1.762064
1.713965,0.049444,0.000608,0.014273,0.000672,0.001856,0.001216,0.000384,1.790162
1.692108,0.049699,0.000672,0.014081,0.000608,0.001536,0.001152,0.000352,1.767952
1.679307,0.049859,0.000672,0.013857,0.000608,0.001472,0.001217,0.000384,1.755024
1.683947,0.049219,0.000672,0.013729,0.000352,0.001504,0.001152,0.000417,1.759152
1.686827,0.050020,0.000608,0.013761,0.000384,0.001632,0.001184,0.000416,1.762640
1.740527,0.048963,0.000704,0.013921,0.000416,0.001536,0.001152,0.000416,1.815764
1.744911,0.049827,0.000640,0.013696,0.000384,0.001537,0.001120,0.000384,1.819828
1.717101,0.051204,0.000704,0.013985,0.000576,0.001440,0.001056,0.000352,1.794258
1.729870,0.050307,0.000704,0.013537,0.000608,0.001536,0.001248,0.000384,1.805971
1.678827,0.049475,0.000672,0.013953,0.000352,0.001472,0.001024,0.000352,1.753743
1.727374,0.050243,0.000672,0.014017,0.000384,0.001441,0.001120,0.000384,1.803443
