IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.147268,8.540960,0.145988,8.843496,0.023137,0.246311,0.005153,0.048961,0.000864,0.014593,0.000320,0.001504,0.003424,0.000512,9.195667
0.242920,1.012062,0.092483,1.358921,0.018945,0.199174,0.005120,0.050177,0.001120,0.014337,0.000384,0.002048,0.003264,0.000608,1.660946
0.245672,1.049023,0.107364,1.415691,0.022752,0.197510,0.005120,0.050370,0.001120,0.014336,0.000576,0.002049,0.003584,0.000576,1.720180
0.249927,1.023934,0.097635,1.384489,0.022785,0.196582,0.005312,0.050017,0.001344,0.015168,0.000352,0.001920,0.003424,0.000576,1.689042
0.238023,1.027391,0.105731,1.380809,0.023713,0.201222,0.005120,0.050338,0.001056,0.014400,0.000384,0.001696,0.003233,0.000576,1.689363
0.246503,1.012670,0.095555,1.365545,0.018817,0.199526,0.005152,0.050113,0.001024,0.014657,0.000608,0.002016,0.003488,0.000576,1.668242
0.242663,1.046111,0.117155,1.416554,0.021088,0.199206,0.005344,0.050178,0.001056,0.014528,0.000352,0.001440,0.003553,0.000576,1.720756
0.240295,1.030495,0.115108,1.397002,0.020512,0.204518,0.005217,0.050113,0.001088,0.014433,0.000640,0.002080,0.003552,0.000544,1.706771
0.256168,1.049440,0.095778,1.416203,0.020512,0.197606,0.005088,0.050306,0.001056,0.014304,0.000384,0.001984,0.003200,0.000544,1.718100
0.251271,1.014175,0.095299,1.371753,0.019936,0.197350,0.005120,0.050274,0.001088,0.014368,0.000608,0.001984,0.003296,0.000609,1.672946
0.267848,1.024190,0.094018,1.400522,0.019265,0.198214,0.005248,0.050178,0.001088,0.014432,0.000384,0.001984,0.003424,0.000608,1.701875
0.249352,1.012798,0.092322,1.366121,0.021537,0.196390,0.005312,0.049570,0.001312,0.014336,0.000608,0.001984,0.003776,0.000576,1.667698
0.238727,1.039455,0.104036,1.396586,0.021120,0.197766,0.005056,0.049954,0.001056,0.014304,0.000352,0.002016,0.003265,0.000608,1.699155
0.217862,1.023871,0.100035,1.351688,0.020961,0.205414,0.005152,0.050114,0.001152,0.014368,0.000544,0.002112,0.003520,0.000576,1.663537
0.231623,1.011359,0.091522,1.344393,0.024032,0.200390,0.005472,0.050274,0.001376,0.015040,0.000673,0.001952,0.003232,0.000608,1.653842
0.253384,1.025630,0.095810,1.387753,0.024385,0.197350,0.005184,0.050146,0.001152,0.014432,0.000352,0.002048,0.003200,0.000832,1.693459
0.245544,1.013214,0.091939,1.364201,0.019617,0.197382,0.005184,0.050401,0.001121,0.014432,0.000352,0.002112,0.003520,0.000576,1.664754
0.255048,1.010526,0.095747,1.373705,0.020417,0.223943,0.005312,0.050145,0.001408,0.014401,0.000704,0.001696,0.003584,0.000608,1.703219
0.253512,1.026079,0.102307,1.395370,0.022273,0.196774,0.005120,0.050305,0.001056,0.014241,0.000352,0.001984,0.003488,0.000576,1.698803
0.244584,1.015422,0.113124,1.382826,0.022176,0.197318,0.005152,0.051170,0.001088,0.014688,0.000384,0.001696,0.003265,0.000576,1.686995
0.237255,1.026846,0.094595,1.368073,0.019745,0.198598,0.005056,0.050497,0.001376,0.014464,0.000352,0.002048,0.003616,0.000608,1.671442
0.243496,1.026367,0.101091,1.382954,0.019200,0.200742,0.005089,0.050273,0.001120,0.014401,0.000320,0.001728,0.003232,0.000544,1.686259
0.255687,1.024862,0.099363,1.393545,0.021313,0.196998,0.005088,0.050178,0.001088,0.014368,0.000384,0.002048,0.003200,0.000576,1.695506
0.257831,1.040191,0.099619,1.412714,0.019072,0.198214,0.005120,0.050562,0.001088,0.014336,0.000353,0.002016,0.003520,0.000576,1.713363
0.255623,1.007870,0.092387,1.368905,0.019168,0.196518,0.005120,0.050210,0.001184,0.014304,0.000352,0.002016,0.003520,0.000576,1.667762
0.246119,1.033598,0.134564,1.428779,0.018720,0.196998,0.005120,0.050274,0.001088,0.014560,0.000384,0.002048,0.003521,0.000576,1.728980
0.251687,1.014590,0.097315,1.377161,0.018849,0.196870,0.005088,0.050401,0.000992,0.014273,0.000352,0.002016,0.003200,0.000832,1.676402
0.247975,1.023167,0.099171,1.381801,0.019168,0.198853,0.005089,0.050273,0.001088,0.014337,0.000384,0.002016,0.003296,0.000608,1.682962
0.245544,1.016894,0.094819,1.365929,0.020961,0.201126,0.005152,0.050114,0.001024,0.014336,0.000640,0.002048,0.003520,0.000608,1.672690
0.249416,1.042655,0.129188,1.435947,0.018977,0.196710,0.005152,0.050337,0.001025,0.014272,0.000352,0.001728,0.003200,0.000544,1.735252
0.261416,1.011646,0.094530,1.382281,0.023585,0.196582,0.005120,0.049762,0.001056,0.014304,0.000352,0.002048,0.003232,0.000576,1.685074
0.276456,1.008414,0.091939,1.390282,0.019104,0.202886,0.005185,0.050625,0.001088,0.014369,0.000384,0.001984,0.003584,0.000576,1.696531
0.247239,1.011166,0.090691,1.359529,0.020000,0.198022,0.005152,0.049954,0.001056,0.014624,0.000352,0.002048,0.003233,0.000608,1.660818
0.261096,1.012350,0.098851,1.386889,0.023969,0.201894,0.005120,0.050018,0.001056,0.014368,0.000352,0.002016,0.003297,0.000576,1.696467
0.243879,1.014143,0.101251,1.369033,0.023745,0.199302,0.005120,0.050305,0.001088,0.014497,0.000416,0.002048,0.003296,0.000576,1.676370
0.220583,1.018334,0.095011,1.344360,0.019169,0.198342,0.005248,0.049890,0.001184,0.014336,0.000384,0.001696,0.003232,0.000544,1.645169
0.231207,1.027582,0.134372,1.402890,0.018913,0.211398,0.005185,0.051745,0.001056,0.014369,0.000640,0.002048,0.003584,0.027745,1.747541
0.235815,1.009983,0.089602,1.345000,0.018785,0.199078,0.005152,0.051394,0.001088,0.014272,0.000384,0.002080,0.003488,0.000576,1.647857
0.223686,1.006910,0.091747,1.332104,0.019392,0.198182,0.005376,0.070594,0.001088,0.014561,0.000352,0.001984,0.003200,0.000544,1.654193
0.224486,1.004414,0.089858,1.329831,0.018881,0.201382,0.005184,0.049922,0.001184,0.014304,0.000384,0.002016,0.003520,0.000576,1.633264
0.216614,1.005694,0.087586,1.320359,0.018625,0.197542,0.005152,0.050081,0.001153,0.039041,0.000736,0.002208,0.003552,0.000544,1.645137
0.217926,1.005663,0.087394,1.324039,0.018945,0.197094,0.005184,0.049921,0.001024,0.014337,0.000352,0.001984,0.003808,0.000576,1.623664
0.211206,1.006366,0.085731,1.313736,0.018208,0.196710,0.005088,0.049890,0.001120,0.014272,0.000384,0.001664,0.002625,0.000608,1.610321
0.208263,1.004638,0.085634,1.308199,0.024833,0.197766,0.005056,0.049378,0.001120,0.014240,0.000352,0.001984,0.002624,0.000577,1.611953
0.213031,1.018846,0.090243,1.334024,0.018337,0.195494,0.005088,0.049825,0.001088,0.014305,0.000352,0.001824,0.002848,0.000544,1.629265
0.225607,1.025983,0.117027,1.382217,0.020097,0.197030,0.005184,0.049921,0.001248,0.014272,0.000384,0.002048,0.003200,0.000576,1.683250
0.223303,1.007870,0.091395,1.334376,0.018880,0.197382,0.005152,0.050306,0.001120,0.014432,0.000352,0.001664,0.003232,0.000800,1.633873
0.212518,1.008094,0.097603,1.329383,0.019617,0.196806,0.005152,0.049730,0.001088,0.014272,0.000608,0.001664,0.003552,0.000576,1.629072
0.248775,1.017278,0.108003,1.387913,0.019905,0.231207,0.005376,0.050114,0.001152,0.014528,0.000384,0.002048,0.003424,0.000672,1.724403
