Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.512804,0.124193,8.069369,0.066081,8.264667,0.003104,0.011392,0.000640,8.799359
0.418947,0.211714,0.617924,0.073537,0.908295,0.003584,0.001760,0.000352,1.338922
0.417763,0.163265,0.608772,0.071553,0.848262,0.003968,0.001024,0.000384,1.275657
0.417027,0.144993,0.620292,0.065313,0.835014,0.002752,0.000992,0.000352,1.260489
0.417155,0.173953,0.613125,0.067840,0.859206,0.003008,0.001664,0.000416,1.287273
0.418211,0.149025,0.611589,0.064640,0.829222,0.002784,0.000960,0.000320,1.255657
0.416003,0.149953,0.617381,0.064384,0.835462,0.002656,0.000992,0.000384,1.259721
0.416419,0.169410,0.620004,0.068961,0.862855,0.003872,0.001120,0.000384,1.289258
0.416515,0.144321,0.610500,0.066817,0.825638,0.003072,0.000960,0.000384,1.251081
0.416323,0.153953,0.603172,0.066464,0.828229,0.002689,0.000864,0.000352,1.252297
0.416675,0.176513,0.611204,0.064385,0.856806,0.002592,0.000992,0.000384,1.281321
0.416387,0.154945,0.619396,0.065121,0.843622,0.002272,0.000992,0.000352,1.267561
0.416803,0.133985,0.600004,0.063712,0.801253,0.003616,0.001088,0.000384,1.227048
0.429059,0.165410,0.612932,0.066849,0.849127,0.002688,0.000864,0.000384,1.286058
0.417507,0.162369,0.604868,0.068449,0.840038,0.002720,0.001120,0.000352,1.267497
0.416323,0.157473,0.630180,0.071041,0.863078,0.002624,0.000928,0.000448,1.287977
0.416899,0.191745,0.610181,0.069088,0.875302,0.002688,0.000960,0.000384,1.300713
0.416835,0.168738,0.617700,0.066465,0.857479,0.002528,0.000992,0.000384,1.282218
0.416579,0.173921,0.609284,0.068129,0.855974,0.002656,0.000768,0.000384,1.280457
0.416707,0.170753,0.605412,0.071649,0.852870,0.002848,0.001024,0.000384,1.279177
0.416579,0.184417,0.617253,0.069696,0.875590,0.002560,0.000960,0.000416,1.301161
0.417379,0.145345,0.614693,0.067328,0.831878,0.002688,0.001024,0.000416,1.257545
0.416419,0.140129,0.614405,0.066112,0.824838,0.002624,0.000896,0.000384,1.249449
0.417379,0.160769,0.630949,0.080064,0.875846,0.002528,0.000928,0.000384,1.301193
0.417923,0.177953,0.616324,0.069377,0.868550,0.002752,0.001216,0.000416,1.296393
0.418979,0.189730,0.606564,0.068896,0.870374,0.003937,0.001440,0.000544,1.301706
0.433859,0.178401,0.613829,0.068864,0.865926,0.002656,0.001152,0.000352,1.308905
0.416995,0.173058,0.605348,0.072736,0.855462,0.002688,0.000992,0.000352,1.281386
0.416259,0.173313,0.631876,0.072481,0.882086,0.002752,0.001088,0.000416,1.307593
0.416579,0.173153,0.603077,0.067872,0.848358,0.002848,0.001184,0.000384,1.273609
0.416515,0.192130,0.605444,0.069089,0.871047,0.002752,0.001152,0.000384,1.296778
0.416163,0.208449,0.620325,0.067808,0.901286,0.002752,0.001120,0.000352,1.326825
0.416451,0.154913,0.604580,0.072769,0.837030,0.002720,0.001184,0.000384,1.262953
0.417923,0.170305,0.606308,0.073953,0.855174,0.002656,0.001568,0.000608,1.283465
0.417027,0.161601,0.617893,0.067264,0.850918,0.003072,0.001184,0.000416,1.277225
0.416099,0.174466,0.618564,0.067681,0.865351,0.002656,0.001216,0.000320,1.289834
0.417955,0.198945,0.637445,0.083777,0.925543,0.003392,0.001728,0.000544,1.356970
0.417507,0.175425,0.604421,0.068960,0.853830,0.003136,0.001536,0.000352,1.282537
0.417059,0.176514,0.604484,0.069441,0.855527,0.003008,0.001728,0.000416,1.283498
0.433443,0.173121,0.608133,0.067712,0.853286,0.002656,0.001120,0.000352,1.296745
0.416451,0.177089,0.620548,0.068864,0.870726,0.002560,0.001120,0.000384,1.296777
0.416739,0.159201,0.620292,0.068513,0.852102,0.002688,0.001216,0.000640,1.278217
0.416675,0.162849,0.601924,0.072449,0.841350,0.002688,0.001088,0.000480,1.267209
0.416867,0.157857,0.604549,0.067232,0.834182,0.002944,0.001184,0.000448,1.261641
0.436419,0.172866,0.621636,0.067361,0.865895,0.002560,0.001120,0.000384,1.311050
0.416611,0.174913,0.605316,0.067969,0.852230,0.003360,0.001184,0.000416,1.278793
0.416867,0.194049,0.603621,0.071008,0.872870,0.002656,0.001248,0.000352,1.298601
0.416867,0.175298,0.604772,0.070977,0.855303,0.002624,0.001056,0.000384,1.280938
0.416515,0.167937,0.603684,0.067969,0.843910,0.003296,0.001344,0.000384,1.270281
0.418243,0.165985,0.630149,0.075584,0.876966,0.002784,0.001120,0.000608,1.305897
0.416898,0.159777,0.604548,0.072865,0.841702,0.002816,0.001024,0.000384,1.267753
0.417603,0.147457,0.607780,0.071745,0.831110,0.002752,0.001024,0.000384,1.257769
0.430947,0.159425,0.612548,0.072161,0.848070,0.002528,0.001024,0.000384,1.287273
0.418307,0.153441,0.601732,0.066465,0.825990,0.002784,0.001152,0.000384,1.254313
0.416515,0.173761,0.628805,0.070848,0.877830,0.002784,0.000960,0.000384,1.302569
