Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-4],OUT[4],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507747,0.017665,0.206689,0.005024,0.084321,0.084448,0.063489,0.235458,0.000928,0.014560,0.000384,0.001472,0.013152,0.000608,1.012551
0.417539,0.017568,0.203553,0.005280,0.121952,0.096513,0.071777,0.294370,0.001056,0.015840,0.000384,0.001440,0.002208,0.000352,0.970663
0.416067,0.017184,0.203649,0.004768,0.114433,0.086977,0.062016,0.266306,0.000864,0.014112,0.000352,0.001408,0.000800,0.000288,0.932262
0.415619,0.017344,0.203938,0.004800,0.108672,0.077985,0.061024,0.250497,0.000640,0.014561,0.000352,0.001472,0.000864,0.000288,0.918119
0.416291,0.017345,0.203297,0.004864,0.122017,0.082561,0.063232,0.270978,0.000800,0.015520,0.000608,0.001568,0.001248,0.000320,0.942759
0.433667,0.017344,0.203618,0.004768,0.107905,0.082080,0.063201,0.256066,0.000768,0.014272,0.000384,0.001696,0.000864,0.000320,0.941927
0.415715,0.017184,0.202561,0.004800,0.109089,0.081345,0.062560,0.255714,0.000640,0.013984,0.000320,0.001408,0.000864,0.000352,0.921062
0.417251,0.017536,0.204450,0.004832,0.124001,0.081088,0.061921,0.269858,0.000864,0.014912,0.000384,0.001376,0.001856,0.000416,0.943911
0.416131,0.017248,0.225057,0.004929,0.109152,0.081697,0.061728,0.255617,0.000736,0.015264,0.000384,0.001440,0.000960,0.000608,0.946054
0.418467,0.017184,0.202402,0.004832,0.109377,0.077984,0.059681,0.249922,0.000640,0.014016,0.000352,0.001408,0.000960,0.000352,0.917287
0.417091,0.017760,0.203553,0.005248,0.120289,0.080481,0.062656,0.266466,0.000640,0.015424,0.000576,0.001472,0.001024,0.000736,0.939206
0.415587,0.017216,0.202402,0.004864,0.115232,0.078625,0.062240,0.258977,0.000608,0.013729,0.000352,0.001376,0.000704,0.000288,0.922119
0.415683,0.017216,0.203074,0.004832,0.129153,0.092129,0.063488,0.287618,0.000672,0.013760,0.000384,0.001376,0.000672,0.000256,0.951399
0.415843,0.017216,0.202337,0.004768,0.101665,0.077057,0.059680,0.241250,0.000640,0.013632,0.000352,0.001440,0.000768,0.000256,0.904198
0.415427,0.017440,0.202753,0.004864,0.114657,0.084513,0.061536,0.263522,0.000608,0.014112,0.000448,0.001440,0.000576,0.000256,0.927302
0.415171,0.017184,0.216993,0.004800,0.114465,0.085409,0.060864,0.263714,0.000672,0.014720,0.000416,0.001376,0.000544,0.000256,0.942055
0.415491,0.017184,0.202562,0.004864,0.102208,0.081729,0.059296,0.245985,0.000576,0.013697,0.000352,0.001408,0.000544,0.000256,0.908711
0.415331,0.017216,0.202242,0.004768,0.096384,0.078913,0.058944,0.237025,0.000736,0.013696,0.000288,0.001409,0.000608,0.000288,0.900519
0.415779,0.017088,0.202914,0.004832,0.099008,0.087553,0.060576,0.249825,0.000608,0.013633,0.000384,0.001376,0.000544,0.000256,0.913255
0.415427,0.017088,0.202946,0.004832,0.111841,0.078272,0.060097,0.252962,0.000608,0.013600,0.000320,0.001376,0.000544,0.000256,0.915655
0.420931,0.017344,0.202402,0.005280,0.124193,0.079488,0.061569,0.267874,0.000576,0.014080,0.000352,0.001376,0.000896,0.000256,0.938215
