Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.395276,0.156261,0.610674,0.063106,0.834137,0.001472,0.000384,1.236389
0.395564,0.159749,0.602994,0.064258,0.832441,0.001312,0.000384,1.234853
0.395340,0.146469,0.601809,0.062690,0.814712,0.001312,0.000416,1.216068
0.395468,0.161317,0.619282,0.075619,0.860026,0.001280,0.000384,1.261478
0.395563,0.176038,0.600977,0.069186,0.849946,0.001344,0.000352,1.251141
0.395595,0.156613,0.602034,0.069954,0.832409,0.001440,0.000384,1.234404
0.425997,0.161189,0.619314,0.063714,0.847865,0.001408,0.000384,1.281350
0.396331,0.175813,0.603058,0.062433,0.845401,0.001440,0.000416,1.249989
0.395884,0.158084,0.619187,0.062562,0.843417,0.001408,0.000384,1.245477
0.395692,0.157189,0.620050,0.062050,0.842841,0.001248,0.000384,1.244229
0.395115,0.177030,0.601905,0.062594,0.845017,0.001472,0.000416,1.246436
0.395308,0.180486,0.624018,0.079555,0.887899,0.001344,0.000416,1.290087
0.399180,0.158052,0.626259,0.075426,0.864057,0.001600,0.000448,1.271845
0.396076,0.148068,0.607922,0.067138,0.827672,0.001728,0.000512,1.231620
0.412044,0.183302,0.603922,0.066946,0.857818,0.001536,0.000512,1.276614
0.394956,0.156325,0.619986,0.068610,0.848313,0.001440,0.000384,1.249733
0.395212,0.160901,0.605457,0.084962,0.855257,0.001440,0.000384,1.257573
0.395052,0.172837,0.616818,0.065250,0.858841,0.001280,0.000384,1.260229
0.395403,0.177638,0.604114,0.063810,0.849082,0.001376,0.000416,1.250437
0.395148,0.144548,0.621394,0.080003,0.850041,0.001312,0.000384,1.252005
0.395372,0.184037,0.604306,0.064514,0.856281,0.001376,0.000384,1.257605
0.395212,0.159173,0.604530,0.064930,0.831897,0.001440,0.000384,1.234213
0.412364,0.155269,0.600850,0.063106,0.822681,0.001280,0.000320,1.240613
0.394860,0.179237,0.605330,0.064642,0.852569,0.001280,0.000352,1.253125
0.394732,0.159652,0.603922,0.063618,0.830520,0.001504,0.000384,1.231108
0.394732,0.143172,0.613490,0.063810,0.824248,0.001440,0.000448,1.225956
0.394828,0.157125,0.604082,0.066338,0.831545,0.001408,0.000384,1.233925
0.394859,0.187142,0.624978,0.072323,0.889915,0.001408,0.000416,1.292358
0.394380,0.158309,0.604817,0.064610,0.831544,0.001504,0.000384,1.232357
0.394220,0.158884,0.603954,0.065698,0.832088,0.001280,0.000416,1.232420
0.428461,0.216454,0.630803,0.081890,0.934107,0.003041,0.000544,1.375657
0.398252,0.163940,0.614066,0.068034,0.850201,0.002144,0.000384,1.256933
0.397099,0.143525,0.627250,0.083139,0.858458,0.001664,0.000416,1.263749
0.396428,0.152612,0.606257,0.064481,0.827992,0.001505,0.000640,1.231237
0.397452,0.158244,0.608018,0.072835,0.842745,0.001600,0.000416,1.247333
0.396492,0.179173,0.640179,0.066690,0.890042,0.001536,0.000384,1.292934
0.396171,0.149189,0.617522,0.066338,0.836793,0.001408,0.000416,1.240100
0.396235,0.148004,0.607026,0.063298,0.822328,0.001536,0.000416,1.225668
0.396172,0.160837,0.603473,0.065538,0.833912,0.001440,0.000384,1.236805
0.395403,0.157477,0.606034,0.064450,0.831577,0.001344,0.000384,1.233188
0.396140,0.183781,0.622355,0.078050,0.888122,0.001504,0.000352,1.291206
0.397292,0.158405,0.606034,0.062850,0.831001,0.001504,0.000416,1.234565
0.395691,0.160004,0.605170,0.064802,0.833880,0.001408,0.000352,1.236036
0.395467,0.202278,0.619571,0.063714,0.889531,0.001568,0.000384,1.291430
0.395564,0.159108,0.604658,0.070338,0.837816,0.001441,0.000352,1.240005
0.395852,0.157124,0.614099,0.065250,0.840121,0.001312,0.000608,1.242565
0.395851,0.198022,0.615187,0.068610,0.886011,0.001536,0.000416,1.289926
0.396460,0.160581,0.604978,0.065154,0.834553,0.001504,0.000416,1.237797
0.395884,0.157540,0.635667,0.073218,0.870170,0.001536,0.000672,1.273510
0.395948,0.157829,0.620434,0.064098,0.846297,0.001376,0.000416,1.248389
0.396076,0.165605,0.602450,0.062978,0.834969,0.001280,0.000384,1.237253
